Date,FlexiGroup Ltd/Australia
20070928,4.579479561606566
20070929,4.579479561606566
20070930,4.579479561606566
20071001,4.113730108546706
20071002,4.07214548828043
20071003,3.9460361105728636
20071004,3.9273605051277345
20071005,3.9719194121984396
20071006,3.9719194121984396
20071007,3.9719194121984396
20071008,4.121810767322844
20071009,4.3010402335213325
20071010,4.319072346081595
20071011,4.104303740459635
20071012,4.165982376290296
20071013,4.165982376290296
20071014,4.165982376290296
20071015,4.293974770340855
20071016,4.209845380527557
20071017,3.7850688294330324
20071018,3.211714810283062
20071019,3.189088171457421
20071020,3.189088171457421
20071021,3.189088171457421
20071022,3.619491797172116
20071023,3.4674589856037614
20071024,3.7225358455969477
20071025,3.416752120330843
20071026,3.2904026912325404
20071027,3.2904026912325404
20071028,3.2904026912325404
20071029,3.283124641050499
20071030,3.5013545985729815
20071031,3.5877205873870524
20071101,3.744380344905887
20071102,3.8695678727379144
20071103,3.8695678727379144
20071104,3.8695678727379144
20071105,4.287327476562849
20071106,4.174355149910294
20071107,3.6618823039845996
20071108,4.047485748640854
20071109,3.6104009327119337
20071110,3.6104009327119337
20071111,3.6104009327119337
20071112,4.432130286630506
20071113,5.047502929814201
20071114,3.501529417674465
20071115,3.9071537915955274
20071116,4.053402413205771
20071117,4.053402413205771
20071118,4.053402413205771
20071119,4.457524579151379
20071120,4.206896683081984
20071121,4.71121761569292
20071122,5.31333343712647
20071123,5.349214870747994
20071124,5.349214870747994
20071125,5.349214870747994
20071126,4.683689167833404
20071127,4.7414215438958
20071128,4.772986660795272
20071129,4.679968968212813
20071130,10.001720101683704
20071201,10.001720101683704
20071202,10.001720101683704
20071203,10.9495651802916
20071204,10.689424735342145
20071205,11.170978075401713
20071206,11.060766766568802
20071207,11.450610976373708
20071208,11.450610976373708
20071209,11.450610976373708
20071210,13.022272131448982
20071211,11.89738480134326
20071212,11.978410843048104
20071213,12.37800353771305
20071214,12.670820921536807
20071215,12.670820921536807
20071216,12.670820921536807
20071217,15.457572371796102
20071218,16.329337792603443
20071219,16.298493044308305
20071220,15.681895138512175
20071221,16.082544379698707
20071222,16.082544379698707
20071223,16.082544379698707
20071224,16.01315946278132
20071225,16.01315946278132
20071226,16.01315946278132
20071227,16.102647046707233
20071228,16.451793242314768
20071229,16.451793242314768
20071230,16.451793242314768
20071231,16.017936906501628
20080101,16.017936906501628
20080102,15.342698484505418
20080103,17.68754535295779
20080104,16.78947742992188
20080105,16.78947742992188
20080106,16.78947742992188
20080107,18.12625666039182
20080108,18.130697873302143
20080109,18.66769662600572
20080110,19.246669434633617
20080111,20.154276414704462
20080112,20.154276414704462
20080113,20.154276414704462
20080114,22.05724757472388
20080115,22.365149431798624
20080116,24.84029912641583
20080117,24.17308294424037
20080118,23.81945269822209
20080119,23.81945269822209
20080120,23.81945269822209
20080121,25.58274105383026
20080122,36.08263352745481
20080123,34.89967680107175
20080124,34.77698305995571
20080125,33.36987902650192
20080126,33.36987902650192
20080127,33.36987902650192
20080128,33.36987902650192
20080129,31.137622322342565
20080130,29.580733873066553
20080131,29.137080592899164
20080201,30.248097493463252
20080202,30.248097493463252
20080203,30.248097493463252
20080204,29.420747401403556
20080205,29.14289717038561
20080206,30.151013360590778
20080207,32.60756186152199
20080208,31.92227642812775
20080209,31.92227642812775
20080210,31.92227642812775
20080211,30.95010516724926
20080212,32.256838532307704
20080213,45.651755824136046
20080214,41.32152329789669
20080215,45.94033368584707
20080216,45.94033368584707
20080217,45.94033368584707
20080218,49.550527121305954
20080219,46.5158028243165
20080220,48.162586403544346
20080221,49.32605092451579
20080222,48.480355064597916
20080223,48.480355064597916
20080224,48.480355064597916
20080225,55.78472510522506
20080226,73.58338244426953
20080227,102.65613983984542
20080228,97.83566403112331
20080229,129.25963078811964
20080301,129.25963078811964
20080302,129.25963078811964
20080303,181.72280345388515
20080304,144.0822668911878
20080305,128.52354754289965
20080306,86.42591529753622
20080307,92.47297560750624
20080308,92.47297560750624
20080309,92.47297560750624
20080310,96.13223061436632
20080311,102.55980884489595
20080312,102.67042849093636
20080313,108.08176597214916
20080314,129.69473944189986
20080315,129.69473944189986
20080316,129.69473944189986
20080317,140.98665735422466
20080318,147.9559327215867
20080319,163.7911337456652
20080320,174.97800916093036
20080321,174.97800916093036
20080322,174.97800916093036
20080323,174.97800916093036
20080324,174.97800916093036
20080325,167.19345265232158
20080326,168.1777259088439
20080327,184.66997815943574
20080328,196.06001848516036
20080329,196.06001848516036
20080330,196.06001848516036
20080331,218.22081427875278
20080401,224.1894073367138
20080402,231.88593400360034
20080403,243.02127497984756
20080404,261.70332901666154
20080405,261.70332901666154
20080406,261.70332901666154
20080407,256.44793826340486
20080408,236.5472312947485
20080409,176.62624397257025
20080410,169.087511061795
20080411,147.67169193552937
20080412,147.67169193552937
20080413,147.67169193552937
20080414,134.53521126134592
20080415,131.85446072225514
20080416,129.9226949840678
20080417,135.01133866744442
20080418,138.79175940848017
20080419,138.79175940848017
20080420,138.79175940848017
20080421,144.62137814586833
20080422,160.01675349299836
20080423,151.65020127539697
20080424,150.0665442533707
20080425,150.0665442533707
20080426,150.0665442533707
20080427,150.0665442533707
20080428,149.44978148143534
20080429,160.18739610920755
20080430,159.85825282495344
20080501,154.8894415935032
20080502,154.1003549141223
20080503,154.1003549141223
20080504,154.1003549141223
20080505,143.82701487415787
20080506,126.49165292625175
20080507,122.18563846387667
20080508,119.36355656886117
20080509,121.00734668206502
20080510,121.00734668206502
20080511,121.00734668206502
20080512,116.62326349023387
20080513,119.13266829677826
20080514,121.38074763226004
20080515,118.70486998038244
20080516,116.16816061589624
20080517,116.16816061589624
20080518,116.16816061589624
20080519,118.8877874678499
20080520,120.9815572981334
20080521,120.91632918346767
20080522,123.98007717659416
20080523,124.44430670884996
20080524,124.44430670884996
20080525,124.44430670884996
20080526,134.5006055455013
20080527,131.92112988554516
20080528,129.35316250671204
20080529,128.44127306262996
20080530,140.96594122693554
20080531,140.96594122693554
20080601,140.96594122693554
20080602,129.89869501170332
20080603,151.57156630641703
20080604,163.83549304568237
20080605,178.78491083285985
20080606,168.03217223294638
20080607,168.03217223294638
20080608,168.03217223294638
20080609,168.03217223294638
20080610,170.14274772311649
20080611,175.52472648430762
20080612,184.01450110034497
20080613,191.3731961131504
20080614,191.3731961131504
20080615,191.3731961131504
20080616,196.5279694384155
20080617,200.79380575313755
20080618,218.16311741740788
20080619,214.57265195569542
20080620,182.87849580676448
20080621,182.87849580676448
20080622,182.87849580676448
20080623,209.4244575420626
20080624,196.5027830619112
20080625,207.03129818152973
20080626,194.23523372752157
20080627,201.51903012277654
20080628,201.51903012277654
20080629,201.51903012277654
20080630,197.85862299438273
20080701,196.94166012245162
20080702,202.6246808518902
20080703,206.80302481565482
20080704,192.5438026817838
20080705,192.5438026817838
20080706,192.5438026817838
20080707,173.69053587239756
20080708,152.91517212006477
20080709,151.53733678045157
20080710,153.3570636638079
20080711,158.8502948740647
20080712,158.8502948740647
20080713,158.8502948740647
20080714,157.46202983720838
20080715,178.3381567483617
20080716,170.94344856099897
20080717,168.9821496518469
20080718,164.6555120344664
20080719,164.6555120344664
20080720,164.6555120344664
20080721,171.0380876701711
20080722,167.33910456474408
20080723,175.80685128598478
20080724,177.91679680648687
20080725,182.43627349017532
20080726,182.43627349017532
20080727,182.43627349017532
20080728,181.68490797505737
20080729,188.7197654984552
20080730,170.81569168161187
20080731,161.31419530279186
20080801,130.58271891695898
20080802,130.58271891695898
20080803,130.58271891695898
20080804,109.93727661961287
20080805,130.04108467457016
20080806,111.34130173112848
20080807,121.72388140223877
20080808,125.48235253039742
20080809,125.48235253039742
20080810,125.48235253039742
20080811,122.49465062787198
20080812,121.29882529510574
20080813,136.89071463997857
20080814,126.88140047013074
20080815,117.46890179122033
20080816,117.46890179122033
20080817,117.46890179122033
20080818,119.37400087506758
20080819,127.54294892547568
20080820,122.45637288379446
20080821,122.74405943546259
20080822,121.49048560002778
20080823,121.49048560002778
20080824,121.49048560002778
20080825,125.13321641478387
20080826,138.7814220612948
20080827,141.11388946517664
20080828,138.60778532996318
20080829,135.49392729177148
20080830,135.49392729177148
20080831,135.49392729177148
20080901,137.87150508345826
20080902,140.3464448366103
20080903,141.16764205780336
20080904,145.69698571292565
20080905,151.32599863960755
20080906,151.32599863960755
20080907,151.32599863960755
20080908,145.33341419501713
20080909,144.49365328306848
20080910,144.05976789089917
20080911,148.22871175357213
20080912,143.8407131248091
20080913,143.8407131248091
20080914,143.8407131248091
20080915,145.4355841264755
20080916,141.38548213944628
20080917,138.00815494392373
20080918,156.87469785840423
20080919,148.01841687127714
20080920,148.01841687127714
20080921,148.01841687127714
20080922,134.01498092650735
20080923,130.21702042397638
20080924,133.71468313525935
20080925,148.61367095187865
20080926,155.56686669344336
20080927,155.56686669344336
20080928,155.56686669344336
20080929,150.66930942890923
20080930,135.2356920201974
20081001,136.84348120462457
20081002,139.63435597310553
20081003,145.18445290590847
20081004,145.18445290590847
20081005,145.18445290590847
20081006,155.58393470326482
20081007,172.52862887715347
20081008,289.8265925171044
20081009,264.1489797139326
20081010,295.1313643441052
20081011,295.1313643441052
20081012,295.1313643441052
20081013,280.21419207420814
20081014,190.5965131045943
20081015,201.25708661079614
20081016,247.10402509813701
20081017,280.2041043175458
20081018,280.2041043175458
20081019,280.2041043175458
20081020,252.4907520366652
20081021,219.5801906341133
20081022,238.23781427280204
20081023,268.3959207645424
20081024,293.97591546396853
20081025,293.97591546396853
20081026,293.97591546396853
