Date,Soneri Bank Ltd
20040630,24.574215083793334
20040701,23.77722294740349
20040702,21.27119462318413
20040703,21.27119462318413
20040704,21.27119462318413
20040705,18.793666422691462
20040706,17.706823155290557
20040707,16.872250613699247
20040708,18.54956324033182
20040709,18.12537141516142
20040710,18.12537141516142
20040711,18.12537141516142
20040712,18.717726850474712
20040713,19.698132213667087
20040714,20.13648092636175
20040715,20.085416533121975
20040716,20.575535556015996
20040717,20.575535556015996
20040718,20.575535556015996
20040719,19.88337052618554
20040720,19.574524302143445
20040721,19.599088669335668
20040722,19.466376934558756
20040723,19.04703282050399
20040724,19.04703282050399
20040725,19.04703282050399
20040726,20.646327304118255
20040727,21.159874861574593
20040728,20.899652387053507
20040729,21.19193523147333
20040730,22.5321943701434
20040731,22.5321943701434
20040801,22.5321943701434
20040802,23.75016119496867
20040803,23.26469819269881
20040804,23.389219865358033
20040805,22.583669786278797
20040806,23.527719943773864
20040807,23.527719943773864
20040808,23.527719943773864
20040809,23.134937809078647
20040810,24.02944557918017
20040811,23.770010353592667
20040812,25.001237734519783
20040813,25.65826651389934
20040814,25.65826651389934
20040815,25.65826651389934
20040816,25.430322454904918
20040817,24.877072804277425
20040818,24.81856898957517
20040819,24.546184228463417
20040820,23.76325760599935
20040821,23.76325760599935
20040822,23.76325760599935
20040823,25.332361228768878
20040824,25.771821879993087
20040825,26.657701092589075
20040826,24.944581221932708
20040827,24.467515954505767
20040828,24.467515954505767
20040829,24.467515954505767
20040830,23.871286296399756
20040831,21.77826665108942
20040901,22.232115668424584
20040902,21.72988584451161
20040903,22.097035342340387
20040904,22.097035342340387
20040905,22.097035342340387
20040906,23.747271174902885
20040907,23.588565837990146
20040908,21.81592007360021
20040909,21.990710073285808
20040910,22.043527299523298
20040911,22.043527299523298
20040912,22.043527299523298
20040913,21.720472621574448
20040914,21.752585121655805
20040915,22.603329672276097
20040916,22.581314285791606
20040917,22.085817667900145
20040918,22.085817667900145
20040919,22.085817667900145
20040920,21.417089067169464
20040921,22.51200055682583
20040922,22.581856316490377
20040923,22.572582142907702
20040924,22.058693905312403
20040925,22.058693905312403
20040926,22.058693905312403
20040927,22.301539271337617
20040928,22.455935058266537
20040929,21.45525025352431
20040930,19.63042431196991
20041001,18.821122217576185
20041002,18.821122217576185
20041003,18.821122217576185
20041004,18.23790686634607
20041005,17.323182961564715
20041006,17.09749360363164
20041007,17.55578635130434
20041008,17.111766676557437
20041009,17.111766676557437
20041010,17.111766676557437
20041011,16.717455641936358
20041012,16.093634181471376
20041013,15.747039799609102
20041014,16.618287655893962
20041015,18.050169684474895
20041016,18.050169684474895
20041017,18.050169684474895
20041018,18.18001472462207
20041019,16.479692237828086
20041020,17.859575509708943
20041021,18.463133721323437
20041022,17.49704219899995
20041023,17.49704219899995
20041024,17.49704219899995
20041025,17.257941335167526
20041026,18.448188272710404
20041027,19.245666782782177
20041028,18.922470487691378
20041029,18.491263494045548
20041030,18.491263494045548
20041031,18.491263494045548
20041101,20.10860519696559
20041102,19.322300981915532
20041103,18.417103067801122
20041104,18.72496784070005
20041105,19.32231931104741
20041106,19.32231931104741
20041107,19.32231931104741
20041108,17.474097454585532
20041109,17.474097454585532
20041110,17.668805411863566
20041111,17.668805411863566
20041112,17.90818920918114
20041113,17.90818920918114
20041114,17.90818920918114
20041115,17.90818920918114
20041116,17.90818920918114
20041117,17.90818920918114
20041118,17.260478924186554
20041119,17.457210319483835
20041120,17.457210319483835
20041121,17.457210319483835
20041122,17.593472674795187
20041123,17.36754710496504
20041124,17.76090980393534
20041125,17.928605024652033
20041126,18.20381706666073
20041127,18.20381706666073
20041128,18.20381706666073
20041129,17.66323432161907
20041130,16.351504580245155
20041201,16.729351303676857
20041202,17.006786524084823
20041203,16.76502002439475
20041204,16.76502002439475
20041205,16.76502002439475
20041206,15.992460390940137
20041207,15.12762895784218
20041208,16.42969281061225
20041209,16.293330387783403
20041210,16.67732969861653
20041211,16.67732969861653
20041212,16.67732969861653
20041213,16.198425604743072
20041214,16.62367829968641
20041215,16.37743403980452
20041216,16.084053987454666
20041217,15.857008215294332
20041218,15.857008215294332
20041219,15.857008215294332
20041220,15.645134050424488
20041221,15.771457966589177
20041222,15.576104485041059
20041223,15.035388300143307
20041224,14.091911334673199
20041225,14.091911334673199
20041226,14.091911334673199
20041227,14.149081273379016
20041228,14.084954574852356
20041229,14.192859555395652
20041230,13.547004709581348
20041231,12.373680356873523
20050101,12.373680356873523
20050102,12.373680356873523
20050103,12.091125613946653
20050104,11.550039920876344
20050105,11.502453245422167
20050106,10.243035395498936
20050107,10.411151910696775
20050108,10.411151910696775
20050109,10.411151910696775
20050110,9.385066103849306
20050111,8.847305088033202
20050112,9.315553683481252
20050113,10.60583905400193
20050114,9.696011518435089
20050115,9.696011518435089
20050116,9.696011518435089
20050117,9.424565869743745
20050118,9.107045246381931
20050119,8.996837314350266
20050120,8.996837314350266
20050121,8.996837314350266
20050122,8.996837314350266
20050123,8.996837314350266
20050124,9.319239885414742
20050125,9.278620912710926
20050126,9.149200808509502
20050127,9.792257400418757
20050128,10.207304931400612
20050129,10.207304931400612
20050130,10.207304931400612
20050131,10.356717690206132
20050201,9.630997140004977
20050202,9.810137128324014
20050203,9.666247878590482
20050204,9.446556372107644
20050205,9.446556372107644
20050206,9.446556372107644
20050207,9.170506382202
20050208,8.743914920393
20050209,9.169645964360097
20050210,9.003248019729345
20050211,7.782575191807628
20050212,7.782575191807628
20050213,7.782575191807628
20050214,7.043698579088587
20050215,7.004660411356391
20050216,6.785054129801292
20050217,5.528520726171554
20050218,5.977322054065863
20050219,5.977322054065863
20050220,5.977322054065863
20050221,5.959654603333237
20050222,5.777591748398691
20050223,5.6594619500916785
20050224,5.83391926457055
20050225,6.060359623542424
20050226,6.060359623542424
20050227,6.060359623542424
20050228,6.823646354002827
20050301,6.686006933341486
20050302,7.193692382445517
20050303,7.070067622600763
20050304,7.228234874160494
20050305,7.228234874160494
20050306,7.228234874160494
20050307,6.9184608399583425
20050308,6.38033454007995
20050309,6.121736955468082
20050310,5.453528051594843
20050311,5.992701833541301
