Date,Metro Land Corp Ltd
20010330,1733.1387528190057
20010331,1733.1387528190057
20010401,1730.6568447004106
20010402,1714.9145222312031
20010403,1743.4617543817676
20010404,1802.1377602587731
20010405,1761.608833259568
20010406,1735.1872766202277
20010407,1735.1872766202277
20010408,1735.1872766202277
20010409,1688.8048118646318
20010410,1682.616721994353
20010411,1340.0169433306885
20010412,1342.458071311955
20010413,1305.4546973435238
20010414,1305.4546973435238
20010415,1305.4546973435238
20010416,1303.182803798994
20010417,1292.0419855682508
20010418,1311.4877723657241
20010419,1295.641924534813
20010420,1330.5845916316064
20010421,1330.5845916316064
20010422,1330.5845916316064
20010423,1344.1221142586041
20010424,1339.0394850646671
20010425,1365.0887752179026
20010426,1382.4435317041336
20010427,1380.8157077191095
20010428,1380.8157077191095
20010429,1380.8157077191095
20010430,1236.2007121935399
20010501,1234.2446573772847
20010502,1234.2446573772847
20010503,1234.2446573772847
20010504,1234.2446573772847
20010505,1234.2446573772847
20010506,1234.2446573772847
20010507,1234.2446573772847
20010508,1196.306935578834
20010509,1204.2892489520225
20010510,1224.6212758256731
20010511,1249.5495398378346
20010512,1249.5495398378346
20010513,1249.5495398378346
20010514,1235.6363433350343
20010515,1240.8055072304785
20010516,1223.9144900045649
20010517,1255.1864279732777
20010518,1261.7032417854557
20010519,1261.7032417854557
20010520,1261.7032417854557
20010521,1228.3737111471096
20010522,1192.8133929016199
20010523,1206.3397409535655
20010524,1167.3321069559381
20010525,1136.7438797626835
20010526,1136.7438797626835
20010527,1136.7438797626835
20010528,1138.8145875560424
20010529,1147.137821316723
20010530,1117.0770526916228
20010531,1084.7227632520935
20010601,1086.236573327912
20010602,1086.236573327912
20010603,1086.236573327912
20010604,1045.3473886332913
20010605,1038.250000595195
20010606,1050.3976400840165
20010607,1065.0186211811217
20010608,1087.2568594128081
20010609,1087.2568594128081
20010610,1087.2568594128081
20010611,1083.5514001061085
20010612,1059.87542272792
20010613,1086.0506071957232
20010614,1104.4966397537246
20010615,1100.6657993042797
20010616,1100.6657993042797
20010617,1100.6657993042797
20010618,1126.7157531582652
20010619,1130.8402854644637
20010620,1123.007983690048
20010621,1102.5387563704483
20010622,1104.596177209655
20010623,1104.596177209655
20010624,1104.596177209655
20010625,1097.9536269181253
20010626,1076.5179144194835
20010627,1082.329550842321
20010628,1099.5149211025025
20010629,1066.3935995055715
20010630,1066.3935995055715
20010701,1064.4347848593036
20010702,1050.9404237317508
20010703,1034.3373356013728
20010704,1040.2238952626644
20010705,1048.905234241968
20010706,1060.7987465252065
20010707,1060.7987465252065
20010708,1060.7987465252065
20010709,1062.1439767607178
20010710,1038.2829953329488
20010711,1045.2274977770894
20010712,1040.7534087001006
20010713,1045.356368688058
20010714,1045.356368688058
20010715,1045.356368688058
20010716,1055.137019989044
20010717,1044.3737118432462
20010718,1031.9157677624721
20010719,1041.0342253365018
20010720,1027.783949167343
20010721,1027.783949167343
20010722,1027.783949167343
20010723,1039.5604359159151
20010724,1039.3605304150865
20010725,1042.7512777473219
20010726,1036.061052204319
20010727,1035.1967218294485
20010728,1035.1967218294485
20010729,1035.1967218294485
20010730,1102.4137074155433
20010731,1143.909690257269
20010801,1102.9925938079068
20010802,1107.1571732322614
20010803,1097.390864098182
20010804,1097.390864098182
20010805,1097.390864098182
20010806,1113.5147373887949
20010807,1103.9233442787167
20010808,1095.3523140267882
20010809,1076.5523191990087
20010810,1067.74659717838
20010811,1067.74659717838
20010812,1067.74659717838
20010813,1076.534488613885
