Date,Jilin Cheng Cheng Group Co Ltd
20040630,546.6962413259304
20040701,509.52162956116723
20040702,512.9590959200824
20040703,512.9590959200824
20040704,512.9590959200824
20040705,508.35961984517934
20040706,518.6176186760213
20040707,526.5557828658577
20040708,510.0856561592821
20040709,526.5224975874216
20040710,526.5224975874216
20040711,526.5224975874216
20040712,535.2818213908223
20040713,535.176342730236
20040714,555.768266509174
20040715,568.6877650763888
20040716,530.4017434493071
20040717,530.4017434493071
20040718,530.4017434493071
20040719,517.5935437284827
20040720,518.4175100591565
20040721,504.30153148528444
20040722,528.8875784707498
20040723,491.1666937491552
20040724,491.1666937491552
20040725,491.1666937491552
20040726,494.7179993711431
20040727,485.1388631414558
20040728,488.0099470300442
20040729,489.61868173043786
20040730,536.0495656308539
20040731,536.0495656308539
20040801,515.9034564261813
20040802,515.8144745319479
20040803,515.7940059543611
20040804,499.4891460355484
20040805,509.21072320155685
20040806,518.6404259314481
20040807,518.6404259314481
20040808,518.6404259314481
20040809,526.1121847217594
20040810,511.40968932819356
20040811,509.34434306209175
20040812,524.1338601276511
20040813,548.0803060740608
20040814,548.0803060740608
20040815,548.0803060740608
20040816,559.8249842751147
20040817,623.6732607036959
20040818,633.5083587980506
20040819,611.4111273910223
20040820,631.2796500013895
20040821,631.2796500013895
20040822,631.2796500013895
20040823,648.6566693071617
20040824,633.3621707974938
20040825,641.6932925562589
20040826,645.5912346551353
20040827,659.0204977376387
20040828,659.0204977376387
20040829,659.0204977376387
20040830,649.8307494524806
20040831,653.9497232298801
20040901,619.7520999374057
20040902,609.204558383942
20040903,584.0926089200567
20040904,584.0926089200567
20040905,584.0926089200567
20040906,582.3008957954589
20040907,580.5554776711656
20040908,588.6224338555609
20040909,597.6824947753307
20040910,597.063839340271
20040911,597.063839340271
20040912,597.063839340271
20040913,610.3604317109035
20040914,581.1714115568826
20040915,551.9238161086727
20040916,553.9113934812779
20040917,536.8757992747654
20040918,536.8757992747654
20040919,536.8757992747654
