Date,Beh-Property Co Ltd
20021031,632.2868134422772
20021101,629.4109917619922
20021102,629.4109917619922
20021103,629.4109917619922
20021104,632.5921685533398
20021105,621.274615475669
20021106,626.6589475144954
20021107,631.3352540638567
20021108,639.4358921798779
20021109,639.4358921798779
20021110,639.4358921798779
20021111,647.9227174045387
20021112,661.0710605034687
20021113,658.1769448704699
20021114,670.3973482916165
20021115,671.9893553964555
20021116,671.9893553964555
20021117,671.9893553964555
20021118,679.7681499868074
20021119,679.0064162139521
20021120,688.0599044608501
20021121,738.7213083561933
20021122,740.6697488930599
20021123,740.6697488930599
20021124,740.6697488930599
20021125,748.6334409379173
20021126,753.6526608811381
20021127,746.4945238916723
20021128,734.2158739702883
20021129,785.7756105984159
20021130,785.7756105984159
20021201,781.4637568700086
20021202,793.3532315632184
20021203,786.2305949735887
20021204,788.4850327682129
20021205,793.4133629487342
20021206,794.9034132224402
20021207,794.9034132224402
20021208,794.9034132224402
20021209,796.8296020928827
20021210,814.2629759101455
20021211,810.0994635433701
20021212,809.6668813517629
20021213,804.502674119364
20021214,804.502674119364
20021215,804.502674119364
20021216,802.2821279990285
20021217,785.3351945354872
20021218,768.6854565083024
20021219,779.3675286434791
20021220,781.7687019050825
20021221,781.7687019050825
20021222,781.7687019050825
20021223,777.9838223413092
20021224,778.5938713853883
20021225,786.4545580423817
20021226,812.1355268389975
20021227,814.1214822733087
20021228,814.1214822733087
20021229,814.1214822733087
20021230,810.1640842845892
20021231,785.5677116818796
20030101,781.0155426302975
20030102,776.5586147760405
20030103,776.0705151818615
20030104,776.0705151818615
20030105,776.0705151818615
20030106,752.8204043137741
20030107,741.4362385699332
20030108,728.8883150351286
20030109,729.514743525597
20030110,734.4411724076608
20030111,734.4411724076608
20030112,734.4411724076608
20030113,740.018530669521
20030114,721.5781585165573
20030115,723.2667568142213
20030116,692.6333122954268
20030117,710.0660945641442
20030118,710.0660945641442
20030119,710.0660945641442
20030120,671.3955626351592
20030121,683.7457885147107
20030122,670.3905074081898
20030123,663.4821969406648
20030124,645.8887569477844
20030125,645.8887569477844
20030126,645.8887569477844
20030127,652.9567631797678
20030128,679.9779846287831
20030129,745.018843894647
20030130,745.018843894647
20030131,745.018843894647
20030201,740.4566344134648
20030202,740.4566344134648
20030203,740.4566344134648
20030204,740.4566344134648
20030205,740.4566344134648
20030206,740.4566344134648
20030207,740.4566344134648
20030208,740.4566344134648
20030209,740.4566344134648
20030210,739.3527222057245
20030211,728.1214651738384
20030212,720.6310553527596
20030213,725.6348900834153
20030214,695.0510366484913
20030215,695.0510366484913
20030216,695.0510366484913
20030217,698.9483275563277
20030218,693.67786882403
20030219,700.6716090564856
20030220,702.0244556535456
20030221,721.2862406222148
20030222,721.2862406222148
20030223,721.2862406222148
20030224,717.9658567889478
20030225,709.2553122572879
20030226,710.401984271935
20030227,713.0027431167493
20030228,704.182755762654
20030301,699.6322111279924
20030302,699.6322111279924
20030303,701.8447789001448
20030304,686.962354015658
20030305,689.3863118971879
20030306,698.5923078739326
20030307,689.25961284183
20030308,689.25961284183
20030309,689.25961284183
20030310,684.1079055879601
20030311,712.8560705569794
20030312,706.5351598502486
20030313,714.7141936157036
20030314,707.2832791923148
20030315,707.2832791923148
20030316,707.2832791923148
20030317,711.5918922649652
20030318,713.4256318199689
20030319,708.5303954186724
20030320,703.2320066416823
20030321,693.1833968156257
20030322,693.1833968156257
20030323,693.1833968156257
20030324,695.0228679970073
20030325,673.2915001783371
20030326,672.8664727377967
20030327,671.1409255473554
20030328,665.74500205556
20030329,665.74500205556
20030330,665.74500205556
20030331,666.3000831600318
20030401,667.714695500239
20030402,666.4936224711246
20030403,667.4410901866688
20030404,662.8966334892281
20030405,662.8966334892281
20030406,662.8966334892281
