Date,Tianjin Songjiang Co Ltd
20010531,448.1995503104186
20010601,460.6061919070091
20010602,460.6061919070091
20010603,460.6061919070091
20010604,460.30866384091996
20010605,469.61613799226683
20010606,468.4797359538394
20010607,467.3370438534234
20010608,467.9208555734268
20010609,467.9208555734268
20010610,467.9208555734268
20010611,476.53671552605357
20010612,478.25427393962195
20010613,468.62168532299256
20010614,466.61910821593654
20010615,472.95942423430955
20010616,472.95942423430955
20010617,472.95942423430955
20010618,469.379169235103
20010619,480.3076876758856
20010620,493.67348222559866
20010621,495.3712772875003
20010622,495.34440597294787
20010623,495.34440597294787
20010624,495.34440597294787
20010625,484.98150525701107
20010626,486.4203991983454
20010627,492.88673015507584
20010628,492.3400459308004
20010629,446.9594424348654
20010630,446.9594424348654
20010701,446.11284360466493
20010702,481.2634156828837
20010703,477.4951211426446
20010704,491.67899052576547
20010705,489.2191734031146
20010706,494.66921837682156
20010707,494.66921837682156
20010708,494.66921837682156
20010709,473.53785326223635
20010710,469.5624571993621
20010711,461.9805090905939
20010712,472.0196200569753
20010713,474.2733425173328
20010714,474.2733425173328
20010715,474.2733425173328
20010716,483.2045410687006
20010717,489.3491509846575
20010718,484.73556042058505
20010719,488.79854762399657
20010720,479.9321622595613
20010721,479.9321622595613
20010722,479.9321622595613
20010723,487.0327893117479
20010724,485.48331388889346
20010725,485.35795599862803
20010726,481.2145489074504
20010727,491.07802707666673
20010728,491.07802707666673
20010729,491.07802707666673
20010730,525.6419579777001
20010731,619.1857747516275
20010801,600.9756798642691
20010802,623.7716878636085
20010803,628.9203173901208
20010804,628.9203173901208
20010805,628.9203173901208
20010806,668.1699085032525
20010807,659.1636800831383
20010808,656.685079648001
20010809,627.825157767047
20010810,624.4361203735626
20010811,624.4361203735626
20010812,624.4361203735626
20010813,632.5764241812716
20010814,644.5750149163767
20010815,616.7314340028221
20010816,612.8290494635544
20010817,615.1178704032025
20010818,615.1178704032025
20010819,615.1178704032025
20010820,613.7561417608159
20010821,619.9224381745732
20010822,629.56469820048
20010823,624.4358583764911
20010824,621.4934963163945
20010825,621.4934963163945
20010826,621.4934963163945
20010827,638.8863177092721
20010828,624.7919791589729
20010829,626.980835080915
20010830,633.2179131379642
20010831,673.2879553294156
20010901,671.840380776246
20010902,671.840380776246
20010903,674.4036917189189
20010904,665.6331416671874
20010905,660.2872969446636
20010906,645.1869407820669
20010907,656.8884325078227
20010908,656.8884325078227
20010909,656.8884325078227
20010910,648.1186425205191
20010911,646.8203877977294
20010912,656.8841021140612
20010913,669.9614135336401
20010914,671.1944523096106
20010915,671.1944523096106
20010916,671.1944523096106
20010917,685.2395943288626
20010918,658.5817708245522
20010919,635.3124612344203
20010920,645.1299522689274
20010921,644.7470894307834
20010922,644.7470894307834
20010923,644.7470894307834
20010924,652.5511372418077
20010925,666.4339033311284
20010926,664.8290486553279
20010927,662.166003581491
20010928,663.8958492541236
20010929,663.8958492541236
20010930,663.8958492541236
20011001,662.3668526846876
20011002,662.3668526846876
20011003,662.3668526846876
20011004,662.3668526846876
20011005,662.3668526846876
20011006,662.3668526846876
20011007,662.3668526846876
20011008,663.9684189542609
20011009,653.9771063160666
20011010,667.4524533854012
20011011,737.8291005108073
20011012,725.2963105846334
20011013,725.2963105846334
20011014,725.2963105846334
20011015,743.1362869719228
20011016,775.6514342437612
20011017,763.1629005965572
20011018,761.0174762472913
20011019,749.336597911527
20011020,749.336597911527
20011021,749.336597911527
20011022,741.2444883249785
20011023,682.0004345188793
20011024,656.5139205310579
20011025,678.6605094321069
20011026,672.0238937098544
20011027,672.0238937098544
20011028,672.0238937098544
20011029,666.4476384769906
20011030,666.8042812526553
20011031,735.5802728460866
20011101,716.9436573733931
20011102,731.0145842717699
20011103,731.0145842717699
20011104,731.0145842717699
20011105,722.8738293596205
20011106,719.3510099716336
20011107,775.6153994882873
20011108,767.1015486775043
20011109,771.723391490785
20011110,771.723391490785
20011111,771.723391490785
20011112,761.3391223698959
20011113,762.4052354706955
20011114,762.6289188899285
20011115,763.0283269756375
20011116,759.1656216728361
20011117,759.1656216728361
20011118,759.1656216728361
20011119,748.7788460602758
20011120,730.4781666752214
20011121,725.2605422223949
20011122,704.2357133239971
20011123,710.1483080408233
20011124,710.1483080408233
20011125,710.1483080408233
20011126,726.0480555541752
20011127,715.8673186113326
20011128,707.6635591744164
20011129,705.633454907934
20011130,688.6170807137515
20011201,686.8045637614479
20011202,686.8045637614479
20011203,677.9111278175105
20011204,684.4534841695119
20011205,699.1013058323009
20011206,702.700092555594
20011207,697.6425573001658
20011208,697.6425573001658
20011209,697.6425573001658
20011210,700.6243223642766
20011211,710.8924263880072
20011212,707.1350281093138
20011213,702.4972882348795
20011214,716.1448441901464
20011215,716.1448441901464
20011216,716.1448441901464
20011217,716.3153272636799
20011218,713.7210632114131
20011219,731.7670377228886
20011220,753.9253425526042
20011221,759.5027256459183
20011222,759.5027256459183
20011223,759.5027256459183
20011224,754.9015532406917
20011225,755.9299172049639
20011226,752.8236240099599
20011227,767.9137447092332
20011228,797.5397889620806
20011229,797.5397889620806
20011230,797.5397889620806
20011231,782.7703381790052
20020101,780.5793092282642
20020102,780.5793092282642
20020103,780.5793092282642
20020104,785.4245262062313
20020105,785.4245262062313
20020106,785.4245262062313
20020107,799.9809123664872
20020108,797.237995167275
20020109,819.5799317029943
20020110,825.990032940271
20020111,868.2719540997634
20020112,868.2719540997634
20020113,868.2719540997634
20020114,876.08851294572
20020115,885.2892724858712
20020116,868.0579773363978
20020117,908.8158281085445
20020118,923.3018525480029
20020119,923.3018525480029
20020120,923.3018525480029
20020121,997.9339778381712
20020122,1005.4443329911537
20020123,948.1875302768589
20020124,935.9616115009451
20020125,924.4378738727315
20020126,924.4378738727315
20020127,924.4378738727315
20020128,1009.7233416588131
20020129,979.210886096764
20020130,934.0575422792368
20020131,917.4303945189583
20020201,910.5078760075867
20020202,910.5078760075867
20020203,910.5078760075867
20020204,896.2331036562313
20020205,897.9554239848628
20020206,927.6107062898164
20020207,910.1817776936699
20020208,901.6972059438941
20020209,901.6972059438941
20020210,901.6972059438941
20020211,901.6972059438941
20020212,901.6972059438941
20020213,901.6972059438941
20020214,901.6972059438941
20020215,901.6972059438941
20020216,901.6972059438941
20020217,901.6972059438941
20020218,901.6972059438941
20020219,901.6972059438941
20020220,901.6972059438941
20020221,901.6972059438941
20020222,901.6972059438941
20020223,901.6972059438941
20020224,901.6972059438941
20020225,889.3925546984484
20020226,891.6352602235434
20020227,880.5882373407629
20020228,883.6471913550191
20020301,892.6943968001001
20020302,892.6943968001001
20020303,892.6943968001001
20020304,857.8318772505471
20020305,837.0667521272243
20020306,839.3696884712687
20020307,820.8284228466756
20020308,790.6729377495944
20020309,790.6729377495944
20020310,790.6729377495944
20020311,786.0640686280867
20020312,793.3853890822998
20020313,800.2337583869362
20020314,777.6405066463249
20020315,796.7390493722773
20020316,796.7390493722773
20020317,796.7390493722773
20020318,803.6167263367731
20020319,781.9152227317237
20020320,757.3221688462072
20020321,765.9079419298938
20020322,775.8356794870614
20020323,775.8356794870614
20020324,775.8356794870614
20020325,775.2699450334352
20020326,776.6587246437041
20020327,769.3384745908694
20020328,774.3829296989338
20020329,792.4387055071782
20020330,792.4387055071782
20020331,792.4387055071782
20020401,786.7591093025553
20020402,780.3161078442433
20020403,772.8086806635366
