Date,Beijing Homyear Capital Holdings Co Ltd
20010430,263.58911510496074
20010501,263.1524687654278
20010502,263.1524687654278
20010503,263.1524687654278
20010504,263.1524687654278
20010505,263.1524687654278
20010506,263.1524687654278
20010507,263.1524687654278
20010508,263.802199239151
20010509,267.52046485600374
20010510,266.4281517660208
20010511,266.4118112458517
20010512,266.4118112458517
20010513,266.4118112458517
20010514,265.2103491988062
20010515,269.1706676671926
20010516,262.8823283867953
20010517,261.85020178216297
20010518,262.4891437465988
20010519,262.4891437465988
20010520,262.4891437465988
20010521,258.47315767081324
20010522,259.29384672423333
20010523,262.9069056003838
20010524,261.3936501776735
20010525,256.95487750007874
20010526,256.95487750007874
20010527,256.95487750007874
20010528,252.2001643847728
20010529,253.0846804552571
20010530,250.19614742272753
20010531,266.14019715810235
20010601,269.1392485769381
20010602,269.1392485769381
20010603,269.1392485769381
20010604,267.66487865981526
20010605,266.80154756470824
20010606,258.5839105399109
20010607,263.2023530628065
20010608,263.1699659451425
20010609,263.1699659451425
20010610,263.1699659451425
20010611,266.8539285366612
20010612,259.14496939363465
20010613,253.52779181598137
20010614,260.4977292139543
20010615,252.50066941525256
20010616,252.50066941525256
20010617,252.50066941525256
20010618,254.34676431043076
20010619,257.94431905332084
20010620,265.449617395434
20010621,259.562108872039
20010622,258.5652326491356
20010623,258.5652326491356
20010624,258.5652326491356
20010625,248.67848688848179
20010626,248.2144488595657
20010627,246.00914419146798
20010628,251.76618639792048
20010629,352.86838828012714
20010630,352.86838828012714
20010701,352.19895272738796
20010702,351.47003647514856
20010703,355.77674904671966
20010704,352.0655297939697
20010705,354.6995520937012
20010706,359.54082645740215
20010707,359.54082645740215
20010708,359.54082645740215
20010709,356.5725645051761
20010710,347.88704147228884
20010711,346.54570739619453
20010712,344.46409705782605
20010713,347.1719482165011
20010714,347.1719482165011
20010715,347.1719482165011
20010716,349.328259344698
20010717,346.74623496934635
20010718,340.6228566327965
20010719,335.40164039601376
20010720,334.1185305974852
20010721,334.1185305974852
20010722,334.1185305974852
20010723,330.73983026993136
20010724,337.60777440825706
20010725,339.3573426799896
20010726,338.4468888352156
20010727,340.1883141704118
20010728,340.1883141704118
20010729,340.1883141704118
20010730,354.04586617596846
20010731,413.69459920088366
20010801,396.7117253163907
20010802,400.26931928229635
20010803,396.278879916871
20010804,396.278879916871
20010805,396.278879916871
20010806,406.86376937726374
20010807,394.27195089717935
20010808,394.57801038979864
20010809,382.3167122426808
20010810,378.98183844281436
20010811,378.98183844281436
20010812,378.98183844281436
20010813,379.4632674427647
20010814,386.1709191417749
20010815,378.4882733571492
20010816,383.3316345384047
20010817,382.35955731047403
20010818,382.35955731047403
20010819,382.35955731047403
20010820,378.1545191323323
20010821,375.3597865050943
20010822,379.4847286338246
20010823,377.0325517862018
20010824,381.56768188264954
20010825,381.56768188264954
20010826,381.56768188264954
20010827,401.0174857663755
20010828,401.65761604095127
20010829,400.11312418957135
20010830,410.375629406906
20010831,497.4478195894928
20010901,496.37194004763387
20010902,496.37194004763387
20010903,509.9059282596008
20010904,492.9143880015178
20010905,489.9927663421162
20010906,487.0694649129207
20010907,502.6811532237996
20010908,502.6811532237996
20010909,502.6811532237996
20010910,471.6126382599084
20010911,470.7169271434551
20010912,474.6118438223405
20010913,480.1524135404296
20010914,477.8750025820592
20010915,477.8750025820592
20010916,477.8750025820592
20010917,484.6799310060236
20010918,482.6242386254882
20010919,479.01524312893
20010920,468.15159316341504
20010921,476.95347251299637
20010922,476.95347251299637
20010923,476.95347251299637
20010924,473.01902672988695
20010925,471.0408983830965
20010926,472.03470134984315
20010927,469.0110359077596
20010928,508.37666445040963
20010929,508.37666445040963
20010930,508.37666445040963
20011001,507.20003775565675
20011002,507.20003775565675
20011003,507.20003775565675
20011004,507.20003775565675
20011005,507.20003775565675
20011006,507.20003775565675
20011007,507.20003775565675
20011008,516.0816907800233
20011009,513.5323895158704
20011010,547.1546131498476
20011011,574.4157634928873
20011012,547.995912082811
20011013,547.995912082811
20011014,547.995912082811
20011015,542.6840594328903
20011016,555.174221454942
20011017,558.3197099137483
20011018,564.3886560009043
20011019,582.9599917899384
20011020,582.9599917899384
20011021,582.9599917899384
20011022,604.7927109531087
