Date,Resimac Group Ltd
20010928,6.2437554574918055
20010929,6.2437554574918055
20010930,6.2437554574918055
20011001,6.519153177816078
20011002,6.401685355292168
20011003,6.423490199055043
20011004,5.830120339766522
20011005,5.968914126638506
20011006,5.968914126638506
20011007,5.968914126638506
20011008,5.479868960863938
20011009,5.324011194649491
20011010,5.337189900090065
20011011,5.290000501909676
20011012,5.2359761990355
20011013,5.2359761990355
20011014,5.2359761990355
20011015,5.2142085778712275
20011016,5.24465895039861
20011017,5.393333631379354
20011018,5.415835647733255
20011019,5.456822862242636
20011020,5.456822862242636
20011021,5.456822862242636
20011022,5.446774724109107
20011023,5.362642342777129
20011024,5.34329286220422
20011025,5.89425183699544
20011026,5.8838838760755445
20011027,5.8838838760755445
20011028,5.8838838760755445
20011029,5.895307803575149
20011030,4.369719564173287
20011031,3.7893348666011253
20011101,3.915079738734
20011102,3.912203552101382
20011103,3.912203552101382
20011104,3.912203552101382
20011105,3.9327416945924916
20011106,3.9051067399578865
20011107,3.88343178224814
20011108,3.90443422717964
20011109,4.003822324359078
20011110,4.003822324359078
20011111,4.003822324359078
20011112,3.99198440557301
20011113,3.9175428427931496
20011114,3.755927390754282
20011115,3.6322128384487864
20011116,3.627749164757924
20011117,3.627749164757924
20011118,3.627749164757924
20011119,3.700765046064458
20011120,3.896532894652091
20011121,3.9872041174190653
20011122,3.904752576239866
20011123,4.100368689940097
20011124,4.100368689940097
20011125,4.100368689940097
20011126,4.0580432200392496
20011127,4.12376163564244
20011128,4.131017661409817
20011129,3.936250687760091
20011130,2.4454116876024012
20011201,2.4454116876024012
20011202,2.4454116876024012
20011203,2.4716879254512976
20011204,2.442969689328804
20011205,2.5696021636689106
20011206,2.5692453047708597
20011207,2.560283771876769
20011208,2.560283771876769
20011209,2.560283771876769
20011210,2.6696291829194285
20011211,2.7223334366477587
20011212,2.737729395685553
20011213,2.801768610813192
20011214,2.8082889258266976
20011215,2.8082889258266976
20011216,2.8082889258266976
20011217,2.81105762610422
20011218,2.611400636712993
20011219,2.6728959747877847
20011220,2.676653506613085
20011221,2.7618113890473226
20011222,2.7618113890473226
20011223,2.7618113890473226
20011224,1.5275898778107204
20011225,1.5275898778107204
20011226,1.5275898778107204
20011227,1.4517465262175895
20011228,1.4490239859611158
20011229,1.4490239859611158
20011230,1.4490239859611158
20011231,4.447497635352798
20020101,4.447497635352798
20020102,4.2727811246364045
20020103,4.184413570977934
20020104,4.176793413759803
20020105,4.176793413759803
20020106,4.176793413759803
20020107,4.20216403578115
20020108,4.210977481322805
20020109,4.218621747194817
20020110,4.216242788790259
20020111,4.292289082742059
20020112,4.292289082742059
20020113,4.292289082742059
20020114,4.393281995269935
20020115,4.3776782860897585
20020116,4.099812816879634
20020117,4.2347834464516065
20020118,4.112654671895948
20020119,4.112654671895948
20020120,4.112654671895948
20020121,4.106462185663422
20020122,4.322339910096501
20020123,4.183324341947222
20020124,4.212808893717185
20020125,4.207940589597911
20020126,4.207940589597911
20020127,4.207940589597911
20020128,4.207940589597911
20020129,4.268799192976276
20020130,4.620633827789363
20020131,3.5640106863005365
20020201,3.521492882379364
20020202,3.521492882379364
20020203,3.521492882379364
20020204,3.4797746065683848
20020205,3.5269725944972117
20020206,3.5618371327082894
20020207,3.6991748594882066
20020208,3.6217029229731734
20020209,3.6217029229731734
20020210,3.6217029229731734
20020211,3.5463111725674707
20020212,3.633461817841327
20020213,3.6543313740750114
20020214,3.669520208588738
20020215,3.635158351566012
20020216,3.635158351566012
20020217,3.635158351566012
20020218,3.971227471508569
20020219,3.9300064467847027
20020220,3.9445338719008793
20020221,3.95315484018534
20020222,3.6561750230099186
20020223,3.6561750230099186
20020224,3.6561750230099186
20020225,3.6766191757776627
20020226,3.673046056928616
20020227,3.883419157582548
20020228,3.2350058596490334
20020301,3.153323463977028
20020302,3.153323463977028
20020303,3.153323463977028
20020304,3.308687951473562
20020305,3.2603650300682276
20020306,3.3256126886242265
20020307,3.362392695753747
20020308,3.47548246385532
20020309,3.47548246385532
20020310,3.47548246385532
20020311,3.502522094442318
20020312,3.6762369464172195
20020313,3.5763480648060653
20020314,3.9702327652197233
20020315,4.264203851519448
20020316,4.264203851519448
20020317,4.264203851519448
20020318,4.585303101641586
20020319,4.343937516770947
20020320,4.3887248795030995
20020321,4.269434014788918
20020322,4.239665111814768
20020323,4.239665111814768
20020324,4.239665111814768
20020325,4.249182614116498
20020326,4.300078315491883
20020327,4.324759064832285
20020328,3.606442705452956
20020329,3.606442705452956
20020330,3.606442705452956
20020331,3.606442705452956
20020401,3.606442705452956
20020402,3.768076210867194
20020403,3.9664368920857758
20020404,4.007707149070168
20020405,4.030400363665833
20020406,4.030400363665833
20020407,4.030400363665833
20020408,4.2976235100688305
20020409,4.199737436544002
20020410,4.635458879056186
20020411,4.408010588209042
20020412,4.517877433810992
20020413,4.517877433810992
20020414,4.517877433810992
20020415,4.239564608224548
20020416,4.346250529963605
20020417,3.213503489001893
20020418,3.3495402063475885
20020419,3.4807495224884017
20020420,3.4807495224884017
20020421,3.4807495224884017
20020422,3.498123227554937
20020423,3.5024496985588787
20020424,3.2811443993979257
20020425,3.2811443993979257
20020426,3.2689078551059496
20020427,3.2689078551059496
20020428,3.2689078551059496
20020429,3.2995642495247974
20020430,4.000138980130921
20020501,3.9820438658640587
20020502,3.986678272257369
20020503,3.996476526228086
20020504,3.996476526228086
20020505,3.996476526228086
20020506,3.9780517967342455
20020507,4.051570147247807
20020508,4.033096482239404
20020509,3.952187157775273
20020510,3.91660481865321
