Date,Ecobank Transnational Inc
20070928,0.00026622
20070929,0.00026622
20070930,0.00026622
20071001,0.00026622
20071002,0.00096073
20071003,0.00099839
20071004,0.0010082
20071005,0.00098991
20071006,0.00098991
20071007,0.00098991
20071008,0.0010543
20071009,0.0010664
20071010,0.001078
20071011,0.001078
20071012,0.001078
20071013,0.001078
20071014,0.001078
20071015,0.0011014
20071016,0.0011316
20071017,0.0011746
20071018,0.0011979
20071019,0.0012078
20071020,0.0012078
20071021,0.0012078
20071022,0.0012107
20071023,0.001
20071024,0.0010164
20071025,0.0010134
20071026,0.0010073
20071027,0.0010073
20071028,0.0010073
20071029,0.00085547
20071030,0.00094236
20071031,0.2087160807530826
20071101,0.2170531787240561
20071102,0.22451495581216943
20071103,0.22451495581216943
20071104,0.22451495581216943
20071105,0.24254127013545723
20071106,0.24655426821914983
20071107,0.24434310023434594
20071108,0.2326525256195641
20071109,0.23678281103115476
20071110,0.23678281103115476
20071111,0.23678281103115476
20071112,0.2414317432103885
20071113,0.24528135828423506
20071114,0.25244771294990925
20071115,0.2528653642098166
20071116,0.25314795895066694
20071117,0.25314795895066694
20071118,0.25314795895066694
20071119,0.2661925055455706
20071120,0.26854702686402737
20071121,0.26716829055632435
20071122,0.27071332561746925
20071123,0.27709352822681943
20071124,0.27709352822681943
20071125,0.27709352822681943
20071126,0.2869217557915178
20071127,0.28874771058247
20071128,0.24720278697804304
20071129,0.20342858545925277
20071130,0.441482428889602
20071201,0.441482428889602
20071202,0.441482428889602
20071203,0.3951760060628364
20071204,0.44695437408486893
20071205,0.4325048993276118
20071206,0.4489742060013366
20071207,0.4407564170141646
20071208,0.4407564170141646
20071209,0.4407564170141646
20071210,0.43161041068892153
20071211,0.1629527792172559
20071212,0.13545153624569314
20071213,0.13092711141877114
20071214,0.14163576311299148
20071215,0.14163576311299148
20071216,0.14163576311299148
20071217,0.14177350198313093
20071218,0.16756054009258406
20071219,0.16756054009258406
20071220,0.16756054009258406
20071221,0.1565362225382938
20071222,0.1565362225382938
20071223,0.1565362225382938
20071224,0.1424523575512538
20071225,0.1424523575512538
20071226,0.1424523575512538
