Date,Ecsponent Ltd
20070928,67.4505594789482
20070929,67.4505594789482
20070930,67.4505594789482
20071001,66.8352724795315
20071002,65.04149136905234
20071003,62.48775786799859
20071004,62.25317986226415
20071005,61.419717938856685
20071006,61.419717938856685
20071007,61.419717938856685
20071008,61.941895902269614
20071009,61.732316878396894
20071010,61.86771475422808
20071011,60.38306628300725
20071012,60.085764383740525
20071013,60.085764383740525
20071014,60.085764383740525
20071015,39.09391380846485
20071016,39.00121041111304
20071017,38.161144849735024
20071018,38.16696197226939
20071019,37.80435277707229
20071020,37.80435277707229
20071021,37.80435277707229
20071022,39.83140911729322
20071023,38.15880592161094
20071024,37.2427059016873
20071025,35.46939013079079
20071026,35.24591942892359
20071027,35.24591942892359
20071028,35.24591942892359
20071029,34.761696255161254
20071030,34.61171045363076
20071031,34.286405668967895
20071101,35.61079601103839
20071102,35.09862961551812
20071103,35.09862961551812
20071104,35.09862961551812
20071105,35.9417299672755
20071106,34.1134616211316
20071107,33.98494397264743
20071108,33.8809879526964
20071109,35.23608510483931
20071110,35.23608510483931
20071111,35.23608510483931
20071112,35.841330641123434
20071113,34.32131130584487
20071114,32.157266658825336
20071115,33.160383134154145
20071116,32.85520499117907
20071117,32.85520499117907
20071118,32.85520499117907
20071119,31.939607433810092
20071120,32.12257455068899
20071121,33.82468944201912
20071122,34.346807011147
20071123,34.714960081036544
20071124,34.714960081036544
20071125,34.714960081036544
20071126,33.73793117429285
20071127,34.846167701449325
20071128,31.64110107574853
20071129,31.170841641585703
20071130,29.262605739813225
20071201,29.262605739813225
20071202,29.262605739813225
20071203,29.834104632859393
20071204,29.458277321738308
20071205,29.48621310641271
20071206,29.162477468446504
20071207,29.197643412514658
20071208,29.197643412514658
20071209,29.197643412514658
20071210,28.753329570901442
20071211,28.758394213666744
20071212,29.11935073599085
20071213,29.19548666434564
20071214,30.766253335354982
20071215,30.766253335354982
20071216,30.766253335354982
20071217,30.766253335354982
20071218,30.770607288327795
20071219,30.661369252851546
20071220,31.19882731629998
20071221,30.74084643977644
20071222,30.74084643977644
20071223,30.74084643977644
20071224,30.406459636660184
20071225,30.406459636660184
20071226,30.406459636660184
20071227,29.423897699946494
20071228,29.609633500683618
20071229,29.609633500683618
20071230,29.609633500683618
20071231,32.177745275722934
20080101,32.177745275722934
20080102,31.74254514185207
20080103,32.115400286175216
20080104,31.14569096939531
20080105,31.14569096939531
20080106,31.14569096939531
20080107,30.270220655827792
20080108,29.874293985707855
20080109,30.47560200107771
20080110,31.836725827639192
20080111,30.648981940330913
20080112,30.648981940330913
20080113,30.648981940330913
20080114,31.07549956491525
20080115,30.615766386933075
20080116,33.38401341558368
20080117,34.039537116351035
20080118,34.597323167870364
20080119,34.597323167870364
20080120,34.597323167870364
20080121,36.94979027285905
20080122,36.209274766269296
20080123,36.56654427647288
20080124,35.589573259935364
20080125,36.463027788148956
20080126,36.463027788148956
20080127,36.463027788148956
20080128,37.0630652506827
20080129,34.86803109440656
20080130,36.120676450619584
20080131,42.51254979817861
20080201,41.254781007937154
20080202,41.254781007937154
20080203,41.254781007937154
20080204,40.66983069212649
20080205,42.84369524625008
20080206,37.44100557513974
20080207,37.526904831624485
20080208,37.74787002316232
20080209,37.74787002316232
20080210,37.74787002316232
20080211,37.063810957642495
20080212,36.53911791839621
20080213,36.04768465681077
20080214,36.57832152711978
20080215,37.4064608192132
20080216,37.4064608192132
20080217,37.4064608192132
20080218,35.701869603748555
20080219,35.91631149684424
20080220,37.75360356076494
20080221,36.00832480878401
20080222,36.529781555757005
20080223,36.529781555757005
20080224,36.529781555757005
20080225,35.35529635799825
20080226,35.563640617114956
20080227,35.1061928489483
20080228,35.784785653286434
20080229,33.054312672143276
20080301,33.054312672143276
20080302,33.054312672143276
20080303,33.05462462364133
20080304,34.62779032773917
20080305,33.1623329850962
20080306,34.392760897408
20080307,35.29333838427136
20080308,35.29333838427136
20080309,35.29333838427136
20080310,35.90062870510379
20080311,34.58845029063611
20080312,34.14846768435981
20080313,34.196349845883574
20080314,34.16747715880631
20080315,34.16747715880631
20080316,34.16747715880631
20080317,35.945185642648134
20080318,34.886568286128266
20080319,35.12565806031857
20080320,36.864542289193814
20080321,36.864542289193814
20080322,36.864542289193814
20080323,36.864542289193814
20080324,36.864542289193814
20080325,40.04886163935216
20080326,39.066922351305216
20080327,38.06740037645969
20080328,39.126936982773735
20080329,39.126936982773735
20080330,39.126936982773735
20080331,44.552820166962086
20080401,42.856552882088636
20080402,39.3758642060285
20080403,39.298575212769485
20080404,39.76523709818788
20080405,39.76523709818788
20080406,39.76523709818788
20080407,39.495700983130696
20080408,39.00487279711865
20080409,39.715143317151735
20080410,39.93541647307862
20080411,39.066136877823794
20080412,39.066136877823794
20080413,39.066136877823794
20080414,39.52183238805983
20080415,45.02213419831495
20080416,45.08634841178418
20080417,44.5605063529979
20080418,43.92780696929044
20080419,43.92780696929044
20080420,43.92780696929044
20080421,44.23610689500461
20080422,43.678697734736566
20080423,43.93945195038153
20080424,44.30168216584335
20080425,43.51278698269869
20080426,43.51278698269869
20080427,43.51278698269869
20080428,43.51278698269869
20080429,43.32029677912943
20080430,47.681909334334776
20080501,47.681909334334776
20080502,47.681909334334776
20080503,47.681909334334776
20080504,47.681909334334776
20080505,47.39282823925809
20080506,46.421102051199945
20080507,46.51441220683318
20080508,47.48025947558648
20080509,47.955290910530245
20080510,47.955290910530245
20080511,47.955290910530245
20080512,46.96667108587815
20080513,47.403363036072996
20080514,47.59387732844876
20080515,46.78660334262257
20080516,49.35003276651839
