Date,DongfengSci-Tech Group Co Ltd
20010819,1203.2704424041738
20010820,1137.899674217614
20010821,1144.1642892407297
20010822,1159.7947792001094
20010823,1120.392021942061
20010824,1103.9660296383202
20010825,1103.9660296383202
20010826,1103.9660296383202
20010827,1130.583769218134
20010828,1121.2930958781626
20010829,1122.793207714746
20010830,1136.57263737897
20010831,1198.7579936228146
20010901,1196.2491066865202
20010902,1196.2491066865202
20010903,1182.6439141236963
20010904,1128.0300569933383
20010905,1146.403266942508
20010906,1151.0055554598173
20010907,1183.6379247606271
20010908,1183.6379247606271
20010909,1183.6379247606271
20010910,1146.799650696089
20010911,1142.9402518281597
20010912,1206.2888740110595
20010913,1218.6604772694548
20010914,1287.613012624835
20010915,1287.613012624835
20010916,1287.613012624835
20010917,1404.0829420531722
20010918,1398.4057119267636
20010919,1366.401572043523
20010920,1392.6761740841237
20010921,1469.2963064298883
20010922,1469.2963064298883
20010923,1469.2963064298883
20010924,1473.9618859563589
20010925,1465.7173587288064
20010926,1451.6158323569848
20010927,1413.115845467379
20010928,1383.2556846598104
20010929,1383.2556846598104
20010930,1383.2556846598104
20011001,1380.1892847642216
20011002,1380.1892847642216
20011003,1380.1892847642216
20011004,1380.1892847642216
20011005,1380.1892847642216
20011006,1380.1892847642216
20011007,1380.1892847642216
20011008,1411.688753013601
20011009,1372.3896254469448
20011010,1366.725092943336
20011011,1332.9448594096746
20011012,1267.7913225437978
20011013,1267.7913225437978
20011014,1267.7913225437978
20011015,1253.6005288482907
20011016,1270.2190752437941
20011017,1271.704576655879
20011018,1319.9117802858977
20011019,1339.4043443704886
20011020,1339.4043443704886
20011021,1339.4043443704886
20011022,1329.5859031743205
20011023,1248.3998681106245
20011024,1251.6570185317657
20011025,1282.4483287076741
20011026,1274.6689995458978
20011027,1274.6689995458978
20011028,1274.6689995458978
20011029,1269.5277063876015
20011030,1294.0657872007932
20011031,1244.0637817801858
20011101,1227.2194908018328
20011102,1225.9425260648234
20011103,1225.9425260648234
20011104,1225.9425260648234
20011105,1207.3073525586035
20011106,1203.4673359258052
20011107,1235.6992026889409
20011108,1218.7732764258872
20011109,1240.4998665207845
20011110,1240.4998665207845
20011111,1240.4998665207845
20011112,1221.0340701672328
20011113,1228.888683992452
20011114,1222.1288057078646
20011115,1220.7812082576284
20011116,1201.9625614022875
20011117,1201.9625614022875
20011118,1201.9625614022875
20011119,1182.9666008947192
20011120,1165.3376046707094
20011121,1168.5436097330673
20011122,1163.829685493571
20011123,1157.8620321335293
20011124,1157.8620321335293
20011125,1157.8620321335293
20011126,1167.2382194985662
20011127,1162.7627428607277
20011128,1146.4395578799567
20011129,1148.2044995315282
20011130,1101.7754558522822
20011201,1098.9360781025362
20011202,1098.9360781025362
20011203,1060.4488171181897
20011204,1060.9552350107365
20011205,1090.1656673535804
20011206,1089.8877578260633
20011207,1082.466701545942
20011208,1082.466701545942
20011209,1082.466701545942
20011210,1072.470852898654
20011211,1091.1521568870874
20011212,1095.5454679554841
20011213,1116.1315159483522
20011214,1107.808195810038
20011215,1107.808195810038
20011216,1107.808195810038
20011217,1107.4585761722187
20011218,1097.5834572516846
20011219,1099.1656242938338
20011220,1114.7813817048504
20011221,1111.9414523985345
20011222,1111.9414523985345
20011223,1111.9414523985345
