Date,Beijing Zodi Investment Co Ltd
19970505,198.5497631974552
19970506,199.14902296507594
19970507,187.7014363800214
19970508,182.77078828230594
19970509,180.9702087898426
19970510,180.9702087898426
19970511,180.9702087898426
19970512,174.79399630671685
19970513,180.22800237173115
19970514,187.34565343742713
19970515,180.449236684017
19970516,188.46757850387561
19970517,188.46757850387561
19970518,188.46757850387561
19970519,187.83396013123954
19970520,188.1082826238011
19970521,197.71236881476105
19970522,203.69480007629434
19970523,212.51661604263123
19970524,212.51661604263123
19970525,212.51661604263123
19970526,219.8137380134432
19970527,213.24695355197818
19970528,212.0850170796774
19970529,212.56894950194334
19970530,224.17893519562568
19970531,224.17893519562568
19970601,224.16761546340578
19970602,210.51572072736033
19970603,195.06533043735365
19970604,192.41446648121905
19970605,183.01442369509442
19970606,179.8150926903667
19970607,179.8150926903667
19970608,179.8150926903667
19970609,176.05241930019545
19970610,178.8008240454566
19970611,187.49238371271733
19970612,187.49238371271733
19970613,176.5859689611824
19970614,176.5859689611824
19970615,176.5859689611824
19970616,168.8721032053079
19970617,170.9904903785725
19970618,162.08721305886854
19970619,163.54488026159865
19970620,156.13402693905064
19970621,156.13402693905064
19970622,156.13402693905064
19970623,155.27115182333935
19970624,156.3673914776171
19970625,158.7005288903396
19970626,153.87336389024566
19970627,147.39269674229257
19970628,147.39269674229257
19970629,147.39269674229257
19970630,147.39269674229257
19970701,147.38465208643518
19970702,152.32930786568562
19970703,149.85894912347902
19970704,152.12159042293206
19970705,152.12159042293206
19970706,152.12159042293206
19970707,158.501012714952
19970708,151.58557297318805
19970709,149.29094515372967
19970710,147.96443252566752
19970711,141.46524407377788
19970712,141.46524407377788
19970713,141.46524407377788
19970714,139.2961321435817
19970715,137.03319556878893
19970716,133.98406502967524
19970717,136.65061319122265
19970718,136.2791671520271
19970719,136.2791671520271
19970720,136.2791671520271
19970721,138.0665681156928
19970722,134.5231487636168
19970723,137.15869530093386
19970724,136.8619985614106
19970725,140.34559652033846
19970726,140.34559652033846
19970727,140.34559652033846
19970728,138.23905887068608
19970729,138.02909620477868
19970730,138.77220265556863
19970731,133.95118760949686
