Date,Alliance Finance Co PLC
20080930,161.22185350440742
20081001,161.22185350440742
20081002,138.6008264031773
20081003,160.68128732993281
20081004,160.68128732993281
20081005,160.68128732993281
20081006,160.76270884667701
20081007,163.03164162834813
20081008,166.16111164396233
20081009,230.47666317125126
20081010,250.0441301008305
20081011,250.0441301008305
20081012,250.0441301008305
20081013,247.94995678547033
20081014,247.94995678547033
20081015,245.56867713377545
20081016,249.7834527982181
20081017,249.54167264289492
20081018,249.54167264289492
20081019,249.54167264289492
20081020,260.6257074468696
20081021,266.2035841732552
20081022,276.9460105862453
20081023,301.64857986142647
20081024,295.0922843176711
20081025,295.0922843176711
20081026,295.0922843176711
20081027,295.0922843176711
20081028,318.4552732489759
20081029,324.7473212263194
20081030,352.78029319788726
20081031,239.28427931647246
20081101,239.28427931647246
20081102,239.28427931647246
20081103,234.86065753287753
20081104,220.4172555706974
20081105,220.47327417498337
20081106,220.15389846167622
20081107,220.44531255638668
20081108,220.44531255638668
20081109,220.44531255638668
20081110,221.75518713565995
20081111,221.98973018416268
20081112,221.98973018416268
20081113,222.80380113755083
20081114,245.40475374206008
20081115,245.40475374206008
20081116,245.40475374206008
20081117,314.26746044857333
20081118,314.1522610590127
20081119,314.559824178855
20081120,301.88022927785755
20081121,311.372970891984
20081122,311.372970891984
20081123,311.372970891984
20081124,315.7458777216658
20081125,330.1570348500679
20081126,355.8821916636384
20081127,333.5995868473637
20081128,326.18171525048564
20081129,326.18171525048564
20081130,326.18171525048564
20081201,328.0728434755836
20081202,328.0896473932532
20081203,327.06865851834465
20081204,327.9491003760046
20081205,335.68951011328966
20081206,335.68951011328966
20081207,335.68951011328966
20081208,337.7763865528526
20081209,337.7763865528526
20081210,338.24513695885815
20081211,340.0060234630803
20081212,340.0060234630803
20081213,340.0060234630803
20081214,340.0060234630803
20081215,340.38842317407136
20081216,357.95613342504964
20081217,391.18251083603747
20081218,389.73236020772765
20081219,395.0744477018886
20081220,395.0744477018886
20081221,395.0744477018886
20081222,394.4740732948641
20081223,412.0981626840593
20081224,409.8360491806391
20081225,409.8360491806391
20081226,409.8360491806391
20081227,409.8360491806391
20081228,409.8360491806391
20081229,430.68635988212526
20081230,448.52925508508804
20081231,381.2441175326069
20090101,381.2441175326069
20090102,365.36643196419186
20090103,365.36643196419186
20090104,365.36643196419186
20090105,404.25031769499344
20090106,371.72812514230407
20090107,402.83695281888
20090108,402.3906162045678
20090109,402.16294956117474
20090110,402.16294956117474
20090111,402.16294956117474
20090112,412.8610810677114
20090113,409.03640792047855
20090114,409.03640792047855
20090115,385.0883972997832
20090116,375.9568171291432
20090117,375.9568171291432
20090118,375.9568171291432
20090119,350.1098037832096
20090120,348.02350320340713
20090121,349.1000288624877
20090122,349.2193431720117
20090123,348.0124598621724
20090124,348.0124598621724
20090125,348.0124598621724
20090126,348.5037618027865
20090127,353.59173352021827
20090128,349.6685918531562
20090129,338.37676588429053
20090130,356.1021091368302
20090131,356.1021091368302
20090201,356.1021091368302
20090202,359.7826820021286
20090203,356.2898407532003
20090204,356.2898407532003
20090205,354.2086337089177
20090206,353.7599821987025
20090207,353.7599821987025
20090208,353.7599821987025
20090209,353.7599821987025
20090210,362.0157474724432
20090211,366.5862332956038
20090212,365.17451336090147
20090213,359.6739187817321
20090214,359.6739187817321
20090215,359.6739187817321
20090216,325.75665974991756
20090217,331.2559229937971
20090218,339.5451988366076
20090219,339.8314349663399
20090220,340.4648279469414
20090221,340.4648279469414
20090222,340.4648279469414
20090223,340.4648279469414
20090224,337.68269362069265
20090225,340.88441108001314
20090226,349.0962495643788
20090227,334.0139348395766
20090228,334.0139348395766
20090301,334.0139348395766
20090302,341.5027509395311
20090303,364.95491236044825
20090305,380.87601600994856
20090306,367.1223026401523
20090307,367.1223026401523
20090308,367.1223026401523
20090309,372.33396776195696
20090310,372.33396776195696
20090311,368.3277110948447
20090312,373.149272672849
20090313,372.4237997288047
20090314,372.4237997288047
20090315,372.4237997288047
20090316,380.3246884347032
20090317,383.93411882591045
20090318,386.88420032047
20090319,387.2263723929123
20090320,388.9503923005812
20090321,388.9503923005812
20090322,388.9503923005812
20090323,393.2293736629399
20090324,390.8266077753203
20090325,387.0570842803171
20090326,386.8982837223012
20090327,387.57705447735736
20090328,387.57705447735736
20090329,387.57705447735736
20090330,389.66795428239664
20090331,396.89504079456026
20090401,398.30474758508984
20090402,403.84844746682677
20090403,402.0522249818
20090404,402.0522249818
20090405,402.0522249818
20090406,394.0316252062781
20090407,387.72689542129484
20090408,387.7454716522221
20090409,387.7454716522221
20090410,387.7454716522221
20090411,387.7454716522221
20090412,387.7454716522221
20090413,387.7454716522221
20090414,387.7454716522221
20090415,388.2180635022754
20090416,383.5199845426521
20090417,382.96797809899715
20090418,382.96797809899715
20090419,382.96797809899715
20090420,393.4280608793557
20090421,380.33995855676767
20090422,377.08668730575727
20090423,372.2229461482652
20090424,362.8613601017584
20090425,362.8613601017584
20090426,362.8613601017584
20090427,390.8189611379976
20090428,390.8589773480594
20090429,390.06402206958086
20090430,382.0107860541575
20090501,382.0107860541575
20090502,382.0107860541575
20090503,382.0107860541575
20090504,377.35741448391354
20090505,377.2410184812507
20090506,370.9508392107406
20090507,368.7458301966746
20090508,368.7458301966746
20090509,368.7458301966746
20090510,368.7458301966746
20090511,366.5018805544558
20090512,368.9394156329044
20090513,369.2799329027164
20090514,365.38447497055546
