Date,Aureum Realwert AG
20000531,19.145822695601606
20000601,18.80648530307967
20000602,19.428367395199924
20000603,19.428367395199924
20000604,19.428367395199924
20000605,20.248710243087093
20000606,19.1755452900307
20000607,22.745787659223524
20000608,21.922462261785856
20000609,21.54174609529717
20000610,21.54174609529717
20000611,21.54174609529717
20000612,22.108804333405597
20000613,21.51006328339631
20000614,22.139067594717083
20000615,23.369012140687346
20000616,24.449939930267544
20000617,24.449939930267544
20000618,24.449939930267544
20000619,23.85625509138877
20000620,23.53742048193275
20000621,25.60689684094422
20000622,25.338832320163352
20000623,24.881425010705907
20000624,24.881425010705907
20000625,24.881425010705907
20000626,24.13019082602109
20000627,25.96455569361565
20000628,27.653184976041047
20000629,27.59772715474117
20000630,24.161979067461925
20000701,24.161979067461925
20000702,24.161979067461925
20000703,23.804977050680765
20000704,26.006917915034364
20000705,26.674513733787887
20000706,25.55924700760029
20000707,25.781174831991024
20000708,25.781174831991024
20000709,25.781174831991024
20000710,22.5194404733763
20000711,22.415962156395942
20000712,23.204580735469598
20000713,24.750519464721982
20000714,25.571133882730802
20000715,25.571133882730802
20000716,25.571133882730802
20000717,25.409243574730425
20000718,25.841617957424496
20000719,24.281549574863092
20000720,24.20444603837504
20000721,24.255211173297326
20000722,24.255211173297326
20000723,24.255211173297326
20000724,23.994261569758045
20000725,23.556504995141452
20000726,24.475122312386063
20000727,25.361423351460285
20000728,24.799460877663474
20000729,24.799460877663474
20000730,24.799460877663474
20000731,20.70366684801771
20000801,20.511242431118347
20000802,22.212623361922468
20000803,21.900402561473
20000804,22.127677549741154
20000805,22.127677549741154
20000806,22.127677549741154
20000807,22.815723597001195
20000808,23.351583823123818
20000809,22.159564604437055
20000810,21.439875987172137
20000811,20.282324744094993
20000812,20.282324744094993
20000813,20.282324744094993
20000814,21.93133831385838
20000815,22.96293461731767
20000816,24.739916474732286
20000817,26.532880839581306
20000818,25.29727782824698
20000819,25.29727782824698
20000820,25.29727782824698
20000821,24.61087184242595
20000822,15.71633931253406
20000823,21.67876322407993
20000824,22.464702329244496
20000825,22.868117087426455
20000826,22.868117087426455
20000827,22.868117087426455
20000828,23.072319497524564
20000829,22.96194731832027
20000830,25.574497042132787
20000831,25.43463561901096
20000901,26.43674616608929
20000902,26.43674616608929
20000903,26.43674616608929
20000904,25.123646006899516
20000905,24.862521782712324
20000906,24.628369382158375
20000907,24.536107910757853
20000908,25.929755806819717
20000909,25.929755806819717
20000910,25.929755806819717
20000911,26.908930041249086
20000912,26.215761968796077
20000913,28.0436102789795
20000914,24.789552765201687
20000915,26.045424313931857
20000916,26.045424313931857
20000917,26.045424313931857
20000918,24.71265026101612
20000919,27.599720683228433
20000920,27.02446073813381
20000921,27.61457967188063
20000922,27.556736048454137
20000923,27.556736048454137
20000924,27.556736048454137
20000925,27.164599193101324
20000926,29.237928872277944
20000927,37.74062673431746
20000928,42.80307449547229
20000929,39.820525453298586
20000930,39.820525453298586
20001001,39.820525453298586
20001002,37.26309219512728
20001003,37.26309219512728
20001004,37.21834186006982
20001005,36.66159518663806
20001006,38.35728900274733
20001007,38.35728900274733
20001008,38.35728900274733
20001009,33.393821847232495
20001010,26.643436038299352
20001011,25.65121145283464
20001012,27.74486683101987
20001013,31.239141613891206
20001014,31.239141613891206
20001015,31.239141613891206
20001016,33.22974083179538
20001017,31.82208085510199
20001018,35.364816551052776
20001019,38.18611126361302
20001020,37.618577390073156
20001021,37.618577390073156
20001022,37.618577390073156
20001023,34.26771381792523
20001024,35.322433906241756
20001025,36.62985965891599
20001026,38.28273791982231
20001027,37.75711768101008
20001028,37.75711768101008
20001029,37.75711768101008
20001030,38.107915032657104
20001031,36.29913974008617
20001101,35.728139786951246
20001102,36.72489973071621
20001103,35.544412676518114
20001104,35.544412676518114
20001105,35.544412676518114
20001106,36.389646767157096
20001107,36.99366448947437
20001108,37.21771204563215
20001109,38.73716088589114
20001110,45.56849451524776
20001111,45.56849451524776
20001112,45.56849451524776
20001113,54.86201565389106
20001114,53.032513106180474
20001115,69.39906245568892
20001116,68.1011915342514
20001117,67.78980298410067
20001118,67.78980298410067
20001119,67.78980298410067
20001120,67.3534141350372
20001121,70.35291156548185
20001122,89.74081657285454
20001123,75.69438032679389
20001124,83.97843653732455
20001125,83.97843653732455
20001126,83.97843653732455
20001127,54.17843147938439
20001128,36.00698913143529
20001129,28.04401852889866
20001130,46.88743415707117
20001201,43.56417211640743
20001202,43.56417211640743
20001203,43.56417211640743
20001204,56.30587446763453
20001205,58.85646738569103
20001206,83.22808283953852
20001207,77.5579064665746
20001208,73.32098782972129
20001209,73.32098782972129
20001210,73.32098782972129
20001211,68.50573751248994
20001212,74.34715228989836
20001213,85.14991095963039
20001214,89.4775474863783
20001215,75.57144423701655
20001216,75.57144423701655
20001217,75.57144423701655
20001218,85.6411781132162
20001219,79.71627833909966
20001220,109.99260829087282
20001221,108.18772215010698
20001222,97.33203442466503
20001223,97.33203442466503
20001224,97.33203442466503
20001225,97.33203442466503
20001226,97.33203442466503
20001227,93.10367679205754
20001228,110.65181508091716
20001229,109.77279006787425
20001230,109.77279006787425
20001231,109.77279006787425
20010101,109.77279006787425
20010102,114.38325556208834
20010103,122.49981056700759
20010104,109.47547117627826
20010105,129.40561829274841
20010106,129.40561829274841
20010107,129.40561829274841
20010108,125.73306008538813
20010109,126.48586162336744
20010110,128.93943909593887
20010111,146.67289812242743
20010112,141.06859733569559
20010113,141.06859733569559
20010114,141.06859733569559
20010115,116.34458399446349
20010116,108.45794967030037
20010117,95.5421522159625
