Date,Al Mal Investment Co KSC
20040326,3.077098383447887
20040329,3.509694491953402
20040330,3.8763299132816216
20040331,9.857766379891592
20040401,9.857766379891592
20040402,9.857766379891592
20040405,9.87765293946431
20040406,10.044953176399687
20040407,9.811795856700396
20040408,9.811795856700396
20040409,9.811795856700396
20040412,7.6800617612167805
20040413,8.401308007902223
20040414,7.8061740552474665
20040415,7.8061740552474665
20040416,7.8061740552474665
20040419,9.357286255622416
20040420,8.987317419758917
20040421,9.344268284727326
20040422,9.344268284727326
20040423,9.344268284727326
20040426,10.389051277498723
20040427,10.554976166387293
20040428,11.20267148202677
20040429,11.20267148202677
20040430,11.20267148202677
20040501,11.20267148202677
20040503,9.107227477409
20040504,9.50638018590319
20040505,9.420662323012206
20040506,9.420662323012206
20040507,9.420662323012206
20040510,8.68294973891973
20040511,9.12115854102765
20040512,8.905620870890788
20040513,8.905620870890788
20040514,8.905620870890788
20040517,9.594763936186078
20040518,9.300285577598839
20040519,9.397058073724102
20040520,9.397058073724102
20040521,9.397058073724102
20040524,10.108974559462332
20040525,10.001362800236127
20040526,9.795577469731171
20040527,9.795577469731171
20040528,9.795577469731171
20040531,8.551880828695522
20040601,8.512431828336497
20040602,8.686183707769986
20040603,8.686183707769986
20040604,8.686183707769986
20040607,9.106194467208885
20040608,9.105578781873684
20040609,9.000949542990822
20040610,9.000949542990822
20040611,9.000949542990822
20040614,8.91264011262683
20040615,8.78790685105944
20040616,9.005169593438486
20040617,9.005169593438486
20040618,9.005169593438486
20040621,8.484835595079897
20040622,8.675471887728209
20040623,8.502547635151045
20040624,8.502547635151045
20040625,8.502547635151045
20040628,7.591794408617592
20040629,7.302461785449867
20040630,6.606351860692643
20040701,6.606351860692643
20040702,6.606351860692643
20040705,6.533237540128703
20040706,6.523369104443439
20040707,6.498415147124357
20040708,6.498415147124357
20040709,6.498415147124357
20040712,6.275619962339843
20040713,6.2234377148167574
20040714,6.383377917456852
20040715,6.383377917456852
20040716,6.383377917456852
20040719,5.761813761229585
20040720,5.829898963857775
20040721,5.397523113714826
20040722,5.397523113714826
20040723,5.397523113714826
20040726,5.200840994804796
20040727,5.134764330459001
20040728,5.273764704508301
20040729,5.273764704508301
20040730,5.273764704508301
20040802,5.3006716175079145
20040803,5.061893682940277
20040804,5.276348378199549
20040805,5.276348378199549
20040806,5.276348378199549
20040809,5.359183610451063
20040810,5.682331481876047
20040811,5.5607839845601905
20040812,5.5607839845601905
20040813,5.5607839845601905
20040816,5.04520453930755
20040817,4.904476795892257
20040818,4.887288100614733
20040819,4.887288100614733
20040820,4.887288100614733
20040823,5.1899340817610895
20040824,5.1770563447358775
20040825,5.360491785244494
20040826,5.360491785244494
20040827,5.360491785244494
20040830,4.878381236372024
20040831,4.826320705029511
20040901,4.928151047878018
20040902,4.928151047878018
20040903,4.928151047878018
20040906,5.224243102054493
20040907,5.208620148781851
20040908,5.101535561568883
20040909,5.101535561568883
20040910,5.101535561568883
20040913,5.256918570617974
20040914,5.2219289080528215
20040915,5.232937159694322
20040916,5.232937159694322
20040917,5.232937159694322
20040918,5.232937159694322
20040920,5.027003164012689
20040921,5.160783946552018
20040922,5.0725594364977535
20040923,5.0725594364977535
20040924,5.0725594364977535
20040927,5.053678989201918
20040928,5.034685589067994
20040929,4.791975328011421
20040930,4.791975328011421
20041001,4.791975328011421
20041004,3.0230503617199576
20041005,2.8639215360047277
20041006,2.8733306582277667
20041007,2.8733306582277667
20041008,2.8733306582277667
20041011,2.4596841668242773
20041012,2.4586016104855544
20041013,2.5857971658067136
20041014,2.5857971658067136
20041015,2.5857971658067136
20041018,2.536976014867678
20041019,2.566659832538914
20041020,2.5744838899124827
20041021,2.5744838899124827
20041022,2.5744838899124827
20041025,2.465672438544275
20041026,2.5168246965370806
20041027,2.5992532298245528
20041028,2.5992532298245528
20041029,2.5992532298245528
20041101,2.641358899997958
20041102,2.6418164880992347
20041103,2.7424645914692825
20041104,2.7424645914692825
20041105,2.7424645914692825
20041108,2.768018759767632
20041109,2.6955984395547077
20041110,2.572725042402355
20041111,2.572725042402355
20041112,2.572725042402355
20041113,2.572725042402355
20041114,2.572725042402355
20041115,2.572725042402355
20041116,2.412679869485957
20041117,2.4532962093022848
20041118,2.4532962093022848
20041119,2.4532962093022848
20041122,2.4864326499071745
20041123,2.445529069206663
20041124,2.4967922254811867
20041125,2.4967922254811867
20041126,2.4967922254811867
20041129,2.457780032538501
20041130,2.5946017822404635
20041201,2.6215138023034292
20041202,2.6215138023034292
20041203,2.6215138023034292
20041206,2.25714843401614
20041207,2.2401291648715143
20041208,2.202199960646308
20041209,2.202199960646308
20041210,2.202199960646308
20041213,2.46361750949455
20041214,2.4332286032569743
20041215,2.4107921008006263
20041216,2.4107921008006263
20041217,2.4107921008006263
20041220,2.546748727715556
20041221,2.5494040813442544
20041222,2.434005056835048
20041223,2.434005056835048
20041224,2.434005056835048
20041227,2.552498150368266
20041228,2.561698041787406
20041229,1.8144667975808062
20041230,1.8144667975808062
20041231,1.8144667975808062
20050101,1.8144667975808062
20050103,1.9919159970908575
20050104,1.9077879053500932
20050105,1.9063697223584297
20050106,1.9063697223584297
20050107,1.9063697223584297
20050110,1.8252027979169874
20050111,2.0380505555832142
20050112,1.9577557240676255
20050113,1.9577557240676255
20050114,1.9577557240676255
20050117,1.8389564977102715
20050118,1.8228719278449268
20050119,1.8228719278449268
20050120,1.8228719278449268
20050121,1.8228719278449268
20050122,1.8228719278449268
20050123,1.8228719278449268
20050124,1.7498068578803483
20050125,1.7668058372231872
20050126,1.7057296542570493
20050127,1.7057296542570493
20050128,1.7057296542570493
20050131,1.5023600692388392
20050201,1.4536420602638676
20050202,1.5321219230483123
20050203,1.5321219230483123
20050204,1.5321219230483123
20050207,1.5866359965722128
20050208,1.5493808001403562
20050209,1.5646311822772316
20050210,1.5646311822772316
20050211,1.5646311822772316
20050212,1.5646311822772316
20050214,1.6759249974384585
20050215,1.6224999703045533
20050216,1.6523052677046277
20050217,1.6524917680804418
20050218,1.6524917680804418
20050221,1.8460415836569133
20050222,1.8588164187259264
20050223,1.8859896875000663
20050224,1.8859896875000663
20050225,1.8859896875000663
20050226,1.8859896875000663
20050227,1.8859896875000663
20050228,1.658708326445661
20050301,1.6163240954670115
20050302,1.6519988941853512
20050303,1.6519988941853512
20050304,1.6519988941853512
20050307,1.6931179766394135
20050308,1.6509777508810748
20050309,1.684460169268896
20050310,1.684460169268896
20050311,1.684460169268896
20050314,1.566881400664086
20050315,1.722131638644471
20050316,1.6215739964800424
20050317,1.6215739964800424
20050318,1.6215739964800424
20050321,1.424934698414573
20050322,1.4913757721783067
20050323,1.486747786590021
20050324,1.486747786590021
20050325,1.486747786590021
20050328,1.1321264101679986
20050329,1.0832383153056588
20050330,0.8076461962548453
20050331,0.8076461962548453
20050401,0.8076461962548453
20050404,1.6557841681996217
20050405,1.5239229341020424
20050406,1.5008029253689759
20050407,1.5008029253689759
20050408,1.5008029253689759
20050411,1.5620584997549285
20050412,1.4252345118105536
20050413,1.3127891373652052
20050414,1.3127891373652052
20050415,1.3127891373652052
20050418,1.1405370018517729
20050419,1.090480564138064
20050420,1.2021196729111308
20050421,1.2021196729111308
20050422,1.2021196729111308
20050423,1.2021196729111308
20050425,1.1152592352004977
20050426,1.143210130091182
20050427,1.1417706297073753
20050428,1.1417706297073753
20050429,1.1417706297073753
20050502,1.0449818626047602
20050503,0.960376418802632
20050504,1.0368967710360795
20050505,1.0368967710360795
20050506,1.0368967710360795
20050509,1.1716792298686947
20050510,1.2559419593859247
20050511,1.1432360998237574
20050512,1.1432360998237574
20050513,1.1432360998237574
20050516,1.0565379572061735
20050517,1.0107611242925654
20050518,0.9535388006981604
