Date,Australia & New Zealand Banking Group Ltd
20040326,7.026462680644716
20040327,7.026462680644716
20040328,7.026462680644716
20040329,7.497795525384623
20040330,7.491958882313947
20040331,6.780378840149225
20040401,6.508464892029239
20040402,6.530177503831229
20040403,6.530177503831229
20040404,6.530177503831229
20040405,6.679537857624364
20040406,6.532835749224471
20040407,6.6007526377410315
20040408,6.721489061582314
20040409,6.721489061582314
20040410,6.721489061582314
20040411,6.721489061582314
20040412,6.721489061582314
20040413,7.016721253817976
20040414,7.3757095446703795
20040415,7.670607644736137
20040416,7.571487436113887
20040417,7.571487436113887
20040418,7.571487436113887
20040419,7.181388690348861
20040420,7.051277715561198
20040421,7.6073933868648105
20040422,7.468935112751162
20040423,7.472733552079586
20040424,7.472733552079586
20040425,7.472733552079586
20040426,7.436067216685313
20040427,7.562854196182278
20040428,7.883135199937177
20040429,8.099872750386771
20040430,7.924299899461492
20040501,7.924299899461492
20040502,7.924299899461492
20040503,7.946247666043106
20040504,8.114947068582183
20040505,8.234691743518395
20040506,8.311652151296366
20040507,8.599211724090525
20040508,8.599211724090525
20040509,8.599211724090525
20040510,9.23007150291809
20040511,9.223201140740352
20040512,8.83508875403672
20040513,9.1668891986513
20040514,10.232994373803193
20040515,10.232994373803193
20040516,10.232994373803193
20040517,10.208018216904307
20040518,10.006797021094833
20040519,9.645494748706021
20040520,10.090029422099143
20040521,9.766865745077283
20040522,9.766865745077283
20040523,9.766865745077283
20040524,9.694293938308773
20040525,9.559734888552837
20040526,9.48770168308765
20040527,9.033691826589935
20040528,8.681555368813944
20040529,8.681555368813944
20040530,8.681555368813944
20040531,9.186102842534503
20040601,9.1379879047211
20040602,8.728540325694198
20040603,8.807393052121897
20040604,8.825848104827918
20040605,8.825848104827918
20040606,8.825848104827918
20040607,8.633561985759465
20040608,8.696966296303989
20040609,8.888111678623389
20040610,8.90683169758751
20040611,8.976363334376867
20040612,8.976363334376867
20040613,8.976363334376867
20040614,8.976363334376867
20040615,9.160893788934393
20040616,9.12266498663069
20040617,8.917477251918958
20040618,8.529751919764564
20040619,8.529751919764564
20040620,8.529751919764564
20040621,8.371630960957432
20040622,8.297076330656198
20040623,8.479000789598864
20040624,8.463756227698628
20040625,8.669156345953482
20040626,8.669156345953482
20040627,8.669156345953482
20040628,8.854960000790541
20040629,8.783238208022173
20040630,8.889545020467871
20040701,8.998809630951211
20040702,9.214302050749216
20040703,9.214302050749216
20040704,9.214302050749216
20040705,8.898914357551755
20040706,8.628797821678852
20040707,8.442486403116902
20040708,8.381905618301785
20040709,8.402451191662378
20040710,8.402451191662378
20040711,8.402451191662378
20040712,8.59155189925698
20040713,8.454468407852577
20040714,8.619953498779818
20040715,8.875960282624302
20040716,8.925079667860803
20040717,8.925079667860803
20040718,8.925079667860803
20040719,8.699537080337194
20040720,9.065617727334459
20040721,8.903594420951054
20040722,9.00564120191914
20040723,9.318255651564227
20040724,9.318255651564227
20040725,9.318255651564227
20040726,8.812109000893969
20040727,9.124799876158216
20040728,9.595465157033917
20040729,9.535532638483302
20040730,8.89853524132134
20040731,8.89853524132134
20040801,8.89853524132134
20040802,8.745278461207985
20040803,8.646449606634823
20040804,8.681029358608246
20040805,8.699464711619045
20040806,8.792615628466567
20040807,8.792615628466567
20040808,8.792615628466567
20040809,8.737473186060882
20040810,8.949803921064674
20040811,8.850644736417935
20040812,8.734240713138345
20040813,9.018070008427431
20040814,9.018070008427431
20040815,9.018070008427431
20040816,9.04791688406085
20040817,9.058941005753676
20040818,9.12283725272938
20040819,8.77766724188582
20040820,8.653201656485258
20040821,8.653201656485258
20040822,8.653201656485258
20040823,8.450094095091847
20040824,8.679576656844114
20040825,9.061887288893384
20040826,8.777376481866384
20040827,8.428414063871426
20040828,8.428414063871426
20040829,8.428414063871426
20040830,8.464921862939251
20040831,8.959485966067936
20040901,8.399881578388218
20040902,8.38207909486503
20040903,8.69857225090153
20040904,8.69857225090153
20040905,8.69857225090153
20040906,8.884065284675136
20040907,8.590060336370966
20040908,8.657799604473565
20040909,8.530873629215245
20040910,8.764569640147998
20040911,8.764569640147998
20040912,8.764569640147998
20040913,8.403058295183266
20040914,8.178313295740129
20040915,8.129044419022906
20040916,8.377698396684284
20040917,8.525371389265999
20040918,8.525371389265999
20040919,8.525371389265999
20040920,8.666972433031214
20040921,8.812431757162797
20040922,8.551579496092454
20040923,8.432645304252103
20040924,8.245766019187613
20040925,8.245766019187613
20040926,8.245766019187613
20040927,8.136888249932495
20040928,8.100694678568415
20040929,7.841789705713216
20040930,7.525664732366202
20041001,7.185996370249525
20041002,7.185996370249525
20041003,7.185996370249525
20041004,7.219423178211036
20041005,7.143614134418427
20041006,7.079302775335255
20041007,7.276825430429769
20041008,7.237280280597637
20041009,7.237280280597637
20041010,7.237280280597637
20041011,7.101866397676846
20041012,6.952469479210345
20041013,6.58083030945683
20041014,6.3909272257554415
20041015,6.431607769401293
20041016,6.431607769401293
20041017,6.431607769401293
20041018,6.790661901370149
20041019,6.6967352924568555
20041020,6.659114870924182
20041021,6.670520648899586
20041022,6.716182903743408
20041023,6.716182903743408
20041024,6.716182903743408
20041025,6.651605509456935
20041026,14.018180520899138
20041027,13.44219465990845
20041028,13.060528159900004
20041029,20.174970148459447
20041030,20.174970148459447
20041031,20.174970148459447
20041101,19.087811547731
20041102,19.50171856768963
20041103,18.459998689056007
20041104,19.198533861255342
20041105,18.573872340821115
20041106,18.573872340821115
20041107,18.573872340821115
20041108,19.954846396824514
20041109,20.458548292841282
20041110,20.829128698792434
20041111,20.900652172242346
20041112,21.1815888355673
20041113,21.1815888355673
20041114,21.1815888355673
20041115,20.22715504785046
20041116,20.508300045861404
20041117,20.28149080571099
20041118,20.398131297627028
20041119,20.999355010188413
20041120,20.999355010188413
20041121,20.999355010188413
20041122,21.66532340693886
20041123,21.24689502957568
20041124,20.8954372727482
20041125,20.687624525360317
20041126,21.045398158517784
20041127,21.045398158517784
20041128,21.045398158517784
20041129,20.55488241961616
20041130,19.596669775686507
20041201,20.275933416907403
20041202,19.26871706433663
20041203,19.690477398409055
20041204,19.690477398409055
20041205,19.690477398409055
20041206,18.86712806776502
20041207,19.319464924898035
20041208,20.30886258846678
20041209,20.9475792363787
20041210,20.82054074084259
20041211,20.82054074084259
20041212,20.82054074084259
20041213,20.34758877424812
20041214,20.150316004202168
20041215,19.8861988215431
20041216,19.00600646032421
20041217,18.857012955106487
20041218,18.857012955106487
20041219,18.857012955106487
20041220,19.1647395568172
20041221,18.910169803441025
20041222,18.383954595418313
20041223,18.40127736891052
20041224,18.321599136855568
20041225,18.321599136855568
20041226,18.321599136855568
20041227,18.321599136855568
20041228,18.321599136855568
20041229,18.145253548232272
20041230,18.074535502532726
20041231,13.129554812628427
20050101,13.129554812628427
20050102,13.129554812628427
20050103,13.129554812628427
20050104,13.436920820441166
20050105,14.050842968422801
20050106,14.274904095513191
20050107,13.652014211192691
20050108,13.652014211192691
20050109,13.652014211192691
20050110,13.70620921297362
20050111,13.57151987030371
20050112,13.566039489263202
20050113,13.853049058759797
20050114,14.06127716317884
20050115,14.06127716317884
20050116,14.06127716317884
20050117,13.899934528692295
20050118,14.288456886258286
20050119,14.08870814017014
20050120,14.34505508639892
20050121,14.264608791806156
20050122,14.264608791806156
20050123,14.264608791806156
20050124,14.297794591607332
20050125,14.209632456134932
20050126,14.209632456134932
20050127,13.320702828975119
20050128,13.546627506408184
20050129,13.546627506408184
20050130,13.546627506408184
20050131,13.005618552859087
20050201,13.08693447577504
20050202,12.829027774983043
20050203,12.987597428245246
20050204,12.650118220762952
