Date,Akita Bank Ltd/The
20040326,4.9989677686272564
20040327,4.9989677686272564
20040328,4.9989677686272564
20040329,4.895883170485093
20040330,4.812840175232698
20040331,4.880886202816834
20040401,4.775018745832092
20040402,4.9237290814735
20040403,4.9237290814735
20040404,4.9237290814735
20040405,5.059648015223386
20040406,4.9011966764979755
20040407,4.954873530967744
20040408,5.179650154252947
20040409,5.273647031344631
20040410,5.273647031344631
20040411,5.273647031344631
20040412,4.741722140192816
20040413,4.383170817015226
20040414,4.259233159408285
20040415,4.698633634256405
20040416,4.495096234100778
20040417,4.495096234100778
20040418,4.495096234100778
20040419,4.990695395483248
20040420,4.662773487310511
20040421,4.618918975688455
20040422,4.60994762472703
20040423,4.53427637944558
20040424,4.53427637944558
20040425,4.53427637944558
20040426,4.803838733309996
20040427,5.052633511214865
20040428,4.817056949762893
20040429,4.817056949762893
20040430,5.763259708120252
20040501,5.763259708120252
20040502,5.763259708120252
20040503,5.763259708120252
20040504,5.763259708120252
20040505,5.763259708120252
20040506,5.963095914314968
20040507,6.349149313810071
20040508,6.349149313810071
20040509,6.349149313810071
20040510,7.482646861152379
20040511,7.393885264388235
20040512,6.924294710654391
20040513,7.241206577068895
20040514,7.420379984027731
20040515,7.420379984027731
20040516,7.420379984027731
20040517,7.405210927285401
20040518,7.007783280245461
20040519,6.834588031282841
20040520,6.771325702691859
20040521,6.588170082837881
20040522,6.588170082837881
20040523,6.588170082837881
20040524,6.378566766155182
20040525,6.458442670289774
20040526,6.200852471041424
20040527,6.559346479875724
20040528,6.100840487172955
20040529,6.100840487172955
20040530,6.100840487172955
20040531,8.27203933020284
20040601,7.893439088470122
20040602,8.716313078676047
20040603,9.277007157828315
20040604,8.905809199393625
20040605,8.905809199393625
20040606,8.905809199393625
20040607,8.28911969403718
20040608,8.211313790660686
20040609,8.173991491909739
20040610,8.181997750561026
20040611,8.154469719605462
20040612,8.154469719605462
20040613,8.154469719605462
20040614,8.337717557382234
20040615,8.895248038783548
20040616,8.204256844420025
20040617,8.172647941574757
20040618,8.55421054051429
20040619,8.55421054051429
20040620,8.55421054051429
20040621,7.902536179366674
20040622,8.274017978866263
20040623,8.481291582962557
20040624,8.039980051359308
20040625,8.009519212288742
20040626,8.009519212288742
20040627,8.009519212288742
20040628,7.756642011009215
20040629,7.836376366301212
20040630,7.810600329703005
20040701,7.747975969654487
20040702,8.137754871594797
20040703,8.137754871594797
20040704,8.137754871594797
20040705,8.711280696426014
20040706,9.131622973836771
20040707,9.116341564261033
20040708,9.169315915232861
20040709,8.847216395581563
20040710,8.847216395581563
20040711,8.847216395581563
20040712,8.420575560251553
20040713,8.437785934408335
20040714,8.50231323491626
20040715,8.58129397510051
20040716,8.473033190298827
20040717,8.473033190298827
20040718,8.473033190298827
20040719,8.473033190298827
20040720,8.471777695413657
20040721,7.913439773271899
20040722,8.355337066063514
20040723,8.497890988188084
20040724,8.497890988188084
20040725,8.497890988188084
20040726,8.811883212979758
20040727,8.908890294319766
20040728,8.903205725977127
20040729,8.96824197591718
20040730,8.31157841647297
20040731,8.31157841647297
20040801,8.31157841647297
20040802,8.31046927151371
20040803,7.967790744219578
20040804,8.146125960150643
20040805,8.25712298116627
20040806,8.480816823476564
20040807,8.480816823476564
20040808,8.480816823476564
20040809,8.36982424569407
20040810,8.673309791606574
20040811,8.329715872698925
20040812,8.592603610510947
20040813,9.199080170925383
20040814,9.199080170925383
20040815,9.199080170925383
20040816,9.177606037341796
20040817,8.959378109313734
20040818,8.702306688880629
20040819,8.770614185086105
20040820,8.641959320058737
20040821,8.641959320058737
20040822,8.641959320058737
20040823,8.69577852911687
20040824,8.895302737824942
20040825,8.658430834460527
20040826,8.395500786490016
20040827,8.296887116732183
20040828,8.296887116732183
20040829,8.296887116732183
20040830,8.332870107057115
20040831,9.782435765496498
20040901,9.341207084136014
20040902,9.657371267779737
20040903,9.677592056516973
20040904,9.677592056516973
20040905,9.677592056516973
20040906,9.056768858088107
20040907,9.082592573218301
20040908,8.52957582913494
20040909,9.50078009743132
20040910,9.602389044858278
20040911,9.602389044858278
20040912,9.602389044858278
20040913,9.454026980365283
20040914,9.388916980383675
20040915,9.517931544356669
20040916,9.722771813743874
20040917,9.73283891612192
20040918,9.73283891612192
20040919,9.73283891612192
20040920,9.73283891612192
20040921,9.906261410068446
20040922,9.52462925659045
20040923,9.52462925659045
20040924,10.07037652776107
20040925,10.07037652776107
20040926,10.07037652776107
20040927,9.981038591132323
20040928,9.959894251068027
20040929,9.872986376887921
20040930,9.758664967124037
20041001,9.408457372904854
20041002,9.408457372904854
20041003,9.408457372904854
20041004,9.107563912779279
20041005,8.912480218323697
20041006,8.93639185133199
20041007,9.136022793445877
20041008,9.159261829345724
20041009,9.159261829345724
20041010,9.159261829345724
20041011,9.159261829345724
20041012,9.51884232323541
20041013,9.545869517744306
20041014,9.863807917325218
20041015,10.072749934064491
20041016,10.072749934064491
20041017,10.072749934064491
20041018,10.500196204648715
20041019,9.944780281848367
20041020,10.476209505891973
20041021,10.578748356396863
20041022,10.538005534144983
20041023,10.538005534144983
20041024,10.538005534144983
20041025,10.90166733372874
20041026,11.071546678767193
20041027,11.350794734479733
20041028,11.979475594574092
20041029,11.759809965606529
20041030,11.759809965606529
20041031,11.759809965606529
20041101,11.8566823670955
20041102,11.693338246393415
20041103,11.693338246393415
20041104,11.777270194396642
20041105,10.964199109612853
20041106,10.964199109612853
20041107,10.964199109612853
20041108,11.071928651392046
20041109,11.182509718788594
20041110,11.347488043240762
20041111,11.711102337073854
20041112,11.453814040682573
20041113,11.453814040682573
20041114,11.453814040682573
20041115,11.01846238207233
20041116,11.102518668244366
20041117,10.86558954489218
20041118,10.92874688759271
20041119,11.043526796206061
20041120,11.043526796206061
20041121,11.043526796206061
20041122,11.95211206205137
20041123,11.95211206205137
20041124,11.753544216587152
20041125,11.485827242634167
20041126,11.815517620694274
20041127,11.815517620694274
20041128,11.815517620694274
20041129,11.368900874734972
20041130,12.546385172829563
20041201,12.5466821528725
20041202,11.880159131621577
20041203,11.938852568990546
20041204,11.938852568990546
20041205,11.938852568990546
20041206,11.923183601681762
20041207,12.140738201767336
20041208,12.008128974249342
20041209,12.119471973830404
20041210,12.169061990050427
20041211,12.169061990050427
20041212,12.169061990050427
20041213,11.464811915205223
20041214,11.269487322205594
20041215,11.32267213639974
20041216,10.887377917427935
20041217,10.756825632975415
20041218,10.756825632975415
20041219,10.756825632975415
20041220,10.849785328796912
20041221,10.504099533443968
20041222,10.22813257079695
20041223,10.22813257079695
20041224,9.955140786206316
20041225,9.955140786206316
20041226,9.955140786206316
20041227,10.051324849741057
20041228,10.011121826876744
20041229,10.129110371198673
20041230,9.656602929605535
20041231,9.656602929605535
20050101,9.656602929605535
20050102,9.656602929605535
20050103,9.656602929605535
20050104,8.984684877302513
20050105,9.826355099485852
20050106,9.929245399881426
20050107,9.875996672543502
20050108,9.875996672543502
20050109,9.875996672543502
20050110,9.875996672543502
20050111,9.560889781048825
20050112,9.873930897866261
20050113,9.648230799864164
20050114,9.552656640996378
20050115,9.552656640996378
20050116,9.552656640996378
20050117,9.366760363359713
20050118,9.594283279536839
20050119,9.455056397382425
20050120,9.584476562271716
20050121,9.477431332074023
20050122,9.477431332074023
20050123,9.477431332074023
20050124,9.40464589738333
20050125,9.674783173390766
20050126,9.79531175533563
20050127,9.56756269671437
20050128,9.357707333187488
20050129,9.357707333187488
20050130,9.357707333187488
20050131,10.215439976581028
20050201,9.883520501259602
20050202,9.640542776594428
20050203,9.923820007188523
20050204,9.746450528428868
20050205,9.746450528428868
20050206,9.746450528428868
20050207,9.18703713367337
20050208,9.578820466066473
20050209,9.785121543989188
20050210,9.712065993267037
20050211,9.712065993267037
20050212,9.712065993267037
20050213,9.712065993267037
20050214,9.581432090287796
20050215,9.603556349230784
20050216,9.548948026953509
20050217,9.639865929110861
20050218,9.560471494644949
20050219,9.560471494644949
20050220,9.560471494644949
20050221,9.70671582105743
20050222,9.656928844543614
20050223,9.817632392092714
20050224,9.255631168305339
20050225,9.066321782429718
20050226,9.066321782429718
20050227,9.066321782429718
20050228,8.033668465349555
20050301,7.697577705696024
20050302,7.537128336361117
20050303,7.487788895980999
20050304,7.7874767229861535
20050305,7.7874767229861535
20050306,7.7874767229861535
20050307,7.364677507548025
20050308,7.316491578454008
20050309,7.007196538532228
20050310,6.854836755770244
20050311,6.424889439591042
20050312,6.424889439591042
20050313,6.424889439591042
20050314,6.3472485739078754
20050315,6.420914769129035
20050316,5.956539934009747
20050317,6.018082781354035
20050318,5.965879311481075
20050319,5.965879311481075
20050320,5.965879311481075
20050321,5.965879311481075
20050322,5.7233846718273576
20050323,6.061485993778298
20050324,5.9873371547054735
20050325,5.986098850838343
20050326,5.986098850838343
20050327,5.986098850838343
20050328,5.985123935099513
20050329,6.097512720664633
20050330,6.56483837784349
20050331,6.559347596592834
20050401,6.624003510791413
20050402,6.624003510791413
20050403,6.624003510791413
20050404,6.862640019038969
20050405,7.771933145087795
20050406,7.858647956744917
20050407,7.915584577267376
20050408,7.602988183089702
20050409,7.602988183089702
20050410,7.602988183089702
20050411,7.441850561932796
20050412,7.806022189506539
20050413,7.75726425068691
20050414,8.075634371990327
20050415,8.173764254664588
20050416,8.173764254664588
20050417,8.173764254664588
20050418,9.198074161776683
20050419,8.422563916084155
20050420,8.621320734699028
20050421,8.71391837269391
20050422,8.497291818909648
20050423,8.497291818909648
20050424,8.497291818909648
20050425,8.604515548989573
20050426,8.613509874948184
20050427,8.932181865124523
20050428,8.769053998829625
20050429,8.769053998829625
20050430,8.769053998829625
20050501,8.769053998829625
20050502,8.679138269915448
20050503,8.679138269915448
20050504,8.679138269915448
20050505,8.679138269915448
20050506,7.530040308921321
20050507,7.530040308921321
20050508,7.530040308921321
20050509,7.391740588990035
20050510,7.640785440360265
20050511,7.725998945690325
20050512,7.868613697542495
20050513,8.008903743777424
20050514,8.008903743777424
20050515,8.008903743777424
20050516,8.424134317618567
20050517,8.659510514257233
20050518,8.81749616641481
20050519,8.589841210245737
20050520,9.08570148596387
20050521,9.08570148596387
20050522,9.08570148596387
20050523,8.883759262240622
20050524,8.455567660967086
20050525,9.105730699501201
20050526,8.760762663000614
20050527,8.7638720209563
20050528,8.7638720209563
20050529,8.7638720209563
20050530,8.899629676318302
20050531,14.066725959753818
20050601,14.02560682065109
20050602,14.089789399501749
20050603,14.281784535544416
20050604,14.281784535544416
20050605,14.281784535544416
20050606,14.759085133954239
20050607,15.334695599086606
20050608,15.3896656268549
20050609,15.093892616466045
20050610,14.936278875877054
20050611,14.936278875877054
20050612,14.936278875877054
20050613,15.75721891321608
20050614,15.465993611236819
20050615,15.167248651049476
20050616,15.33402875179726
20050617,14.579395097007843
20050618,14.579395097007843
20050619,14.579395097007843
20050620,14.493418059048398
20050621,14.50284617749922
20050622,13.809836532487369
20050623,14.01652197140683
20050624,14.023878643905025
20050625,14.023878643905025
20050626,14.023878643905025
20050627,14.695871625560406
20050628,14.45389993637506
20050629,14.47381986694066
20050630,14.659914872797179
20050701,13.9187923356441
20050702,13.9187923356441
20050703,13.9187923356441
20050704,14.18219959804273
20050705,14.383883667360852
20050706,14.405015553539583
20050707,14.892369096960755
20050708,14.758945179841056
20050709,14.758945179841056
20050710,14.758945179841056
20050711,14.499417459269884
20050712,14.99922435255905
20050713,14.977281855933457
20050714,14.82717573423962
20050715,14.497861829076118
20050716,14.497861829076118
20050717,14.497861829076118
20050718,14.497861829076118
20050719,14.66184863678533
20050720,14.644862629047713
20050721,14.78157715161498
20050722,14.693237590674734
20050723,14.693237590674734
20050724,14.693237590674734
20050725,13.825527341160589
20050726,13.902632789423079
20050727,13.532838114358686
20050728,13.593732781430887
20050729,13.209798465312135
20050730,13.209798465312135
20050731,13.209798465312135
20050801,12.818949346804501
20050802,13.09357212974775
20050803,13.03248459427588
20050804,13.247552727378414
20050805,14.035121286246142
20050806,14.035121286246142
20050807,14.035121286246142
20050808,14.06371804041024
20050809,13.182191868875401
20050810,11.876181369228346
20050811,11.656097770421026
20050812,11.55438018157142
20050813,11.55438018157142
20050814,11.55438018157142
20050815,11.494841333570232
20050816,11.072717815954999
20050817,11.218772446435938
20050818,11.222167639020883
20050819,11.274367086410583
20050820,11.274367086410583
20050821,11.274367086410583
20050822,10.317194999663997
20050823,10.422385011378037
20050824,10.236498796895905
20050825,10.551736855106729
20050826,10.605064071236265
20050827,10.605064071236265
20050828,10.605064071236265
20050829,11.306585140233917
20050830,11.575549243870137
20050831,10.612115416533545
20050901,10.12881216794743
20050902,10.196314251498558
20050903,10.196314251498558
20050904,10.196314251498558
20050905,10.160506285199194
20050906,10.516451148520385
20050907,10.684941458966142
20050908,10.702717033470924
20050909,10.162240301582557
20050910,10.162240301582557
20050911,10.162240301582557
20050912,9.885757936405595
20050913,9.885291286460163
20050914,10.204492351231744
20050915,9.811175960714563
20050916,9.870520092264028
20050917,9.870520092264028
20050918,9.870520092264028
20050919,9.870520092264028
20050920,9.88347203754296
20050921,9.356428711856823
20050922,9.378623279735232
20050923,9.378623279735232
20050924,9.378623279735232
20050925,9.378623279735232
20050926,8.511753074375015
20050927,9.053259505408537
20050928,8.622421033913445
20050929,8.37201050129766
20050930,9.480645991157418
20051001,9.480645991157418
20051002,9.480645991157418
20051003,9.548339910871208
20051004,9.785077444793021
20051005,10.246682730241206
20051006,11.3049924411067
20051007,10.921214033710527
20051008,10.921214033710527
20051009,10.921214033710527
20051010,10.921214033710527
20051011,9.981061656370235
20051012,9.76442492566095
20051013,9.553955756556133
20051014,9.572027519302356
20051015,9.572027519302356
20051016,9.572027519302356
20051017,9.655463468340443
20051018,9.731980521488703
20051019,9.973544179781916
20051020,9.580389739168007
20051021,9.361255346151335
20051022,9.361255346151335
20051023,9.361255346151335
20051024,8.771584436733598
20051025,8.966759764722962
20051026,8.290274524076212
20051027,7.8649963274640875
20051028,8.013620343717102
20051029,8.013620343717102
20051030,8.013620343717102
20051031,8.142150806830523
20051101,7.640117812072453
20051102,8.109928651290575
20051103,8.109928651290575
20051104,7.797504541384818
20051105,7.797504541384818
20051106,7.797504541384818
20051107,8.085529886287857
20051108,8.55465953815563
20051109,7.810804096726426
20051110,7.971783782277731
20051111,7.845316800062828
20051112,7.845316800062828
20051113,7.845316800062828
20051114,8.686458401301794
20051115,9.112147002438109
20051116,8.580980701514964
20051117,8.369637853231735
20051118,8.09342419198098
20051119,8.09342419198098
20051120,8.09342419198098
20051121,8.51265548550955
20051122,8.965454105001648
20051123,8.965454105001648
20051124,9.304415995395388
20051125,8.825053017566713
20051126,8.825053017566713
20051127,8.825053017566713
20051128,8.752160939667819
20051129,7.9500613861188
20051130,8.424715576294526
20051201,7.806327291666327
20051202,6.4370893238217635
20051203,6.4370893238217635
20051204,6.4370893238217635
20051205,6.970440745466079
20051206,6.9768427444817185
20051207,6.763202886249619
20051208,7.17378021465817
20051209,6.975600097260588
20051210,6.975600097260588
20051211,6.975600097260588
20051212,6.738513017062283
20051213,6.99508404621817
20051214,7.246285418249928
20051215,7.10114811426904
20051216,7.264495632283078
20051217,7.264495632283078
20051218,7.264495632283078
20051219,7.63115639135886
20051220,7.454277705208768
20051221,6.899136217839738
20051222,7.118993085550309
20051223,7.118993085550309
20051224,7.118993085550309
20051225,7.118993085550309
20051226,7.3320951052521215
20051227,7.4264859827804095
20051228,7.157282236157147
20051229,7.149701976178027
20051230,8.898688365056882
20051231,8.898688365056882
20060101,8.898688365056882
20060102,8.898688365056882
20060103,8.898688365056882
20060104,8.31922844776364
20060105,7.990927423735885
20060106,8.178407586184878
20060107,8.178407586184878
20060108,8.178407586184878
20060109,8.178407586184878
20060110,9.329282669415859
20060111,8.90080074066587
20060112,8.127128539772848
20060113,8.803591693109643
20060114,8.803591693109643
20060115,8.803591693109643
