Date,Al-Massaleh Real Estate Co KSC
20040326,0.9256580718268922
20040329,0.9269913726161245
20040330,0.9302516736025119
20040331,2.587722982721639
20040401,2.587722982721639
20040402,2.587722982721639
20040405,2.630693269046424
20040406,2.7257600873418344
20040407,2.735806739209757
20040408,2.735806739209757
20040409,2.735806739209757
20040412,3.9363586390841534
20040413,4.095695849500661
20040414,4.166564724213325
20040415,4.166564724213325
20040416,4.166564724213325
20040419,5.341169633489088
20040420,5.392350352018905
20040421,5.879607022996872
20040422,5.879607022996872
20040423,5.879607022996872
20040426,7.459880170105741
20040427,8.889822914556886
20040428,8.612130986666399
20040429,8.612130986666399
20040430,8.612130986666399
20040501,8.612130986666399
20040503,10.020372038793289
20040504,10.068706760841355
20040505,9.980453820287124
20040506,9.980453820287124
20040507,9.980453820287124
20040510,9.819422468866325
20040511,9.974268827411837
20040512,9.939228159565275
20040513,9.939228159565275
20040514,9.939228159565275
20040517,10.366561997421972
20040518,10.216457457350632
20040519,9.889198315152308
20040520,9.889198315152308
20040521,9.889198315152308
20040524,10.314986333411621
20040525,10.555814694888149
20040526,10.47926594172537
20040527,10.47926594172537
20040528,10.47926594172537
20040531,8.936769173453857
20040601,8.865193727507936
20040602,8.785747295631941
20040603,8.785747295631941
20040604,8.785747295631941
20040607,8.217919754184967
20040608,8.459229084539784
20040609,8.303433513803737
20040610,8.303433513803737
20040611,8.303433513803737
20040614,7.8189416638569
20040615,7.701984032956154
20040616,7.936829376283556
20040617,7.936829376283556
20040618,7.936829376283556
20040621,7.463791861639699
20040622,7.672824589348296
20040623,6.956560089064539
20040624,6.956560089064539
20040625,6.956560089064539
20040628,6.375473101790961
20040629,6.687252195815732
20040630,6.127525917995
20040701,6.127525917995
20040702,6.127525917995
20040705,6.064628057299289
20040706,6.205796514457851
20040707,6.270313669806933
20040708,6.270313669806933
20040709,6.270313669806933
20040712,6.227851689687183
20040713,6.186729390489187
20040714,6.518434194345158
20040715,6.518434194345158
20040716,6.518434194345158
20040719,5.825401814716195
20040720,5.929333909190579
20040721,7.087664672461388
20040722,7.087664672461388
20040723,7.087664672461388
20040726,6.790284755199342
20040727,6.835371610859867
20040728,6.892665760885328
20040729,6.892665760885328
20040730,6.892665760885328
20040802,7.913593739300472
20040803,7.764512984288546
20040804,7.77330740421932
20040805,7.77330740421932
20040806,7.77330740421932
20040809,7.892912120224073
20040810,8.081734172041427
20040811,7.885868483852618
20040812,7.885868483852618
20040813,7.885868483852618
20040816,7.347842143153077
20040817,7.449677307210089
20040818,7.435533686680436
20040819,7.435533686680436
20040820,7.435533686680436
20040823,7.427051667785913
20040824,7.620236563202608
20040825,7.747464430906278
20040826,7.747464430906278
20040827,7.747464430906278
20040830,7.1386612843528
20040831,7.225938771474374
20040901,7.247438159322433
20040902,7.247438159322433
20040903,7.247438159322433
20040906,7.169751067029229
20040907,6.968728296154073
20040908,7.138191782256216
20040909,7.138191782256216
20040910,7.138191782256216
20040913,7.420388201966955
20040914,7.3718730362959315
20040915,7.572993679922531
20040916,7.572993679922531
20040917,7.572993679922531
20040918,7.572993679922531
20040920,7.341007515150635
20040921,7.388677816759112
20040922,7.124545359027238
20040923,7.124545359027238
20040924,7.124545359027238
20040927,7.285417231727414
20040928,7.4725981400423285
20040929,6.977438840987517
20040930,6.977438840987517
20041001,6.977438840987517
20041004,6.486302079265354
20041005,6.2767642356074225
20041006,6.301360616474166
20041007,6.301360616474166
20041008,6.301360616474166
20041011,5.973509561165861
20041012,5.980894261595198
20041013,6.086923841090293
20041014,6.086923841090293
20041015,6.086923841090293
20041018,5.956963896865981
20041019,6.163106364234317
20041020,6.009808586802618
20041021,6.009808586802618
20041022,6.009808586802618
20041025,5.949007624018245
20041026,6.06050789597086
20041027,6.346285531935007
20041028,6.346285531935007
20041029,6.346285531935007
20041101,6.3285122117977926
20041102,6.340254541496031
20041103,6.820499373300113
20041104,6.820499373300113
20041105,6.820499373300113
20041108,6.989061355146256
20041109,6.964098019037616
20041110,6.8188774990943015
20041111,6.8188774990943015
20041112,6.8188774990943015
20041113,6.8188774990943015
20041114,6.8188774990943015
20041115,6.8188774990943015
20041116,6.733587128098368
20041117,6.658555696082911
20041118,6.658555696082911
20041119,6.658555696082911
20041122,6.878379467469245
20041123,6.778131806947012
20041124,6.838173793934905
20041125,6.838173793934905
20041126,6.838173793934905
20041129,6.319235977228777
20041130,7.007418684471327
20041201,7.0009058052201905
20041202,7.0009058052201905
20041203,7.0009058052201905
20041206,6.717166914510187
20041207,6.869932298536781
20041208,6.96970270510212
20041209,6.96970270510212
20041210,6.96970270510212
20041213,7.518838643452138
20041214,7.178131441956846
20041215,7.283050331463555
20041216,7.283050331463555
20041217,7.283050331463555
20041220,7.423699160847305
20041221,7.561487184239692
20041222,7.129506328739823
20041223,7.129506328739823
20041224,7.129506328739823
20041227,7.75060898038804
20041228,7.451838850069885
20041229,7.013479405156941
20041230,7.013479405156941
20041231,7.013479405156941
20050101,7.013479405156941
20050103,6.941692761156759
20050104,7.0342080377102505
20050105,6.991028154832355
20050106,6.991028154832355
20050107,6.991028154832355
20050110,6.977603725609294
20050111,7.2969172073790425
20050112,7.44931407172061
20050113,7.44931407172061
20050114,7.44931407172061
20050117,7.050822055027489
20050118,6.918853304069037
20050119,6.918853304069037
20050120,6.918853304069037
20050121,6.918853304069037
20050122,6.918853304069037
20050123,6.918853304069037
20050124,6.893017696061351
20050125,6.850886067590911
20050126,6.536194133192456
20050127,6.536194133192456
20050128,6.536194133192456
20050131,6.21264907172949
20050201,6.1784665513640205
