Date,AQ Estate PCL
20040326,28.450259430820985
20040327,28.450259430820985
20040328,28.450259430820985
20040329,30.58491482467512
20040330,30.427904471943126
20040331,29.352853040872606
20040401,26.70787798156659
20040402,25.548551796288724
20040403,25.548551796288724
20040404,25.548551796288724
20040405,25.30786246782371
20040406,25.30786246782371
20040407,26.58945293228484
20040408,29.022356124667297
20040409,26.955666544342876
20040410,26.955666544342876
20040411,26.955666544342876
20040412,26.09785738213878
20040413,26.09785738213878
20040414,26.09785738213878
20040415,26.09785738213878
20040416,24.776956139588115
20040417,24.776956139588115
20040418,24.776956139588115
20040419,25.729600721411213
20040420,24.525348396894834
20040421,24.906720943776214
20040422,26.189587556732047
20040423,28.2855023428854
20040424,28.2855023428854
20040425,28.2855023428854
20040426,33.77813300176178
20040427,31.82953585316526
20040428,33.6312931931801
20040429,33.99717899535913
20040430,33.519641232258635
20040501,33.519641232258635
20040502,33.519641232258635
20040503,33.519641232258635
20040504,35.25191217474117
20040505,35.25191217474117
20040506,37.14174790796862
20040507,37.10036893996419
20040508,37.10036893996419
20040509,37.10036893996419
20040510,43.84173423323235
20040511,43.33080002073073
20040512,42.588171447844836
20040513,46.32144040984049
20040514,47.64797395338745
20040515,47.64797395338745
20040516,47.64797395338745
20040517,57.29682943025787
20040518,59.351343882587585
20040519,49.21635615962413
20040520,56.288818115280975
20040521,52.17178625395474
20040522,52.17178625395474
20040523,52.17178625395474
20040524,54.9024164809446
20040525,57.021161422177656
20040526,48.465393153757596
20040527,46.81934965475345
20040528,46.72570084668466
20040529,46.72570084668466
20040530,46.72570084668466
20040531,42.62048571723584
20040601,38.45696599526023
20040602,38.45696599526023
20040603,42.026862636511154
20040604,41.40119154813359
20040605,41.40119154813359
20040606,41.40119154813359
20040607,41.385500712654654
20040608,46.80190077099204
20040609,45.18153204628899
20040610,46.98696222256224
20040611,45.78619302712333
20040612,45.78619302712333
20040613,45.78619302712333
20040614,45.61063513507372
20040615,45.57370349502718
20040616,43.31811302180466
20040617,41.00581736227315
20040618,39.493918695243664
20040619,39.493918695243664
20040620,39.493918695243664
20040621,37.21037259085773
20040622,38.38328623303521
20040623,41.089683479513106
20040624,39.23135697807608
20040625,38.39988112937441
20040626,38.39988112937441
20040627,38.39988112937441
20040628,38.110988771234894
20040629,38.861327132767116
20040630,39.725802040046325
20040701,39.725802040046325
20040702,42.75613999130368
20040703,42.75613999130368
20040704,42.75613999130368
20040705,41.76279206147108
20040706,40.62158256025912
20040707,40.41896165247261
20040708,40.54185851123802
20040709,40.158743448639314
20040710,40.158743448639314
20040711,40.158743448639314
20040712,41.019209039391704
20040713,42.955037585373915
20040714,44.43298752868014
20040715,46.420697318891115
20040716,47.15772400745376
20040717,47.15772400745376
20040718,47.15772400745376
20040719,50.350581172323345
20040720,49.716030383427004
20040721,47.85038539657291
20040722,50.76530349103606
20040723,52.31190839307691
20040724,52.31190839307691
20040725,52.31190839307691
20040726,59.262609015267266
20040727,60.24636721134066
20040728,64.34956326588626
20040729,67.74876849403792
20040730,62.06862855064843
20040731,62.06862855064843
20040801,62.06862855064843
20040802,62.06862855064843
20040803,64.42109818030384
20040804,73.85026995395243
20040805,75.99705120144425
20040806,80.3035795309056
20040807,80.3035795309056
20040808,80.3035795309056
20040809,83.73797831046633
20040810,90.80021376389027
20040811,111.38752319160393
20040812,111.38752319160393
20040813,115.38580348070923
20040814,115.38580348070923
20040815,115.38580348070923
20040816,107.72974115518379
20040817,113.12824835940866
20040818,116.57544001499501
20040819,121.43478854146838
20040820,126.35244322585953
20040821,126.35244322585953
20040822,126.35244322585953
20040823,127.01740103747987
20040824,119.77258718997729
20040825,114.47517135946748
20040826,96.81584091504226
20040827,93.88113583283801
20040828,93.88113583283801
20040829,93.88113583283801
20040830,79.94575846520078
20040831,73.85778763168321
20040901,70.87152545662278
20040902,73.93775436247203
20040903,81.62733582555583
20040904,81.62733582555583
20040905,81.62733582555583
20040906,78.31338667420114
20040907,79.99467050510488
20040908,80.07291402661107
20040909,74.63663395053577
20040910,70.60709798554896
20040911,70.60709798554896
20040912,70.60709798554896
20040913,66.41785152808684
20040914,66.89980173695031
20040915,63.52229799896597
20040916,59.416574811169866
20040917,60.753151444358295
20040918,60.753151444358295
20040919,60.753151444358295
20040920,58.40173380579765
20040921,63.558515960860696
20040922,63.721782006556715
20040923,71.97273526677903
20040924,70.09201583015084
20040925,70.09201583015084
20040926,70.09201583015084
20040927,77.56074544467353
20040928,81.32558378322508
20040929,79.40315084846333
20040930,68.1566256838301
20041001,65.05440169979735
20041002,65.05440169979735
20041003,65.05440169979735
20041004,60.59794037441975
20041005,63.588296297144446
20041006,56.22947787719953
20041007,60.40358069422115
20041008,63.18310306375554
20041009,63.18310306375554
20041010,63.18310306375554
20041011,61.48027117383318
20041012,69.57896790105654
20041013,67.39688875897755
20041014,73.99865071348223
20041015,73.57795764017581
20041016,73.57795764017581
20041017,73.57795764017581
20041018,75.15543050663278
20041019,67.98035375365652
20041020,70.06663014459768
20041021,71.84655818292057
20041022,67.36104215841445
20041023,67.36104215841445
20041024,67.36104215841445
20041025,67.36104215841445
20041026,70.44170962028693
20041027,77.20953735167225
20041028,72.21290827396989
20041029,66.7904213310765
20041030,66.7904213310765
20041031,66.7904213310765
20041101,68.46121277917132
20041102,65.41778538706268
20041103,64.82749655600773
20041104,64.56510901274396
20041105,67.97104848710677
20041106,67.97104848710677
20041107,67.97104848710677
20041108,67.80731299590867
20041109,67.19320524866642
20041110,70.8008133532667
20041111,74.77142362767616
20041112,69.13813443237984
