Date,Aplus Financial Co Ltd
20040326,43.38497077681536
20040327,43.38497077681536
20040328,43.38497077681536
20040329,42.748251888073604
20040330,43.0846774909819
20040331,42.78886374556246
20040401,42.1977082560508
20040402,41.77962336122435
20040403,41.77962336122435
20040404,41.77962336122435
20040405,40.728451762145745
20040406,41.268206169484685
20040407,37.26192975739664
20040408,37.15878463515509
20040409,37.84411666442275
20040410,37.84411666442275
20040411,37.84411666442275
20040412,36.138756893819696
20040413,33.112601408947384
20040414,32.94010953788801
20040415,35.470352956870684
20040416,37.123813962751065
20040417,37.123813962751065
20040418,37.123813962751065
20040419,40.69876952632494
20040420,38.99395658957439
20040421,38.646863510221294
20040422,39.85874165321426
20040423,41.73359152476692
20040424,41.73359152476692
20040425,41.73359152476692
20040426,43.68243496662309
20040427,44.59679406718103
20040428,43.000425676407595
20040429,43.000425676407595
20040430,45.703741804602494
20040501,45.703741804602494
20040502,45.703741804602494
20040503,45.703741804602494
20040504,45.703741804602494
20040505,45.703741804602494
20040506,47.75733440174287
20040507,48.71641244280401
20040508,48.71641244280401
20040509,48.71641244280401
20040510,62.25617322780234
20040511,66.59474467522666
20040512,61.71258850440024
20040513,67.92671271036241
20040514,72.7328157380934
20040515,72.7328157380934
20040516,72.7328157380934
20040517,87.41464245227185
20040518,81.80424038638827
20040519,72.37301085314215
20040520,74.17033979823378
20040521,66.684938288252
20040522,66.684938288252
20040523,66.684938288252
20040524,52.59701490309991
20040525,52.905317298320135
20040526,52.39080603511701
20040527,54.36536538470397
20040528,53.15331792587962
20040529,53.15331792587962
20040530,53.15331792587962
20040531,60.140935723300906
20040601,60.364934358160816
20040602,61.66271729515566
20040603,64.32926106856942
20040604,66.33540998519076
20040605,66.33540998519076
20040606,66.33540998519076
20040607,61.159174416836414
20040608,59.38806123906121
20040609,56.62117731540954
20040610,54.07771903184163
20040611,53.92521912376131
20040612,53.92521912376131
20040613,53.92521912376131
20040614,56.765918284653125
20040615,59.654414066041994
20040616,58.491126800771866
20040617,57.55271410288518
20040618,59.31705740208739
20040619,59.31705740208739
20040620,59.31705740208739
20040621,58.10898390978538
20040622,58.834905572566896
20040623,58.95609536340809
20040624,57.292520437648776
20040625,55.433118351023055
20040626,55.433118351023055
20040627,55.433118351023055
20040628,53.26502958028966
20040629,49.3049354248324
20040630,48.73665569833837
20040701,49.726153559765656
20040702,51.529831517689125
20040703,51.529831517689125
20040704,51.529831517689125
20040705,51.54148529594477
20040706,51.071989643333104
20040707,55.57467892713455
20040708,55.94860985224702
20040709,45.95301203529804
20040710,45.95301203529804
20040711,45.95301203529804
20040712,41.22440814319607
20040713,34.93531995427209
20040714,38.96178411185688
20040715,43.426149467000734
20040716,43.306667649700124
20040717,43.306667649700124
20040718,43.306667649700124
20040719,43.306667649700124
20040720,44.14293882648532
20040721,46.205238737835344
20040722,45.67934479130683
20040723,45.35376946333969
20040724,45.35376946333969
20040725,45.35376946333969
20040726,46.20600199570054
20040727,51.0780613308476
20040728,50.77239782973447
20040729,55.004910414576116
20040730,52.43128945550243
20040731,52.43128945550243
20040801,52.43128945550243
20040802,53.883948795234474
20040803,54.71912070073904
20040804,57.59292228126708
20040805,55.091920479572444
20040806,56.92041138735613
20040807,56.92041138735613
20040808,56.92041138735613
20040809,58.43253370674616
20040810,50.20023646889264
20040811,50.9154215894512
20040812,52.16343536609589
20040813,54.67776492510892
20040814,54.67776492510892
20040815,54.67776492510892
20040816,50.9134592203283
20040817,52.73645005093096
20040818,54.43475148645467
20040819,51.185848233989304
20040820,52.103944208652635
20040821,52.103944208652635
20040822,52.103944208652635
