Date,Asian Pac Holdings Bhd
20080613,68.71779540882906
20080614,68.71779540882906
20080615,68.71779540882906
20080616,66.97328303269634
20080617,71.27342436887639
20080618,77.50671873824518
20080619,85.62788226636665
20080620,78.7723573494651
20080621,78.7723573494651
20080622,78.7723573494651
20080623,82.73785893136517
20080624,82.15245606605326
20080625,75.65241027254632
20080626,80.03027665033746
20080627,80.89083114157758
20080628,80.89083114157758
20080629,80.89083114157758
20080630,86.17001634855757
20080701,85.4113626451454
20080702,91.3224653615223
20080703,91.3224653615223
20080704,98.51052656219626
20080705,98.51052656219626
20080706,98.51052656219626
20080707,98.9824331957221
20080708,98.70903522982064
20080709,91.76205062979604
20080710,98.1353944435163
20080711,90.25038551277112
20080712,90.25038551277112
20080713,90.25038551277112
20080714,90.15672585859743
20080715,102.51053426556506
20080716,95.92599256615463
20080717,96.40507667148822
20080718,96.56438747664312
20080719,96.56438747664312
20080720,96.56438747664312
20080721,91.9366931455697
20080722,95.5349260812758
20080723,83.3117146783717
20080724,83.52654927445224
20080725,86.12347174187192
20080726,86.12347174187192
20080727,86.12347174187192
20080728,75.04657035556741
20080729,82.13124414820618
20080730,76.49837295584163
20080731,81.1392228564955
20080801,81.07344185436348
20080802,81.07344185436348
20080803,81.07344185436348
20080804,80.24249059334937
20080805,81.04602497942224
20080806,81.20107861418981
20080807,86.31687440346197
20080808,75.69806832620658
20080809,75.69806832620658
20080810,75.69806832620658
20080811,75.87484729001146
20080812,81.07957919105273
20080813,86.59307114216504
20080814,85.90334894775903
20080815,91.5861368799407
20080816,91.5861368799407
20080817,91.5861368799407
20080818,84.9272913876517
20080819,95.85111510056659
20080820,96.41065589834093
20080821,95.64239473942624
20080822,96.78672573412243
20080823,96.78672573412243
20080824,96.78672573412243
20080825,94.62272420434842
20080826,94.29287638599192
20080827,100.89683246059349
20080828,95.81254971963249
20080829,74.04377439508914
20080830,74.04377439508914
20080831,74.04377439508914
20080901,74.04377439508914
20080902,74.77714608916747
20080903,71.6208578934452
20080904,71.13967368208368
20080905,76.92744778867171
20080906,76.92744778867171
20080907,76.92744778867171
20080908,75.81849005219078
20080909,80.83348985387305
20080910,81.8814631014279
20080911,81.40573478873137
20080912,80.65475515906388
20080913,80.65475515906388
20080914,80.65475515906388
20080915,80.43876610821995
20080916,79.94835656505579
20080917,79.95556766051502
20080918,85.2034916679946
20080919,84.28000760189082
20080920,84.28000760189082
20080921,84.28000760189082
20080922,84.57164817639757
20080923,85.08314803102921
20080924,75.51339340785502
20080925,87.40230299938085
20080926,82.97186394620226
20080927,82.97186394620226
20080928,82.97186394620226
20080929,87.97639063328691
20080930,79.49121256367715
20081001,79.49121256367715
20081002,79.49121256367715
20081003,83.3372081138834
20081004,83.3372081138834
20081005,83.3372081138834
20081006,88.11596914166844
20081007,88.55056464500487
20081008,88.42504654921319
20081009,84.2226253250414
20081010,100.21678468809307
20081011,100.21678468809307
20081012,100.21678468809307
20081013,106.76310160672715
20081014,105.95875125721207
20081015,114.39231977751679
20081016,119.69896560166052
20081017,130.63787690007766
20081018,130.63787690007766
20081019,130.63787690007766
20081020,131.9131507285581
20081021,117.19784368690765
20081022,116.77257241037474
20081023,119.25365283290874
20081024,139.02493789776037
20081025,139.02493789776037
20081026,139.02493789776037
20081027,139.02493789776037
20081028,156.59949017157163
20081029,139.09623020375972
20081030,134.7795428688094
20081031,116.24855417361393
20081101,116.24855417361393
20081102,116.24855417361393
20081103,115.63384271806613
20081104,102.53761811913819
20081105,100.5357472167017
20081106,121.10636377578768
20081107,120.04706085714922
20081108,120.04706085714922
20081109,120.04706085714922
20081110,94.93556227349036
20081111,106.05046235054526
20081112,105.26767348119583
20081113,116.16171554931246
20081114,114.50507416967052
20081115,114.50507416967052
20081116,114.50507416967052
20081117,123.8444958402065
20081118,125.53761172876858
20081119,115.00594014191573
20081120,125.3544834173976
20081121,115.09318152823779
20081122,115.09318152823779
20081123,115.09318152823779
20081124,124.44879389252547
20081125,113.40925410546366
20081126,118.25815007528075
20081127,111.31115002230658
