Date,Anadolu Hayat Emeklilik AS
20040326,16.95708339481108
20040327,16.95708339481108
20040328,16.95708339481108
20040329,16.953690094925456
20040330,15.809779901954602
20040331,11.712654647225294
20040401,10.27594791733244
20040402,10.73292869682767
20040403,10.73292869682767
20040404,10.73292869682767
20040405,10.991977867697571
20040406,11.175831627339235
20040407,11.183260166731067
20040408,12.569006120714382
20040409,12.826465157136175
20040410,12.826465157136175
20040411,12.826465157136175
20040412,13.685304364318927
20040413,14.880672644218716
20040414,16.50888491898203
20040415,17.23747653058051
20040416,15.600425468561525
20040417,15.600425468561525
20040418,15.600425468561525
20040419,14.58350034826074
20040420,15.18620831981757
20040421,16.400189100658814
20040422,17.21248615133635
20040423,17.21248615133635
20040424,17.21248615133635
20040425,17.21248615133635
20040426,19.143483921631482
20040427,22.02276501841269
20040428,20.438977013225067
20040429,22.554203385473276
20040430,21.177506306958048
20040501,21.177506306958048
20040502,21.177506306958048
20040503,23.282473915995315
20040504,23.735759730150082
20040505,23.448515094779886
20040506,26.19806709390099
20040507,30.309674492099244
20040508,30.309674492099244
20040509,30.309674492099244
20040510,34.98215449438238
20040511,34.923495929191226
20040512,32.89014524820619
20040513,80.32897563691486
20040514,40.127872836356325
20040515,40.127872836356325
20040516,40.127872836356325
20040517,51.86356441611081
20040518,52.889457262658574
20040519,52.889457262658574
20040520,53.39711741779122
20040521,51.652203202612256
20040522,51.652203202612256
20040523,51.652203202612256
20040524,45.795682853434094
20040525,50.376980945860424
20040526,37.10769264820832
20040527,34.90100768448347
20040528,35.89717516317337
20040529,35.89717516317337
20040530,35.89717516317337
20040531,39.82084596314912
20040601,41.812362262188266
20040602,40.64782069309629
20040603,39.2573144495414
20040604,36.42706240272439
20040605,36.42706240272439
20040606,36.42706240272439
20040607,31.677141449678526
20040608,31.066707496121577
20040609,31.513389014086922
20040610,31.231439687089082
20040611,32.331793298627936
20040612,32.331793298627936
20040613,32.331793298627936
20040614,35.517649088126824
20040615,35.87192686253327
20040616,36.42519646135534
20040617,38.19446043517469
20040618,37.55030329944979
20040619,37.55030329944979
20040620,37.55030329944979
20040621,39.167569562279894
20040622,37.87715995628672
20040623,35.76568424981743
20040624,34.14235867391164
