Date,Allahabad Bank
20040326,36.13136133869996
20040327,36.13136133869996
20040328,36.13136133869996
20040329,32.435923913879684
20040330,29.552843632479906
20040331,29.923050866099068
20040401,27.69646183308566
20040402,25.63470225624623
20040403,25.63470225624623
20040404,25.63470225624623
20040405,25.028466968897934
20040406,25.871800507647887
20040407,28.032383750169245
20040408,24.768362550634425
20040409,24.768362550634425
20040410,24.768362550634425
20040411,24.768362550634425
20040412,22.351214730763612
20040413,20.637757514665044
20040414,20.637757514665044
20040415,19.60855158035886
20040416,19.59842844959589
20040417,19.59842844959589
20040418,19.59842844959589
20040419,18.408678243209007
20040420,18.893901336342086
20040421,18.280788778523416
20040422,16.971437528242678
20040423,15.63863177775592
20040424,15.63863177775592
20040425,15.63863177775592
20040426,15.63863177775592
20040427,21.1905811289871
20040428,21.86837606079349
20040429,21.420153442504834
20040430,22.97369769113656
20040501,22.97369769113656
20040502,22.97369769113656
20040503,28.218003611748696
20040504,20.547086035546457
20040505,18.85777320910544
20040506,17.51088450705511
20040507,17.852685152606398
20040508,17.852685152606398
20040509,17.852685152606398
20040510,18.74947790606743
20040511,24.54113159394645
20040512,22.853592265020534
20040513,22.581186533803184
20040514,34.65836481323086
20040515,34.65836481323086
20040516,34.65836481323086
20040517,56.311009207681025
20040518,39.68945911161336
20040519,31.23140840920041
20040520,31.832297090900564
20040521,33.161973022811324
20040522,33.161973022811324
20040523,33.161973022811324
20040524,31.693406509290096
20040525,33.60840988475259
20040526,35.321067015030465
20040527,35.39246659320391
20040528,43.151342192616305
20040529,43.151342192616305
20040530,43.151342192616305
20040531,70.1827344218548
20040601,65.87033126140683
20040602,61.192473406025606
20040603,64.00614275335444
20040604,61.25558279492395
20040605,61.25558279492395
20040606,61.25558279492395
20040607,63.2297138361618
20040608,62.959424193742905
20040609,60.2591567244601
20040610,62.707316107192284
20040611,67.03980295473804
20040612,67.03980295473804
20040613,67.03980295473804
20040614,75.24050608506992
20040615,72.17124423821174
20040616,74.29797101812521
20040617,74.70410924169651
20040618,77.05684780793706
20040619,77.05684780793706
20040620,77.05684780793706
20040621,84.25511140177875
20040622,84.79251694309478
20040623,89.74578591023663
20040624,89.01461873208471
20040625,85.79535947838791
20040626,85.79535947838791
20040627,85.79535947838791
20040628,83.37964634262785
20040629,83.3666388942351
20040630,88.98243248692805
20040701,84.1902949567327
20040702,85.53326240387051
20040703,85.53326240387051
20040704,85.53326240387051
20040705,90.85156658443888
20040706,84.61270870291669
20040707,83.43169706814554
20040708,92.40163589629117
20040709,89.30011596166855
20040710,89.30011596166855
20040711,89.30011596166855
20040712,87.16406619131585
20040713,86.36567746710556
20040714,83.27941576352593
20040715,76.6556980296746
20040716,74.92106775073306
20040717,74.92106775073306
20040718,74.92106775073306
20040719,65.77353484488188
20040720,69.20206852430707
20040721,65.99806326931225
20040722,62.04972086330807
20040723,64.19816743194754
20040724,64.19816743194754
20040725,64.19816743194754
20040726,68.70075031659528
20040727,71.89524123620618
20040728,74.5953803888953
20040729,71.41266650612341
20040730,73.68546333661335
20040731,73.68546333661335
20040801,73.68546333661335
20040802,76.51563883553331
20040803,74.26674074229938
20040804,76.79127009565455
20040805,71.08220344916326
20040806,73.31593821732558
20040807,73.31593821732558
20040808,73.31593821732558
20040809,73.48361577860396
20040810,74.78741386557705
20040811,82.69325787376778
20040812,85.35520264200467
20040813,87.11659608869542
20040814,87.11659608869542
20040815,87.11659608869542
20040816,86.3334753954029
20040817,84.8181499272743
20040818,89.36009101031723
20040819,89.26709049508274
20040820,95.22020151784486
20040821,95.22020151784486
20040822,95.22020151784486
20040823,104.95136521025857
20040824,101.21902968990541
20040825,95.27068886854849
20040826,94.97602206712328
20040827,93.20920692575638
20040828,93.20920692575638
20040829,93.20920692575638
20040830,91.09491533063782
20040831,85.7248058879381
20040901,82.41793711663165
20040902,82.7670093456552
20040903,81.15150109717537
20040904,81.15150109717537
20040905,81.15150109717537
20040906,81.97327959681982
20040907,81.42423107987135
20040908,80.75363979851926
20040909,85.18464173873402
20040910,85.03648913245326
20040911,85.03648913245326
20040912,85.03648913245326
20040913,84.19388747543184
20040914,84.27051649651413
20040915,82.84276936871692
20040916,81.43532344508823
20040917,77.42716217010191
20040918,77.42716217010191
20040919,77.42716217010191
20040920,79.04913531441139
20040921,75.42560943836395
20040922,73.30642246954531
20040923,70.55813532494408
20040924,73.73730102840287
20040925,73.73730102840287
20040926,73.73730102840287
20040927,73.62066504213234
20040928,76.4665757339422
20040929,71.57955303938857
20040930,68.44773808827787
20041001,65.38164059421935
20041002,65.38164059421935
20041003,65.38164059421935
20041004,65.66570109806948
20041005,65.73979229596344
20041006,63.42528798212804
20041007,56.588287958936064
20041008,57.35764404718504
20041009,57.35764404718504
20041010,57.35764404718504
20041011,60.3165323656312
20041012,63.46195357610336
20041013,63.46195357610336
20041014,63.64938029377604
20041015,67.17138435752284
20041016,67.17138435752284
20041017,67.17138435752284
20041018,66.47451161046371
20041019,67.10464964198034
20041020,67.78290241525042
20041021,68.52366949711272
20041022,68.52366949711272
20041023,68.52366949711272
20041024,68.52366949711272
20041025,74.24377000183989
20041026,71.68375109975047
20041027,74.2452427352489
20041028,71.10292576783824
20041029,75.43972292390282
20041030,75.43972292390282
20041031,75.43972292390282
20041101,77.58369021905605
20041102,75.56974550068834
20041103,71.17178027189304
20041104,70.68280034347683
20041105,72.70607392792424
20041106,72.70607392792424
20041107,72.70607392792424
20041108,64.35367411782894
20041109,64.18103896635184
20041110,62.31510540975445
20041111,60.902537929894095
20041112,60.36340823483284
