Date,ALTA SA
20040326,18.92395833558247
20040327,18.92395833558247
20040328,18.92395833558247
20040329,18.308587902018402
20040330,18.2804425344086
20040331,19.678330831681
20040401,17.43695975227321
20040402,17.506350069016428
20040403,17.506350069016428
20040404,17.506350069016428
20040405,17.327809300126027
20040406,14.843079346448503
20040407,14.136380567885093
20040408,12.0622715906543
20040409,12.0622715906543
20040410,12.0622715906543
20040411,12.0622715906543
20040412,12.0622715906543
20040413,10.79616787601527
20040414,8.627108177847624
20040415,5.658594241761998
20040416,6.4322251194813065
20040417,6.4322251194813065
20040418,6.4322251194813065
20040419,9.052558159982807
20040420,8.01787958695918
20040421,7.818256397444357
20040422,9.11809790716802
20040423,7.678951253353314
20040424,7.678951253353314
20040425,7.678951253353314
20040426,8.674654905713776
20040427,8.943982128495557
20040428,8.58989456375125
20040429,9.156780949580776
20040430,9.592588364983598
20040501,9.592588364983598
20040502,9.592588364983598
20040503,9.592588364983598
20040504,11.110244980900275
20040505,16.137285989012803
20040506,15.026215634321456
20040507,16.67578507924156
20040508,16.67578507924156
20040509,16.67578507924156
20040510,14.29578829819256
20040511,18.648910113473132
20040512,16.164017360701116
20040513,16.32715044412644
20040514,18.47372875984675
20040515,18.47372875984675
20040516,18.47372875984675
20040517,15.441762549932438
20040518,10.18035083493964
20040519,11.632461385149242
20040520,12.224943192586304
20040521,12.198073660675723
20040522,12.198073660675723
20040523,12.198073660675723
20040524,11.74933455587589
20040525,11.966844979313187
20040526,12.435693283744337
20040527,14.484833277986253
20040528,14.27538659782367
20040529,14.27538659782367
20040530,14.27538659782367
20040531,13.08636104996988
20040601,12.541964045982686
20040602,12.415135950307127
20040603,12.597098901029277
20040604,12.82310793774526
20040605,12.82310793774526
20040606,12.82310793774526
20040607,13.394122126216923
20040608,11.780628394376503
20040609,14.000968261324237
20040610,14.000968261324237
20040611,13.975893166697233
20040612,13.975893166697233
20040613,13.975893166697233
20040614,16.713029883140802
20040615,14.997893280155452
20040616,15.161956276481009
20040617,14.209283673367485
20040618,14.577830808393767
20040619,14.577830808393767
20040620,14.577830808393767
20040621,14.528781550341074
20040622,17.06488729103375
20040623,16.762507150110316
20040624,16.684373448803807
20040625,16.81514508372373
20040626,16.81514508372373
20040627,16.81514508372373
20040628,16.580145355963325
20040629,16.384718963878996
20040630,16.38243870463665
20040701,16.414099129314796
20040702,18.867744154656485
20040703,18.867744154656485
20040704,18.867744154656485
20040705,18.961730306416914
20040706,19.620301739756503
20040707,23.64974830355395
20040708,23.318491988328457
20040709,23.497699439928198
20040710,23.497699439928198
20040711,23.497699439928198
20040712,23.712450656750445
20040713,20.709835728788505
20040714,21.2393582614242
20040715,21.459809005300485
20040716,21.065512998210593
20040717,21.065512998210593
20040718,21.065512998210593
20040719,26.312739039782567
20040720,26.394218875309836
20040721,26.5312577184751
20040722,26.619586963711257
20040723,26.152629680263146
20040724,26.152629680263146
20040725,26.152629680263146
20040726,26.494393700966675
20040727,26.554769542630194
20040728,27.14494722214062
20040729,27.23194193820592
20040730,27.19329643953235
20040731,27.19329643953235
20040801,27.19329643953235
20040802,26.257954377292265
20040803,26.153938159997647
20040804,23.989817641854533
20040805,23.954027248770466
20040806,24.040967176647783
20040807,24.040967176647783
20040808,24.040967176647783
20040809,24.65482752996382
20040810,29.752068688680566
20040811,32.487548087614186
20040812,33.104447610357084
20040813,32.96388366200788
20040814,32.96388366200788
20040815,32.96388366200788
20040816,34.41228184973975
20040817,34.05674027472657
20040818,31.565575070379133
20040819,37.34410046660983
20040820,37.13845432498375
20040821,37.13845432498375
20040822,37.13845432498375
20040823,36.64894568687724
20040824,36.47257403378284
20040825,36.472539468596665
20040826,33.29459795209946
20040827,28.005841300192113
20040828,28.005841300192113
20040829,28.005841300192113
20040830,33.56132003188148
20040831,31.901774824496684
20040901,28.23392694960983
20040902,28.13305374770882
20040903,25.59513463787096
20040904,25.59513463787096
20040905,25.59513463787096
20040906,24.197137622169603
20040907,24.4480248878556
20040908,22.437894801942644
20040909,24.157450414634013
20040910,23.725013756843335
20040911,23.725013756843335
20040912,23.725013756843335
20040913,23.87925156129575
20040914,23.120109231468366
20040915,22.942205417284065
20040916,28.269257878140827
20040917,24.13247739604097
20040918,24.13247739604097
20040919,24.13247739604097
20040920,24.541628257245442
20040921,24.552862546052747
20040922,24.386575452709067
20040923,24.479526657574073
20040924,24.712221618207217
20040925,24.712221618207217
20040926,24.712221618207217
20040927,24.766083503054105
20040928,25.006533003509244
20040929,24.468721612184638
20040930,24.144064375396155
20041001,24.27899355813446
20041002,24.27899355813446
20041003,24.27899355813446
20041004,28.87688087205262
20041005,28.802713633631253
20041006,32.55568652349891
20041007,32.31932664657989
20041008,33.729903718264936
20041009,33.729903718264936
20041010,33.729903718264936
20041011,33.85950918346294
20041012,38.80233051665198
20041013,33.54719377545685
20041014,33.60279347092381
20041015,34.01869619806148
20041016,34.01869619806148
20041017,34.01869619806148
20041018,34.14354027871239
20041019,33.77726281828057
20041020,34.23287488535737
20041021,37.938873679663395
20041022,37.36425035870444
20041023,37.36425035870444
20041024,37.36425035870444
20041025,38.00240446689083
20041026,37.98591336001736
20041027,37.38284001211
20041028,38.011550248587604
20041029,37.59695618685952
20041030,37.59695618685952
20041031,37.59695618685952
20041101,37.59695618685952
20041102,36.73936499682233
20041103,33.96612625158663
20041104,48.14452282812187
20041105,48.04097302985368
20041106,48.04097302985368
20041107,48.04097302985368
20041108,48.88243760015598
20041109,46.97862276267123
20041110,40.75827113856772
20041111,40.75827113856772
20041112,39.233190777074185
