Date,Agat Ejendomme A/S
20040326,62.57453136256642
20040327,62.57453136256642
20040328,62.57453136256642
20040329,65.3572154720388
20040330,62.56588723739036
20040331,61.16293133131196
20040401,62.91461640759237
20040402,63.17635710164738
20040403,63.17635710164738
20040404,63.17635710164738
20040405,65.91464035992618
20040406,66.8123039886828
20040407,68.4279096512465
20040408,68.4279096512465
20040409,68.4279096512465
20040410,68.4279096512465
20040411,68.4279096512465
20040412,68.4279096512465
20040413,71.12255442881607
20040414,76.13697941720825
20040415,73.34370373163848
20040416,72.34527333993204
20040417,72.34527333993204
20040418,72.34527333993204
20040419,76.07878347225186
20040420,73.4505267525734
20040421,75.31902798344873
20040422,74.50514128257655
20040423,75.1361410528594
20040424,75.1361410528594
20040425,75.1361410528594
20040426,80.91815678134721
20040427,77.7365598316886
20040428,80.88496801457181
20040429,79.44800987236144
20040430,110.55016691931948
20040501,110.55016691931948
20040502,110.55016691931948
20040503,125.39845996624312
20040504,134.6349999125051
20040505,114.3115560257232
20040506,110.3387050511147
20040507,110.3387050511147
20040508,110.3387050511147
20040509,110.3387050511147
20040510,119.08957632073069
20040511,118.7462300466258
20040512,121.0873162704226
20040513,131.2018799890883
20040514,141.46341448181445
20040515,141.46341448181445
20040516,141.46341448181445
20040517,143.91218775175994
20040518,139.892921278056
20040519,140.0066211768867
20040520,140.0066211768867
20040521,139.72124907579857
20040522,139.72124907579857
20040523,139.72124907579857
20040524,135.79529045666314
20040525,138.6368537454743
20040526,133.38638250557023
20040527,132.42889162660938
20040528,137.74769419021465
20040529,137.74769419021465
20040530,137.74769419021465
20040531,137.74769419021465
20040601,134.33132946987894
20040602,125.73095825464677
20040603,119.23828458224637
20040604,116.24377981652329
20040605,116.24377981652329
20040606,116.24377981652329
20040607,114.9657338648538
20040608,120.71017126920296
20040609,122.2465750706316
20040610,114.84939843832379
20040611,117.87546933086229
20040612,117.87546933086229
20040613,117.87546933086229
20040614,115.52233832844875
20040615,115.31842664151814
20040616,98.39877248468146
20040617,94.02916396666161
20040618,92.1334634657376
20040619,92.1334634657376
20040620,92.1334634657376
20040621,102.91749332924482
20040622,88.60418048993547
20040623,85.9762969657668
20040624,87.66927337380693
20040625,88.3889894359826
20040626,88.3889894359826
20040627,88.3889894359826
20040628,83.73420405247961
20040629,92.21999145754474
20040630,84.23037165762088
20040701,81.9413125664759
20040702,82.39434648183902
20040703,82.39434648183902
20040704,82.39434648183902
20040705,81.76401267735545
20040706,81.35982562848008
20040707,81.21943294526628
20040708,80.94145997121832
20040709,81.87521848580354
20040710,81.87521848580354
20040711,81.87521848580354
20040712,78.84635416690317
20040713,79.44416239219255
20040714,78.06952716186048
20040715,81.79109335471345
20040716,78.89477416811744
20040717,78.89477416811744
20040718,78.89477416811744
20040719,77.18143073210075
20040720,76.58024041289562
20040721,77.40519577967686
20040722,77.87707756185446
20040723,76.5416164177717
20040724,76.5416164177717
20040725,76.5416164177717
20040726,77.56306592704594
20040727,79.83595950360791
20040728,81.8591647010851
20040729,85.66235499619464
20040730,90.63163934456747
20040731,90.63163934456747
20040801,90.63163934456747
20040802,81.42053394020401
20040803,77.88337847250035
20040804,81.1282524909878
20040805,80.67853677554803
20040806,89.19101281204847
20040807,89.19101281204847
20040808,89.19101281204847
20040809,93.83426085939797
20040810,93.99588747716543
20040811,102.87117637891649
20040812,103.09023545303702
20040813,106.17693573644544
20040814,106.17693573644544
20040815,106.17693573644544
20040816,106.36329149101016
20040817,96.23114036873919
20040818,105.0314930250471
20040819,101.93987745536964
20040820,105.73716171900324
20040821,105.73716171900324
20040822,105.73716171900324
20040823,101.80740115981015
20040824,103.36643784059078
20040825,109.18614273844207
20040826,109.82550193027119
20040827,108.1332361519929
20040828,108.1332361519929
20040829,108.1332361519929
20040830,106.31238562422834
20040831,100.01479451791036
20040901,103.17521687430981
