Date,Andhra Bank
20040326,35.13937663098301
20040327,35.13937663098301
20040328,35.13937663098301
20040329,31.274292178940648
20040330,28.541735544223773
20040331,27.75269076784444
20040401,27.901104933377567
20040402,24.703079661705612
20040403,24.703079661705612
20040404,24.703079661705612
20040405,24.217508105064514
20040406,24.969289095473666
20040407,26.56188235892881
20040408,23.691016016191277
20040409,23.691016016191277
20040410,23.691016016191277
20040411,23.691016016191277
20040412,23.34367867458019
20040413,20.911246412123504
20040414,20.911246412123504
20040415,20.473553605004014
20040416,19.926472691232888
20040417,19.926472691232888
20040418,19.926472691232888
20040419,16.057089811398036
20040420,16.03304610627036
20040421,14.887904086295071
20040422,13.544684204116269
20040423,12.833423179090255
20040424,12.833423179090255
20040425,12.833423179090255
20040426,12.833423179090255
20040427,17.377076140889102
20040428,16.738924594128555
20040429,23.786544747290257
20040430,31.013986487783093
20040501,31.013986487783093
20040502,31.013986487783093
20040503,33.26808553761914
20040504,28.305254111693337
20040505,28.366359341116244
20040506,27.821459002766897
20040507,29.272271515021824
20040508,29.272271515021824
20040509,29.272271515021824
20040510,31.385090032124427
20040511,37.321756917624704
20040512,37.579379999459746
20040513,38.32434317484268
20040514,56.65385876062771
20040515,56.65385876062771
20040516,56.65385876062771
20040517,81.58944641922692
20040518,57.57573778193407
20040519,47.87825894325466
20040520,50.56770644005176
20040521,51.169813838027764
20040522,51.169813838027764
20040523,51.169813838027764
20040524,49.48157022378461
20040525,53.093061440330956
20040526,55.050000982692964
20040527,57.00280273978698
20040528,70.86436812845882
20040529,70.86436812845882
20040530,70.86436812845882
20040531,94.5853060053593
20040601,86.01241111246144
20040602,80.41780354738921
20040603,80.77450528159572
20040604,77.7752468666808
20040605,77.7752468666808
20040606,77.7752468666808
20040607,81.11353521653176
20040608,82.52511628951984
20040609,79.36747724676532
20040610,80.39571400388138
20040611,86.9508734725406
20040612,86.9508734725406
20040613,86.9508734725406
20040614,97.89301193977366
20040615,90.92443149748466
20040616,93.88737645099187
20040617,94.03389941423389
20040618,100.03375365580486
20040619,100.03375365580486
20040620,100.03375365580486
20040621,110.50614956893246
20040622,110.2231689220448
20040623,114.15363801138467
20040624,111.06005781266695
20040625,108.80643926226917
20040626,108.80643926226917
20040627,108.80643926226917
20040628,102.35437477273918
20040629,103.46444156589602
20040630,109.83975954628616
20040701,103.31661909261317
20040702,105.5444822274611
20040703,105.5444822274611
20040704,105.5444822274611
20040705,113.06688537447786
20040706,107.16721809469081
20040707,107.57333733388482
20040708,125.87923649340381
20040709,117.46739084115826
20040710,117.46739084115826
20040711,117.46739084115826
20040712,116.36069720464347
20040713,117.6495986832932
20040714,119.43388334814888
20040715,111.3551887805922
20040716,107.58913250022331
20040717,107.58913250022331
20040718,107.58913250022331
20040719,97.60288192677491
20040720,101.0630158851856
20040721,96.37350367511097
20040722,87.65550693006436
20040723,89.7232991690039
20040724,89.7232991690039
20040725,89.7232991690039
20040726,92.33772117631236
20040727,98.82370071336629
20040728,103.1531411276097
20040729,91.0009363216145
20040730,92.80971706271895
20040731,92.80971706271895
20040801,92.80971706271895
20040802,95.47688978736448
20040803,95.55989399428242
20040804,99.20711573237989
20040805,90.68734626865637
20040806,93.51034985544842
20040807,93.51034985544842
20040808,93.51034985544842
20040809,95.87913692024613
20040810,97.36252449119318
20040811,106.23509343714218
20040812,114.82125145551895
20040813,117.00499853501647
20040814,117.00499853501647
20040815,117.00499853501647
20040816,115.471033495261
20040817,111.14508720442683
20040818,117.36805555448046
20040819,116.33633513161374
20040820,120.70094903067077
20040821,120.70094903067077
20040822,120.70094903067077
20040823,127.94578749419902
20040824,127.79276318879432
20040825,119.72837265057066
20040826,120.89959918545537
20040827,120.42280120107799
20040828,120.42280120107799
20040829,120.42280120107799
20040830,114.96677007431528
20040831,105.50892235846445
20040901,102.4641121973385
20040902,100.7411986032909
20040903,95.79835729655674
20040904,95.79835729655674
20040905,95.79835729655674
20040906,94.04946385342248
20040907,89.68033851716329
20040908,88.98020723680304
20040909,95.79184145278151
20040910,96.173580917985
20040911,96.173580917985
20040912,96.173580917985
20040913,94.0174797650494
20040914,91.91389016889838
20040915,90.27688346336176
20040916,88.18545507252632
20040917,83.9118233135252
20040918,83.9118233135252
20040919,83.9118233135252
20040920,85.26617780079357
20040921,80.60764058787322
20040922,76.3145772367932
20040923,78.12400358977143
20040924,81.87183056564474
20040925,81.87183056564474
20040926,81.87183056564474
20040927,83.61073707973102
20040928,86.32302037616142
20040929,83.54688337598688
20040930,82.9532917556059
20041001,77.64765951176133
20041002,77.64765951176133
20041003,77.64765951176133
20041004,77.79021355597969
20041005,75.82749176527368
20041006,77.19977288893134
20041007,74.7936553395438
20041008,75.96312461650996
20041009,75.96312461650996
20041010,75.96312461650996
20041011,79.4998700285481
20041012,83.52721005262124
20041013,83.52721005262124
20041014,83.535159681539
20041015,85.40320033019607
20041016,85.40320033019607
20041017,85.40320033019607
20041018,90.08146433444428
20041019,88.68833437155429
20041020,89.33513390245511
20041021,87.29122444059682
20041022,87.29122444059682
20041023,87.29122444059682
20041024,87.29122444059682
20041025,95.09946278150743
20041026,91.10736048063383
20041027,92.64295517967757
20041028,90.72369549300899
20041029,94.08757973259921
20041030,94.08757973259921
20041031,94.08757973259921
20041101,93.92722577894072
20041102,90.66877749331181
20041103,85.1364395821047
20041104,85.19635147436917
20041105,82.7289530656157
20041106,82.7289530656157
20041107,82.7289530656157
20041108,79.43797862197515
20041109,81.5689755554328
20041110,80.04093974375262
20041111,78.17294832558231
20041112,78.64817802047145
