Date,AMP Ltd
20040326,29.010303710873185
20040327,29.010303710873185
20040328,29.010303710873185
20040329,29.173136192051672
20040330,28.222487373025146
20040331,96.52333546739726
20040401,95.27889449371476
20040402,97.00223645937395
20040403,97.00223645937395
20040404,97.00223645937395
20040405,95.6920663734621
20040406,95.52506057180727
20040407,96.65137294767432
20040408,96.87989535200757
20040409,96.87989535200757
20040410,96.87989535200757
20040411,96.87989535200757
20040412,96.87989535200757
20040413,98.46018814197579
20040414,102.278394082562
20040415,104.84805456522622
20040416,105.35050613184123
20040417,105.35050613184123
20040418,105.35050613184123
20040419,105.0150766554759
20040420,100.58702267096365
20040421,106.3205433132703
20040422,103.49046461453423
20040423,102.66955501828652
20040424,102.66955501828652
20040425,102.66955501828652
20040426,103.11245825803873
20040427,102.40946116934313
20040428,97.86594223245716
20040429,104.40830238113817
20040430,100.3547222988399
20040501,100.3547222988399
20040502,100.3547222988399
20040503,103.12838639822613
20040504,102.98721188216007
20040505,100.11622148026089
20040506,97.82603241192746
20040507,103.34100285645077
20040508,103.34100285645077
20040509,103.34100285645077
20040510,110.39599514749932
20040511,114.70148093843913
20040512,111.26144928782848
20040513,112.91837375963367
20040514,115.7368854244891
20040515,115.7368854244891
20040516,115.7368854244891
20040517,115.31237678617484
20040518,116.02487988390655
20040519,111.60413133197393
20040520,115.59662051786319
20040521,113.56380180225767
20040522,113.56380180225767
20040523,113.56380180225767
20040524,114.78424946893396
20040525,114.47874356343648
20040526,112.77156485222991
20040527,110.88795982958429
20040528,109.49730757397315
20040529,109.49730757397315
20040530,109.49730757397315
20040531,106.763296372747
20040601,107.30673610831525
20040602,109.13701827264033
20040603,110.4809282915008
20040604,111.05404536356247
20040605,111.05404536356247
20040606,111.05404536356247
20040607,104.3022934621959
20040608,99.91170738627869
20040609,103.30015370825484
20040610,101.971358162877
20040611,103.79659762529565
20040612,103.79659762529565
20040613,103.79659762529565
20040614,103.79659762529565
20040615,103.97514086936049
20040616,102.4190066703232
20040617,102.67796222683894
20040618,104.13852505048487
20040619,104.13852505048487
20040620,104.13852505048487
20040621,102.08644624983336
20040622,101.54927105053545
20040623,96.09613373322854
20040624,92.83694587301306
20040625,90.88467212842707
20040626,90.88467212842707
20040627,90.88467212842707
20040628,89.94289915884208
20040629,91.77470313512376
20040630,89.49613012055052
20040701,88.77672883205798
20040702,91.11043150742239
20040703,91.11043150742239
20040704,91.11043150742239
20040705,90.59733257323222
20040706,89.46804229506573
20040707,86.59069084734013
20040708,87.24506476758954
20040709,87.43997135576623
20040710,87.43997135576623
20040711,87.43997135576623
20040712,87.05171589114451
20040713,85.76977835499969
20040714,87.54881750645782
