Date,Gazit-Globe Ltd
20040326,19.406149095896165
20040327,19.406149095896165
20040329,19.108319042517714
20040330,18.567393436042078
20040331,19.523737589434777
20040401,19.33606295709346
20040402,19.33606295709346
20040403,19.33606295709346
20040407,20.46449318506956
20040408,21.002965859385544
20040409,21.002965859385544
20040410,21.002965859385544
20040411,21.002965859385544
20040412,21.002965859385544
20040413,21.68222093762652
20040414,23.423003519109617
20040415,23.355373224262145
20040416,23.355373224262145
20040417,23.355373224262145
20040419,24.368400614315096
20040420,23.64070414762944
20040421,24.264318826674515
20040422,24.5569768106594
20040423,24.5569768106594
20040424,24.5569768106594
20040428,25.10250848824508
20040429,25.83367631565405
20040430,25.83367631565405
20040501,25.83367631565405
20040503,26.7330998759066
20040504,26.74064528335081
20040505,26.56487632586029
20040506,27.183625281160317
20040507,27.183625281160317
20040508,27.183625281160317
20040510,31.780059423115464
20040511,33.13973245148556
20040512,33.015364027656034
20040513,32.2278159404162
20040514,32.2278159404162
20040515,32.2278159404162
20040517,35.513884733507645
20040518,33.98732890600608
20040519,31.443561945216253
20040520,30.839991908364958
20040521,30.839991908364958
20040522,30.839991908364958
20040524,30.3956098023056
20040525,30.3956098023056
20040526,30.3956098023056
20040527,34.185420723265096
20040528,34.185420723265096
20040529,34.185420723265096
20040531,38.11351083634424
20040601,38.589987396834395
20040602,37.10245351460861
20040603,37.324466865914715
20040604,37.324466865914715
20040605,37.324466865914715
20040607,37.37547495867293
20040608,35.15540415006672
20040609,34.53332230551295
20040610,33.153600006148345
20040611,33.153600006148345
20040612,33.153600006148345
20040614,31.475499163021087
20040615,33.08646514987284
20040616,31.667185058810926
20040617,31.59188477169101
20040618,31.59188477169101
20040619,31.59188477169101
20040621,30.727753848910716
20040622,31.777339528680418
20040623,32.25238381144446
20040624,32.91442622510471
20040625,32.91442622510471
20040626,32.91442622510471
20040628,33.53316883350207
20040629,34.10130004452362
20040630,32.82911213676079
20040701,31.16717345817876
20040702,31.16717345817876
20040703,31.16717345817876
20040705,30.34409984999919
20040706,30.53648692752
20040707,31.032046579741234
20040708,30.90283958796215
20040709,30.90283958796215
20040710,30.90283958796215
20040712,32.29232657775843
20040713,32.04027728435007
20040714,32.42507936944744
20040715,32.450252449649994
20040716,32.450252449649994
20040717,32.450252449649994
20040719,32.784081729128836
20040720,32.25260716429276
20040721,30.613402638748305
20040722,31.862408184684334
20040723,31.862408184684334
20040724,31.862408184684334
20040726,32.50292897132605
20040727,32.50292897132605
20040728,33.85027094654363
20040729,34.09251722219443
20040730,34.09251722219443
20040731,34.09251722219443
20040802,35.13756718385535
20040803,34.90846611439407
20040804,35.42110845820364
20040805,35.20177423449509
20040806,35.20177423449509
20040807,35.20177423449509
20040809,38.22583917799283
20040810,36.60406075435719
20040811,37.71966217099617
20040812,38.432745564978035
20040813,38.432745564978035
20040814,38.432745564978035
20040816,41.04384610242109
20040817,40.02405235783562
20040818,40.33254531570325
20040819,38.93204313144096
20040820,38.93204313144096
20040821,38.93204313144096
20040823,34.252696433858624
20040824,32.77003249925295
20040825,31.931785808852364
20040826,32.01745168162922
20040827,32.01745168162922
20040828,32.01745168162922
20040830,32.30991964323226
20040831,36.01230095068308
20040901,35.604070931837384
20040902,34.91960727725878
20040903,34.91960727725878
20040904,34.91960727725878
20040906,35.688870371527386
20040907,35.090222904472824
20040908,35.9683679195236
20040909,36.72561588862995
20040910,36.72561588862995
20040911,36.72561588862995
20040913,35.79433163587712
20040914,33.85692909763907
20040915,33.85692909763907
20040916,33.85692909763907
20040917,33.85692909763907
20040918,33.85692909763907
20040920,33.61725025869837
20040921,33.61725025869837
20040922,33.61725025869837
20040923,36.11506998738191
20040924,36.11506998738191
20040925,36.11506998738191
20040927,36.107107999070834
20040928,39.10058663657578
20040929,39.10058663657578
20040930,39.10058663657578
20041001,39.10058663657578
20041002,39.10058663657578
20041004,39.41332307619241
20041005,40.448193459168955
20041006,40.448193459168955
20041007,40.448193459168955
20041008,40.448193459168955
20041009,40.448193459168955
20041011,42.048003649243256
20041012,42.41492800740807
20041013,42.40021474957671
20041014,43.91803554833697
20041015,43.91803554833697
20041016,43.91803554833697
20041018,45.873821244967495
20041019,46.075387855799534
20041020,46.6338247854656
20041021,45.782379971241845
20041022,45.782379971241845
20041023,45.782379971241845
20041025,47.92353941221609
20041026,46.17620603353618
20041027,47.8490392244685
20041028,48.39282097080786
20041029,48.39282097080786
20041030,48.39282097080786
20041101,44.23979632020554
20041102,43.99015734297224
20041103,44.47766111468843
20041104,44.928324709690195
20041105,44.928324709690195
20041106,44.928324709690195
20041108,45.86672771220861
20041109,44.40685488019593
20041110,44.07436010376163
20041111,42.86137915412584
20041112,42.86137915412584
20041113,42.86137915412584
20041115,41.10807905778847
20041116,39.825865077745064
20041117,40.298410793264935
20041118,41.182256818112194
20041119,41.182256818112194
20041120,41.182256818112194
20041122,43.40515041622456
20041123,42.00668171800946
20041124,43.76756946247321
20041125,45.08222211057362
20041126,45.08222211057362
20041127,45.08222211057362
20041129,45.66460822851363
20041130,45.739015904483146
20041201,46.2213534087655
20041202,43.36233178257934
20041203,43.36233178257934
20041204,43.36233178257934
20041206,39.820863558285204
20041207,35.98051884332267
20041208,36.21545338205869
20041209,37.758526055781644
20041210,37.758526055781644
20041211,37.758526055781644
20041213,36.629094090626744
20041214,36.68650345501456
20041215,36.55006848114579
20041216,35.400050477870025
20041217,35.400050477870025
20041218,35.400050477870025
20041220,36.22473792899621
20041221,37.332112072279216
20041222,37.0774589451714
20041223,37.28014104669129
20041224,37.28014104669129
