Date,Kuwait Financial Centre SAK
20040329,0.6237086014964276
20040330,0.6255017502188173
20040331,1.5061237480881853
20040401,1.5061237480881853
20040402,1.5061237480881853
20040405,1.4609570251042123
20040406,1.4832757641392458
20040407,1.486188579660155
20040408,1.486188579660155
20040409,1.486188579660155
20040412,1.4665631777046506
20040413,1.461469745410533
20040414,1.4541115029413816
20040415,1.4541115029413816
20040416,1.4541115029413816
20040419,1.7737649908835487
20040420,1.6525105224311285
20040421,1.7395410357953924
20040422,1.7395410357953924
20040423,1.7395410357953924
20040426,1.9868531021448494
20040427,2.143065359037272
20040428,2.167858769130376
20040429,2.167858769130376
20040430,2.167858769130376
20040501,2.167858769130376
20040503,2.430130484472235
20040504,2.3826048702472105
20040505,2.3577001735545142
20040506,2.3577001735545142
20040507,2.3577001735545142
20040510,2.3763668304223122
20040511,2.51471067060546
20040512,2.501452850027593
20040513,2.501452850027593
20040514,2.501452850027593
20040517,2.4446216816279844
20040518,2.2620081404670054
20040519,2.3212464816077487
20040520,2.3212464816077487
20040521,2.3212464816077487
20040524,2.330097918334651
20040525,2.257315443295751
20040526,2.2109998321535413
20040527,2.2109998321535413
20040528,2.2109998321535413
20040531,1.6535637995606642
20040601,1.6061834584112933
20040602,1.606739061569627
20040603,1.606739061569627
20040604,1.606739061569627
20040607,1.6320340332927272
20040608,1.662856032249636
20040609,1.6764218760965557
20040610,1.6764218760965557
20040611,1.6764218760965557
20040614,1.5880060567388312
20040615,1.5933161217379321
20040616,1.6264155140951695
20040617,1.6264155140951695
20040618,1.6264155140951695
20040621,1.4970769795489294
20040622,1.52446723847454
20040623,1.5225630394322573
20040624,1.5225630394322573
20040625,1.5225630394322573
20040628,1.4986202620402975
20040629,1.5205661386515414
20040630,2.7390323450538125
20040701,2.7390323450538125
20040702,2.7390323450538125
20040705,2.460758568101086
20040706,2.5456078877459505
20040707,2.537857304528681
20040708,2.537857304528681
20040709,2.537857304528681
20040712,2.545258128811933
20040713,2.5270289544308593
