Date,Gemdale Properties & Investment Corp Ltd
20141202,62.22152864152521
20141203,61.61711274451175
20141204,60.49869847851221
20141205,62.20340361248243
20141206,62.20340361248243
20141207,62.20340361248243
20141208,58.30901909764213
20141209,63.92439559002361
20141210,62.898961843291964
20141211,63.67600986939068
20141212,63.23565656282534
20141213,63.23565656282534
20141214,63.23565656282534
20141215,63.73109785618867
20141216,65.0185134650553
20141217,70.15550798756345
20141218,69.23559446063229
20141219,69.91519657544937
20141220,69.91519657544937
20141221,69.91519657544937
20141222,67.95763203015244
20141223,59.96363594270223
20141224,62.382820877816364
20141225,62.382820877816364
20141226,62.382820877816364
20141227,62.382820877816364
20141228,62.382820877816364
20141229,58.89254140286354
20141230,48.31164094088942
20141231,49.41624908806936
20150101,49.41624908806936
20150102,44.517688875605536
20150103,44.517688875605536
20150104,44.517688875605536
20150105,45.59310689270098
20150106,50.21586646399533
20150107,50.13134693558142
20150108,53.96639848529105
20150109,55.62842186980942
20150110,55.62842186980942
20150111,55.62842186980942
20150112,56.37887288198862
20150113,55.230134072795714
20150114,55.22843315558182
20150115,54.009414535197664
20150116,58.037370481276525
20150117,58.037370481276525
20150118,58.037370481276525
20150119,61.0041657916863
20150120,60.345811624671974
20150121,59.91491712215365
20150122,60.69256161555149
20150123,59.772630775027515
20150124,59.772630775027515
20150125,59.772630775027515
20150126,61.649427979968564
20150127,59.392625644192606
20150128,60.00335728064555
20150129,62.64782588152061
20150130,53.244017631826516
20150131,53.244017631826516
20150201,53.244017631826516
20150202,55.999547446433354
20150203,55.92167978634201
20150204,54.20451116076188
20150205,52.58838732510983
20150206,54.73950127121797
20150207,54.73950127121797
20150208,54.73950127121797
20150209,55.486734992970305
20150210,54.4591824717292
20150211,55.873762214651705
20150212,55.85651047626049
20150213,30.12624384053099
20150214,30.12624384053099
20150215,30.12624384053099
20150216,31.32729180643574
20150217,31.91178893258328
20150218,31.7000131746958
20150219,31.7000131746958
20150220,31.7000131746958
20150221,31.7000131746958
20150222,31.7000131746958
20150223,31.973218700111307
20150224,31.9696378763128
20150225,31.12207340533964
20150226,31.125327194757016
20150227,34.928594242637786
20150228,34.928594242637786
20150301,34.928594242637786
20150302,34.87517258491797
20150303,35.658678037047444
20150304,35.911367328685216
20150305,36.782011308071944
20150306,36.01711996539166
20150307,36.01711996539166
20150308,36.01711996539166
20150309,36.78891212326566
20150310,36.60721492856571
20150311,36.49860279886906
20150312,37.14426415062753
20150313,27.185525104916362
20150314,27.185525104916362
20150315,27.185525104916362
20150316,26.945268989587788
20150317,26.601761486033737
20150318,26.155608227599743
20150319,26.708968428173275
20150320,27.002534020091638
20150321,27.002534020091638
20150322,27.002534020091638
20150323,26.299341871175276
20150324,26.682419837067343
20150325,27.151484905216723
20150326,27.848605836530105
20150327,25.198431620375445
20150328,25.198431620375445
20150329,25.198431620375445
20150330,23.12866658791591
20150331,21.855505268380874
20150401,22.336123110659564
20150402,22.34437683729111
20150403,22.34437683729111
20150404,22.34437683729111
20150405,22.34437683729111
20150406,22.34437683729111
20150407,22.34437683729111
20150408,19.50100662587757
20150409,17.743586270452145
20150410,17.381074468026092
20150411,17.381074468026092
20150412,17.381074468026092
20150413,12.83313161296936
20150414,13.780354344487675
20150415,15.917033835261275
20150416,15.308378124309032
20150417,15.955857401712649
20150418,15.955857401712649
20150419,15.955857401712649
20150420,17.342072376137168
20150421,16.17330650728333
20150422,14.560614075968314
20150423,15.00974966325772
20150424,15.349402467196972
20150425,15.349402467196972
20150426,15.349402467196972
20150427,14.198124255826404
20150428,14.059345304160122
20150429,14.037138960014289
20150430,11.802348014726775
20150501,11.802348014726775
20150502,11.802348014726775
20150503,11.802348014726775
20150504,10.783572869619272
20150505,12.292013384672488
20150506,13.102114045173105
20150507,14.992334188383726
20150508,11.560674151707612
20150509,11.560674151707612
20150510,11.560674151707612
20150511,11.506680738261286
20150512,13.197503083126703
20150513,13.246437987361661
20150514,12.096862993114474
20150515,12.505323320611295
20150516,12.505323320611295
20150517,12.505323320611295
20150518,12.938611534056973
20150519,12.111825179152346
20150520,12.817463103650383
20150521,13.276367411234851
20150522,12.731618682108461
20150523,12.731618682108461
20150524,12.731618682108461
20150525,12.731618682108461
20150526,11.900775898061994
20150527,12.66023721881638
20150528,13.47827319166832
20150529,12.459277020521863
20150530,12.459277020521863
20150531,12.459277020521863
20150601,12.43505711225011
20150602,11.758808268068856
20150603,11.762996450858042
20150604,12.1338716183879
20150605,12.177326931254115
20150606,12.177326931254115
20150607,12.177326931254115
20150608,12.567065694499254
20150609,14.089328482370743
20150610,14.658106135336496
20150611,15.681418843286167
20150612,14.404172922742363
20150613,14.404172922742363
20150614,14.404172922742363
20150615,16.117111559810947
20150616,17.36228997543134
20150617,14.24571469130647
20150618,14.284450999380814
20150619,14.744764040113024
20150620,14.744764040113024
20150621,14.744764040113024
20150622,13.933673883469591
20150623,14.244915369994743
20150624,14.194729411585355
20150625,14.293773879070889
20150626,16.04154039713429
20150627,16.04154039713429
20150628,16.04154039713429
20150629,17.67160936345783
20150630,17.06004270155722
20150701,17.06004270155722
20150702,18.45033882729043
20150703,20.70530586010766
20150704,20.70530586010766
20150705,20.70530586010766
20150706,27.49041236891495
20150707,31.46933509472265
20150708,46.18364259617404
20150709,32.773327502753226
20150710,26.643380004876303
20150711,26.643380004876303
20150712,26.643380004876303
20150713,25.535302437268392
20150714,24.623479008501697
20150715,26.11784225497944
20150716,25.544440985996367
20150717,24.94931351935208
20150718,24.94931351935208
20150719,24.94931351935208
20150720,25.39202446152711
20150721,25.344879753042278
20150722,25.657785055418326
20150723,25.754461468637995
20150724,26.949127676666205
20150725,26.949127676666205
20150726,26.949127676666205
20150727,32.420216237295165
20150728,32.47809263377367
20150729,29.403178234962773
20150730,30.71044804807683
20150731,36.77702667219537
20150801,36.77702667219537
20150802,36.77702667219537
20150803,37.64701944303651
20150804,35.503703689878435
20150805,36.30725993771685
20150806,37.15733229678179
20150807,35.56954727178035
20150808,35.56954727178035
20150809,35.56954727178035
20150810,34.464217681364815
20150811,35.2138250564863
20150812,39.295522258687264
20150813,40.08224301267685
20150814,38.540288610905804
20150815,38.540288610905804
20150816,38.540288610905804
20150817,43.01494687172455
20150818,45.853917070555966
20150819,48.06838728351204
20150820,50.540991200244996
20150821,58.649464733932
20150822,58.649464733932
20150823,58.649464733932
20150824,71.46468529204951
20150825,73.41164230316357
20150826,70.0178510241588
20150827,60.28520383530642
20150828,61.21266475001445
20150829,61.21266475001445
20150830,61.21266475001445
20150831,65.31872206476523
20150901,65.97206358602173
20150902,66.3660185040974
20150903,66.3660185040974
20150904,60.01006726979636
20150905,60.01006726979636
20150906,60.01006726979636
20150907,57.56690694226298
20150908,53.8706030123011
20150909,52.977888063569246
20150910,53.10303726308481
20150911,55.31844968643484
20150912,55.31844968643484
20150913,55.31844968643484
20150914,57.541912073974366
20150915,62.57684884256741
20150916,58.03843585096223
20150917,57.09163705520807
20150918,52.81365953576488
20150919,52.81365953576488
20150920,52.81365953576488
20150921,54.087396390205775
20150922,51.76110984554404
20150923,54.415994736741645
20150924,54.58715366449771
20150925,54.144631015607665
20150926,54.144631015607665
20150927,54.144631015607665
20150928,54.144631015607665
20150929,55.50737476461837
20150930,53.907670735994245
20151001,53.907670735994245
20151002,49.9799646525602
20151003,49.9799646525602
20151004,49.9799646525602
20151005,51.83725156563577
20151006,50.85779416473796
20151007,48.468890541851344
20151008,49.390204722961904
20151009,49.591918004482935
20151010,49.591918004482935
20151011,49.591918004482935
20151012,47.449749511154096
20151013,49.351857008637865
20151014,50.15340974965924
20151015,49.05093597744115
20151016,49.786791989328904
20151017,49.786791989328904
20151018,49.786791989328904
20151019,49.89175711682492
20151020,49.04310110623574
20151021,49.04310110623574
20151022,47.6498134077938
