Date,GEK Terna Holding Real Estate Construction SA
20040326,84.63388542522485
20040327,84.63388542522485
20040328,84.63388542522485
20040329,78.9638760934384
20040330,81.77386229813729
20040331,42.22890284161314
20040401,44.96036344564944
20040402,43.44322375608995
20040403,43.44322375608995
20040404,43.44322375608995
20040405,45.59453443105981
20040406,44.591451974194015
20040407,43.82902433465543
20040408,39.16908781185291
20040409,39.16908781185291
20040410,39.16908781185291
20040411,39.16908781185291
20040412,39.16908781185291
20040413,37.31462477038277
20040414,39.95325878324671
20040415,41.83500418256836
20040416,39.93722982302631
20040417,39.93722982302631
20040418,39.93722982302631
20040419,42.028801534846124
20040420,41.43912424371007
20040421,41.254769126578594
20040422,40.0894022485044
20040423,41.472542110959814
20040424,41.472542110959814
20040425,41.472542110959814
20040426,42.534366628883475
20040427,41.42444564058839
20040428,41.07330441844329
20040429,41.50725205495208
20040430,41.50613324511096
20040501,41.50613324511096
20040502,41.50613324511096
20040503,43.87028607573715
20040504,46.17320055799562
20040505,48.3241591800683
20040506,48.57812990506462
20040507,48.697732817940405
20040508,48.697732817940405
20040509,48.697732817940405
20040510,51.57419609227796
20040511,51.367598945151784
20040512,49.61544944442191
20040513,51.291956838054006
20040514,50.38991679958804
20040515,50.38991679958804
20040516,50.38991679958804
20040517,49.37274904738468
20040518,49.37019860766825
20040519,48.50371986195489
20040520,50.189892581950915
20040521,48.272469630411855
20040522,48.272469630411855
20040523,48.272469630411855
20040524,47.56775512577219
20040525,50.30723723304117
20040526,49.76984644331533
20040527,47.0896631133327
20040528,11.856432533504163
20040529,11.856432533504163
20040530,11.856432533504163
20040531,11.856432533504163
20040601,10.987809622746772
20040602,49.071569867751975
20040603,51.38344169562828
20040604,52.0889875667038
20040605,52.0889875667038
20040606,52.0889875667038
20040607,54.669239498117285
20040608,55.860206488094136
20040609,56.21270967906337
20040610,57.87765984220399
20040611,59.475080236562434
20040612,59.475080236562434
20040613,59.475080236562434
20040614,61.085164322245824
20040615,59.651309781697066
20040616,59.478104666837616
20040617,64.4343713858511
20040618,63.01808687860239
20040619,63.01808687860239
20040620,63.01808687860239
20040621,63.806500273558264
20040622,62.546233858079184
20040623,65.9526323983424
20040624,70.94436366813002
20040625,72.6476626391153
20040626,72.6476626391153
20040627,72.6476626391153
20040628,68.22087471453852
20040629,69.52010715005383
20040630,77.21525202499895
20040701,74.43205056651908
20040702,76.19784022713526
20040703,76.19784022713526
20040704,76.19784022713526
20040705,76.7145765030642
20040706,76.2242449492875
20040707,77.66337686058132
20040708,75.0093866197007
20040709,70.67206025858711
20040710,70.67206025858711
20040711,70.67206025858711
20040712,69.12782447437456
20040713,67.53377708192119
20040714,68.43111241261636
20040715,69.76522859778838
20040716,66.97964466394369
20040717,66.97964466394369
20040718,66.97964466394369
20040719,67.49789780265549
20040720,58.48570097885123
20040721,59.3599172446572
20040722,63.522249023324534
20040723,63.0720340268347
20040724,63.0720340268347
20040725,63.0720340268347
20040726,60.011885379279626
20040727,56.6594646699152
20040728,56.94407740620047
20040729,55.9496441527901
20040730,56.599490948574534
20040731,56.599490948574534
20040801,56.599490948574534
20040802,56.80637975201411
20040803,53.95142905388256
20040804,57.80792430933304
20040805,56.15097370995099
20040806,58.64653748432397
20040807,58.64653748432397
20040808,58.64653748432397
20040809,56.91050596113343
20040810,55.41069312524061
20040811,55.99263887364797
20040812,58.0249454190204
20040813,58.0249454190204
20040814,58.0249454190204
20040815,58.0249454190204
20040816,59.32177772837672
20040817,59.34124601386072
20040818,61.891830622179434
20040819,60.61600735636469
20040820,61.719159684814755
20040821,61.719159684814755
20040822,61.719159684814755
20040823,62.55599365959308
20040824,59.864045346243245
20040825,58.472600650306944
20040826,57.3521280661082
20040827,56.99019455706049
20040828,56.99019455706049
20040829,56.99019455706049
20040830,57.21533949848166
20040831,58.76361839318923
20040901,58.75965035766797
20040902,55.71544655755097
20040903,53.69661833155399
20040904,53.69661833155399
20040905,53.69661833155399
20040906,56.889626836907745
20040907,55.86177719316936
20040908,56.16085093499095
20040909,55.67965232009312
20040910,56.230573519467676
20040911,56.230573519467676
20040912,56.230573519467676
20040913,57.07400808743308
20040914,60.72157510303134
20040915,60.193384886256766
20040916,60.22607287975397
20040917,62.242963996768125
20040918,62.242963996768125
20040919,62.242963996768125
20040920,59.6457343777289
20040921,60.70775455484069
20040922,61.586986434674145
20040923,60.983116476742794
20040924,62.654131847847886
20040925,62.654131847847886
20040926,62.654131847847886
20040927,62.28691235756992
20040928,58.599468133956265
20040929,55.20796897435941
20040930,56.236100351960495
20041001,52.89909524921012
20041002,52.89909524921012
20041003,52.89909524921012
20041004,49.24934729826195
20041005,47.08848449639049
20041006,49.41767088353834
20041007,48.04326281047258
20041008,48.56308448754772
20041009,48.56308448754772
20041010,48.56308448754772
20041011,49.446305587951976
20041012,50.109251061748814
20041013,50.80456491722543
20041014,50.62160741207165
20041015,49.53499835283163
20041016,49.53499835283163
20041017,49.53499835283163
20041018,51.03065847585927
20041019,50.158251070254614
20041020,47.2285119515336
20041021,44.02408146279694
20041022,41.66744674183965
20041023,41.66744674183965
20041024,41.66744674183965
20041025,40.75388091012864
20041026,40.75495235892736
20041027,41.57714300505958
20041028,41.57714300505958
20041029,41.01392686640526
20041030,41.01392686640526
20041031,41.01392686640526
20041101,40.74041274489187
20041102,40.540166084894445
20041103,40.67290854938383
20041104,39.502762264465495
20041105,35.97107219608433
20041106,35.97107219608433
20041107,35.97107219608433
20041108,33.47940677126934
20041109,33.32960578735905
20041110,32.89064859709152
20041111,29.79426552737427
20041112,29.58406043604305
20041113,29.58406043604305
20041114,29.58406043604305
20041115,26.603664525442074
20041116,26.642824080168086
20041117,25.862295675527996
20041118,25.617767655917856
20041119,25.130594487092537
20041120,25.130594487092537
20041121,25.130594487092537
20041122,26.674691722782395
20041123,27.685896064500955
20041124,27.099699057846507
20041125,25.971419170224454
20041126,25.627422308357882
20041127,25.627422308357882
20041128,25.627422308357882
20041129,25.189253583905607
20041130,27.102637724919386
20041201,24.615759791823418
20041202,23.5472371444266
20041203,23.319060959566507
20041204,23.319060959566507
20041205,23.319060959566507
20041206,23.45958926074864
20041207,23.139899980960912
20041208,22.936557769240167
20041209,3.1616728720912666
20041210,2.9210263329806483
20041211,2.9210263329806483
20041212,2.9210263329806483
20041213,2.8674593062024467
20041214,3.1803713578585433
20041215,3.387093133745033
20041216,3.365086702140331
20041217,3.6424177342928936
20041218,3.6424177342928936
20041219,3.6424177342928936
20041220,3.3566923929213774
20041221,3.9267239999450068
20041222,3.8738110287918786
20041223,4.082894009993294
20041224,4.032418762152709
20041225,4.032418762152709
20041226,4.032418762152709
20041227,3.667040287002653
20041228,3.701842078175526
20041229,3.628433359678497
20041230,3.7517997233045253
20041231,6.257098638066151
20050101,6.257098638066151
20050102,6.257098638066151
20050103,6.348467467732406
20050104,6.270340346131159
20050105,6.494858762384197
20050106,6.494858762384197
20050107,6.354313924429052
20050108,6.354313924429052
20050109,6.354313924429052
20050110,6.460994931290912
20050111,6.323988982031363
20050112,6.318105150755726
20050113,6.38264471815863
20050114,6.295090757394649
20050115,6.295090757394649
20050116,6.295090757394649
20050117,6.47136928529544
20050118,6.704006812389004
20050119,6.390907755218231
20050120,6.426101671764384
20050121,5.904424108888362
20050122,5.904424108888362
20050123,5.904424108888362
20050124,5.496068625065257
20050125,5.508668624953526
20050126,5.410566214835312
20050127,5.229528704416062
20050128,5.0410468972212295
20050129,5.0410468972212295
20050130,5.0410468972212295
20050131,5.120729557469805
20050201,5.318644062313413
20050202,5.743027992316996
20050203,5.650347570933266
20050204,5.504267813515894
20050205,5.504267813515894
20050206,5.504267813515894
20050207,5.338314054547381
20050208,5.519468241052409
20050209,5.653310101769748
20050210,5.564064272681895
20050211,5.344822571302206
20050212,5.344822571302206
20050213,5.344822571302206
20050214,5.395219345937708
20050215,5.30125286677927
20050216,5.388774884306557
20050217,5.36218163288961
20050218,5.485433484172287
20050219,5.485433484172287
20050220,5.485433484172287
20050221,5.580458955985467
20050222,5.3768468324259855
20050223,5.1535234268048224
20050224,5.102648002128199
20050225,5.225564600196635
20050226,5.225564600196635
20050227,5.225564600196635
20050228,5.4832755623064955
20050301,6.0759315107857255
20050302,6.666311555678617
20050303,6.436873100102132
20050304,6.614713670033201
20050305,6.614713670033201
20050306,6.614713670033201
20050307,6.902051460295591
20050308,7.412622867442357
20050309,7.5711568493397925
20050310,7.542848565010165
20050311,6.988770045990812
20050312,6.988770045990812
20050313,6.988770045990812
20050314,6.988770045990812
20050315,7.206501629050798
20050316,7.778630342582235
20050317,8.520644613605768
20050318,8.62461037910995
20050319,8.62461037910995
20050320,8.62461037910995
20050321,9.335764290875767
20050322,9.294139420808182
20050323,9.312339058611604
20050324,9.189836570336073
20050325,9.189836570336073
20050326,9.189836570336073
20050327,9.189836570336073
20050328,9.189836570336073
20050329,9.682764785535241
20050330,10.456980611776084
20050331,10.31901626454003
20050401,10.056004450529281
20050402,10.056004450529281
20050403,10.056004450529281
20050404,10.473729680388296
20050405,10.212068235025203
20050406,10.541040867669814
20050407,10.270652244249469
20050408,9.969280213626176
20050409,9.969280213626176
20050410,9.969280213626176
20050411,9.703812752806801
20050412,9.20365143716176
20050413,9.609715149475491
20050414,9.937917909548814
20050415,10.63257744767629
20050416,10.63257744767629
20050417,10.63257744767629
20050418,11.8775940589503
20050419,11.632079688062348
20050420,12.484859952266696
20050421,12.497415784780888
20050422,12.23462476036891
20050423,12.23462476036891
20050424,12.23462476036891
20050425,12.735543279683212
20050426,13.134455810996188
20050427,12.650403267065554
20050428,12.687594453662848
20050429,12.687594453662848
20050430,12.687594453662848
20050501,12.687594453662848
20050502,12.687594453662848
20050503,13.259033247314756
20050504,13.544588148263655
20050505,12.721941805974865
20050506,12.000336564673278
20050507,12.000336564673278
20050508,12.000336564673278
20050509,12.283417993492158
20050510,12.09433805840271
20050511,12.330550508958831
20050512,12.024515127675732
20050513,12.369058125515522
20050514,12.369058125515522
20050515,12.369058125515522
20050516,12.744646922859959
20050517,12.889824589707125
20050518,13.216899831090334
20050519,12.746636177762927
20050520,11.784862706788324
20050521,11.784862706788324
20050522,11.784862706788324
20050523,12.046548404934592
20050524,12.372226384823056
20050525,11.871155487572619
20050526,11.096029295369508
20050527,11.713169886031357
20050528,11.713169886031357
20050529,11.713169886031357
20050530,11.180757399238749
20050531,11.27458499766045
20050601,10.845078422222302
20050602,10.624219153554725
20050603,10.64650464448488
20050604,10.64650464448488
20050605,10.64650464448488
20050606,10.641666658145095
20050607,10.99641932371137
20050608,10.840768251468175
20050609,11.124621577585888
20050610,10.6948227141474
20050611,10.6948227141474
20050612,10.6948227141474
20050613,11.218645162312928
20050614,11.506980216494586
20050615,11.349524729340349
20050616,11.459640654244057
20050617,11.408704597542284
20050618,11.408704597542284
20050619,11.408704597542284
20050620,11.408704597542284
20050621,12.076449618637191
20050622,12.879831743562745
20050623,12.401845421178564
20050624,13.227217253361932
20050625,13.227217253361932
20050626,13.227217253361932
20050627,13.811576745121872
20050628,13.466598145852434
20050629,15.808678405219428
20050630,16.158760330364842
20050701,15.583290073179544
