Date,DNB ASA
20040326,49.8570410347867
20040327,49.8570410347867
20040328,49.8570410347867
20040329,50.299172583560335
20040330,50.376391224529506
20040331,49.70740084442358
20040401,50.56387432632687
20040402,49.86994657204987
20040403,49.86994657204987
20040404,49.86994657204987
20040405,47.80239689793064
20040406,49.537215374699294
20040407,48.80199484719903
20040408,48.80199484719903
20040409,48.80199484719903
20040410,48.80199484719903
20040411,48.80199484719903
20040412,48.80199484719903
20040413,49.13424600468629
20040414,49.68934129940917
20040415,49.612669643098045
20040416,50.721546346342365
20040417,50.721546346342365
20040418,50.721546346342365
20040419,50.14716122945553
20040420,50.17509115649481
20040421,50.48529216830191
20040422,50.10327369047363
20040423,51.89506956690048
20040424,51.89506956690048
20040425,51.89506956690048
20040426,50.363457440212066
20040427,50.6117058565209
20040428,51.34983146789363
20040429,54.22881885140246
20040430,58.13693480549492
20040501,58.13693480549492
20040502,58.13693480549492
20040503,57.711686905988
20040504,55.77171893891411
20040505,54.09810638286589
20040506,53.414952734523204
20040507,56.07580078809623
20040508,56.07580078809623
20040509,56.07580078809623
20040510,58.60038090404585
20040511,58.90006730397373
20040512,59.4075736586097
20040513,59.78643033347048
20040514,61.59293241940324
20040515,61.59293241940324
20040516,61.59293241940324
20040517,61.59293241940324
20040518,64.83861328793678
20040519,60.88178074116047
20040520,60.88178074116047
20040521,61.5066215575847
20040522,61.5066215575847
20040523,61.5066215575847
20040524,61.85195276462007
20040525,61.977894460554595
20040526,61.33086579013698
20040527,61.338010865992466
20040528,46.3373752323945
20040529,46.3373752323945
20040530,46.3373752323945
20040531,46.3373752323945
20040601,46.67210137607425
20040602,45.50729895441584
20040603,45.82682317580537
20040604,46.00855651648553
20040605,46.00855651648553
20040606,46.00855651648553
20040607,44.93194454596958
20040608,43.98821876170028
20040609,43.6681429192243
20040610,43.988515649650786
20040611,44.30879815815175
20040612,44.30879815815175
20040613,44.30879815815175
20040614,44.8761128547456
20040615,44.27502669825352
20040616,44.27070002187913
20040617,42.45953372578703
20040618,41.514874489323326
20040619,41.514874489323326
20040620,41.514874489323326
20040621,43.404706073206235
20040622,43.79025380184595
20040623,44.49478336277931
20040624,42.53635482172271
20040625,41.96402079993759
20040626,41.96402079993759
20040627,41.96402079993759
20040628,43.46786116584449
20040629,42.75981850755612
20040630,47.987843292077535
20040701,45.483267347830854
20040702,47.92150156374199
20040703,47.92150156374199
20040704,47.92150156374199
20040705,48.18329321210365
20040706,47.61391173465012
20040707,48.26988429163954
20040708,47.675058466728565
20040709,47.82715363983837
20040710,47.82715363983837
20040711,47.82715363983837
20040712,48.03195166707322
20040713,47.90782075246043
20040714,48.0395381682098
20040715,47.35406375689682
20040716,47.928405991686596
20040717,47.928405991686596
20040718,47.928405991686596
20040719,50.30054827249384
20040720,51.07304401225372
20040721,50.69175933171842
20040722,51.54535104441437
20040723,51.21270527477712
20040724,51.21270527477712
20040725,51.21270527477712
20040726,51.70932268567155
20040727,50.78155604320367
20040728,50.47111780355557
20040729,51.44317446001551
20040730,52.228267896873874
20040731,52.228267896873874
20040801,52.228267896873874
20040802,50.936418878209324
20040803,50.342622220716514
20040804,50.19296298137292
20040805,50.51645662877243
20040806,52.90630633936553
20040807,52.90630633936553
20040808,52.90630633936553
20040809,53.36072979261129
20040810,52.32978181077261
20040811,53.216124596277886
20040812,49.78452011318992
20040813,47.90166931016631
20040814,47.90166931016631
20040815,47.90166931016631
20040816,49.18901813283
20040817,47.32690984371994
20040818,48.60239675055892
20040819,47.23587134961527
20040820,46.83110774992282
20040821,46.83110774992282
20040822,46.83110774992282
20040823,46.30068019569344
20040824,46.39687753140326
20040825,45.57791734992699
20040826,45.31415070252144
20040827,46.55295250725363
20040828,46.55295250725363
20040829,46.55295250725363
20040830,47.52139466340826
20040831,49.31956969730777
20040901,48.45568360400251
20040902,44.998436327941036
20040903,47.29677571376419
20040904,47.29677571376419
20040905,47.29677571376419
20040906,47.98822112703293
20040907,49.284164319455854
20040908,50.76961278962255
20040909,50.1275500367393
20040910,48.22328541946456
20040911,48.22328541946456
20040912,48.22328541946456
20040913,49.07156424555446
20040914,50.47110972506275
20040915,51.63569789192133
20040916,50.948281305941634
20040917,48.902593879222515
20040918,48.902593879222515
20040919,48.902593879222515
20040920,49.29338565095504
20040921,50.14769340285318
20040922,49.66983451195326
20040923,48.485514513294184
20040924,50.227976703709025
20040925,50.227976703709025
20040926,50.227976703709025
20040927,48.11839109887982
20040928,47.17681972493406
20040929,47.34696938941478
20040930,47.86686157473084
20041001,45.36326476816156
20041002,45.36326476816156
20041003,45.36326476816156
20041004,45.12220631026566
20041005,44.56847327834735
20041006,45.09060086543614
20041007,44.821715473139676
20041008,45.294372690393764
20041009,45.294372690393764
20041010,45.294372690393764
20041011,47.26268819696762
20041012,49.290830125730565
20041013,49.70184939188581
20041014,49.92945821749047
20041015,49.738710189289414
20041016,49.738710189289414
20041017,49.738710189289414
20041018,48.54013109953981
20041019,48.74999527793931
20041020,49.63185490577324
20041021,47.451764316952094
20041022,47.99985827584139
20041023,47.99985827584139
20041024,47.99985827584139
20041025,50.87492084593028
20041026,51.941572999624
20041027,51.67484447622366
20041028,51.36243401582846
20041029,52.18519202109356
20041030,52.18519202109356
20041031,52.18519202109356
20041101,54.36980056068893
20041102,53.65141094950445
20041103,53.45883950917846
20041104,52.66841718091116
20041105,52.68293294421472
20041106,52.68293294421472
20041107,52.68293294421472
20041108,52.44069547000595
20041109,52.0262360003124
20041110,52.82063915129417
20041111,51.9875037102385
20041112,50.38836055139089
