Date,FirstRand Ltd
20040326,76.14986451129805
20040327,76.14986451129805
20040328,76.14986451129805
20040329,73.07912035855037
20040330,70.43113149206569
20040331,74.39533206351479
20040401,74.88809606232373
20040402,77.52595474891618
20040403,77.52595474891618
20040404,77.52595474891618
20040405,74.07471383698493
20040406,68.94030842524887
20040407,67.14065262718775
20040408,64.99797375845301
20040409,64.8341677997892
20040410,64.8341677997892
20040411,64.8341677997892
20040412,64.8341677997892
20040413,66.43577174801662
20040414,66.69275218646062
20040415,67.16013811801808
20040416,66.56852016495053
20040417,66.56852016495053
20040418,66.56852016495053
20040419,70.03827445478578
20040420,66.17715082197154
20040421,71.81741155305149
20040422,75.3307237906181
20040423,75.6454880705001
20040424,75.6454880705001
20040425,75.6454880705001
20040426,76.54958513382662
20040427,76.37904882901495
20040428,76.14372536256055
20040429,78.51012199038037
20040430,84.76982678799376
20040501,84.76982678799376
20040502,84.76982678799376
20040503,84.43434673677906
20040504,83.83481763001116
20040505,80.21200115684147
20040506,85.71813876607708
20040507,84.39760616530677
20040508,84.39760616530677
20040509,84.39760616530677
20040510,93.70385146433584
20040511,95.98583326717336
20040512,98.71162608273328
20040513,102.2661161962792
20040514,97.67143341354492
20040515,97.67143341354492
20040516,97.67143341354492
20040517,94.99331101938623
20040518,92.44872572947705
20040519,83.26758615241674
20040520,82.6152521271728
20040521,84.37038038242962
20040522,84.37038038242962
20040523,84.37038038242962
20040524,106.16891038939414
20040525,95.87238000227269
20040526,85.7574986751543
20040527,81.43226622127477
20040528,81.44311722601145
20040529,81.44311722601145
20040530,81.44311722601145
20040531,86.45054177390276
20040601,86.81154986646459
20040602,88.87330061090793
20040603,86.55738545057262
20040604,89.20649712306134
20040605,89.20649712306134
20040606,89.20649712306134
20040607,84.97709493867237
20040608,85.85451006774679
20040609,86.64924020946626
20040610,86.92358230110759
20040611,90.57515757859692
20040612,90.57515757859692
20040613,90.57515757859692
20040614,89.46640559380597
20040615,87.05055147870435
20040616,87.18720277336489
20040617,90.11733925563117
20040618,87.39389205475669
20040619,87.39389205475669
20040620,87.39389205475669
20040621,87.82641619889516
20040622,92.09188833395235
20040623,90.18741105408102
20040624,87.19980921945042
20040625,83.64488029217463
20040626,83.64488029217463
20040627,83.64488029217463
20040628,82.28845258957035
20040629,82.38116399593102
20040630,85.24500361763756
20040701,87.31642882157605
20040702,90.17194341337265
20040703,90.17194341337265
20040704,90.17194341337265
20040705,86.42047455880758
20040706,89.5150955332777
20040707,87.53149104127831
20040708,87.4873540609566
20040709,89.25749017785049
20040710,89.25749017785049
20040711,89.25749017785049
20040712,86.89181278898316
20040713,83.05155538931842
20040714,84.86290252864453
20040715,80.85850429736105
20040716,84.78918572867313
20040717,84.78918572867313
20040718,84.78918572867313
20040719,86.89518865954055
20040720,88.50351613377798
20040721,84.97340347484584
20040722,88.75328795028732
20040723,89.44081027952359
20040724,89.44081027952359
20040725,89.44081027952359
20040726,91.41736753926925
20040727,90.53720171065764
20040728,89.64771888402659
20040729,93.00133604618293
20040730,89.43241426108564
20040731,89.43241426108564
20040801,89.43241426108564
20040802,88.04513142970342
20040803,85.24910481828648
20040804,86.63364278871843
20040805,89.36373070972468
20040806,91.50373694971177
20040807,91.50373694971177
20040808,91.50373694971177
20040809,91.4071566991486
20040810,91.52318610276902
20040811,95.27796806032536
20040812,91.28279372815177
20040813,97.5538818917773
20040814,97.5538818917773
20040815,97.5538818917773
20040816,96.73781264326692
20040817,96.79104941045938
20040818,99.04615272879268
20040819,101.01157168201347
20040820,99.05636256980964
20040821,99.05636256980964
20040822,99.05636256980964
20040823,85.73209934383374
20040824,84.50504159636704
20040825,81.65647542862045
20040826,78.18450382011028
20040827,79.33101501165206
20040828,79.33101501165206
20040829,79.33101501165206
20040830,80.07560398176274
20040831,74.76307462826031
20040901,75.51400226585717
20040902,70.17498501977225
20040903,70.86062450403784
20040904,70.86062450403784
20040905,70.86062450403784
20040906,69.54223288999297
20040907,67.66159049258522
20040908,68.50328916586241
20040909,67.44558926654553
20040910,67.48093711489689
20040911,67.48093711489689
20040912,67.48093711489689
20040913,65.11997378506989
20040914,70.64883020616229
20040915,71.11450583410682
20040916,69.22369607166874
20040917,68.07371103147942
20040918,68.07371103147942
20040919,68.07371103147942
20040920,63.37316132057381
20040921,63.79445589930601
20040922,66.22768458301566
20040923,63.55678825413191
20040924,63.55678825413191
20040925,63.55678825413191
20040926,63.55678825413191
20040927,64.02669805963642
20040928,61.1882927952853
20040929,56.353088241420565
20040930,57.11659599030574
20041001,56.234473422223616
20041002,56.234473422223616
20041003,56.234473422223616
20041004,56.01921625974434
20041005,56.29375606209842
20041006,55.70485196117427
20041007,56.4010341676632
20041008,57.08798923628974
20041009,57.08798923628974
20041010,57.08798923628974
20041011,55.8991900307902
20041012,59.38347753315993
20041013,59.64366395895507
20041014,54.705686208366885
20041015,51.677671075755946
20041016,51.677671075755946
20041017,51.677671075755946
20041018,51.82034609005828
20041019,50.26442552284473
20041020,51.512774181064735
20041021,50.714214338272214
20041022,50.012082024163234
20041023,50.012082024163234
20041024,50.012082024163234
20041025,48.61698541828622
20041026,45.03804198083632
20041027,43.02578917195972
20041028,43.970906840751816
20041029,42.333156399913044
20041030,42.333156399913044
20041031,42.333156399913044
20041101,40.66520140510004
20041102,41.994368198796884
20041103,42.43315278597094
20041104,40.69810206649472
20041105,39.80401602654702
20041106,39.80401602654702
20041107,39.80401602654702
20041108,39.24233535843912
20041109,39.06877089943705
20041110,40.146776293118215
20041111,38.44855884825611
20041112,37.92147040324454
