Date,Land & General Bhd
20040326,19.270332087820698
20040327,19.270332087820698
20040328,19.270332087820698
20040329,19.739609708144634
20040330,19.232017276632646
20040331,18.843388761128786
20040401,19.302635853803647
20040402,18.990606827606115
20040403,18.990606827606115
20040404,18.990606827606115
20040405,19.231705412917737
20040406,19.355502025008875
20040407,21.95226212993431
20040408,22.904822028370457
20040409,20.591407989807475
20040410,20.591407989807475
20040411,20.591407989807475
20040412,21.767941159677367
20040413,21.437186760467796
20040414,22.964708579161307
20040415,25.232502222623136
20040416,24.959968632232926
20040417,24.959968632232926
20040418,24.959968632232926
20040419,26.376690457285424
20040420,24.216439000411622
20040421,24.27893871849025
20040422,23.08867889556756
20040423,21.140724932302668
20040424,21.140724932302668
20040425,21.140724932302668
20040426,23.73007102622895
20040427,24.24988191775498
20040428,24.724613265678695
20040429,23.58985202498687
20040430,22.221023695253297
20040501,22.221023695253297
20040502,22.221023695253297
20040503,22.221023695253297
20040504,22.221023695253297
20040505,22.862198103706174
20040506,22.056299705837407
20040507,23.33049471949916
20040508,23.33049471949916
20040509,23.33049471949916
20040510,25.724376645483122
20040511,24.813369742789845
20040512,23.9015926702276
20040513,26.303006719163594
20040514,27.888135097648888
20040515,27.888135097648888
20040516,27.888135097648888
20040517,32.874467780216285
20040518,32.44966027499637
20040519,32.162899464158464
20040520,34.99276794426519
20040521,33.946330649656446
20040522,33.946330649656446
20040523,33.946330649656446
20040524,33.57929807180204
20040525,34.54681768695483
20040526,33.08696694131911
20040527,32.7762074197352
20040528,31.793393608752616
20040529,31.793393608752616
20040530,31.793393608752616
20040531,30.997882172439027
20040601,33.10504233021132
20040602,34.82079263310191
20040603,35.94379133546313
20040604,37.055292164263456
20040605,37.055292164263456
20040606,37.055292164263456
20040607,34.17681725416365
20040608,33.80647363236815
20040609,34.187589866709516
20040610,32.86359696606167
20040611,32.89563383505547
20040612,32.89563383505547
20040613,32.89563383505547
20040614,34.31935490261926
20040615,34.375881515771184
20040616,34.84420676961623
20040617,33.8569592234091
20040618,33.579444256081146
