Date,Ganesh Housing Corp Ltd
20040326,8.475336698392017
20040327,8.475336698392017
20040328,8.475336698392017
20040329,8.588527885278724
20040330,8.59911132988829
20040331,8.442601069316803
20040401,7.800056093681489
20040402,7.1165897663318685
20040403,7.1165897663318685
20040404,7.1165897663318685
20040405,8.141296575807855
20040406,7.569291320003415
20040407,7.8222871892954124
20040408,7.75698932709186
20040409,7.75698932709186
20040410,7.75698932709186
20040411,7.75698932709186
20040412,6.622107830263335
20040413,6.451851414900009
20040414,6.451851414900009
20040415,6.861356032496725
20040416,6.9879305143439465
20040417,6.9879305143439465
20040418,6.9879305143439465
20040419,6.664736847167108
20040420,6.371398774195147
20040421,6.278277561343913
20040422,6.3275239054841315
20040423,6.08258250298694
20040424,6.08258250298694
20040425,6.08258250298694
20040426,6.08258250298694
20040427,6.154408375348892
20040428,6.18675833496417
20040429,6.191901961627469
20040430,5.874421740089472
20040501,5.874421740089472
20040502,5.874421740089472
20040503,6.051193513198098
20040504,5.468417834484968
20040505,5.547125537317498
20040506,5.673456884545116
20040507,5.366193955685078
20040508,5.366193955685078
20040509,5.366193955685078
20040510,5.4873655723031005
20040511,5.849636192637982
20040512,5.8577227733113055
20040513,6.300322166228526
20040514,6.69228317060635
20040515,6.69228317060635
20040516,6.69228317060635
20040517,7.981444239856446
20040518,7.2733501642891625
20040519,7.284271946618267
20040520,7.5205092746001965
20040521,7.4485733758727095
20040522,7.4485733758727095
20040523,7.4485733758727095
20040524,6.795795502686147
20040525,6.873557873951992
20040526,7.002229323631278
20040527,7.27162355758942
20040528,8.033546859243192
20040529,8.033546859243192
20040530,8.033546859243192
20040531,8.510380212309796
20040601,7.80089321783814
20040602,7.856201474518924
20040603,8.72747263620298
20040604,9.549244777950491
20040605,9.549244777950491
20040606,9.549244777950491
20040607,8.837059113877148
20040608,9.224990792847771
20040609,9.305929161528693
20040610,9.186133433173447
20040611,9.50522159988006
20040612,9.50522159988006
20040613,9.50522159988006
20040614,10.248926659973957
20040615,10.157431475396637
20040616,9.642583194362235
20040617,9.820560000304052
20040618,9.600808997055168
20040619,9.600808997055168
20040620,9.600808997055168
20040621,10.734694777098994
20040622,10.72876901093207
20040623,10.292387162654073
20040624,10.118354034265995
20040625,10.954591176067428
20040626,10.954591176067428
20040627,10.954591176067428
20040628,8.91681544178862
20040629,7.7089354033201065
20040630,6.9368290585315195
20040701,6.020314375272535
20040702,6.749264224588151
20040703,6.749264224588151
20040704,6.749264224588151
20040705,7.129771920139627
20040706,6.711220622864832
20040707,6.918035888076797
20040708,7.355295259021987
20040709,6.814212905301261
20040710,6.814212905301261
20040711,6.814212905301261
20040712,7.040928561489579
20040713,7.356524181026883
20040714,7.915881599253685
20040715,7.247494532100094
20040716,7.03358521791661
20040717,7.03358521791661
20040718,7.03358521791661
20040719,6.70986718543237
20040720,7.305171886911328
20040721,6.463914372534489
20040722,6.557831379463587
20040723,6.611606577936582
20040724,6.611606577936582
20040725,6.611606577936582
20040726,6.698479165324942
20040727,7.186670811890819
20040728,6.626517541514731
20040729,7.09469254741993
20040730,7.0475306688669095
20040731,7.0475306688669095
20040801,7.0475306688669095
20040802,7.070795269138318
20040803,6.831710767655516
20040804,6.641549135206369
20040805,6.106419334943976
20040806,6.1773513506775775
20040807,6.1773513506775775
20040808,6.1773513506775775
20040809,5.721087093999572
20040810,6.483084928331324
20040811,6.277861492089982
20040812,6.221604026115969
20040813,6.12881178351094
20040814,6.12881178351094
20040815,6.12881178351094
20040816,6.076573372904033
20040817,6.241819814157916
20040818,6.276133648920011
20040819,5.972547147081983
20040820,6.959183862208532
20040821,6.959183862208532
20040822,6.959183862208532
20040823,6.494344534908655
20040824,6.440033200511504
20040825,6.863710078287375
20040826,7.612495516656263
20040827,8.14326558631086
20040828,8.14326558631086
20040829,8.14326558631086
20040830,7.175662927719021
20040831,7.259297291062597
20040901,2.6685200812284857
20040902,2.8388566446344443
20040903,3.209340909446648
20040904,3.209340909446648
20040905,3.209340909446648
20040906,3.192948057977173
20040907,3.40888022913498
20040908,3.525366614225571
20040909,3.4097386158254355
20040910,3.373409546303211
20040911,3.373409546303211
20040912,3.373409546303211
20040913,2.841262658777936
20040914,2.719145424830351
20040915,2.8039610899238667
20040916,3.0732054462508835
20040917,2.8050427676394896
20040918,2.8050427676394896
20040919,2.8050427676394896
20040920,3.0261951062781742
20040921,3.1178964367061415
20040922,2.6800516730766275
20040923,2.3772842359556843
20040924,2.3044526619164594
20040925,2.3044526619164594
20040926,2.3044526619164594
20040927,2.3477857093835572
20040928,2.0878945244973903
20040929,1.8479847925897102
20040930,6.493015466041263
20041001,6.426597408610472
20041002,6.426597408610472
20041003,6.426597408610472
20041004,7.142318923227229
20041005,7.590904817049642
20041006,8.598200647511774
20041007,8.060031175930986
20041008,8.485471720134862
20041009,8.485471720134862
20041010,8.485471720134862
20041011,8.694554409827655
20041012,8.79244042430996
20041013,8.79244042430996
20041014,9.183736258132445
20041015,9.50804812629317
20041016,9.50804812629317
20041017,9.50804812629317
20041018,8.95383863621626
20041019,9.475621964135073
20041020,9.649286543948229
20041021,9.198208619525124
20041022,9.198208619525124
20041023,9.198208619525124
20041024,9.198208619525124
20041025,10.053447730654998
20041026,10.003575195799586
20041027,9.625608980719889
20041028,9.447433207304012
20041029,9.853990110988427
20041030,9.853990110988427
20041031,9.853990110988427
20041101,10.410650200703676
20041102,10.01083226637107
20041103,9.299729300254699
20041104,9.824518519111551
20041105,10.094055588067347
20041106,10.094055588067347
20041107,10.094055588067347
20041108,9.221390745775102
20041109,9.681318286291788
20041110,9.679336799337507
20041111,9.722969285654042
20041112,9.602256679514365
20041113,9.602256679514365
20041114,9.602256679514365
20041115,9.602256679514365
20041116,8.701747462115371
20041117,8.238559496200285
20041118,8.448989410321735
20041119,7.905209128486552
20041120,7.905209128486552
20041121,7.905209128486552
20041122,7.813833035777299
20041123,7.827735916232472
20041124,7.791269413302656
20041125,8.002530043870197
20041126,8.002530043870197
20041127,8.002530043870197
20041128,8.002530043870197
20041129,7.597279722088131
20041130,7.306631747867335
20041201,7.398202041035815
20041202,7.779611812572195
20041203,8.126392660627255
20041204,8.126392660627255
20041205,8.126392660627255
20041206,7.683011086252125
20041207,7.928909466851077
20041208,8.350327623221306
20041209,8.290116257382849
20041210,8.263442444388744
20041211,8.263442444388744
20041212,8.263442444388744
