Date,AEC Securities PCL
20040326,11.228710420897771
20040327,11.228710420897771
20040328,11.228710420897771
20040329,11.873997764633085
20040330,11.794939608828267
20040331,11.172162800948753
20040401,10.43460353173027
20040402,9.828700617919795
20040403,9.828700617919795
20040404,9.828700617919795
20040405,9.855681047963746
20040406,9.855681047963746
20040407,10.472317506796887
20040408,10.901484884579304
20040409,10.747775271129193
20040410,10.747775271129193
20040411,10.747775271129193
20040412,10.319892980380882
20040413,10.319892980380882
20040414,10.319892980380882
20040415,10.319892980380882
20040416,9.678470787596247
20040417,9.678470787596247
20040418,9.678470787596247
20040419,9.854030332269838
20040420,9.026892767737007
20040421,9.426326387720696
20040422,9.541484480110423
20040423,9.742274963652687
20040424,9.742274963652687
20040425,9.742274963652687
20040426,11.00200921858735
20040427,11.121248548188822
20040428,11.638688605188339
20040429,12.058506146881374
20040430,11.905057982604665
20040501,11.905057982604665
20040502,11.905057982604665
20040503,11.905057982604665
20040504,12.685922984772677
20040505,12.685922984772677
20040506,13.681724278888906
20040507,14.889698748785083
20040508,14.889698748785083
20040509,14.889698748785083
20040510,17.819251737832875
20040511,19.38480393920248
20040512,18.90738338332869
20040513,19.874666714579124
20040514,11.509757547465547
20040515,11.509757547465547
20040516,11.509757547465547
20040517,13.734826900311061
20040518,14.341921369847837
20040519,10.762493495758715
20040520,12.080220383073062
20040521,10.68850591926677
20040522,10.68850591926677
20040523,10.68850591926677
20040524,10.892375711905045
20040525,11.625601874900825
20040526,10.82589317343542
20040527,10.156298797137712
20040528,9.672245283160501
20040529,9.672245283160501
20040530,9.672245283160501
20040531,9.806332861620332
20040601,10.194246745250464
20040602,10.194246745250464
20040603,10.604925671469614
20040604,10.615790245588073
20040605,10.615790245588073
20040606,10.615790245588073
20040607,10.322093042422019
20040608,11.11860109200496
20040609,11.089399126542263
20040610,10.714822095719402
20040611,11.35219090158203
20040612,11.35219090158203
20040613,11.35219090158203
20040614,11.943820761540936
20040615,11.785009281643983
20040616,11.189792070895566
20040617,11.096353775070128
20040618,11.509915528377435
20040619,11.509915528377435
20040620,11.509915528377435
20040621,11.633029962033918
20040622,11.421972465193948
20040623,11.989643162469331
20040624,11.47994017908303
20040625,10.774876470727072
20040626,10.774876470727072
20040627,10.774876470727072
20040628,9.8876969448802
20040629,10.251472402573237
20040630,9.516230705892566
20040701,9.516230705892566
20040702,9.715275998438262
20040703,9.715275998438262
20040704,9.715275998438262
20040705,9.379781911584248
20040706,9.166550025879951
20040707,9.01684319718893
20040708,9.350840733400691
20040709,9.177003180702476
20040710,9.177003180702476
20040711,9.177003180702476
20040712,9.195110342959824
20040713,9.126600877434548
20040714,9.689810960840278
20040715,9.940918453950053
20040716,9.610182771077806
20040717,9.610182771077806
20040718,9.610182771077806
20040719,9.96090134621955
20040720,9.877269162384971
20040721,9.341129584869904
20040722,9.760663714899406
20040723,10.002826905110613
20040724,10.002826905110613
20040725,10.002826905110613
20040726,10.971500362067218
20040727,11.012206289409482
20040728,10.653552200707395
20040729,10.80402408605456
20040730,10.490896144463226
20040731,10.490896144463226
20040801,10.490896144463226
20040802,10.490896144463226
20040803,11.335898755034357
20040804,11.985587235969765
20040805,11.302215290947684
20040806,12.191667779620968
20040807,12.191667779620968
20040808,12.191667779620968
20040809,12.934407002886655
20040810,13.047620668186562
20040811,14.112280377341522
