Date,AF Global Ltd
20040326,65.29044540217637
20040327,65.29044540217637
20040328,65.29044540217637
20040329,65.30192967815067
20040330,60.46244766973424
20040331,58.845965685653724
20040401,58.30718601619423
20040402,62.72381015636526
20040403,62.72381015636526
20040404,62.72381015636526
20040405,58.244081948715404
20040406,58.46065985391241
20040407,58.50866264201743
20040408,54.50919732753164
20040409,54.50919732753164
20040410,54.50919732753164
20040411,54.50919732753164
20040412,58.189262910956295
20040413,58.48414228432716
20040414,58.93414782902984
20040415,59.21275040395819
20040416,63.72034116830289
20040417,63.72034116830289
20040418,63.72034116830289
20040419,63.81650782233412
20040420,63.681234719074
20040421,63.68252232812576
20040422,63.809574337453434
20040423,64.43874312726275
20040424,64.43874312726275
20040425,64.43874312726275
20040426,65.0126529940332
20040427,60.042057719158464
20040428,60.04355321292761
20040429,60.60885595022676
20040430,59.478201882184436
20040501,59.478201882184436
20040502,59.478201882184436
20040503,59.800538496125895
20040504,63.11612094467047
20040505,63.00177480198357
20040506,68.54561774938809
20040507,57.813803321904324
20040508,57.813803321904324
20040509,57.813803321904324
20040510,65.30859083205898
20040511,64.76589434827427
20040512,64.54921397552906
20040513,71.27165534647104
20040514,66.05397764670737
20040515,66.05397764670737
20040516,66.05397764670737
20040517,73.09272040528147
20040518,72.07756873973503
20040519,70.72163822715201
20040520,77.5428458745503
20040521,65.85278923533403
20040522,65.85278923533403
20040523,65.85278923533403
20040524,65.48233078695176
20040525,65.30285943874219
20040526,70.44637130659493
20040527,70.20588364863768
20040528,70.81700711487125
20040529,70.81700711487125
20040530,70.81700711487125
20040531,66.45948776045753
20040601,66.5292174718097
20040602,66.5292174718097
20040603,67.96583954574646
20040604,68.16008958876303
20040605,68.16008958876303
20040606,68.16008958876303
20040607,67.81892146930647
20040608,68.15682929495948
20040609,73.53623651821924
20040610,73.7351229494027
20040611,68.34270165891715
20040612,68.34270165891715
20040613,68.34270165891715
20040614,69.53940225343881
20040615,75.15489932217886
20040616,74.62728683535258
20040617,75.3744222449726
20040618,75.67184366922778
20040619,75.67184366922778
20040620,75.67184366922778
20040621,76.71992236821991
20040622,76.63585046979814
20040623,70.14738578424422
20040624,75.27181687815084
20040625,74.91890193845065
20040626,74.91890193845065
20040627,74.91890193845065
20040628,74.37082271543392
20040629,74.21445370256485
20040630,71.66322370424508
20040701,72.30686608890882
20040702,72.76089197620094
20040703,72.76089197620094
20040704,72.76089197620094
20040705,72.67046580973535
20040706,71.60219581035588
20040707,77.37523401641351
20040708,65.56158607621363
20040709,77.01388654714742
20040710,77.01388654714742
20040711,77.01388654714742
20040712,70.3309665719577
20040713,70.19451488406702
20040714,71.08336587271434
20040715,71.2197513428178
20040716,70.61329109408882
20040717,70.61329109408882
20040718,70.61329109408882
20040719,70.67319991382391
20040720,77.55319137361893
20040721,77.87891977577047
20040722,78.34013138239946
20040723,78.60437190653795
20040724,78.60437190653795
20040725,78.60437190653795
20040726,86.2626453546224
20040727,86.29233251822049
20040728,78.87817393755407
20040729,85.88410302604571
20040730,72.39207165979741
20040731,72.39207165979741
20040801,72.39207165979741
20040802,71.59935066680083
20040803,84.84264277409956
20040804,85.14586608070798
20040805,84.23731946377075
20040806,84.61173986591436
20040807,84.61173986591436
20040808,84.61173986591436
20040809,84.61173986591436
20040810,84.99122315240744
20040811,85.36321696262368
20040812,85.29835366685437
20040813,85.94600869756448
20040814,85.94600869756448
20040815,85.94600869756448
20040816,84.25583806177161
20040817,92.0142585598786
20040818,92.32777170209377
20040819,85.70423088609257
20040820,85.9100221015251
20040821,85.9100221015251
20040822,85.9100221015251
20040823,93.82391731694968
20040824,93.60674410354898
20040825,69.9838111951151
20040826,75.19714789047646
20040827,76.15234197544906
20040828,76.15234197544906
20040829,76.15234197544906
20040830,75.94276414065652
20040831,75.7742291212806
20040901,75.90596179651128
20040902,75.17936370983877
20040903,75.17989602609873
20040904,75.17989602609873
20040905,75.17989602609873
20040906,74.69212382351986
20040907,74.0724900533557
20040908,73.8308309012208
20040909,69.29537339272862
20040910,74.89023286639289
20040911,74.89023286639289
20040912,74.89023286639289
20040913,73.88294749730676
20040914,73.8536566856266
20040915,73.56000884942564
20040916,66.7230931595286
20040917,66.67667746203375
20040918,66.67667746203375
20040919,66.67667746203375
20040920,66.98507499053963
20040921,67.02996542370492
20040922,73.41160685984632
20040923,73.69532571534498
20040924,75.17082110519699
20040925,75.17082110519699
20040926,75.17082110519699
20040927,75.66610717805207
20040928,75.4282360454149
20040929,75.19550422479145
20040930,64.67428964399241
20041001,64.78293171459464
20041002,64.78293171459464
20041003,64.78293171459464
20041004,65.80568368460216
20041005,65.77368495148785
20041006,60.81614534721353
20041007,72.60943716425659
20041008,57.355794408106405
20041009,57.355794408106405
20041010,57.355794408106405
20041011,67.7596517856167
20041012,58.0712555582248
20041013,63.04920756821523
20041014,62.62444774954559
20041015,62.580947402434596
20041016,62.580947402434596
20041017,62.580947402434596
20041018,62.81666611676162
20041019,62.30520340436855
20041020,62.55170689024037
20041021,62.124616948985334
20041022,62.085119572273435
20041023,62.085119572273435
20041024,62.085119572273435
20041025,66.77921022093476
20041026,66.648145344431
20041027,61.051164521684804
20041028,60.83596907238123
20041029,57.25676456932273
20041030,57.25676456932273
20041031,57.25676456932273
20041101,57.332838495065474
20041102,61.50178322793007
20041103,61.33979855685978
20041104,61.9215720857019
20041105,62.37104332748775
20041106,62.37104332748775
20041107,62.37104332748775
20041108,67.08851847916566
20041109,67.66160182310088
20041110,73.36728573168536
20041111,73.36728573168536
20041112,74.26928505875345
