Date,Goldman Sachs Group Inc/The
19990730,29.62316034106836
19990731,29.62316034106836
19990801,29.698356050437475
19990802,32.63086373768114
19990803,36.700347642636906
19990804,38.86503200741864
19990805,40.123274593620636
19990806,47.89577131201525
19990807,47.89577131201525
19990808,47.89577131201525
19990809,49.673361246352776
19990810,46.12694916385517
19990811,36.286596572989744
19990812,37.76860249015468
19990813,33.43829361383812
19990814,33.43829361383812
19990815,33.43829361383812
19990816,34.522379279971354
19990817,34.0104778216863
19990818,34.47898042095194
19990819,35.826966622185296
19990820,34.656989014431446
19990821,34.656989014431446
19990822,34.656989014431446
19990823,33.10204965593441
19990824,33.17910377829615
19990825,32.19985453090843
19990826,34.57464424173117
19990827,38.227484813543946
19990828,38.227484813543946
19990829,38.227484813543946
19990830,43.663726979470475
19990831,45.890814243007355
19990901,45.08835597704118
19990902,45.84641257025232
19990903,44.16158077229346
19990904,44.16158077229346
19990905,44.16158077229346
19990906,44.16158077229346
19990907,44.677433134755375
19990908,42.71635411718135
19990909,44.054691433122805
19990910,44.23431375174721
19990911,44.23431375174721
19990912,44.23431375174721
19990913,43.53410597433185
19990914,44.549124917174964
19990915,44.61317219054482
19990916,44.83776164502206
19990917,44.484843903085306
19990918,44.484843903085306
19990919,44.484843903085306
19990920,43.80219279740822
19990921,44.42037924892424
19990922,42.802932292438
19990923,41.18806415359424
19990924,41.16919027416227
19990925,41.16919027416227
19990926,41.16919027416227
19990927,41.345216978457884
19990928,40.7582820503469
19990929,40.87588738424003
19990930,200.0139225296478
19991001,222.0477429970085
19991002,222.0477429970085
19991003,222.0477429970085
19991004,207.87047823375158
19991005,207.49561719214506
19991006,202.09954942690786
19991007,209.34863257951005
19991008,210.43659483813576
19991009,210.43659483813576
19991010,210.43659483813576
19991011,209.56850597894532
19991012,209.75373766493837
19991013,219.14067938591583
19991014,211.7232102527264
19991015,215.1761309156804
19991016,215.1761309156804
19991017,215.1761309156804
19991018,219.02269268777172
19991019,212.8547707066636
19991020,208.55262304190217
19991021,207.1542385965499
19991022,189.0476231163633
19991023,189.0476231163633
19991024,189.0476231163633
19991025,198.47454737227102
19991026,209.35489620770198
19991027,198.36295032586517
19991028,167.86611140086148
19991029,159.36017914408313
19991030,159.36017914408313
19991031,159.36017914408313
19991101,167.93319060103434
19991102,164.77202854941916
19991103,170.76252214520898
19991104,164.60307993696867
19991105,149.09784319511255
19991106,149.09784319511255
19991107,149.09784319511255
19991108,152.72648135321168
19991109,157.88996609243355
19991110,159.03553151644982
19991111,155.30677384783618
19991112,133.86220775056387
19991113,133.86220775056387
19991114,133.86220775056387
19991115,139.64504237992142
19991116,126.10195252061654
19991117,135.57247347159574
19991118,134.66913480470265
19991119,134.95795072021218
19991120,134.95795072021218
19991121,134.95795072021218
19991122,135.61488101216727
19991123,138.81762707712997
19991124,142.77618430061753
19991125,142.77618430061753
19991126,137.41750612955212
19991127,137.41750612955212
19991128,137.41750612955212
19991129,146.49783470567806
19991130,140.0955693087697
19991201,137.85755018195272
19991202,135.08955801430196
19991203,133.66575938281034
19991204,133.66575938281034
19991205,133.66575938281034
19991206,138.34366344765516
19991207,123.95182349972181
19991208,127.2871673805056
19991209,127.60794126385642
19991210,124.05571979658546
19991211,124.05571979658546
19991212,124.05571979658546
19991213,124.39836342458439
19991214,136.4270727854391
19991215,133.6409685944755
19991216,137.3919305101618
19991217,131.2049650849715
19991218,131.2049650849715
19991219,131.2049650849715
19991220,126.03612264020431
19991221,144.0502424907812
19991222,148.95475744033843
19991223,144.528110991924
19991224,144.528110991924
19991225,144.528110991924
19991226,144.528110991924
19991227,142.19639436904697
19991228,133.853722995775
19991229,125.38435444849975
19991230,116.15133003576572
19991231,104.41654579435266
20000101,104.72454489992198
20000102,104.72454489992198
20000103,118.9863551362604
20000104,131.68539316197163
20000105,144.1648042661058
20000106,131.20681139267725
20000107,133.0995271838394
20000108,133.0995271838394
20000109,133.0995271838394
20000110,128.9681517453542
20000111,127.7368965359035
20000112,130.8341731844467
20000113,132.26382476071367
20000114,132.07611257139496
20000115,132.07611257139496
20000116,132.07611257139496
20000117,132.07611257139496
20000118,126.23361643474449
20000119,124.19882731793214
20000120,127.88736865833734
20000121,130.18143776995595
20000122,130.18143776995595
20000123,130.18143776995595
20000124,141.1296110276807
20000125,134.43817811934602
20000126,120.71334636700631
20000127,119.46043122659586
20000128,121.43107393616201
20000129,121.43107393616201
20000130,121.43107393616201
20000131,105.40577464952197
20000201,107.68403808496373
20000202,108.80952668771366
20000203,124.55503222271963
20000204,128.5803047947572
20000205,128.5803047947572
20000206,128.5803047947572
20000207,126.80709459522618
20000208,117.37130428184615
20000209,125.22050668133419
20000210,125.66752760206232
20000211,126.29922978756954
20000212,126.29922978756954
20000213,126.29922978756954
20000214,124.74096351427312
20000215,125.65061454734976
20000216,135.12267736683597
20000217,139.86839090786768
20000218,140.5166912356058
20000219,140.5166912356058
20000220,140.5166912356058
20000221,140.5166912356058
20000222,136.42198091099243
20000223,124.49765874148426
20000224,114.83723721991738
20000225,115.39731345636154
20000226,115.39731345636154
20000227,115.39731345636154
20000228,120.55193283237892
20000229,98.72545892491969
20000301,94.40627834235787
20000302,92.30341252805526
20000303,81.78789619484476
20000304,81.78789619484476
20000305,81.78789619484476
20000306,77.67259156180614
20000307,74.49582015016948
20000308,79.79762091809435
20000309,72.94103984100454
20000310,65.78683053088464
20000311,65.78683053088464
20000312,65.78683053088464
20000313,68.10924390565197
20000314,75.47379545436426
20000315,78.30790280091347
20000316,81.60130649731876
20000317,63.47522201291217
20000318,63.47522201291217
20000319,63.47522201291217
20000320,67.48436718927965
20000321,75.65128237987943
20000322,77.72891657679267
20000323,78.12536066563759
20000324,75.15326585100085
20000325,75.15326585100085
20000326,75.15326585100085
20000327,88.61469142717009
20000328,86.01832070549649
20000329,83.5752933683523
20000330,95.33833651498763
20000331,96.99046906925408
20000401,97.30544465148753
20000402,97.30544465148753
20000403,96.51911969684981
20000404,111.18754820391061
20000405,111.50399215850369
