Date,Joindre Capital Services Ltd
20040626,13.34867140421856
20040627,13.34867140421856
20040628,11.91357937028598
20040629,13.686771583888236
20040630,13.646443219417762
20040701,11.456700077283626
20040702,9.804954625005253
20040703,9.804954625005253
20040704,9.804954625005253
20040705,8.9195391300112
20040706,9.114267581215893
20040707,9.134822346177414
20040708,11.019460775299684
20040709,10.687815088497963
20040710,10.687815088497963
20040711,10.687815088497963
20040712,10.489809830007397
20040713,10.758501502988612
20040714,10.818703881573978
20040715,10.218823506665103
20040716,10.092584663377513
20040717,10.092584663377513
20040718,10.092584663377513
20040719,9.263336858771297
20040720,9.835146766704373
20040721,9.35875850780006
20040722,9.064792413158925
20040723,9.524146075115077
20040724,9.524146075115077
20040725,9.524146075115077
20040726,9.279970126721516
20040727,9.86831649650188
20040728,9.73410870004146
20040729,9.021873863437408
20040730,9.994669314559692
20040731,9.994669314559692
20040801,9.994669314559692
20040802,10.236961899590534
20040803,9.47879680260878
20040804,10.114498707938463
20040805,9.127517642412416
20040806,9.66042175146561
20040807,9.66042175146561
20040808,9.66042175146561
20040809,10.931936724501064
20040810,10.472446510662149
20040811,11.713741416891736
20040812,11.956790888439816
20040813,10.449045237276097
20040814,10.449045237276097
20040815,10.449045237276097
20040816,9.651478648109597
20040817,9.82944486503404
20040818,10.27830768159141
20040819,10.158251256607969
20040820,11.074549343828167
20040821,11.074549343828167
20040822,11.074549343828167
20040823,11.412743896163603
20040824,10.550342869095003
20040825,9.975928724112503
20040826,10.767054904045773
20040827,11.386655976129445
20040828,11.386655976129445
20040829,11.386655976129445
20040830,9.912239489127364
20040831,9.114429856968083
20040901,8.691148266768689
20040902,9.26415588016866
20040903,8.946783438603301
20040904,8.946783438603301
20040905,8.946783438603301
20040906,8.281748542312005
20040907,7.868340591476574
20040908,7.7050891664524785
20040909,8.039621526041863
20040910,8.024679228236655
20040911,8.024679228236655
20040912,8.024679228236655
20040913,7.67580526442532
20040914,7.82362263493921
20040915,8.675311779179541
20040916,8.239017319983114
20040917,8.407676702501066
20040918,8.407676702501066
20040919,8.407676702501066
20040920,8.53575674184117
20040921,8.226007618847834
20040922,8.35807373366033
20040923,8.848849814857196
20040924,9.084724331476679
