Date,Asia Development Capital Co Ltd
19950703,46.60316950976675
19950704,46.85117924486295
19950705,43.09163330446281
19950706,45.94523144560923
19950707,21.787927567855515
19950708,21.787927567855515
19950709,21.787927567855515
19950710,19.1004273942203
19950711,18.572160056301136
19950712,16.59402252751929
19950713,17.780820553858494
19950714,17.605393442404228
19950715,17.605393442404228
19950716,17.605393442404228
19950717,15.539994674142799
19950718,17.01828359189562
19950719,17.937529143457866
19950720,16.25540288691324
19950721,17.15804527437516
19950722,17.15804527437516
19950723,17.15804527437516
19950724,17.154980183230517
19950725,16.404532497990996
19950726,14.619957860225675
19950727,13.809733251295897
19950728,12.600312426175021
19950729,12.600312426175021
19950730,12.600312426175021
19950731,15.345667521155383
19950801,14.671421135234485
19950802,20.169033469601455
19950803,20.21211802547485
19950804,16.659094272787073
19950805,16.659094272787073
19950806,16.659094272787073
19950807,17.08422693174937
19950808,16.440048397731456
19950809,16.94008654103164
19950810,17.73072672181908
19950811,19.449728692206815
19950812,19.449728692206815
19950813,19.449728692206815
19950814,20.569146045683343
19950815,21.540295855622354
19950816,22.179731934963403
19950817,18.493253218129375
19950818,17.666605417371834
19950819,17.666605417371834
19950820,17.666605417371834
19950821,18.743113505625086
19950822,19.399255326485715
19950823,17.2375247015056
19950824,15.256581156672059
19950825,13.889598425896965
19950826,13.889598425896965
19950827,13.889598425896965
19950828,13.893353696359243
19950829,14.681530365284159
19950830,14.049541547596288
19950831,12.210277020336406
19950901,13.41242397133901
19950902,13.41242397133901
19950903,13.41242397133901
19950904,13.763474514812653
19950905,15.56334815439035
19950906,14.575610876959601
19950907,14.586339434709473
19950908,11.691492357215482
19950909,11.691492357215482
19950910,11.691492357215482
19950911,11.006316210433438
19950912,11.321021721593565
19950913,10.83433982020118
19950914,10.57863974625671
19950915,10.57863974625671
19950916,10.57863974625671
19950917,10.57863974625671
19950918,10.792106235982661
19950919,10.866627683388929
19950920,10.90833417130953
19950921,8.34361909032678
19950922,9.937843017587161
19950923,9.937843017587161
19950924,9.937843017587161
19950925,8.756394444791791
19950926,8.724057918293296
19950927,9.264568799917672
19950928,9.487471871036496
19950929,9.23847108277685
19950930,9.23847108277685
19951001,9.23847108277685
19951002,8.780651691653189
19951003,10.060931106939567
19951004,10.42535385488062
19951005,9.81478704129081
19951006,10.7728146689668
19951007,10.7728146689668
19951008,10.7728146689668
19951009,10.130841000283533
19951010,10.130841000283533
19951011,11.31607746498575
19951012,11.01516951739329
19951013,10.708911814714616
19951014,10.708911814714616
19951015,10.708911814714616
19951016,10.751566527938921
19951017,10.131889156258604
19951018,9.293345534517194
19951019,8.140141791486634
19951020,8.668077334986519
19951021,8.668077334986519
19951022,8.668077334986519
19951023,9.243580615210647
19951024,9.77167919181332
19951025,10.492727624986793
19951026,9.824858885811427
19951027,9.808262064175667
19951028,9.808262064175667
19951029,9.808262064175667
19951030,10.198384068121959
19951031,10.531025053408495
19951101,10.594322954991783
19951102,10.368701719408204
19951103,10.368701719408204
19951104,10.368701719408204
19951105,10.368701719408204
19951106,10.20678610413374
19951107,10.90169928658629
19951108,10.706618319162251
19951109,9.495767849318435
19951110,10.05445884183414
19951111,10.05445884183414
19951112,10.05445884183414
19951113,10.137820499579371
19951114,11.098091723211725
19951115,10.288647483735065
19951116,10.698603019002816
19951117,11.746499788492144
19951118,11.746499788492144
19951119,11.746499788492144
19951120,11.6175163959591
19951121,11.052603965484671
19951122,11.107751558816915
19951123,11.107751558816915
19951124,10.089542753436245
19951125,10.089542753436245
19951126,10.089542753436245
19951127,7.836858079612876
19951128,8.526951737670014
19951129,9.050335479540983
19951130,9.512180100674868
19951201,9.564900047526155
19951202,9.564900047526155
19951203,9.564900047526155
19951204,9.45362907157951
19951205,9.21881547811028
19951206,9.810276631237008
19951207,9.717214875790397
19951208,8.866673447538329
19951209,8.866673447538329
19951210,8.866673447538329
19951211,8.871379890421327
19951212,9.262808077609858
19951213,9.426500189238723
19951214,9.398898531474648
19951215,9.755690314757304
19951216,9.755690314757304
19951217,9.755690314757304
19951218,11.916804970261369
19951219,13.396982762123844
19951220,11.725204534537342
19951221,11.707589299194577
19951222,11.225861972739015
19951223,11.225861972739015
19951224,11.225861972739015
19951225,10.767302827503388
19951226,10.805074109656054
19951227,8.702659078666551
19951228,8.721490713679586
19951229,9.057468336500675
19951230,9.057468336500675
19951231,9.057468336500675
19960101,9.057468336500675
19960102,9.057468336500675
19960103,9.057468336500675
19960104,9.656542643526414
19960105,9.387852795823362
19960106,9.387852795823362
19960107,9.387852795823362
19960108,10.027006701734809
19960109,9.356822705096404
19960110,9.317577023566544
19960111,9.409187185039357
19960112,9.442066937959556
19960113,9.442066937959556
19960114,9.442066937959556
19960115,9.442066937959556
19960116,9.00922344978004
19960117,8.591587539034794
19960118,10.084846309907448
19960119,10.864103041044787
19960120,10.864103041044787
19960121,10.864103041044787
19960122,10.940509278978372
19960123,10.712509584371343
19960124,11.110094469171566
19960125,11.011448948892678
19960126,10.924453843088195
19960127,10.924453843088195
19960128,10.924453843088195
19960129,10.894205830559022
19960130,11.297112220191096
19960131,10.803905190410429
19960201,10.274423515855538
19960202,9.415707102156354
19960203,9.415707102156354
19960204,9.415707102156354
19960205,9.458790784184194
19960206,10.170639947777985
19960207,10.244748325459003
19960208,10.148503085514701
19960209,10.166010233609873
19960210,10.166010233609873
19960211,10.166010233609873
19960212,10.166010233609873
19960213,10.21231948703512
19960214,11.025828760140644
19960215,12.052306190983167
19960216,12.285157444062172
19960217,12.285157444062172
19960218,12.285157444062172
19960219,12.56665730906824
19960220,13.087273122038786
19960221,13.20430056812229
19960222,13.121692399183681
19960223,14.250262028689985
19960224,14.250262028689985
19960225,14.250262028689985
19960226,14.256787428057219
19960227,15.1632184307104
19960228,16.363450056259442
19960229,17.82713324254023
19960301,16.33573515380283
19960302,16.33573515380283
19960303,16.33573515380283
19960304,15.555067361420324
19960305,15.210114391501623
19960306,15.213981598458414
19960307,15.358642077097949
19960308,15.27801545907697
19960309,15.27801545907697
19960310,15.27801545907697
19960311,14.426090792307342
19960312,15.05465071687058
19960313,15.983619817772821
19960314,16.017047511093832
19960315,14.833328562340656
19960316,14.833328562340656
19960317,14.833328562340656
19960318,13.937103732001399
19960319,14.338913247377668
19960320,14.338913247377668
19960321,13.853359891069408
19960322,13.731819582032324
19960323,13.731819582032324
19960324,13.731819582032324
19960325,13.327567985271104
19960326,13.74559104908472
19960327,13.004372856548041
19960328,12.925923343744339
19960329,9.452103679295417
19960330,9.452103679295417
19960331,9.452103679295417
19960401,9.726268221146038
19960402,9.831511611110948
19960403,10.735138768847872
19960404,10.61073036048166
19960405,10.295615848907968
19960406,10.295615848907968
19960407,10.295615848907968
19960408,10.405390195188819
19960409,9.852735204435257
19960410,9.31645003177274
19960411,8.610762881483435
19960412,9.007054141315063
19960413,9.007054141315063
19960414,9.007054141315063
19960415,8.331767736489226
19960416,7.678829830532174
19960417,8.369938401828882
19960418,8.194628872515016
19960419,7.995655993062206
19960420,7.995655993062206
19960421,7.995655993062206
19960422,7.470060153679538
19960423,7.186506372022121
19960424,7.388520196443459
19960425,6.954484789587196
19960426,6.741209578625601
19960427,6.741209578625601
19960428,6.741209578625601
19960429,6.741209578625601
19960430,7.290977553865492
19960501,7.436365486756432
19960502,7.174202458227503
19960503,7.174202458227503
19960504,7.174202458227503
19960505,7.174202458227503
19960506,7.174202458227503
19960507,7.0997023585745245
19960508,7.393287120464373
19960509,7.289343420313953
19960510,7.303523447365781
19960511,7.303523447365781
19960512,7.303523447365781
19960513,7.4531125908639035
19960514,8.100333573133444
19960515,9.005690868024535
19960516,7.7627638309416165
19960517,7.596182670337543
19960518,7.596182670337543
19960519,7.596182670337543
19960520,7.59258228798435
19960521,7.191619782045489
19960522,7.209023495159527
19960523,7.217824069552957
19960524,7.280064273146742
19960525,7.280064273146742
19960526,7.280064273146742
19960527,8.397737601048323
19960528,8.293712146238647
19960529,7.552377337000869
19960530,6.65425999795639
19960531,7.069689963397901
19960601,7.069689963397901
19960602,7.069689963397901
19960603,7.072695305478684
19960604,6.645831495773371
19960605,6.758570198483917
19960606,7.335785315521276
19960607,7.330223663530755
19960608,7.330223663530755
19960609,7.330223663530755
19960610,6.3697071983496425
19960611,5.705276015282109
19960612,5.700026470154393
19960613,4.4978619379005025
19960614,3.7906458062787074
19960615,3.7906458062787074
19960616,3.7906458062787074
19960617,3.4614160574057586
19960618,4.03663772017495
19960619,4.59724745491113
19960620,5.97001079722036
19960621,5.313182026716408
19960622,5.313182026716408
19960623,5.313182026716408
19960624,5.580886819322297
19960625,6.0051765459131
19960626,5.555443112795193
19960627,5.972187660244077
19960628,6.783960496310467
19960629,6.783960496310467
19960630,6.783960496310467
19960701,6.0189981969438415
19960702,5.646774435759123
19960703,5.606795470240825
19960704,5.702991687731878
19960705,5.682896494242352
19960706,5.682896494242352
19960707,5.682896494242352
19960708,5.836232367056006
19960709,6.311616516601174
19960710,6.175020782371418
19960711,5.7234950582399025
19960712,5.563948139524962
19960713,5.563948139524962
19960714,5.563948139524962
19960715,6.841642238945276
19960716,7.260533735884397
19960717,7.385904802840633
19960718,9.520305834778345
19960719,9.258423629455311
19960720,9.258423629455311
19960721,9.258423629455311
19960722,9.773167590038907
19960723,9.588753474875023
19960724,8.995152350125798
19960725,8.359873795480144
19960726,8.695834198384233
19960727,8.695834198384233
19960728,8.695834198384233
19960729,8.326290237968857
19960730,8.902226775607653
19960731,8.851072162417012
19960801,8.865331452766092
19960802,8.8607158818191
19960803,8.8607158818191
19960804,8.8607158818191
19960805,8.669567369374393
19960806,8.804786785119527
19960807,9.283346389256497
19960808,8.593790203922502
19960809,9.52096780884544
19960810,9.52096780884544
19960811,9.52096780884544
19960812,9.46109713907609
19960813,11.282963645641798
19960814,8.92775136040198
19960815,10.066243281556826
19960816,10.214634754439999
19960817,10.214634754439999
19960818,10.214634754439999
19960819,10.044655828548782
19960820,10.037550633209035
19960821,8.451149230946337
19960822,8.363950047509915
19960823,8.976669617714997
19960824,8.976669617714997
