Date,Panther Securities PLC
19950929,5.993042878901245
19950930,5.993042878901245
19951001,5.993042878901245
19951002,5.9596297273705465
19951003,5.902346177388999
19951004,6.119574431041998
19951005,6.0667790215420245
19951006,6.10144635269995
19951007,6.10144635269995
19951008,6.10144635269995
19951009,6.21245854572136
19951010,6.326830150463747
19951011,6.358290911159176
19951012,6.345516333727707
19951013,6.303825165159868
19951014,6.303825165159868
19951015,6.303825165159868
19951016,6.299739380057381
19951017,6.3244907640470664
19951018,6.231769971834034
19951019,6.261319531301714
19951020,6.4097608176501994
19951021,6.4097608176501994
19951022,6.4097608176501994
19951023,6.420647239258449
19951024,6.416094629208608
19951025,6.103811753759608
19951026,6.068795589375463
19951027,6.199923578815025
19951028,6.199923578815025
19951029,6.199923578815025
19951030,6.2070657516396635
19951031,5.501894204147303
19951101,5.490387664044096
19951102,5.452271983574255
19951103,5.52699874095736
19951104,5.52699874095736
19951105,5.52699874095736
19951106,6.001971733498937
19951107,5.96732370992839
19951108,5.872967303447434
19951109,5.905824308195932
19951110,6.042831109508582
19951111,6.042831109508582
19951112,6.042831109508582
19951113,5.994822681296795
19951114,6.099866784383156
19951115,6.16250374972086
19951116,6.044369828461692
19951117,6.1842330694252095
19951118,6.1842330694252095
19951119,6.1842330694252095
19951120,6.054911404846776
19951121,6.086279145811951
19951122,5.9747003009360276
19951123,5.896080810018493
19951124,5.844924339959284
19951125,5.844924339959284
19951126,5.844924339959284
19951127,5.804973182574516
19951128,5.837205694072224
19951129,6.018449471496249
19951130,5.903748696046983
19951201,5.866148903317912
19951202,5.866148903317912
19951203,5.866148903317912
19951204,5.834759133021918
19951205,5.813378792940177
19951206,5.778408994068699
19951207,5.645011628654448
19951208,5.6264454855422095
19951209,5.6264454855422095
19951210,5.6264454855422095
19951211,5.557826898105622
19951212,5.510742138213225
19951213,5.472484016707651
19951214,5.476197080443397
19951215,5.542690242201426
19951216,5.542690242201426
19951217,5.542690242201426
19951218,5.632236525728973
19951219,5.6397534687338675
19951220,5.608330324186628
19951221,5.611113320287723
19951222,5.569856414598485
19951223,5.569856414598485
19951224,5.569856414598485
19951225,5.569856414598485
19951226,5.569856414598485
19951227,5.498151111627497
19951228,5.546049007538061
19951229,5.014581520789875
19951230,5.014581520789875
19951231,5.014581520789875
19960101,5.014581520789875
19960102,4.938724634676709
19960103,4.919637233860286
19960104,4.830159452434433
19960105,4.878348891397406
19960106,4.878348891397406
19960107,4.878348891397406
19960108,4.890046905549293
19960109,4.899475785587723
19960110,4.911063001940727
19960111,4.922592056925839
19960112,4.892993803127098
19960113,4.892993803127098
19960114,4.892993803127098
19960115,4.857481621798962
19960116,4.840670757006724
19960117,4.855319666252465
19960118,4.792298454084517
19960119,4.99872405108007
19960120,4.99872405108007
19960121,4.99872405108007
19960122,4.9400507492805685
19960123,4.908005252306462
19960124,4.877284331579388
19960125,4.931226878910352
19960126,4.8703968687813255
19960127,4.8703968687813255
19960128,4.8703968687813255
19960129,4.890005778594702
19960130,4.828095212850695
19960131,4.37088161717093
19960201,4.3693856875090775
19960202,4.51285609284388
19960203,4.51285609284388
19960204,4.51285609284388
19960205,4.498875593886116
19960206,4.5029682939084115
19960207,4.505515050484923
19960208,4.493113219705887
19960209,4.5314530423071435
19960210,4.5314530423071435
19960211,4.5314530423071435
19960212,4.524650892824867
19960213,4.428817033445572
19960214,4.765166815792946
19960215,4.205083265782279
19960216,4.355850252860811
19960217,4.355850252860811
19960218,4.355850252860811
19960219,4.4686039736673635
19960220,4.4133409491614675
19960221,4.44367804692212
19960222,4.42101579908162
19960223,4.486275377650613
19960224,4.486275377650613
19960225,4.486275377650613
19960226,4.677617593154167
19960227,4.780272585848782
19960228,4.754844069672184
19960229,4.62792470468211
19960301,4.429577743423749
19960302,4.429577743423749
19960303,4.429577743423749
19960304,4.237473003226267
19960305,4.222246843924605
19960306,4.219742665349401
19960307,4.208873837500253
19960308,4.2252845576643665
19960309,4.2252845576643665
19960310,4.2252845576643665
19960311,4.273996070818508
19960312,4.313107257718633
19960313,4.350123364967953
19960314,4.349988266539558
19960315,4.301108827644555
19960316,4.301108827644555
19960317,4.301108827644555
19960318,4.301427529378664
19960319,4.413772993059358
19960320,4.585431308486509
19960321,4.117021867309234
19960322,4.1414210144356485
19960323,4.1414210144356485
19960324,4.1414210144356485
19960325,4.294748522303293
19960326,4.825066022431926
19960327,4.770289481977125
19960328,4.776742438542731
19960329,4.740579050369176
19960330,4.740579050369176
19960331,4.740579050369176
19960401,4.802812311705163
19960402,4.991665107489864
19960403,4.822391704945117
19960404,4.764566572707284
19960405,4.764566572707284
19960406,4.764566572707284
19960407,4.764566572707284
19960408,4.764566572707284
19960409,4.611454351972269
19960410,4.464567137212619
19960411,4.395205891040224
19960412,4.423953978570075
19960413,4.423953978570075
19960414,4.423953978570075
19960415,4.221735231520303
19960416,3.279788241334216
19960417,3.219640899519
19960418,2.697818006144955
19960419,2.6787104423690797
19960420,2.6787104423690797
19960421,2.6787104423690797
19960422,2.9775081898248654
19960423,2.961933251363396
19960424,2.7588593519418345
19960425,2.7555383949444674
19960426,2.7488916406932247
19960427,2.7488916406932247
19960428,2.7488916406932247
19960429,2.7825462611165244
19960430,4.030723559266536
19960501,4.11067323525167
19960502,4.093193902847677
19960503,4.523648878052651
19960504,4.523648878052651
19960505,4.523648878052651
19960506,4.523648878052651
19960507,4.361729143700347
19960508,4.183435891103859
19960509,4.170144975620808
19960510,4.173950715811886
19960511,4.173950715811886
19960512,4.173950715811886
19960513,4.131369852186448
