Date,Southside Bancshares Inc
19981231,7.791920385143381
19990101,7.807837889820077
19990102,7.807837889820077
19990103,7.807837889820077
19990104,7.383119968702522
19990105,7.426908815746826
19990106,7.581301756770627
19990107,7.92809373662396
19990108,7.5026306051819
19990109,7.5026306051819
19990110,7.5026306051819
19990111,7.848068419314581
19990112,8.339435192059142
19990113,7.709732620215214
19990114,7.558337889311855
19990115,7.76366049100803
19990116,7.76366049100803
19990117,7.76366049100803
19990118,7.76366049100803
19990119,8.046226325988993
19990120,7.813089631495814
19990121,8.736329242802222
19990122,9.15469831640646
19990123,9.15469831640646
19990124,9.15469831640646
19990125,9.23339165543489
19990126,8.916925795961827
19990127,10.280298410879608
19990128,10.933501675351563
19990129,15.301497080958512
19990130,15.301497080958512
19990131,15.301497080958512
19990201,14.402396978699153
19990202,16.534994908748864
19990203,18.228690440912484
19990204,16.449965712671066
19990205,16.479884751091962
19990206,16.479884751091962
19990207,16.479884751091962
19990208,14.245074588627732
19990209,17.241422796527026
19990210,17.227125561466035
19990211,17.970497180082074
19990212,16.260689450377576
19990213,16.260689450377576
19990214,16.260689450377576
19990215,16.260689450377576
19990216,14.183898233477189
19990217,14.008890032526864
19990218,14.02613047880271
19990219,14.081479513093791
19990220,14.081479513093791
19990221,14.081479513093791
19990222,14.886790259579215
19990223,14.838399131003655
19990224,14.760247430061687
19990225,14.503900669340306
19990226,16.34974627456274
19990227,16.34974627456274
19990228,16.34974627456274
19990301,16.668879392562012
19990302,16.59559275625715
19990303,17.643374126891487
19990304,19.161020524677635
19990305,18.604426846179365
19990306,18.604426846179365
19990307,18.604426846179365
19990308,19.170319622407103
19990309,18.970896484197862
19990310,19.727634836437733
19990311,18.10614943575997
19990312,16.456053132669997
19990313,16.456053132669997
19990314,16.456053132669997
19990315,17.683660028261155
19990316,17.56769485642566
19990317,17.45962029464343
19990318,17.403332196599028
19990319,17.991343732773856
19990320,17.991343732773856
19990321,17.991343732773856
19990322,15.970511657929071
19990323,17.08655657916736
19990324,19.964500766342795
19990325,19.902612595698685
19990326,15.630465145042972
19990327,15.630465145042972
19990328,15.630465145042972
19990329,20.44446892452112
19990330,18.889011029712997
19990331,21.612958956103856
19990401,22.49385447423509
19990402,22.49385447423509
19990403,22.49385447423509
19990404,22.49385447423509
19990405,22.294828028797394
19990406,22.74064330064972
19990407,23.029118897960323
19990408,23.23494173353574
19990409,20.20607976193754
19990410,20.20607976193754
19990411,20.20607976193754
19990412,20.321232162307247
19990413,21.44226753026926
19990414,20.580883064191337
19990415,21.655979252516097
19990416,20.500082873432046
19990417,20.500082873432046
19990418,20.500082873432046
19990419,21.670495573045457
19990420,19.46978230530663
19990421,19.79363869503553
19990422,23.50265408859782
19990423,23.80530498762565
19990424,23.80530498762565
19990425,23.80530498762565
19990426,27.273349518351502
19990427,23.413720619371198
19990428,22.363666041642297
19990429,22.536947572317956
19990430,23.034164839142505
19990501,23.08711489599017
19990502,23.08711489599017
19990503,26.527380667418814
19990504,24.66444334759755
19990505,24.98313697182722
19990506,24.94465301228304
19990507,25.67068565388036
19990508,25.67068565388036
19990509,25.67068565388036
19990510,25.382105748311968
19990511,25.647100482479924
19990512,26.622378670604334
19990513,23.865540465157483
19990514,24.83235663071357
19990515,24.83235663071357
19990516,24.83235663071357
19990517,25.062569349163763
19990518,25.115465114402415
19990519,24.62472644915328
19990520,24.869086397994963
19990521,22.829614557247396
19990522,22.829614557247396
19990523,22.829614557247396
19990524,22.460528510470436
19990525,24.18888851325193
19990526,24.747591434057988
19990527,24.721965287776893
19990528,23.806073503064702
19990529,23.806073503064702
19990530,23.806073503064702
19990531,23.806073503064702
19990601,23.230487799035686
19990602,24.139972969180896
19990603,25.45764215491357
19990604,25.680365647211552
19990605,25.680365647211552
19990606,25.680365647211552
19990607,25.445262257220897
19990608,24.210473445188736
19990609,24.267756904902242
