Date,Fragrance Group Ltd
20050831,5.803954655393074
20050901,5.559120173690298
20050902,5.5607653672103465
20050903,5.5607653672103465
20050904,5.5607653672103465
20050905,5.404031491628079
20050906,5.107176905050064
20050907,5.050557594659788
20050908,5.10652208918819
20050909,5.077762123324392
20050910,5.077762123324392
20050911,5.077762123324392
20050912,5.04715772595787
20050913,4.949321418041466
20050914,4.808174699209817
20050915,4.895788268878949
20050916,4.764084198896718
20050917,4.764084198896718
20050918,4.764084198896718
20050919,4.786543590219854
20050920,4.879015929879202
20050921,4.930356974560468
20050922,4.949571975380376
20050923,4.93138124316489
20050924,4.93138124316489
20050925,4.93138124316489
20050926,4.733267166921741
20050927,4.966630840587639
20050928,4.855362774411189
20050929,4.525985988719393
20050930,2.3478037431034084
20051001,2.3478037431034084
20051002,2.3478037431034084
20051003,2.2581319125804926
20051004,2.249500278204459
20051005,2.2822577732322493
20051006,2.462696699229731
20051007,2.2809650529918026
20051008,2.2809650529918026
20051009,2.2809650529918026
20051010,2.199684314024075
20051011,2.2682086922441544
20051012,2.29325918177155
20051013,2.2086758593932534
20051014,2.331365861532749
20051015,2.331365861532749
20051016,2.331365861532749
20051017,2.236623942911338
20051018,2.3290082290535663
20051019,2.612424431198627
20051020,2.606346724222492
20051021,2.448949130497729
20051022,2.448949130497729
20051023,2.448949130497729
20051024,2.4515117317363138
20051025,2.5561168124254245
20051026,2.4807818949558054
20051027,2.6351852793906048
20051028,2.5439594426797676
20051029,2.5439594426797676
20051030,2.5439594426797676
20051031,2.5533361033357003
20051101,2.5533361033357003
20051102,2.4177969251871767
20051103,2.4177969251871767
20051104,2.3703158380158285
20051105,2.3703158380158285
20051106,2.3703158380158285
20051107,2.40446802864612
20051108,2.4631240792306284
20051109,2.3416888523681574
20051110,2.327218241260042
20051111,2.332408891560856
20051112,2.332408891560856
20051113,2.332408891560856
20051114,2.3460548204072924
20051115,2.57869090381557
20051116,2.521271895760815
20051117,2.5997185012319397
20051118,2.6031529286134445
20051119,2.6031529286134445
20051120,2.6031529286134445
20051121,2.7244791467631844
20051122,2.507153663059392
20051123,2.3499060540986223
20051124,2.3658715821617893
20051125,2.390895874523647
20051126,2.390895874523647
20051127,2.390895874523647
20051128,2.5000669751056352
20051129,2.416802423746329
20051130,2.3341753955954916
20051201,2.33528043450561
20051202,2.345451377163688
20051203,2.345451377163688
20051204,2.345451377163688
20051205,2.356759000822347
20051206,2.466645644133117
20051207,2.579065225282631
20051208,2.5729469156942426
20051209,2.5772379218596537
20051210,2.5772379218596537
20051211,2.5772379218596537
20051212,2.5757465583937114
20051213,2.5833043615646503
20051214,2.4894397109159403
20051215,2.4770173870405108
20051216,2.4847356263770615
20051217,2.4847356263770615
20051218,2.4847356263770615
20051219,2.456173828088849
20051220,2.533929551031982
20051221,2.5537506446349205
20051222,2.6200394447841746
20051223,2.623734055495743
20051224,2.623734055495743
20051225,2.623734055495743
20051226,2.623734055495743
20051227,2.438913182553597
20051228,2.36798861431411
20051229,2.4683510934858566
20051230,2.4735164897927895
20051231,2.4735164897927895
20060101,2.4735164897927895
20060102,2.4735164897927895
20060103,2.071841509203519
20060104,1.99889407002235
20060105,1.9704176169186336
20060106,1.9620452025317119
20060107,1.9620452025317119
20060108,1.9620452025317119
20060109,1.9771624499647473
20060110,1.9771624499647473
20060111,1.9437416509585157
20060112,1.8707591499013139
20060113,1.888004492303818
20060114,1.888004492303818
20060115,1.888004492303818
20060116,1.879251452143519
20060117,1.6585087146643682
20060118,1.6582825167256525
20060119,1.6105702088442706
20060120,1.565795609304363
20060121,1.565795609304363
20060122,1.565795609304363
20060123,1.5183351104472012
20060124,1.3923870176523405
20060125,1.1180532846264535
20060126,2.3422106893620502
20060127,3.8493569309352007
20060128,3.8493569309352007
20060129,3.8493569309352007
20060130,3.8493569309352007
20060131,3.8493569309352007
20060201,3.8299168496056972
20060202,3.8436285682164453
20060203,4.022128646915186
20060204,4.022128646915186
20060205,4.022128646915186
20060206,3.726092976410986
20060207,3.7276369775429403
20060208,3.976767260532465
20060209,4.117679008670684
20060210,4.246794355334104
20060211,4.246794355334104
20060212,4.246794355334104
20060213,4.178206442556428
20060214,4.065887035916148
20060215,4.252296658512441
20060216,4.230617298766581
20060217,4.144951857390142
20060218,4.144951857390142
20060219,4.144951857390142
20060220,4.375174686291598
20060221,4.271745952583257
20060222,4.442206969814288
20060223,4.418771728978926
20060224,4.237262719500948
20060225,4.237262719500948
20060226,4.237262719500948
20060227,4.14409015855848
20060228,3.3095078138804475
20060301,3.1987563066683555
20060302,3.3629709121852143
20060303,3.275949710749518
20060304,3.275949710749518
20060305,3.275949710749518
20060306,3.328621596756668
20060307,3.354074297312051
20060308,3.6393629452047374
20060309,3.413746248731126
20060310,3.4096771965457853
20060311,3.4096771965457853
20060312,3.4096771965457853
20060313,3.5652280823102416
20060314,3.5708160096228765
20060315,3.5611463896681363
20060316,3.5789171681195495
20060317,3.479487999215518
20060318,3.479487999215518
20060319,3.479487999215518
20060320,3.2752715091111764
20060321,3.4526386281277306
20060322,3.628109708488976
20060323,3.5517895466210665
20060324,3.1109526202897686
20060325,3.1109526202897686
20060326,3.1109526202897686
20060327,3.022575872910631
20060328,3.0769887030930754
20060329,3.237480478413184
20060330,3.12128216949199
20060331,2.7859288037447207
20060401,2.7859288037447207
20060402,2.7859288037447207
20060403,2.766098784149656
20060404,2.6196420770786903
20060405,2.5362294043898803
20060406,2.229664515281427
20060407,2.258430332336206
20060408,2.258430332336206
20060409,2.258430332336206
20060410,2.2876738012867492
