Date,FRACTALE Corp
20050729,1.306739731705755
20050730,1.306739731705755
20050731,1.306739731705755
20050801,1.14892700043382
20050802,1.2199759935327226
20050803,1.5273446144643665
20050804,1.596891762132813
20050805,1.5634143286454554
20050806,1.5634143286454554
20050807,1.5634143286454554
20050808,1.530122633502097
20050809,1.4245939319237608
20050810,1.2579706323830346
20050811,0.8522854974146593
20050812,0.8581343152624697
20050813,0.8581343152624697
20050814,0.8581343152624697
20050815,0.8345906832701668
20050816,0.8738927497539569
20050817,0.8539497106598791
20050818,0.8618851174349927
20050819,0.87579442647056
20050820,0.87579442647056
20050821,0.87579442647056
20050822,0.9220426719292154
20050823,0.9429820629060576
20050824,0.9535536714228513
20050825,0.9832092784530297
20050826,0.8374077082492319
20050827,0.8374077082492319
20050828,0.8374077082492319
20050829,0.7895942696320343
20050830,0.8001357568343668
20050831,1.2515286863749717
20050901,1.229409917332203
20050902,1.213159516953384
20050903,1.213159516953384
20050904,1.213159516953384
20050905,1.2262373213748046
20050906,1.2578010040777836
20050907,1.1447493787717258
20050908,1.2210471423595306
20050909,1.1674328309191524
20050910,1.1674328309191524
20050911,1.1674328309191524
20050912,1.1600096919856304
20050913,1.1887305776291948
20050914,1.1854710500654422
20050915,1.191726051179305
20050916,1.2410522762542242
20050917,1.2410522762542242
20050918,1.2410522762542242
20050919,1.2410522762542242
20050920,1.1672821083077938
20050921,1.2613281599350523
20050922,1.3670802409508853
20050923,1.3670802409508853
20050924,1.3670802409508853
20050925,1.3670802409508853
20050926,1.350328739623375
20050927,1.5906418316049713
20050928,1.4934390942396134
20050929,1.8215455122917341
20050930,2.1244164889370483
20051001,2.1244164889370483
20051002,2.1244164889370483
20051003,2.0470770360990174
20051004,2.11191481370997
20051005,2.1627736282890107
20051006,2.339262495767224
20051007,2.300913213409392
20051008,2.300913213409392
20051009,2.300913213409392
20051010,2.300913213409392
20051011,2.285380737769666
20051012,2.405785737446902
20051013,1.9180120830456662
20051014,2.127248427516849
20051015,2.127248427516849
20051016,2.127248427516849
20051017,2.0593396917296514
20051018,2.105570257786436
20051019,2.0816348941663367
20051020,2.149729067148431
20051021,2.169963463346627
20051022,2.169963463346627
20051023,2.169963463346627
20051024,2.2644515486156886
20051025,2.228393998680642
20051026,2.2893760172565205
20051027,2.2497346891647148
20051028,2.2470093588552205
20051029,2.2470093588552205
20051030,2.2470093588552205
20051031,2.2405986027477076
20051101,2.2618732156948598
20051102,2.107595578372707
20051103,2.107595578372707
20051104,2.2014337689502823
20051105,2.2014337689502823
20051106,2.2014337689502823
20051107,2.3804927001726686
20051108,2.350534531814436
20051109,2.162882879105343
20051110,2.297443988660272
20051111,2.261136961152131
20051112,2.261136961152131
20051113,2.261136961152131
20051114,2.278803619525696
20051115,2.3431191929109905
20051116,2.402027284517582
20051117,2.4353398817516703
20051118,3.5549682754355123
20051119,3.5549682754355123
20051120,3.5549682754355123
20051121,3.5894481521665
20051122,3.2912192877552062
20051123,3.2912192877552062
20051124,2.9514852323157137
20051125,3.17337182804294
20051126,3.17337182804294
20051127,3.17337182804294
20051128,3.069965792764299
20051129,3.0367694246780284
20051130,3.3674884362594106
20051201,3.4731428891568936
20051202,3.555955708694133
20051203,3.555955708694133
20051204,3.555955708694133
20051205,3.463555895606435
20051206,3.679762979192811
20051207,3.7080791599147918
20051208,4.050281428034147
20051209,4.082071190719084
20051210,4.082071190719084
20051211,4.082071190719084
20051212,3.701732836965699
20051213,3.8261507278796585
20051214,4.040859169594246
20051215,3.985853383351192
20051216,4.08418210645483
20051217,4.08418210645483
20051218,4.08418210645483
20051219,3.9699396193124548
20051220,3.969030677517205
20051221,4.079052399002548
20051222,4.118232289431926
20051223,4.118232289431926
20051224,4.118232289431926
20051225,4.118232289431926
20051226,3.9797543529495543
20051227,3.621437874537517
20051228,3.909547276954929
20051229,4.121503268977429
20051230,4.01716301140186
20051231,4.01716301140186
20060101,4.01716301140186
20060102,4.01716301140186
20060103,4.01716301140186
20060104,3.9751173850021813
20060105,3.9580689076507194
20060106,4.176618226420814
20060107,4.176618226420814
20060108,4.176618226420814
20060109,4.176618226420814
20060110,4.287526453620939
20060111,4.263670153824462
20060112,4.213803708716813
20060113,3.9765653653294217
20060114,3.9765653653294217
20060115,3.9765653653294217
20060116,4.18131640956341
20060117,4.740243003098027
20060118,7.637927074640407
20060119,6.208621796997345
20060120,6.448919310051511
20060121,6.448919310051511
20060122,6.448919310051511
20060123,8.140277693659915
20060124,7.2697850499876475
20060125,7.022916470225224
20060126,6.834604828921425
20060127,6.119618764352656
20060128,6.119618764352656
20060129,6.119618764352656
20060130,5.847561706389004
20060131,8.419041471681242
20060201,8.773600535229324
20060202,9.165642412384587
20060203,9.344955912619257
20060204,9.344955912619257
20060205,9.344955912619257
20060206,9.41312521120586
20060207,9.592146446901168
20060208,10.058205470999042
20060209,10.646877039241614
20060210,10.702846109179857
20060211,10.702846109179857
20060212,10.702846109179857
20060213,12.185891474649011
20060214,16.851467965061705
20060215,16.989985101304075
20060216,17.186697623737032
20060217,18.253078762155738
20060218,18.253078762155738
20060219,18.253078762155738
20060220,17.811825492449056
20060221,15.168675665536073
20060222,14.11268707611586
20060223,14.215587583108368
20060224,14.129186330440342
20060225,14.129186330440342
20060226,14.129186330440342
20060227,14.483215413713005
20060228,14.560265225640144
20060301,14.715205627210214
20060302,15.680500777408575
20060303,17.538648887130044
20060304,17.538648887130044
20060305,17.538648887130044
20060306,18.175845784351402
20060307,17.805610879516323
20060308,16.621523213673463
20060309,16.29853037248633
