Date,CRED Holding Co Ltd
19970430,342.0020066425314
19970501,341.98601368697047
19970502,341.98601368697047
19970503,341.98601368697047
19970504,341.98601368697047
19970505,333.0872199908753
19970506,320.32075321520364
19970507,329.9380938079112
19970508,336.32342484248767
19970509,338.28647539204053
19970510,338.28647539204053
19970511,338.28647539204053
19970512,366.12943148398824
19970513,344.24500056229107
19970514,365.03789072978776
19970515,365.7076055041434
19970516,384.2062647751392
19970517,384.2062647751392
19970518,384.2062647751392
19970519,368.0324338405449
19970520,348.70848097835466
19970521,361.19897717816076
19970522,370.5439004041301
19970523,365.85757948123404
19970524,365.85757948123404
19970525,365.85757948123404
19970526,347.26920277310427
19970527,345.2259690229103
19970528,350.8869297420313
19970529,351.7297400627643
19970530,408.9015180810086
19970531,408.9015180810086
19970601,408.8809475346869
19970602,397.9382763887404
19970603,400.0011764921208
19970604,408.40008484917513
19970605,395.55169370277434
19970606,416.29865219596553
19970607,416.29865219596553
19970608,416.29865219596553
19970609,402.89884750039334
19970610,389.47674370284403
19970611,395.1856730042327
19970612,395.1856730042327
19970613,386.3472932558058
19970614,386.3472932558058
19970615,386.3472932558058
19970616,383.5008921656152
19970617,390.70160308537646
19970618,379.75119264118814
19970619,378.56086335426295
19970620,387.2131949832183
19970621,387.2131949832183
19970622,387.2131949832183
19970623,391.555865744402
19970624,398.1910078674318
19970625,398.8925605657662
19970626,391.6710431267704
19970627,385.6276293201641
19970628,385.6276293201641
19970629,385.6276293201641
19970630,385.6276293201641
19970701,385.60666879744423
19970702,381.3600806923097
19970703,376.45925128576977
19970704,375.9484199578194
19970705,375.9484199578194
19970706,375.9484199578194
19970707,367.0357508282674
19970708,366.39259479212353
19970709,419.3328808268696
19970710,406.81921713906377
19970711,389.9517562423034
19970712,389.9517562423034
19970713,389.9517562423034
19970714,395.1012019155424
19970715,370.10246281211573
19970716,353.276797972342
19970717,356.55280038958915
19970718,355.75833173440213
19970719,355.75833173440213
19970720,355.75833173440213
19970721,333.7993022576908
19970722,330.176396708178
19970723,328.973764075653
19970724,344.3567527074514
19970725,346.8937991029672
19970726,346.8937991029672
19970727,346.8937991029672
19970728,357.8880665959477
19970729,354.559342359586
19970730,354.8043662025879
19970731,359.2300401950094
19970801,356.5178600428331
19970802,356.5178600428331
19970803,356.5178600428331
19970804,361.8785459811638
19970805,359.3485705345338
19970806,350.9061218421097
19970807,353.2329861721618
19970808,351.88028891405725
19970809,351.88028891405725
19970810,351.88028891405725
19970811,380.56550481785973
