Date,Prudential Bancorp Inc
20050630,3.0810694042644156
20050701,3.185841631001819
20050702,3.185841631001819
20050703,3.185841631001819
20050704,3.185841631001819
20050705,3.266948820769593
20050706,3.397945829150258
20050707,3.1113170263444885
20050708,3.172398307770336
20050709,3.172398307770336
20050710,3.172398307770336
20050711,3.1848035930453826
20050712,3.054299758353738
20050713,2.9504073171359018
20050714,3.0136634776934854
20050715,2.9923295681691147
20050716,2.9923295681691147
20050717,2.9923295681691147
20050718,3.0318932280434603
20050719,3.0172210776571315
20050720,2.9166467708069628
20050721,2.715463341497399
20050722,2.7260186214834374
20050723,2.7260186214834374
20050724,2.7260186214834374
20050725,2.953356894337051
20050726,2.963254396549707
20050727,2.69436739325918
20050728,2.684223689385829
20050729,1.4392874146761474
20050730,1.4392874146761474
20050731,1.4392874146761474
20050801,1.4789499041388663
20050802,1.3389180502224298
20050803,1.32332179228059
20050804,1.3043705739403406
20050805,1.410982642691518
20050806,1.410982642691518
20050807,1.410982642691518
20050808,1.37903835212113
20050809,1.370841054449703
20050810,1.3547443499064993
20050811,1.3638326445229183
20050812,1.3076549988557913
20050813,1.3076549988557913
20050814,1.3076549988557913
20050815,1.3783830218871223
20050816,1.343988787573334
20050817,1.3439018395544544
20050818,1.3281182018576645
20050819,1.3391847959983607
20050820,1.3391847959983607
20050821,1.3391847959983607
20050822,1.332019680085054
20050823,1.3734512265711556
20050824,1.3713664980368894
20050825,1.319622949293538
20050826,1.3517136902297382
20050827,1.3517136902297382
20050828,1.3517136902297382
20050829,1.3575826318727506
20050830,1.4184869399017273
20050831,0.8569078401896684
20050901,0.8381875242902925
20050902,0.8348979985506072
20050903,0.8348979985506072
20050904,0.8348979985506072
20050905,0.8348979985506072
20050906,0.8322251941212477
20050907,0.8595420438060112
20050908,0.8587797765533843
20050909,0.8410499884982713
20050910,0.8410499884982713
20050911,0.8410499884982713
20050912,0.8408236818391863
20050913,0.8051437891627881
20050914,0.8008464751586573
20050915,0.820888058988809
20050916,0.8261395380803943
20050917,0.8261395380803943
20050918,0.8261395380803943
20050919,0.8194162528558782
20050920,0.8188632864284726
20050921,0.807816671741497
20050922,0.8039806592441273
20050923,0.8227113147224697
20050924,0.8227113147224697
20050925,0.8227113147224697
20050926,0.8525412660003772
20050927,0.8107809663856437
20050928,0.833321590206435
20050929,0.8370007206850518
20050930,0.5587386129300522
20051001,0.5698666406127043
20051002,0.5698666406127043
20051003,0.5783995258279204
20051004,0.5728603163056122
20051005,0.5879093220456376
20051006,0.594701349899416
20051007,0.6117708331870401
20051008,0.6117708331870401
20051009,0.6117708331870401
20051010,0.6103675712049809
20051011,0.6089795478626218
20051012,0.801583630363103
20051013,0.746664794542192
20051014,0.7226974237806825
20051015,0.7226974237806825
20051016,0.7226974237806825
20051017,0.7892523215233197
20051018,0.7776580558616222
20051019,0.7408795722802846
20051020,0.7331198338479888
20051021,0.6483219227725332
20051022,0.6483219227725332
20051023,0.6483219227725332
20051024,0.6610524467701613
20051025,0.6591904690201222
20051026,0.649323606207848
20051027,0.6370633528314018
20051028,0.6296443541429642
20051029,0.6296443541429642
20051030,0.6296443541429642
20051031,0.7430472559064714
20051101,0.9159557162951268
20051102,0.8566868722704698
20051103,0.818138253053335
20051104,0.809845874957962
20051105,0.809845874957962
20051106,0.809845874957962
20051107,0.7972118449514631
20051108,0.7953656368728685
20051109,0.7977769726400217
20051110,0.9017697869323943
20051111,0.8391103867159452
20051112,0.8391103867159452
20051113,0.8391103867159452
20051114,0.8317109205247178
20051115,0.8286747109178413
20051116,0.8770417782717765
20051117,0.7843404874603983
20051118,0.7867412347364429
20051119,0.7867412347364429
20051120,0.7867412347364429
20051121,0.8101032845772699
20051122,0.7803125625697437
20051123,0.7824374906257711
20051124,0.7824374906257711
20051125,0.7688005687217097
20051126,0.7688005687217097
20051127,0.7688005687217097
20051128,0.7666415396823123
20051129,0.8278629608471574
20051130,2.132330885994656
20051201,1.5960877257455819
20051202,1.462317557316133
20051203,1.462317557316133
20051204,1.462317557316133
20051205,1.596444404746129
20051206,1.594602748822958
20051207,1.647214871885194
20051208,1.6693582234096465
20051209,1.538906155623789
20051210,1.538906155623789
20051211,1.538906155623789
20051212,1.6746423764346239
20051213,1.6267195141042128
20051214,1.6285317828485617
20051215,1.623213201602297
20051216,1.6772888785958036
20051217,1.6772888785958036
20051218,1.6772888785958036
20051219,1.6854798967942282
20051220,1.690561010698897
20051221,1.6827292577140454
20051222,1.757399561557278
20051223,1.7442223777656958
20051224,1.7442223777656958
20051225,1.7442223777656958
20051226,1.7442223777656958
20051227,1.8066866960782835
20051228,1.8069151175896856
20051229,1.8324080462669177
20051230,1.7610323122748899
20051231,1.7610323122748899
20060101,1.798049392985079
20060102,1.798049392985079
20060103,1.9053709578292632
20060104,1.8858046241231115
20060105,1.8821132258026287
20060106,1.9337281874003662
20060107,1.9337281874003662
20060108,1.9337281874003662
20060109,1.8716071592854264
20060110,1.8831457967017362
20060111,1.8213236039535226
20060112,1.8063368746059885
20060113,1.9625362172908154
20060114,1.9625362172908154
20060115,1.9625362172908154
20060116,1.9625362172908154
20060117,1.927986780072195
20060118,1.909422039251976
20060119,1.9871560703497781
20060120,1.9861966877786028
20060121,1.9861966877786028
20060122,1.9861966877786028
20060123,1.846580693613062
20060124,1.8285884137417736
20060125,1.8205056433356548
20060126,1.822617496446972
20060127,1.8361952246432898
20060128,1.8361952246432898
20060129,1.8361952246432898
20060130,1.830451349759583
20060131,1.552770942275811
20060201,1.5792140497370095
20060202,1.5612526703342542
