Date,Glen Burnie Bancorp
20020328,1.6130624779217377
20020329,1.6130624779217377
20020330,1.6130624779217377
20020331,1.6130624779217377
20020401,2.1893690176198195
20020402,2.377401503373932
20020403,2.4634725987889983
20020404,2.8410440762557183
20020405,2.395091182006101
20020406,2.395091182006101
20020407,2.395091182006101
20020408,2.5617041702635124
20020409,2.2400896815573748
20020410,2.223719083051297
20020411,2.102339931023844
20020412,2.089756455996932
20020413,2.089756455996932
20020414,2.089756455996932
20020415,2.0832031333144974
20020416,2.30210097363792
20020417,2.266591940154929
20020418,2.7475593146151938
20020419,3.0293629143754957
20020420,3.0293629143754957
20020421,3.0293629143754957
20020422,2.9741392216212668
20020423,2.856115532836554
20020424,2.8639056173274087
20020425,2.6639162729256403
20020426,2.51204214414899
20020427,2.51204214414899
20020428,2.51204214414899
20020429,2.495810200532904
20020430,3.616768274195015
20020501,3.6242747942677527
20020502,3.3791296108163555
20020503,3.527166259135703
20020504,3.527166259135703
20020505,3.527166259135703
20020506,3.3606291746020744
20020507,3.3543848142967416
20020508,4.155888807329307
20020509,4.365476106163733
20020510,4.324344487542965
20020511,4.324344487542965
20020512,4.324344487542965
20020513,4.037107885078545
20020514,4.12654153645184
20020515,4.118453779636324
20020516,4.069880990735543
20020517,4.619934069496153
20020518,4.619934069496153
20020519,4.619934069496153
20020520,4.328648516723258
20020521,4.262019718312115
20020522,4.590698537423853
20020523,4.295061473753354
20020524,3.9426950430071415
20020525,3.9426950430071415
20020526,3.9426950430071415
20020527,3.9426950430071415
20020528,3.7989850354327244
20020529,3.8002476587130656
20020530,3.800820135565011
20020531,3.795564299729933
20020601,3.8236847131342078
20020602,3.8236847131342078
20020603,3.478838270703423
20020604,3.466741834726328
20020605,3.558967696220483
20020606,3.3878557169993337
20020607,3.3874449327523166
20020608,3.3874449327523166
20020609,3.3874449327523166
20020610,3.4282763671601084
20020611,3.407525973782828
20020612,3.4196565708148725
20020613,3.8554468680501626
20020614,3.8881071266253615
20020615,3.8881071266253615
20020616,3.8881071266253615
20020617,4.135025721263628
20020618,4.140786081821065
20020619,4.092954371600101
20020620,3.4410827956757415
20020621,3.9798529874184365
20020622,3.9798529874184365
20020623,3.9798529874184365
20020624,3.4847136551869697
20020625,3.933221825043352
20020626,3.964901480808006
20020627,4.077929199787255
20020628,4.2609718813666495
20020629,4.2609718813666495
20020630,4.2609718813666495
20020701,5.029696719139903
20020702,5.702357766729345
20020703,4.984926702117081
20020704,4.984926702117081
20020705,4.925987344546307
20020706,4.925987344546307
20020707,4.925987344546307
20020708,5.438380238569245
20020709,5.347709591486896
20020710,4.367114520349489
20020711,4.783782287544734
20020712,5.126655530657035
20020713,5.126655530657035
20020714,5.126655530657035
20020715,5.196730483932497
20020716,5.167575153155691
20020717,4.983875487290528
20020718,4.924966199920843
20020719,4.836112819273593
20020720,4.836112819273593
20020721,4.836112819273593
20020722,4.7855120651566665
20020723,5.493835732012604
20020724,5.677697954934544
20020725,5.643383618214863
20020726,5.757730392891563
20020727,5.757730392891563
20020728,5.757730392891563
20020729,5.789736091019013
20020730,5.801044529280024
20020731,6.033865285712353
20020801,5.453641179854348
20020802,5.385289866934376
20020803,5.385289866934376
20020804,5.385289866934376
20020805,5.313849639109298
20020806,5.41358573702579
20020807,5.645847702458628
20020808,5.782371762527015
20020809,5.943653056876303
20020810,5.943653056876303
20020811,5.943653056876303
20020812,6.0615745690392036
20020813,5.876697510917886
20020814,6.083078488737713
20020815,6.481751934453842
20020816,6.46477548154654
20020817,6.46477548154654
20020818,6.46477548154654
20020819,6.380029884441244
20020820,6.306294242651824
20020821,5.867554629924029
20020822,5.890373822574804
20020823,5.827070628430535
20020824,5.827070628430535
20020825,5.827070628430535
20020826,5.551721772986197
20020827,5.955654453312182
20020828,6.018112506968189
20020829,6.058259826604917
20020830,5.226359788432793
20020831,5.226359788432793
20020901,5.268564650286074
20020902,5.268564650286074
20020903,5.128422259673068
20020904,5.168525166107514
20020905,5.406657933226947
20020906,5.318984386717508
20020907,5.318984386717508
20020908,5.318984386717508
20020909,5.680867957999292
20020910,5.6760994241248035
20020911,5.744707173107031
20020912,5.824217523923068
20020913,5.602635571080142
20020914,5.602635571080142
20020915,5.602635571080142
20020916,5.6388497423015265
20020917,5.714203590598279
20020918,5.859212854047273
20020919,5.811810173268092
20020920,6.342461352866704
20020921,6.342461352866704
20020922,6.342461352866704
20020923,6.37140242040295
20020924,6.1907407095414
20020925,6.182496277720502
20020926,6.236739118120768
20020927,6.130302262596835
20020928,6.130302262596835
20020929,6.130302262596835
20020930,5.861831116778228
20021001,6.0391339373581845
20021002,5.956499016781958
20021003,5.483437543628361
20021004,5.508944204923607
20021005,5.508944204923607
20021006,5.508944204923607
20021007,5.470716160598127
20021008,5.541510896351772
20021009,6.199782544264143
20021010,6.24815150315307
20021011,5.815916051911385
20021012,5.815916051911385
20021013,5.815916051911385
20021014,5.649928752900438
20021015,5.788450261518441
20021016,6.583396274336384
20021017,6.7213392711716775
20021018,6.019208828501393
20021019,6.019208828501393
20021020,6.019208828501393
20021021,6.05954363409926
20021022,5.96767935367019
20021023,6.0125491724009565
20021024,6.303894580066869
20021025,6.31985049298219
20021026,6.31985049298219
20021027,6.31985049298219
20021028,6.28613788938058
20021029,6.33491293414779
20021030,5.911720547255214
20021031,5.982830421407412
20021101,6.3678960411502255
20021102,6.3678960411502255
20021103,6.3678960411502255
20021104,6.392459364820491
20021105,6.365551030664029
20021106,6.359250267165921
20021107,6.111406479298398
20021108,5.8453142699782905
20021109,5.8453142699782905
