Date,A Brown Co Inc
20040527,179.23004326600395
20040528,114.5160066719601
20040529,114.5160066719601
20040530,114.5160066719601
20040604,190.20213459920797
20040605,190.20213459920797
20040606,190.20213459920797
20040618,188.81871920307208
20040619,188.81871920307208
20040620,188.81871920307208
20040705,178.34502950402955
20040706,146.4999823581878
20040723,167.3462936427645
20040724,167.3462936427645
20040725,167.3462936427645
20040727,183.42646036161992
20040729,145.65063893741896
20040812,121.0093278027424
20041001,117.73311862015687
20041002,117.73311862015687
20041003,117.73311862015687
20041007,160.18608462544097
20041011,132.64108053986973
20041012,123.72934690158542
20041028,129.75188877858406
20041103,129.86646738884863
20041109,124.01143303605625
20041116,123.68296936807052
20041117,126.99514944421406
20041118,123.46221070951226
20041124,101.50923970143869
20041126,116.3113326529377
20041127,116.3113326529377
20041128,116.3113326529377
20041129,116.3113326529377
20050118,84.42411559362773
20050125,76.74746515932453
20050128,63.667560711193524
20050129,63.667560711193524
20050130,63.667560711193524
20050202,64.33161636268484
20050203,56.252144992164794
20050209,49.92887768979264
20050210,49.046286236921155
20050214,37.12646011500916
20050215,37.44841169559389
20050216,35.07524700600433
20050217,33.4969141268707
20050218,36.26353856767768
20050219,36.26353856767768
20050220,36.26353856767768
20050221,35.75204386165372
20050222,35.5241148478683
20050223,30.867219933051416
20050224,32.15210524709278
20050225,32.15210524709278
20050226,32.15210524709278
20050227,32.15210524709278
20050228,43.12819176670435
20050301,35.52872944534101
20050302,44.67762431743139
20050303,48.236928470492934
20050307,42.90339770892658
20050308,34.66054299245967
20050314,32.27962441026185
20050315,30.919092038231874
20050316,31.945566332008134
20050317,35.25957566457352
20050322,34.52584234481993
20050323,34.52584234481993
20050324,34.52584234481993
20050325,34.52584234481993
20050326,34.52584234481993
20050327,34.52584234481993
20050329,39.23775398975305
20050330,40.04714761461068
20050405,32.38423869321243
20050407,33.111202192694634
20050413,33.141127494093816
20050415,38.36583568479537
20050416,38.36583568479537
20050417,38.36583568479537
20050426,42.3484342271184
20050519,50.150698020298805
20050602,43.008494991972235
20050607,52.129953740184604
20050719,67.56522830135279
20050722,68.19740253379989
20050723,68.19740253379989
20050724,68.19740253379989
20050725,68.19740253379989
20050802,76.67516205174768
20050805,77.44445754973532
20050806,77.44445754973532
20050807,77.44445754973532
20050809,76.71383754592527
20050817,84.07941748508657
20050822,88.09537011791885
20050831,87.69968432411937
20050905,92.38989441013625
20050908,93.97913695388203
20050926,74.29809152707269
20050927,85.30929828143888
20050928,80.0127975394298
20050930,71.39451386786861
20051001,71.39451386786861
20051002,71.39451386786861
20051003,72.25326356038883
20051005,72.44940454332573
20051006,73.47288994544098
20051017,68.96201798888012
20051019,64.11590571867504
20051020,63.92988414110568
20051021,60.476154278184204
20051022,60.476154278184204
20051023,60.476154278184204
20051025,60.056304535798525
20051103,49.44996897593643
20051104,49.44996897593643
20051105,49.44996897593643
20051106,49.44996897593643
20051107,47.85259445354886
20051108,45.88752742577886
20051110,43.7878992840104
20051117,48.52908457504166
20051118,50.64964795593494
20051119,50.64964795593494
20051120,50.64964795593494
20051121,48.188487853241185
20051122,47.94155575299233
20051124,48.18423382104865
20051125,41.311585453061376
20051126,41.311585453061376
20051127,41.311585453061376
20051128,41.311585453061376
20051206,48.97998349844612
20051209,49.8327019852047
20051210,49.8327019852047
20051211,49.8327019852047
20051212,49.82944082632866
20051213,51.41331799854064
20051219,44.729640593633356
20051220,45.032659366677755
20051222,43.195143408826546
20051223,43.146937625702435
20051224,43.146937625702435
20051225,43.146937625702435
20051226,43.146937625702435
20051227,42.529661014907006
20051228,45.96647526481007
20051229,40.71205240284622
20051230,40.71205240284622
20051231,40.71205240284622
20060101,40.71205240284622
20060104,38.5307509917622
20060105,37.34132634958037
20060110,35.3492287726813
20060112,34.97783512398754
20060116,34.67132817596449
20060124,38.16960390328435
20060202,34.64036418849736
20060203,32.83249806320264
20060204,32.83249806320264
20060205,32.83249806320264
20060206,33.67325943751135
20060214,33.361939073267585
20060222,35.92134960713537
20060223,34.176915217411704
20060228,22.29470789393345
20060302,22.162048294097755
20060303,21.69106798217233
20060304,21.69106798217233
20060305,21.69106798217233
20060306,21.532543191898494
20060307,21.5684902351365
20060309,22.11976948343172
20060310,21.976466159074025
20060311,21.976466159074025
20060312,21.976466159074025
20060316,21.435846731453854
20060320,20.92307542358194
20060322,20.607579168547865
20060323,20.11397606190753
20060324,19.764616605528026
20060325,19.764616605528026
20060326,19.764616605528026
20060407,17.548901502825483
20060408,17.548901502825483
20060409,17.548901502825483
20060410,17.773096665085188
20060417,15.331915018702139
20060503,12.14649394958961
20060504,10.135575917843786
20060505,11.082158470034392
20060506,11.082158470034392
20060507,11.082158470034392
20060509,11.49433338347717
20060511,11.195892958343453
20060515,11.562957573526763
20060516,12.207832307485337
20060517,12.409623564855439
20060522,13.600794621534005
20060531,19.423612403189157
20060607,20.078159393267242
20060629,26.51705794628213
20060704,23.544461242958384
20060706,28.6025805512542
20060707,25.306478380374728
20060708,25.306478380374728
20060709,25.306478380374728
20060721,22.248119067420994
20060722,22.248119067420994
20060723,22.248119067420994
20060724,22.248119067420994
20060801,20.155743695410443
20060803,20.077974703307266
20060808,24.134265451787147
20060815,22.18149285638384
20060822,26.547703557772124
20060823,26.770357991939033
20060907,23.50153468460414
20060911,25.215904635475326
20060913,28.092487691098633
20060921,24.32092405444321
20060922,20.397044977723656
20060923,20.397044977723656
20060924,20.397044977723656
20060925,19.266866787253576
20060926,19.306673389738208
20060927,18.320110026728035
20060928,18.320110026728035
20060929,18.320110026728035
20060930,18.320110026728035
20061001,18.320110026728035
20061003,20.33611789761896
20061004,18.549547574776536
20061005,17.09946800648449
20061006,18.278278602113755
20061007,18.278278602113755
20061008,18.278278602113755
20061009,18.774199286903396
20061010,18.202545095116996
20061011,12.00291415582684
20061012,13.634140488446345
20061013,13.128620223175226
20061014,13.128620223175226
20061015,13.128620223175226
20061016,12.803680301526976
20061017,12.68492161912785
20061018,12.84201841257238
20061019,12.538406501110048
20061020,9.310061582792606
20061021,9.310061582792606
20061022,9.310061582792606
20061023,10.015292546120357
20061024,10.015292546120357
20061025,11.497893765979388
20061026,9.03714847017304
20061027,6.765353702491571
20061028,6.765353702491571
20061029,6.765353702491571
20061030,6.188919659021613
20061031,13.1067290373209
20061101,13.1067290373209
20061102,12.629388967751492
20061103,12.084078359593802
20061104,12.084078359593802
20061105,12.084078359593802
20061106,11.16443397519048
20061107,10.829367526363088
20061108,11.1657800389881
20061109,11.478633998930622
20061110,11.53068611232443
20061111,11.53068611232443
20061112,11.53068611232443
20061113,12.231537918700958
20061114,12.941447368820958
20061115,12.90405364834103
20061116,12.03678552666768
20061117,12.263181661981083
20061118,12.263181661981083
20061119,12.263181661981083
20061120,12.821688718305337
20061121,12.568460380180513
20061122,11.791552726671217
20061123,12.279218260200897
20061124,10.8720474408407
20061125,10.8720474408407
20061126,10.8720474408407
20061127,10.127713638224405
20061128,10.369382857999181
20061129,10.78877150468828
20061130,9.558394209984868
20061201,9.558394209984868
20061202,9.558394209984868
20061203,9.558394209984868
20061204,10.887606049760343
20061205,10.35208682329479
20061206,10.955950546888559
20061207,11.045868037929967
20061208,10.517545644932351
20061209,10.517545644932351
20061210,10.517545644932351
20061211,12.186594052173984
20061212,12.457328638578668
20061213,12.112435919545918
20061214,12.93680029722262
20061215,11.92223227714518
20061216,11.92223227714518
20061217,11.92223227714518
20061218,11.77810180426696
20061219,12.049856916067702
20061220,12.47672774793333
20061221,12.697329918301987
20061222,13.526948919006193
20061223,13.526948919006193
20061224,13.526948919006193
20061225,13.526948919006193
20061226,13.526948919006193
20061227,14.083817660028055
20061228,13.697738626227112
20061229,12.704905433143882
20061230,12.704905433143882
20061231,12.704905433143882
20070101,12.704905433143882
20070102,12.886412643080673
20070103,12.431569340706666
20070104,12.13986073910699
20070105,11.477914404243329
20070106,11.477914404243329
20070107,11.477914404243329
20070108,10.522598848976434
20070109,10.270262314976755
20070110,10.397961716970615
20070111,10.653446259666412
20070112,10.732894478713579
20070113,10.732894478713579
20070114,10.732894478713579
20070115,10.338624991725581
20070116,9.816006790554171
20070117,10.134367203134923
20070118,10.070127629002902
20070119,9.395050555364163
20070120,9.395050555364163
20070121,9.395050555364163
20070122,8.46681872794518
20070123,8.412333772296945
20070124,7.637186594847258
20070125,7.643232932128565
20070126,7.5989693143541395
20070127,7.5989693143541395
20070128,7.5989693143541395
20070129,7.727319424103954
20070130,7.429540271556064
20070131,5.965847864589726
20070201,6.418101081507295
20070202,10.87464133524715
20070203,10.87464133524715
20070204,10.87464133524715
20070205,11.0498029670828
20070206,10.980934625140028
20070207,11.328235625922922
20070208,11.687957793069964
20070209,10.901482393433826
20070210,10.901482393433826
20070211,10.901482393433826
20070212,11.291028548037017
20070213,11.002778820664846
20070214,10.098630570030203
20070215,9.420999381525888
20070216,9.129858337755895
20070217,9.129858337755895
20070218,9.129858337755895
20070219,9.612718270499965
20070220,9.564523678656133
20070221,10.306849010115766
20070222,10.228161579086478
20070223,10.41613174629955
20070224,10.41613174629955
20070225,10.41613174629955
20070226,10.305763657350779
20070227,11.757150687709025
20070228,15.953274642570145
20070301,14.761632113975608
20070302,17.004759869146778
20070303,17.004759869146778
20070304,17.004759869146778
20070305,16.958978286736684
20070306,17.011789822558434
20070307,15.779703113875797
20070308,16.64418497162575
20070309,16.069159770123274
20070310,16.069159770123274
20070311,16.069159770123274
20070312,15.527279261997435
20070313,14.926436399397206
20070314,15.791909535720542
20070315,15.839677372621555
20070316,16.273817561060895
20070317,16.273817561060895
20070318,16.273817561060895
20070319,16.632181156299538
20070320,16.255912481509966
20070321,15.23182651248714
20070322,14.951315249100347
20070323,14.455643814940016
20070324,14.455643814940016
20070325,14.455643814940016
20070326,14.03586785338821
20070327,13.108678272418981
20070328,13.880439819320635
20070329,13.089804884470043
20070330,14.6634846461858
20070331,14.6634846461858
20070401,14.6634846461858
20070402,14.520090788914668
20070403,13.23577091779916
20070404,13.741935346341636
20070405,13.741935346341636
20070406,13.741935346341636
20070407,13.741935346341636
20070408,13.741935346341636
20070409,13.741935346341636
20070410,13.550576908282022
20070411,13.892777515456354
20070412,14.875958521606107
20070413,14.89546200688492
20070414,14.89546200688492
20070415,14.89546200688492
20070416,16.90410865131266
20070417,16.167328808638796
20070418,16.486417634959
20070419,16.634121764434536
20070420,16.34521253973684
20070421,16.34521253973684
20070422,16.34521253973684
20070423,16.404929896148452
20070424,16.943220166199566
20070425,16.10854348041443
20070426,16.030697405885228
20070427,16.813460374953095
20070428,16.813460374953095
20070429,16.813460374953095
20070430,18.204491234528508
20070501,18.204491234528508
20070502,20.60349325327671
20070503,20.429340967852653
20070504,20.376967628464868
20070505,20.376967628464868
20070506,20.376967628464868
20070507,19.612368764291546
20070508,19.79047673016666
20070509,19.691297566699173
20070510,19.660482608462583
20070511,19.76481807993698
20070512,19.76481807993698
20070513,19.76481807993698
20070514,19.76481807993698
20070515,16.87921637945015
20070516,15.262782609481107
20070517,14.84938898578615
20070518,13.486738124037666
20070519,13.486738124037666
20070520,13.486738124037666
20070521,13.504927157118829
20070522,13.599717586139349
20070523,13.377285550199511
20070524,13.055342274280557
20070525,12.83792626854453
20070526,12.83792626854453
20070527,12.83792626854453
20070528,12.677074947365318
20070529,11.94445925145837
20070530,13.132526781818912
20070531,11.972340199868999
20070601,12.414097983622185
20070602,12.414097983622185
20070603,12.414097983622185
20070604,12.316640664603067
20070605,12.228709622372875
20070606,12.254464798905481
20070607,12.450387131629268
20070608,13.190080766354795
20070609,13.190080766354795
20070610,13.190080766354795
20070611,13.190080766354795
20070612,13.17860105091188
20070613,13.155707608570756
20070614,13.285180608333352
20070615,13.222591594275327
20070616,13.222591594275327
20070617,13.222591594275327
20070618,13.10179628644589
20070619,12.546852967410201
20070620,12.432155290332313
20070621,12.043774944299097
20070622,11.797419059803225
20070623,11.797419059803225
20070624,11.797419059803225
20070625,12.358430770598925
20070626,13.280256803855275
20070627,13.686697268728008
20070628,14.319903520607038
20070629,14.288681512884157
20070630,14.288681512884157
20070701,14.288681512884157
20070702,14.733617521378747
20070703,14.610526445272479
20070704,14.652572573323283
20070705,14.996780461688191
20070706,14.971965104964456
20070707,14.971965104964456
20070708,14.971965104964456
20070709,15.052943765719512
20070710,14.976091578676114
20070711,15.111296510085864
20070712,15.517754764350721
20070713,14.002598737884572
20070714,14.002598737884572
20070715,14.002598737884572
20070716,14.478933698025658
20070717,14.696316660681129
20070718,14.934168748201385
20070719,15.303938365447488
20070720,13.676129098704857
20070721,13.676129098704857
20070722,13.676129098704857
20070723,13.085850555641699
