Date,1st Constitution Bancorp
20040327,2.050833801017814
20040328,2.050833801017814
20040329,2.20630267939916
20040330,2.2101071290846708
20040331,2.2410039481215764
20040401,2.6582792583834665
20040402,2.668835983992633
20040403,2.668835983992633
20040404,2.668835983992633
20040405,2.4502309640832918
20040406,2.4402111081174778
20040407,2.4266100117245832
20040408,2.425776405106504
20040409,2.425776405106504
20040410,2.425776405106504
20040411,2.425776405106504
20040412,2.6243023435434654
20040413,2.5916947929786893
20040414,2.540438537634975
20040415,2.528518706737775
20040416,2.5680642624491132
20040417,2.5680642624491132
20040418,2.5680642624491132
20040419,2.591040297433574
20040420,2.595035642382377
20040421,2.609545032235274
20040422,2.5989595483703742
20040423,2.3836839139650547
20040424,2.3836839139650547
20040425,2.3836839139650547
20040426,2.419645455939717
20040427,2.49884663556438
20040428,2.433129139417788
20040429,2.775469815959417
20040430,2.557849042858995
20040501,2.5932660083566006
20040502,2.5932660083566006
20040503,2.581687499467103
20040504,2.5730020668060236
20040505,2.427486161332686
20040506,2.3950521587954694
20040507,2.343358521997038
20040508,2.343358521997038
20040509,2.343358521997038
20040510,2.4233583200266993
20040511,1.8791259176677557
20040512,2.3167566973827194
20040513,2.342002462727669
20040514,2.345350818953989
20040515,2.345350818953989
20040516,2.345350818953989
20040517,2.3619913852866876
20040518,2.3760558892692374
20040519,2.4699901736501033
20040520,2.311507869710396
20040521,2.2026988999465296
20040522,2.2026988999465296
20040523,2.2026988999465296
20040524,2.343924219754811
20040525,2.4396400443128665
20040526,2.5081792515903167
20040527,2.3938229332087775
20040528,2.7265094368602427
20040529,2.7265094368602427
20040530,2.7265094368602427
20040531,2.7265094368602427
20040601,2.7826499760021957
20040602,2.8802620431590324
20040603,2.8176029276450594
20040604,2.7540396589553273
20040605,2.7540396589553273
20040606,2.7540396589553273
20040607,2.7966592157398558
20040608,2.7988944646420726
20040609,2.9050319830285622
20040610,2.8950663157870737
20040611,2.8950663157870737
20040612,2.8950663157870737
20040613,2.8950663157870737
20040614,3.0564308389242565
20040615,2.825261785272367
20040616,2.7826454778450183
20040617,2.6930067952798047
20040618,2.601645738812255
20040619,2.601645738812255
20040620,2.601645738812255
20040621,2.738284052494247
20040622,2.8525003936709594
20040623,2.9039757525832277
20040624,2.982251781585431
20040625,2.908696031085084
20040626,2.908696031085084
20040627,2.908696031085084
20040628,2.9427825189999512
20040629,2.9146264183668316
20040630,2.731354434145208
20040701,2.7260605656860415
20040702,2.698123835158846
20040703,2.698123835158846
20040704,2.698123835158846
20040705,2.698123835158846
20040706,2.69167988030281
20040707,2.89455494934966
20040708,2.624067557999884
20040709,2.640868517642747
20040710,2.640868517642747
20040711,2.640868517642747
20040712,2.65059382870985
20040713,2.6503399356796056
20040714,2.6229203022694354
20040715,2.877616942468107
20040716,2.879099719211689
20040717,2.879099719211689
20040718,2.879099719211689
20040719,2.3925914343009667
20040720,2.4366548887648536
20040721,2.596683817950088
20040722,2.5764705820522145
20040723,2.2669002821975557
20040724,2.2669002821975557
20040725,2.2669002821975557
20040726,2.6289740888476674
20040727,2.6480456449527505
20040728,2.6504265227277637
20040729,2.675838446355323
20040730,2.6852058451304543
20040731,2.6852058451304543
20040801,2.725134604159316
20040802,2.64301472825971
20040803,2.6290805488674014
20040804,2.609941788656031
20040805,2.610412043157162
20040806,2.5763923506265947
20040807,2.5763923506265947
20040808,2.5763923506265947
20040809,2.516294704426418
20040810,2.7668266037031706
20040811,2.3910636444742854
20040812,2.422995079696532
20040813,2.4360454078467453
20040814,2.4360454078467453
20040815,2.4360454078467453
20040816,2.717445924597103
20040817,2.5354770085334404
20040818,2.3532293508151474
20040819,2.338653639659344
20040820,2.3634963202341632
20040821,2.3634963202341632
20040822,2.3634963202341632
20040823,2.5455302627474468
20040824,2.544532180209901
20040825,2.716261733197521
20040826,2.708814302841236
20040827,2.712098405999607
20040828,2.712098405999607
20040829,2.712098405999607
20040830,2.677794433782104
20040831,2.693902227345549
20040901,2.7898903999989635
20040902,2.510399420259761
20040903,2.5040431022641347
20040904,2.5040431022641347
20040905,2.5040431022641347
20040906,2.5040431022641347
20040907,2.5196325101260357
20040908,2.638610838120219
20040909,2.744588909130153
20040910,2.7754974450681855
20040911,2.7754974450681855
20040912,2.7754974450681855
20040913,2.526719024170879
20040914,2.5304195514126797
