Date,Hang Seng Bank Ltd
19930430,3.8570355773532574
19930501,3.8570355773532574
19930502,3.8570355773532574
19930503,3.8948239061514243
19930504,3.76146340178809
19930505,3.6723093163218317
19930506,3.674699990407388
19930507,3.8870635404425156
19930508,3.8870635404425156
19930509,3.8870635404425156
19930510,4.194189113802281
19930511,3.99131558734393
19930512,3.6788372853789024
19930513,3.6712529132454224
19930514,3.7841760950640726
19930515,3.7841760950640726
19930516,3.7841760950640726
19930517,3.690240848649459
19930518,3.791042472994379
19930519,3.9161251525761016
19930520,4.035141762599843
19930521,4.068079480669781
19930522,4.068079480669781
19930523,4.068079480669781
19930524,3.982867618332795
19930525,3.8492352411613715
19930526,3.8386375673493105
19930527,3.5266577583169787
19930528,3.560489666781504
19930529,3.560489666781504
19930530,3.560489666781504
19930531,1.9313365119425026
19930601,1.925983940487617
19930602,1.9741647179901136
19930603,2.1720212980657814
19930604,2.055204322613304
19930605,2.055204322613304
19930606,2.055204322613304
19930607,2.0843036162307773
19930608,2.012416743007408
19930609,1.9545879576183451
19930610,2.020385725184117
19930611,2.0151019575300064
19930612,2.0151019575300064
19930613,2.0151019575300064
19930614,2.0151019575300064
19930615,1.9393861841205937
19930616,1.898639999882675
19930617,2.008798152903904
19930618,1.9256658587045523
19930619,1.9256658587045523
19930620,1.9256658587045523
19930621,2.1504409454235582
19930622,2.1327228001340774
19930623,2.06851873715626
19930624,2.06851873715626
19930625,2.1997632219155316
19930626,2.1997632219155316
19930627,2.1997632219155316
19930628,1.9707209432788027
19930629,2.0429072084581494
19930630,1.9491461726349772
19930701,1.9473852548335902
19930702,1.9534601201186892
19930703,1.9534601201186892
19930704,1.9534601201186892
19930705,1.910239529947013
19930706,1.9125293614247365
19930707,2.0127664221049355
19930708,1.9668157806146906
19930709,2.0762009420027656
19930710,2.0762009420027656
19930711,2.0762009420027656
19930712,2.0974714267355195
19930713,2.1014433773111825
19930714,2.0425836499169345
19930715,2.002974388369347
19930716,2.0136635307252497
19930717,2.0136635307252497
19930718,2.0136635307252497
19930719,2.0342918404968255
19930720,2.028463956547784
19930721,2.044892045088166
19930722,2.1025447590600215
19930723,2.2287662626476483
19930724,2.2287662626476483
19930725,2.2287662626476483
19930726,2.0772528479590022
19930727,1.9684882116248135
19930728,2.0278059021506216
19930729,1.9441393588261362
19930730,1.5988890131498574
19930731,1.5988890131498574
19930801,1.5988890131498574
19930802,1.5904605742198519
19930803,1.4913514649744821
19930804,1.528954893134082
19930805,1.4813365641780385
19930806,1.3210140731580482
19930807,1.3210140731580482
19930808,1.3210140731580482
19930809,1.2884658082662421
19930810,1.3666361155854239
19930811,1.332190848564577
19930812,1.3603075790081178
19930813,1.3969282788437405
