Date,HSBC Holdings PLC
19930430,4.579306047911262
19930501,4.579306047911262
19930502,4.579306047911262
19930503,4.579306047911262
19930504,4.4253811699651555
19930505,4.43202100142923
19930506,4.677011846732327
19930507,4.850510525013067
19930508,4.850510525013067
19930509,4.850510525013067
19930510,4.655899009319553
19930511,4.480410074178971
19930512,3.9294298949819275
19930513,3.9076868019560114
19930514,3.7379711512790004
19930515,3.7379711512790004
19930516,3.7379711512790004
19930517,3.738080721537094
19930518,3.8189677766139924
19930519,4.0539591887679505
19930520,3.799852188989372
19930521,3.9055367636128064
19930522,3.9055367636128064
19930523,3.9055367636128064
19930524,3.6993718035022005
19930525,3.3127199100657814
19930526,3.2661567322647005
19930527,3.2287131277853405
19930528,4.510610481893639
19930529,4.510610481893639
19930530,4.510610481893639
19930531,4.510610481893639
19930601,4.142264020354101
19930602,3.954488450761793
19930603,4.169596339866008
19930604,4.387888582775917
19930605,4.387888582775917
19930606,4.387888582775917
19930607,4.391329742708804
19930608,4.253979640847244
19930609,3.972194684074569
19930610,3.829596876218838
19930611,3.8522183041680664
19930612,3.8522183041680664
19930613,3.8522183041680664
19930614,3.7345494560116648
19930615,3.773443514722251
19930616,3.632533194775602
19930617,3.9787933908730326
19930618,3.9600835955477174
19930619,3.9600835955477174
19930620,3.9600835955477174
19930621,3.9512296920532974
19930622,3.741213422564505
19930623,3.875265703528064
19930624,3.842414080965348
19930625,3.89690091825788
19930626,3.89690091825788
19930627,3.89690091825788
19930628,3.5540248714901823
19930629,3.717985289842988
19930630,3.5547918457573404
19930701,3.2069475019550726
19930702,3.3583539921710126
19930703,3.3583539921710126
19930704,3.3583539921710126
19930705,3.4589924768948483
19930706,3.435547423510829
19930707,3.50714501957807
19930708,3.2536978922331583
19930709,3.277843040470683
19930710,3.277843040470683
19930711,3.277843040470683
19930712,3.4499861183179568
19930713,3.3979755958147
19930714,3.398220869581228
19930715,3.4252986440550024
19930716,3.4802046795781827
19930717,3.4802046795781827
19930718,3.4802046795781827
19930719,3.6054110300946887
19930720,3.8807105094573253
19930721,4.125992383719626
19930722,4.050330802982462
19930723,3.9971209989353413
19930724,3.9971209989353413
19930725,3.9971209989353413
19930726,3.8287279240488736
19930727,3.838438622227785
19930728,3.7237032409322026
19930729,3.5437445795855798
19930730,3.299935401901987
19930731,3.299935401901987
19930801,3.299935401901987
19930802,3.111583293029268
19930803,2.9906026363901757
19930804,2.7148614510729785
19930805,2.5668238171705307
19930806,2.387147313501228
19930807,2.387147313501228
19930808,2.387147313501228
19930809,2.3077993561591765
19930810,2.389380755689313
19930811,2.1017284566503425
19930812,2.067583926958713
19930813,2.015890942879113
19930814,2.015890942879113
19930815,2.015890942879113
19930816,1.9450052493131067
19930817,1.9060572228769292
19930818,1.9317651112414427
19930819,2.4135080140719283
19930820,2.42487069240492
19930821,2.42487069240492
19930822,2.42487069240492
19930823,2.7057661002065045
19930824,2.594618246294321
19930825,2.563752955253099
19930826,2.3733121019201198
19930827,2.364825520916064
19930828,2.364825520916064
19930829,2.364825520916064
19930830,2.364825520916064
19930831,3.443196672841901
19930901,3.556188028742292
19930902,3.7751436110933767
19930903,3.85188488123435
19930904,3.85188488123435
19930905,3.85188488123435
19930906,4.195982247031348
19930907,4.353569260940271
19930908,4.068429429604924
19930909,4.232973611533683
19930910,4.159831005454562
19930911,4.159831005454562
19930912,4.159831005454562
19930913,4.549901931546052
19930914,4.5524558323641235
19930915,4.701494135634222
19930916,4.77109695587553
19930917,5.224222897541344
19930918,5.224222897541344
19930919,5.224222897541344
19930920,5.357561920804172
19930921,5.360243176112169
19930922,5.20478536163117
19930923,4.976197376799554
19930924,5.051625670356093
19930925,5.051625670356093
19930926,5.051625670356093
19930927,5.113974181860621
19930928,4.9564295604638415
19930929,4.95422792662447
19930930,4.462851475192756
19931001,4.433568630703969
19931002,4.433568630703969
19931003,4.433568630703969
19931004,4.246399670457678
19931005,3.9426171717605722
19931006,3.9120589788423707
19931007,4.059901748815952
19931008,4.17149311128988
19931009,4.17149311128988
19931010,4.17149311128988
19931011,4.378353674398546
19931012,4.431292097163142
19931013,4.355042989868284
19931014,3.9250195075289116
19931015,3.6635383308812153
19931016,3.6635383308812153
19931017,3.6635383308812153
19931018,3.5614059523050616
19931019,3.7440467365913883
19931020,3.6929472726142576
19931021,3.718487905720251
19931022,3.923007221555418
19931023,3.923007221555418
19931024,3.923007221555418
19931025,4.026675980271915
19931026,3.9862571642449325
19931027,3.962761009765316
19931028,3.851478824464046
19931029,3.573459135188735
19931030,3.573459135188735
19931031,3.573459135188735
19931101,3.557548358253169
19931102,3.7145790244222137
19931103,3.7907490239692665
19931104,4.06793097123593
19931105,4.191829891925835
19931106,4.191829891925835
19931107,4.191829891925835
19931108,4.391962200122997
19931109,4.123415879734092
19931110,3.9311612238369467
19931111,3.7543056864481206
19931112,3.690225609200868
19931113,3.690225609200868
19931114,3.690225609200868
19931115,4.044228770975248
19931116,4.105798335712806
19931117,4.391925441413162
19931118,4.419404973164336
19931119,4.353475910594289
19931120,4.353475910594289
19931121,4.353475910594289
19931122,4.687022617872187
19931123,4.791595216795641
19931124,4.585239052996048
19931125,4.374407287497127
19931126,4.407453319549661
19931127,4.407453319549661
19931128,4.407453319549661
19931129,4.549844403492611
19931130,4.52920462806795
19931201,4.072714733071051
19931202,4.020456427087446
19931203,4.138176501895713
19931204,4.138176501895713
19931205,4.138176501895713
19931206,3.7475714549479706
19931207,3.680142723728172
19931208,3.364309132378227
19931209,3.188217246438525
19931210,3.179421266726436
