Date,Berkshire Bancorp Inc/NY
19990528,31.832185333536994
19990529,31.832185333536994
19990530,31.832185333536994
19990531,31.832185333536994
19990601,30.30699159699038
19990602,31.258309213233066
19990603,31.647946639349605
19990604,31.959724681270757
19990605,31.959724681270757
19990606,31.959724681270757
19990607,31.674459960764686
19990608,31.310642412077033
19990609,31.290246131497348
19990610,32.72660574957048
19990611,33.13591498178422
19990612,33.13591498178422
19990613,33.13591498178422
19990614,33.05576605277667
19990615,33.75563403630176
19990616,34.17319156943105
19990617,33.96047081750971
19990618,35.00426164451505
19990619,35.00426164451505
19990620,35.00426164451505
19990621,35.29661318574746
19990622,36.62096775139742
19990623,36.23020351367012
19990624,35.579667718576594
19990625,35.6775165700223
19990626,35.6775165700223
19990627,35.6775165700223
19990628,35.11763460717719
19990629,35.373595436042166
19990630,33.07928216800132
19990701,33.067114737499196
19990702,32.28689181197191
19990703,32.28689181197191
19990704,32.28689181197191
19990705,32.28689181197191
19990706,32.00087828393229
19990707,32.17342381736606
19990708,31.903092726773192
19990709,32.18052323487779
19990710,32.18052323487779
19990711,32.18052323487779
19990712,31.950489638341207
19990713,31.86318507278477
19990714,32.950914566143695
19990715,33.32859083970085
19990716,33.304297848883714
19990717,33.304297848883714
19990718,33.304297848883714
19990719,33.06089924979562
19990720,32.81244254475955
19990721,33.23622533164066
19990722,33.33322434015093
19990723,33.72237200248961
19990724,33.72237200248961
19990725,33.72237200248961
19990726,33.46457587234783
19990727,33.5937531488252
19990728,33.98867015892199
19990729,33.5863277657158
19990730,30.084624414090932
19990731,30.084624414090932
19990801,30.16049782195623
19990802,32.07915298714917
19990803,32.22488471139117
19990804,32.86010592674423
19990805,32.822474073907756
19990806,33.138958829435985
19990807,33.138958829435985
19990808,33.138958829435985
19990809,34.019383689940184
19990810,33.89236883960365
19990811,34.631255739865985
19990812,35.1666652116435
19990813,36.09797997174909
19990814,36.09797997174909
19990815,36.09797997174909
19990816,38.39655551635877
19990817,40.14013494388885
19990818,37.5358517343198
19990819,39.404626450603736
19990820,39.79942256706245
19990821,39.79942256706245
19990822,39.79942256706245
19990823,40.536891150065486
19990824,40.39643960029467
19990825,40.69256963080129
19990826,40.43740702613197
19990827,41.29774595470223
19990828,41.29774595470223
19990829,41.29774595470223
19990830,41.74887345263884
19990831,40.73588595497071
19990901,38.926320158546076
19990902,38.72016847935586
19990903,40.08874591320197
19990904,40.08874591320197
19990905,40.08874591320197
19990906,40.08874591320197
19990907,40.117957640401784
19990908,38.39828823376274
19990909,39.30038639588759
19990910,40.290728135714126
19990911,40.290728135714126
19990912,40.290728135714126
19990913,39.80896832438349
19990914,37.57214099290519
19990915,37.99781592615397
19990916,35.308468791386474
19990917,36.502445590305555
19990918,36.502445590305555
19990919,36.502445590305555
19990920,36.40012019723343
19990921,37.45390825297899
19990922,36.54035467796701
19990923,34.92998513554572
19990924,35.43674788146902
19990925,35.43674788146902
19990926,35.43674788146902
19990927,35.438264599271065
19990928,37.37565592279291
19990929,37.08694531056626
19990930,32.90962513297521
19991001,33.77123598545711
19991002,33.77123598545711
19991003,33.77123598545711
19991004,35.713444488981544
19991005,36.06103761140654
19991006,37.82137112975083
19991007,37.92463123575363
19991008,38.71290757874579
19991009,38.71290757874579
19991010,38.71290757874579
19991011,37.81290198925268
19991012,36.50365509251132
19991013,36.89448524912147
19991014,37.57286128608777
19991015,35.62471606286144
19991016,35.62471606286144
19991017,35.62471606286144
19991018,35.383424983578394
19991019,37.64278452764583
19991020,38.20590550496437
19991021,38.79354179633974
19991022,39.08462210115042
19991023,39.08462210115042
19991024,39.08462210115042
19991025,40.556927991381
19991026,40.23529504752451
19991027,40.77508905922369
19991028,41.78264539985595
19991029,43.19781496092196
19991030,43.19781496092196
19991031,43.19781496092196
19991101,43.861696584043614
19991102,39.16329084312792
19991103,39.84882881528602
19991104,42.12333178552272
19991105,44.216388110228635
19991106,44.216388110228635
19991107,44.216388110228635
19991108,44.10178716673715
19991109,44.42266966959983
19991110,44.72386710342062
19991111,45.12484318515165
19991112,45.57537800001661
19991113,45.57537800001661
19991114,45.57537800001661
19991115,40.54929024283965
19991116,40.84947452004048
19991117,40.66669458349844
19991118,43.22360181801345
19991119,42.98496302158417
19991120,42.98496302158417
19991121,42.98496302158417
19991122,42.55390198439304
19991123,41.52626813495834
19991124,43.27571496306755
19991125,43.27571496306755
19991126,43.13034711477716
19991127,43.13034711477716
19991128,43.13034711477716
19991129,41.41504465105924
19991130,39.4400447545534
19991201,39.43433804917601
19991202,40.1511823284578
19991203,42.4841311041813
19991204,42.4841311041813
19991205,42.4841311041813
19991206,39.75878411308252
19991207,39.21443417206091
19991208,39.82239521307863
19991209,39.815355811707846
19991210,40.46843970987708
19991211,40.46843970987708
19991212,40.46843970987708
19991213,40.41906136184786
19991214,40.791692475837095
19991215,40.64208728555412
