Date,AEC Securities PCL,AEON Financial Service Co Ltd,AF Global Ltd,Aichi Bank Ltd/The,Aksigorta AS,AF Global Ltd,DNB ASA,FirstRand Ltd,GAM Holding AG,Gazit-Globe Ltd,GEK Terna Holding Real Estate Construction SA,Gemdale Properties & Investment Corp Ltd,Jyske Bank A/S,Kuwait Financial Centre SAK,Ladenburg Thalmann Financial Services Inc,LAMDA Development SA,Land & General Bhd,SK Securities Co Ltd,Skandinaviska Enskilda Banken AB,Skjern Bank
2005-01-01,4.4310583261201915,7.061162285733405,65.00745661327015,3.2390425819204705,12.09682251640341,65.00745661327015,17.06768753831258,25.147687779843753,7.223434803239031,11.080032525338908,6.257098638066151,89.70954618538352,32.23416919779548,1.1939363432573034,98.14286286000902,9.616291287663472,22.780265080297994,28.6574878252222,42.37206477269353,2.5048218996593343
2005-01-02,4.4310583261201915,7.061162285733405,65.00745661327015,3.2390425819204705,12.09682251640341,65.00745661327015,17.06768753831258,25.147687779843753,7.223434803239031,,6.257098638066151,89.70954618538352,32.23416919779548,,98.14286286000902,9.616291287663472,22.780265080297994,28.6574878252222,42.37206477269353,2.5048218996593343
2005-01-03,4.4310583261201915,7.061162285733405,64.49085078191429,3.2390425819204705,11.311331842413638,64.49085078191429,17.1564401451014,28.770135887919807,7.178469933720602,9.47084031163383,6.348467467732406,88.71393378159624,31.97065247907474,1.2167186705921993,113.97162667223301,9.737891900556962,24.06263267752753,28.07577522160882,41.51720450358452,2.5307788187728444
2005-01-04,3.934784641866088,7.084160907332659,64.43760703850232,2.9403021611779714,11.25161013125005,64.43760703850232,16.60847207977945,28.563684054129144,6.965730917448687,9.692493218619033,6.270340346131159,95.62541187386586,32.53547627815756,1.1654847036825955,129.37431252158606,10.09916423330665,23.38451035057698,26.030638815620414,41.55345532260146,2.5219884437971234
2005-01-05,3.72973259676437,7.406929389933658,63.48720748851197,2.966625595081767,12.453297010262473,63.48720748851197,17.495828575271975,29.65696824371692,7.163351537230404,10.582566651989568,6.494858762384197,97.71763402944526,32.98617042651187,1.1054824226684798,132.3977360095235,11.141466672214024,22.14648526697839,27.048973221664106,42.61066899361135,2.588445262568734
2005-01-06,3.2892728640457616,7.46648523959808,57.463828415579435,3.0782071355435288,12.460471775649678,57.463828415579435,18.04245772872028,32.212470763277025,7.058416534371432,9.125916583679302,6.494858762384197,94.28387252892178,32.76209804724255,1.1054824226684798,142.59586656122102,11.141466672214024,22.229520010004038,26.86740197267523,42.61066899361135,2.5584604837310105
2005-01-07,3.1035080414605685,7.392266750630287,57.65757206097908,3.2487359558784483,11.55249414470542,57.65757206097908,17.166670170034173,30.30532155697506,6.963273663881887,9.125916583679302,6.354313924429053,95.33969856642729,32.96648475661742,1.1054824226684798,136.72157021978643,10.587605047039188,20.617748274947495,24.745047590045147,42.89806789727279,2.5565689908193905
2005-01-08,3.1035080414605685,7.392266750630287,57.65757206097908,3.2487359558784483,11.55249414470542,57.65757206097908,17.166670170034173,30.30532155697506,6.963273663881887,9.125916583679302,6.354313924429053,95.33969856642729,32.96648475661742,,136.72157021978643,10.587605047039188,20.617748274947495,24.745047590045147,42.89806789727279,2.5565689908193905
2005-01-09,3.1035080414605685,7.392266750630287,57.65757206097908,3.2487359558784483,11.55249414470542,57.65757206097908,17.166670170034173,30.30532155697506,6.963273663881887,,6.354313924429053,95.33969856642729,32.96648475661742,,136.72157021978643,10.587605047039188,20.617748274947495,24.745047590045147,42.89806789727279,2.5565689908193905
2005-01-10,3.0242714345031536,7.392266750630287,60.995983070966815,3.2487359558784483,11.15811988179346,60.995983070966815,17.745516417202857,32.36540659072147,6.636313111232513,9.498888972185608,6.460994931290912,98.22101023537748,32.7658938543017,1.1472006600346267,146.9487352831086,9.977241963450018,21.870631530755986,24.891622553669627,41.41555099984785,2.4522909874466867
2005-01-11,3.235142921523571,7.219356727157383,55.53356397910077,3.141904327730888,10.212279758468696,55.53356397910077,17.648326433369167,33.99178559129212,6.0796722102101874,9.886388224507007,6.323988982031362,104.13839855199285,33.37416173830461,1.2250326590072942,130.2913217532695,9.546417265096087,20.378754721048384,24.307134660056878,43.13693938034735,2.4617297542807277
2005-01-12,3.0973342679033387,7.1347497594501075,55.62671788024723,3.2203424096845894,9.742762740126256,55.62671788024723,18.336478675351135,30.24942580873869,5.964839945566554,10.067968645738393,6.318105150755726,110.58172758024698,33.46645824633402,1.244980829663457,139.90331512986583,8.899338549299289,21.325944905436216,26.74207870654468,43.979016471191606,2.472706895646493
2005-01-13,3.0290372473510834,7.4858722581197545,55.36936481136954,3.2474810254168465,9.584745435767664,55.36936481136954,17.69026864314686,31.01819606750309,5.624721982698394,10.21296390842084,6.38264471815863,112.56980752900516,33.20278467879034,1.244980829663457,150.30349313152814,9.542511312056977,19.965128853946396,25.808717458310696,44.840666419616355,2.478275750687702
2005-01-14,2.977937727067413,7.473509505562262,55.13205285388039,3.0502256322452523,9.405735144920095,55.13205285388039,17.53269243212798,31.44079539014859,5.178455225118478,10.21296390842084,6.295090757394648,106.95131272966795,33.516375062807484,1.244980829663457,139.2403731525468,9.336772316926627,20.558959378087668,25.528541381354717,44.680827382797716,2.716648709342077
2005-01-15,2.977937727067413,7.473509505562262,55.13205285388039,3.0502256322452523,9.405735144920095,55.13205285388039,17.53269243212798,31.44079539014859,5.178455225118478,10.21296390842084,6.295090757394648,106.95131272966795,33.516375062807484,,139.2403731525468,9.336772316926627,20.558959378087668,25.528541381354717,44.680827382797716,2.716648709342077
