Date,1st Constitution Bancorp,A Brown Co Inc,American National Insurance Co,BNC Bancorp,CRED Holding Co Ltd,Commonwealth Bank of Australia,FRACTALE Corp,First Commonwealth Financial Corp,Fonciere Atland,Fragrance Group Ltd,Glen Burnie Bancorp,HSBC Holdings PLC,Hang Seng Bank Ltd,Hitachi Capital Corp,Joindre Capital Services Ltd,Jordan French Insurance,Panther Securities PLC,Prudential Bancorp Inc,Public Bank Bhd,Southside Bancshares Inc
2005-01-01,0.018355562576337987,,0.0021771426951051834,0.0963884947016878,4.533335722290528,0.05593311160743076,,0.08653165449111258,,,0.022533133675325896,0.024124258088911932,0.0024928499709565596,0.04890841177567665,0.03810058270235702,0.023912976128064867,0.03493063638323497,,0.03874790872955268,2.871009433001699
2005-01-02,0.018355562576337987,,0.0021771426951051834,0.0963884947016878,4.533335722290528,0.05593311160743076,,0.08653165449111258,,,0.022533133675325896,0.024124258088911932,0.0024928499709565596,0.04890841177567665,0.03810058270235702,0.023912976128064867,0.03493063638323497,,0.03874790872955268,2.871009433001699
2005-01-03,0.019031895585851964,,0.0020840065199180303,0.08346163426845747,4.533335722290528,0.05593311160743076,,0.08886186051920579,,,0.02183059961652052,0.024124258088911932,0.0024535481541000177,0.04890841177567665,0.03607178601071581,0.02037109712330309,0.03493063638323497,,0.04138392400556035,2.908682067904142
2005-01-04,0.01883353510913608,,0.002176069422716123,0.07292797748473044,4.526245897343191,0.05755671091347263,,0.09489541923253057,,,0.02202696329677297,0.021904496886040223,0.002563763089527031,0.0450382761623778,0.03968822018424311,0.02038291606683335,0.035245277511923884,,0.0413942402320363,2.831810014660226
2005-01-05,0.01905036628885731,,0.002374980421227179,0.06371352520241674,4.14306010469748,0.058499411467354184,,0.09845597750056617,,,0.021810896457225296,0.022812169429088133,0.002854690022942695,0.047859639808271834,0.04320335782685054,0.020226780703009276,0.035292243300153306,,0.039682231662418965,2.829627774068178
2005-01-06,0.019301089924185878,,0.002317762281871004,0.06733765203887812,4.28136407165942,0.05847882408801301,,0.09770504333784981,,,0.02197435874195004,0.022777094025093626,0.00283084297642464,0.047299672770308804,0.04503289566017934,0.01845688157653573,0.03517486130554717,,0.038190249683759225,2.790865779411853
2005-01-07,0.018148095327396654,,0.002251770094791199,0.06582566107127652,4.209804801573779,0.05666218781214651,,0.10409150049771339,,,0.023054510240865404,0.02311819588089657,0.002966412586168046,0.04538595061718903,0.043456385025751824,0.01845688157653573,0.035067692213319804,,0.036832504010020785,2.7381302428040097
2005-01-08,0.018148095327396654,,0.002251770094791199,0.06582566107127652,4.209804801573779,0.05666218781214651,,0.10409150049771339,,,0.023054510240865404,0.02311819588089657,0.002966412586168046,0.04538595061718903,0.043456385025751824,0.01845688157653573,0.035067692213319804,,0.036832504010020785,2.7381302428040097
2005-01-09,0.018148095327396654,,0.002251770094791199,0.06582566107127652,4.209804801573779,0.05666218781214651,,0.10409150049771339,,,0.023054510240865404,0.02311819588089657,0.002966412586168046,0.04538595061718903,0.043456385025751824,0.01845688157653573,0.035067692213319804,,0.036832504010020785,2.7381302428040097
2005-01-10,0.020307810494511566,,0.002151507610445182,0.06636056888382527,3.954903794258393,0.05609674882940334,,0.1033067999325043,,,0.02304078325855588,0.023254970423426502,0.002921212057198899,0.04538595061718903,0.04236051068383104,0.0206582238209148,0.03464521543410053,,0.038259181260726936,2.7923647290892535
2005-01-11,0.021110790766947763,,0.002120323617438904,0.06635453971868556,3.9791511781792837,0.05565027818069493,,0.10252322315474664,,,0.022901662416381644,0.023947436394311346,0.002987985668843257,0.0423534084066463,0.047605598976976665,0.021261134953961706,0.03478399598059631,,0.03764610126221129,2.7993889340600795
2005-01-12,0.01908491031668748,,0.002004506806257188,0.06581539678941697,4.000787071627421,0.05613808028764188,,0.10244141464756401,,,0.022902503727139617,0.02467125969946168,0.0029448354640925663,0.04376144872941141,0.050793079954313064,0.02096148953837885,0.03510831246595456,,0.03622005226760392,2.773925669990376
2005-01-13,0.017764675268481012,,0.0021361701759395634,0.06585482694848663,3.9885596197526016,0.05640275751056595,,0.11183174311669881,,,0.022811740070815184,0.02415097298055816,0.002951648068134454,0.04762587726978628,0.04736809491859242,0.01895901616046452,0.03512485193259352,,0.037013777543299806,2.8178488635984285
2005-01-14,0.0184373995985032,,0.002304367888357842,0.06957385147911066,4.105508780019454,0.05698435120909804,,0.1077983849328024,,,0.021921749131040228,0.02396016334053249,0.0029434617967469094,0.04896470174461268,0.04968610202108712,0.01895901616046452,0.03540931771546551,,0.03720525501823422,2.820758954200629
2005-01-15,0.0184373995985032,,0.002304367888357842,0.06957385147911066,4.105508780019454,0.05698435120909804,,0.1077983849328024,,,0.021921749131040228,0.02396016334053249,0.0029434617967469094,0.04896470174461268,0.04968610202108712,0.01895901616046452,0.03540931771546551,,0.03720525501823422,2.820758954200629
2005-01-16,0.0184373995985032,,0.002304367888357842,0.06957385147911066,4.105508780019454,0.05698435120909804,,0.1077983849328024,,,0.021921749131040228,0.02396016334053249,0.0029434617967469094,0.04896470174461268,0.04968610202108712,0.01895901616046452,0.03540931771546551,,0.03720525501823422,2.820758954200629
2005-01-17,0.0184373995985032,,0.002304367888357842,0.06957385147911066,4.100049756348415,0.05585526131463472,,0.1077983849328024,,,0.021921749131040228,0.02313194278644861,0.0028908233986808802,0.04617469495144414,0.0485576099314024,0.019776691087413017,0.03521531807081391,,0.03482044739716416,2.820758954200629
