Date,Askari Bank Ltd,Beh-Property Co Ltd,Beijing Homyear Capital Holdings Co Ltd,Beijing Zodi Investment Co Ltd,CBL & Associates Properties Inc,DongfengSci-Tech Group Co Ltd,Ecobank Transnational Inc,Ecsponent Ltd,FlexiGroup Ltd/Australia,Harbin Gong Da High-Tech Enterprise Development Co Ltd,Intu Properties PLC,Jahangir Siddiqui & Co Ltd,Jilin Cheng Cheng Group Co Ltd,Metro Land Corp Ltd,Resimac Group Ltd,Soneri Bank Ltd,Tianjin Songjiang Co Ltd,UACN Property Development Co PLC
2006-04-21,30.84827518926549,,256.778188447864,92.17050869854215,1.3082917557808873,438.13495301418226,,,,,0.9918543709921516,10.079984748538092,296.2484712704276,264.963273354836,95.58288265843916,18.25284084020106,,29.035183856356387
2006-04-22,30.84827518926549,,256.778188447864,92.17050869854215,1.3082917557808873,438.13495301418226,,,,,0.9918543709921516,10.079984748538092,296.2484712704276,264.963273354836,95.58288265843916,18.25284084020106,,29.035183856356387
2006-04-23,30.84827518926549,,256.778188447864,92.17050869854215,1.3082917557808873,438.13495301418226,,,,,0.9918543709921516,10.079984748538092,296.2484712704276,264.963273354836,95.58288265843916,18.25284084020106,,29.035183856356387
2006-04-24,33.48803484014273,,270.7186079292889,97.24947213095696,1.3168638457560111,468.10126030489283,,,,,1.0284840074918962,10.173774305176883,316.24914863106443,278.22541370627397,92.0197591396998,19.016119876925725,,28.571804864466877
2006-04-25,32.190344352570456,,271.3545283096543,98.74902737217757,1.308621869385142,478.96055343619275,,,,,1.0273976169046026,10.22219131695994,315.3369800259424,280.08689014007666,92.0197591396998,18.431229897360588,,28.922083857576734
2006-04-26,32.49407098758566,,273.43536768039763,96.70022535199443,1.3686370867820663,465.2511302897378,,,,,1.0710648072341888,10.067844398033964,318.4156009039902,272.840633963234,96.14756544924872,17.942249335778023,,26.711801185936466
2006-04-27,35.808433697308004,,276.8062557183013,99.88250269926064,1.310094407565796,460.4608512859292,,,,,1.1069792046780509,10.455829737916426,318.48333733194215,276.2243473538541,95.29917172570644,18.986150199342745,,26.492398063471637
2006-04-28,35.98263997242031,,291.0491302275508,99.07499629174289,1.3469801381197966,663.5245013211032,,,,,1.1575350408093126,11.122925288397504,310.41133980520567,257.2843467473912,88.70132009807642,20.172306236991954,,22.287541473915876
2006-04-29,35.98263997242031,,291.0491302275508,99.07499629174289,1.3469801381197966,663.5245013211032,,,,,1.1575350408093126,11.122925288397504,310.41133980520567,257.2843467473912,88.70132009807642,20.172306236991954,,22.287541473915876
2006-04-30,35.98263997242031,,291.0491302275508,99.07499629174289,1.3469801381197966,663.5245013211032,,,,,1.1575350408093126,11.122925288397504,310.41133980520567,257.2843467473912,88.70132009807642,20.172306236991954,,22.287541473915876
2006-05-01,35.98263997242031,,286.20287789589025,97.67858208166284,1.7374487077649319,656.1579493695933,,,,,1.1575350408093126,11.122925288397504,306.2585070665181,253.91629363963162,95.69612324745434,20.172306236991954,,22.287541473915876
2006-05-02,36.06778776414173,,286.20287789589025,97.67858208166284,1.9488738974637976,656.1579493695933,,,,,1.1464232101205865,10.97906539004851,306.2585070665181,253.91629363963162,96.88248653596935,20.238439961491157,,26.90852204302401
2006-05-03,34.96325235757865,,286.20287789589025,97.67858208166284,1.843523846272036,656.1579493695933,,,,,1.190604524318351,10.657589225687804,306.2585070665181,253.91629363963162,95.82063432370138,19.592807021393014,,27.08688471800596
2006-05-04,34.54804549865114,,286.20287789589025,97.67858208166284,1.794759838177884,656.1579493695933,,,,,1.2007063773533202,11.203671594030498,306.2585070665181,253.91629363963162,99.09799381128671,19.28120985607936,,26.871598844532038
2006-05-05,34.45699461041968,,286.20287789589025,97.67858208166284,1.8057347187338744,656.1579493695933,,,,,1.1602446829301878,11.375296039232529,306.2585070665181,253.91629363963162,101.51163221489203,19.860886970604415,,26.799205916725942
2006-05-06,34.45699461041968,,286.20287789589025,97.67858208166284,1.8057347187338744,656.1579493695933,,,,,1.1602446829301878,11.375296039232529,306.2585070665181,253.91629363963162,101.51163221489203,19.860886970604415,,26.799205916725942
2006-05-07,34.45699461041968,,286.20287789589025,97.67858208166284,1.8057347187338744,656.1579493695933,,,,,1.1602446829301878,11.375296039232529,306.2585070665181,253.91629363963162,101.51163221489203,19.860886970604415,,26.799205916725942
2006-05-08,32.66367782547554,,269.08617960894713,98.93021951498785,1.7351859516514316,662.5360942625971,,,,,1.1897783942475142,10.52066366562657,303.35871014786545,248.49677700687167,101.03102522255135,19.07505844641439,,26.234990509582392
2006-05-09,34.333515297423226,,276.5341261170156,96.04910898071344,1.7378723370439688,672.3642226472155,,,,,1.1760981628488474,10.968277028736077,290.1159503802942,246.65670693225357,102.73939320318901,19.213326864297127,,25.90659885739057
2006-05-10,33.961228186164256,,273.7161422049681,95.32295849981504,1.7266445623407034,683.9162608937055,,,,,1.1982731807542435,11.131271369960263,279.06784791997785,246.2917759659637,101.25696588348578,18.615970641308586,,25.30709097376045
2006-05-11,34.6765761038254,,274.0294243728796,95.68648208604395,1.925846029338216,667.7216255609201,,,,,1.2428095407485071,11.532725291445324,285.97426939709044,237.07458487509084,98.79519268030676,19.104096002106573,,25.242721965154125
2006-05-12,35.07805095579109,,280.3394885874016,95.07835299609066,1.9460277526249736,641.0032174020964,,,,,1.374398393955956,11.58454995299855,273.5121595377676,226.8462460691903,102.77333563080951,19.358653302347594,,25.447825504390927
