Date,AID Life Science Holdings Ltd,ALTA SA,AMP Ltd,AQ Estate PCL,Agat Ejendomme A/S,Akbank T.A.S.,Akita Bank Ltd/The,Al Mal Investment Co KSC,Al-Massaleh Real Estate Co KSC,Allahabad Bank,Alliance Data Systems Corp,Alpha Bank AE,Anadolu Hayat Emeklilik AS,Andhra Bank,Aplus Financial Co Ltd,Arlington Asset Investment Corp,Ashford Hospitality Trust Inc,Asia Orient Holdings Ltd,Asian Pac Holdings Bhd,Australia & New Zealand Banking Group Ltd
2005-01-01,0.20340532632062489,0.20715413825907408,0.6344461866750879,0.606610161734717,0.33115474499314324,0.10702821676669329,0.09656602929605537,0.018144667975808063,0.07013479405156942,0.2899190345800275,0.0003828346670600018,0.15854890368199653,0.22518186121011674,0.27389682021758543,0.7016522824516681,0.6527842936634083,0.07292804991989868,0.21568795582728162,0.5067678631545196,0.13129554812628427
2005-01-02,0.20340532632062489,0.20715413825907408,0.6344461866750879,0.606610161734717,0.33115474499314324,0.10702821676669329,0.09656602929605537,0.018144667975808063,0.07013479405156942,0.2899190345800275,0.0003828346670600018,0.15854890368199653,0.22518186121011674,0.27389682021758543,0.7016522824516681,0.6527842936634083,0.07292804991989868,0.21568795582728162,0.5067678631545196,0.13129554812628427
2005-01-03,0.13022297677075437,0.18230519930854933,0.6344461866750879,0.606610161734717,0.34917978735892374,0.10673290335238103,0.09656602929605537,0.01991915997090857,0.06941692761156759,0.27397163261682445,0.000406790166267773,0.15765792462275152,0.23999846916268325,0.250785466399411,0.7016522824516681,0.667471651451281,0.0747486770173276,0.22412758597351523,0.5397942587561954,0.13129554812628427
2005-01-04,0.08488880367510544,0.1843681853818655,0.6575696472309513,0.557121922525323,0.3636953162153694,0.11895694362075168,0.08984684877302511,0.01907787905350093,0.0703420803771025,0.27667666073597785,0.0004118003185374468,0.15094469637771102,0.25789771399693645,0.2504718547974345,0.7056427446218057,0.7025709102201957,0.07831087143140826,0.2382213946818285,0.5580164275627899,0.13436920820441164
2005-01-05,0.07931700973116382,0.24071753863513412,0.6885109678671337,0.5538902381432397,0.3569530385391469,0.13800418384820526,0.09826355099485852,0.019063697223584294,0.06991028154832356,0.29914342978507824,0.0004110862815919687,0.15704148157311792,0.2854941508824125,0.2946150705336229,0.7219790652123013,0.7277275025032752,0.08455471597721825,0.2638579214969404,0.5257308910198111,0.140508429684228
2005-01-06,0.0960981483237791,0.11834796626625474,0.7034854685084554,0.47480434948708,0.3608092698676236,0.13217601758231867,0.09929245399881426,0.019063697223584294,0.06991028154832356,0.3264902616277336,0.00040383676829983334,0.15704148157311792,0.2896102077292776,0.3161917031712934,0.7458131355621037,0.693906429478984,0.08282838008192077,0.2652075057763377,0.5140974471170339,0.14274904095513194
2005-01-07,0.08608139920135036,0.12501797007691176,0.6645943281838403,0.44682291869604396,0.3359730464377829,0.11708447160851305,0.09875996672543502,0.019063697223584294,0.06991028154832356,0.3095224552200452,0.00040069649954857766,0.15404090362211245,0.25897871424960356,0.30799420052201715,0.759022397945771,0.6743574950756471,0.08462246391765986,0.2365402825781273,0.4876066532272842,0.13652014211192692
2005-01-08,0.08608139920135036,0.12501797007691176,0.6645943281838403,0.44682291869604396,0.3359730464377829,0.11708447160851305,0.09875996672543502,0.019063697223584294,0.06991028154832356,0.3095224552200452,0.00040069649954857766,0.15404090362211245,0.25897871424960356,0.30799420052201715,0.759022397945771,0.6743574950756471,0.08462246391765986,0.2365402825781273,0.4876066532272842,0.13652014211192692
2005-01-09,0.08608139920135036,0.12501797007691176,0.6645943281838403,0.44682291869604396,0.3359730464377829,0.11708447160851305,0.09875996672543502,0.019063697223584294,0.06991028154832356,0.3095224552200452,0.00040069649954857766,0.15404090362211245,0.25897871424960356,0.30799420052201715,0.759022397945771,0.6743574950756471,0.08462246391765986,0.2365402825781273,0.4876066532272842,0.13652014211192692
2005-01-10,0.09541348398913284,0.14969940007290358,0.6327658110878914,0.42204874191146224,0.33621756356819676,0.11419631856254904,0.09875996672543502,0.018252027979169874,0.06977603725609294,0.3195109629096322,0.0004120909495876318,0.1577923358926967,0.2600871247513535,0.3264833682345543,0.759022397945771,0.6699630324758695,0.08522869344098755,0.24600541536586656,0.5217312532153442,0.1370620921297362
2005-01-11,0.09386813861279547,0.1287958074797848,0.6475033466966579,0.44887416508370925,0.33796148957945854,0.11255174390587883,0.09560889781048826,0.02038050555583214,0.07296917207379042,0.3706357211305981,0.0004653823029285985,0.1586997902402383,0.2547954372527697,0.3869137857813377,0.7630332601040702,0.6722930975646577,0.08824893375853665,0.2504790610909211,0.5128285710262538,0.1357151987030371
2005-01-12,0.09415069586446875,0.12971055846575802,0.6433232338405861,0.44296604279533647,0.32715080854078343,0.11089404661601929,0.0987393089786626,0.019577557240676252,0.07449314071720611,0.43860412676340077,0.00047679727270732,0.15072299696156324,0.24614774943424464,0.44662324724664537,0.769972324146201,0.611729414471934,0.09242524798149557,0.2515432405646635,0.4933677588181613,0.135660394892632
2005-01-13,0.09506646042427748,0.12825505553701733,0.6281207343747565,0.45586340032573847,0.31068164749611304,0.10466625451808119,0.09648230799864164,0.019577557240676252,0.07449314071720611,0.3608590799635376,0.0004887651374254484,0.1495973706106093,0.237228527362034,0.35326907926203804,0.751628087454734,0.5772337739267084,0.09704433497285533,0.25299660956115894,0.5032281346095694,0.13853049058759795
