Date,AID Life Science Holdings Ltd,ALTA SA,AMP Ltd,AQ Estate PCL,Agat Ejendomme A/S,Akita Bank Ltd/The,Al Mal Investment Co KSC,Al-Massaleh Real Estate Co KSC,Allahabad Bank,Anadolu Hayat Emeklilik AS,Andhra Bank,Asia Orient Holdings Ltd,Asian Pac Holdings Bhd,Australia & New Zealand Banking Group Ltd
2005-01-01,0.20340532632062489,0.20715413825907408,0.6344461866750879,0.606610161734717,0.33115474499314324,0.09656602929605537,0.018144667975808063,0.07013479405156942,0.2899190345800275,0.22518186121011674,0.27389682021758543,0.21568795582728162,0.5067678631545196,0.13129554812628427
2005-01-02,0.20340532632062489,0.20715413825907408,0.6344461866750879,0.606610161734717,0.33115474499314324,0.09656602929605537,0.018144667975808063,0.07013479405156942,0.2899190345800275,0.22518186121011674,0.27389682021758543,0.21568795582728162,0.5067678631545196,0.13129554812628427
2005-01-03,0.13022297677075437,0.18230519930854933,0.6344461866750879,0.606610161734717,0.34917978735892374,0.09656602929605537,0.01991915997090857,0.06941692761156759,0.27397163261682445,0.23999846916268325,0.250785466399411,0.22412758597351523,0.5397942587561954,0.13129554812628427
2005-01-04,0.08488880367510544,0.1843681853818655,0.6575696472309513,0.557121922525323,0.3636953162153694,0.08984684877302511,0.01907787905350093,0.0703420803771025,0.27667666073597785,0.25789771399693645,0.2504718547974345,0.2382213946818285,0.5580164275627899,0.13436920820441164
2005-01-05,0.07931700973116382,0.24071753863513412,0.6885109678671337,0.5538902381432397,0.3569530385391469,0.09826355099485852,0.019063697223584294,0.06991028154832356,0.29914342978507824,0.2854941508824125,0.2946150705336229,0.2638579214969404,0.5257308910198111,0.140508429684228
2005-01-06,0.0960981483237791,0.11834796626625474,0.7034854685084554,0.47480434948708,0.3608092698676236,0.09929245399881426,0.019063697223584294,0.06991028154832356,0.3264902616277336,0.2896102077292776,0.3161917031712934,0.2652075057763377,0.5140974471170339,0.14274904095513194
2005-01-07,0.08608139920135036,0.12501797007691176,0.6645943281838403,0.44682291869604396,0.3359730464377829,0.09875996672543502,0.019063697223584294,0.06991028154832356,0.3095224552200452,0.25897871424960356,0.30799420052201715,0.2365402825781273,0.4876066532272842,0.13652014211192692
2005-01-08,0.08608139920135036,0.12501797007691176,0.6645943281838403,0.44682291869604396,0.3359730464377829,0.09875996672543502,0.019063697223584294,0.06991028154832356,0.3095224552200452,0.25897871424960356,0.30799420052201715,0.2365402825781273,0.4876066532272842,0.13652014211192692
2005-01-09,0.08608139920135036,0.12501797007691176,0.6645943281838403,0.44682291869604396,0.3359730464377829,0.09875996672543502,0.019063697223584294,0.06991028154832356,0.3095224552200452,0.25897871424960356,0.30799420052201715,0.2365402825781273,0.4876066532272842,0.13652014211192692
2005-01-10,0.09541348398913284,0.14969940007290358,0.6327658110878914,0.42204874191146224,0.33621756356819676,0.09875996672543502,0.018252027979169874,0.06977603725609294,0.3195109629096322,0.2600871247513535,0.3264833682345543,0.24600541536586656,0.5217312532153442,0.1370620921297362
