Date,AEC Securities PCL,AEON Financial Service Co Ltd,AF Global Ltd,AF Global Ltd,Aichi Bank Ltd/The,Aksigorta AS,DNB ASA,FirstRand Ltd,GAM Holding AG,GEK Terna Holding Real Estate Construction SA,Gazit-Globe Ltd,Gemdale Properties & Investment Corp Ltd,Jyske Bank A/S,Kuwait Financial Centre SAK,LAMDA Development SA,Ladenburg Thalmann Financial Services Inc,Land & General Bhd,Skandinaviska Enskilda Banken AB,Skjern Bank
2005-01-01,0.044310583261201915,0.07061162285733405,0.6500745661327015,0.6500745661327015,0.032390425819204705,0.1209682251640341,0.1706768753831258,0.2514768777984375,0.07223434803239032,0.06257098638066151,0.11080032525338908,0.8970954618538352,0.3223416919779548,0.011939363432573034,0.09616291287663473,0.9814286286000902,0.22780265080297993,0.4237206477269353,0.025048218996593343
2005-01-02,0.044310583261201915,0.07061162285733405,0.6500745661327015,0.6500745661327015,0.032390425819204705,0.1209682251640341,0.1706768753831258,0.2514768777984375,0.07223434803239032,0.06257098638066151,0.11080032525338908,0.8970954618538352,0.3223416919779548,0.011939363432573034,0.09616291287663473,0.9814286286000902,0.22780265080297993,0.4237206477269353,0.025048218996593343
2005-01-03,0.044310583261201915,0.07061162285733405,0.6449085078191429,0.6449085078191429,0.032390425819204705,0.11311331842413638,0.17156440145101398,0.28770135887919807,0.07178469933720602,0.06348467467732406,0.09470840311633831,0.8871393378159624,0.3197065247907474,0.012167186705921993,0.09737891900556962,1.1397162667223302,0.24062632677527532,0.4151720450358452,0.025307788187728445
2005-01-04,0.039347846418660876,0.07084160907332658,0.6443760703850232,0.6443760703850232,0.029403021611779715,0.1125161013125005,0.1660847207977945,0.28563684054129146,0.06965730917448687,0.06270340346131159,0.09692493218619033,0.9562541187386586,0.3253547627815756,0.011654847036825955,0.10099164233306651,1.2937431252158607,0.2338451035057698,0.41553455322601457,0.025219884437971234
2005-01-05,0.0372973259676437,0.07406929389933657,0.6348720748851197,0.6348720748851197,0.02966625595081767,0.12453297010262472,0.17495828575271977,0.2965696824371692,0.07163351537230404,0.06494858762384198,0.10582566651989568,0.9771763402944527,0.3298617042651187,0.011054824226684799,0.11141466672214025,1.323977360095235,0.2214648526697839,0.4261066899361135,0.02588445262568734
2005-01-06,0.032892728640457614,0.0746648523959808,0.5746382841557943,0.5746382841557943,0.030782071355435286,0.12460471775649679,0.1804245772872028,0.32212470763277024,0.07058416534371431,0.06494858762384198,0.09125916583679303,0.9428387252892177,0.32762098047242555,0.011054824226684799,0.11141466672214025,1.42595866561221,0.22229520010004036,0.4261066899361135,0.025584604837310107
2005-01-07,0.031035080414605686,0.07392266750630287,0.5765757206097908,0.5765757206097908,0.032487359558784484,0.1155249414470542,0.17166670170034173,0.30305321556975057,0.06963273663881887,0.06354313924429053,0.09125916583679303,0.9533969856642729,0.3296648475661742,0.011054824226684799,0.10587605047039189,1.3672157021978644,0.20617748274947495,0.4289806789727279,0.025565689908193905
2005-01-08,0.031035080414605686,0.07392266750630287,0.5765757206097908,0.5765757206097908,0.032487359558784484,0.1155249414470542,0.17166670170034173,0.30305321556975057,0.06963273663881887,0.06354313924429053,0.09125916583679303,0.9533969856642729,0.3296648475661742,0.011054824226684799,0.10587605047039189,1.3672157021978644,0.20617748274947495,0.4289806789727279,0.025565689908193905
2005-01-09,0.031035080414605686,0.07392266750630287,0.5765757206097908,0.5765757206097908,0.032487359558784484,0.1155249414470542,0.17166670170034173,0.30305321556975057,0.06963273663881887,0.06354313924429053,0.09125916583679303,0.9533969856642729,0.3296648475661742,0.011054824226684799,0.10587605047039189,1.3672157021978644,0.20617748274947495,0.4289806789727279,0.025565689908193905
2005-01-10,0.030242714345031535,0.07392266750630287,0.6099598307096682,0.6099598307096682,0.032487359558784484,0.1115811988179346,0.17745516417202858,0.3236540659072147,0.06636313111232513,0.06460994931290913,0.09498888972185608,0.9822101023537748,0.32765893854301703,0.011472006600346267,0.09977241963450018,1.469487352831086,0.21870631530755985,0.4141555099984785,0.024522909874466866
2005-01-11,0.03235142921523571,0.07219356727157383,0.5553356397910076,0.5553356397910076,0.03141904327730888,0.10212279758468697,0.17648326433369166,0.33991785591292123,0.06079672210210187,0.06323988982031362,0.09886388224507008,1.0413839855199285,0.3337416173830461,0.012250326590072943,0.09546417265096087,1.302913217532695,0.20378754721048384,0.4313693938034735,0.024617297542807278
2005-01-12,0.030973342679033386,0.07134749759450107,0.5562671788024722,0.5562671788024722,0.032203424096845894,0.09742762740126257,0.18336478675351134,0.3024942580873869,0.059648399455665545,0.06318105150755726,0.10067968645738393,1.1058172758024698,0.3346645824633402,0.01244980829663457,0.08899338549299289,1.3990331512986582,0.21325944905436217,0.43979016471191607,0.02472706895646493
2005-01-13,0.030290372473510834,0.07485872258119755,0.5536936481136955,0.5536936481136955,0.032474810254168464,0.09584745435767664,0.17690268643146861,0.3101819606750309,0.05624721982698394,0.06382644718158631,0.1021296390842084,1.1256980752900516,0.33202784678790337,0.01244980829663457,0.09542511312056977,1.5030349313152813,0.19965128853946396,0.44840666419616354,0.02478275750687702
2005-01-14,0.02977937727067413,0.07473509505562262,0.5513205285388039,0.5513205285388039,0.030502256322452525,0.09405735144920095,0.1753269243212798,0.3144079539014859,0.05178455225118478,0.06295090757394649,0.1021296390842084,1.0695131272966796,0.33516375062807485,0.01244980829663457,0.09336772316926627,1.392403731525468,0.20558959378087668,0.44680827382797716,0.027166487093420767
