Date,Beh-Property Co Ltd,Beijing Zodi Investment Co Ltd,CBL & Associates Properties Inc,Ecobank Transnational Inc,Ecsponent Ltd,FlexiGroup Ltd/Australia,Harbin Gong Da High-Tech Enterprise Development Co Ltd,Intu Properties PLC,Jahangir Siddiqui & Co Ltd,Metro Land Corp Ltd,Resimac Group Ltd,Soneri Bank Ltd,UACN Property Development Co PLC
2005-01-01,2.515170522554454,0.21848782554889346,0.0014835894924799414,,,,1.529068812734045,0.003141397316929999,0.30845970908978415,4.163816218920937,0.1480019517605717,0.12373680356873526,0.09725697381448617
2005-01-02,2.515170522554454,0.21848782554889346,0.0014835894924799414,,,,1.529068812734045,0.003141397316929999,0.30845970908978415,4.163816218920937,0.1480019517605717,0.12373680356873526,0.09725697381448617
2005-01-03,2.515170522554454,0.21848782554889346,0.0016346135619333196,,,,1.529068812734045,0.003141397316929999,0.3048972530865849,4.163816218920937,0.1480019517605717,0.12091125613946652,0.09725697381448617
2005-01-04,2.538348761244425,0.2192836354130225,0.0019051348432379588,,,,1.5172503593612174,0.003275472923431917,0.273065898873287,4.168413449209308,0.14397235133233036,0.11550039920876345,0.09606918821816994
2005-01-05,2.487429162110289,0.21875174808266926,0.0022008852822405487,,,,1.4729323422508318,0.0033884684514208967,0.2667490111531879,3.9853726183036104,0.12981730271775177,0.11502453245422167,0.09327854593468392
2005-01-06,2.471641033039125,0.21998142853159572,0.002090716677190667,,,,1.493698467216181,0.0033781284106200586,0.26867425045261945,3.9622814376771074,0.1299142471473261,0.10243035395498935,0.09805724728017096
2005-01-07,2.4347451089601018,0.21979914189421557,0.0020839341956173305,,,,1.491751147729098,0.003357952527544395,0.2721586486668776,3.981131483485626,0.12547214557762607,0.10411151910696775,0.0980168438969788
2005-01-08,2.4347451089601018,0.21979914189421557,0.0020839341956173305,,,,1.491751147729098,0.003357952527544395,0.2721586486668776,3.981131483485626,0.12547214557762607,0.10411151910696775,0.0980168438969788
2005-01-09,2.4347451089601018,0.21979914189421557,0.0020839341956173305,,,,1.491751147729098,0.003357952527544395,0.2721586486668776,3.981131483485626,0.12547214557762607,0.10411151910696775,0.0980168438969788
2005-01-10,2.4102989326496185,0.22224655434186072,0.0020876844347261173,,,,1.4947728950983317,0.0033861713657560243,0.26588247306458845,3.8794159598752542,0.1289260356963933,0.09385066103849306,0.09224483788548737
2005-01-11,2.3844841046026106,0.21941712458458615,0.002268549540751508,,,,1.4913272902609982,0.0033860995216378046,0.2620673097312755,3.8300659423126966,0.1288855610677709,0.08847305088033203,0.09313157441418873
2005-01-12,2.390437916092747,0.21825047437998876,0.002552807181435918,,,,1.4833057447335076,0.0034843724852542785,0.2696017657304041,3.8589073629421518,0.13009101016171123,0.09315553683481252,0.08185460255761154
2005-01-13,2.368879929781685,0.22192703430164748,0.0023692626241110857,,,,1.4827612109051873,0.0035194891663246934,0.2721694293191904,3.8892799999503542,0.12749699209625498,0.1060583905400193,0.08185460255761154
2005-01-14,2.4092180791424784,0.22593334062624446,0.0023053314996602484,,,,1.4957293152909383,0.003227598981003923,0.27361355442490826,3.8776892149989717,0.12998706152906825,0.0969601151843509,0.08031059949298905
2005-01-15,2.4092180791424784,0.22593334062624446,0.0023053314996602484,,,,1.4957293152909383,0.003227598981003923,0.27361355442490826,3.8776892149989717,0.12998706152906825,0.0969601151843509,0.08031059949298905
2005-01-16,2.4092180791424784,0.22593334062624446,0.0023053314996602484,,,,1.4957293152909383,0.003227598981003923,0.27361355442490826,3.8776892149989717,0.12998706152906825,0.0969601151843509,0.08031059949298905
2005-01-17,2.465359280605125,0.2309791788674712,0.0023053314996602484,,,,1.5365409682602162,0.003050771592681955,0.2734668417824816,3.851777104035009,0.12757142602610527,0.09424565869743745,0.08199834464803747
2005-01-18,2.397117242524689,0.22974247636690756,0.0020354284250747785,,,,1.5055060873566262,0.0030846861920272523,0.273210643729056,3.778992399633455,0.12822152204013848,0.09107045246381931,0.08199834464803747
2005-01-19,2.376656554354812,0.22946094757970534,0.0019184540225523185,,,,1.514997641297456,0.0030369655385352563,0.2621126429544369,3.790518102770344,0.12774448778050307,0.08996837314350266,0.10018478351413394
2005-01-20,2.4347506951756612,0.24102627873082605,0.0019580603422991423,,,,1.4913188349004916,0.003079174934267923,0.2621126429544369,3.787318172182915,0.12778823874935893,0.08996837314350266,0.10018478351413394
2005-01-21,2.380882727820946,0.23591030715409345,0.0020173977095853625,,,,1.478150863996623,0.0030730192135160522,0.2621126429544369,3.8517677356013236,0.12757036676160877,0.08996837314350266,0.10018478351413394
2005-01-22,2.380882727820946,0.23591030715409345,0.0020173977095853625,,,,1.478150863996623,0.0030730192135160522,0.2621126429544369,3.8517677356013236,0.12757036676160877,0.08996837314350266,0.10018478351413394
2005-01-23,2.380882727820946,0.23591030715409345,0.0020173977095853625,,,,1.478150863996623,0.0030730192135160522,0.2621126429544369,3.8517677356013236,0.12757036676160877,0.08996837314350266,0.10018478351413394
2005-01-24,2.29160634684313,0.23117857682071213,0.0020852582786652597,,,,1.4566097493539987,0.003038434125699316,0.272119274730113,3.7818784934951286,0.1322917534855714,0.09319239885414742,0.09569102240783321
2005-01-25,2.327699509398664,0.23378246931788785,0.0022782525683572264,,,,1.4785462670609768,0.003074722613431809,0.2097237693579393,3.794128479580509,0.13166675891597784,0.09278620912710926,0.09731836912979967
2005-01-26,2.3063121294268916,0.2355234739688221,0.002271371747883689,,,,1.5184067749745715,0.0030458417788645042,0.2144835185881831,3.6240416841650553,0.13166675891597784,0.09149200808509501,0.09683693399634931
