Date,Zurich Insurance Group AG
20000531,27.47084543683224
20000601,27.47084543683224
20000602,27.849031305331764
20000603,27.849031305331764
20000604,27.849031305331764
20000605,30.356280532994294
20000606,31.892902762939098
20000607,31.58711035158044
20000608,30.470044478409584
20000609,30.315872639319945
20000610,30.315872639319945
20000611,30.315872639319945
20000612,30.315872639319945
20000613,28.59181033606253
20000614,27.187385817570394
20000615,26.512507592307312
20000616,25.659473565649254
20000617,25.659473565649254
20000618,25.659473565649254
20000619,25.186822741525905
20000620,24.62921495680414
20000621,26.258890248022166
20000622,28.789070211539475
20000623,27.918232281279057
20000624,27.918232281279057
20000625,27.918232281279057
20000626,26.439969106791853
20000627,26.844039276971255
20000628,26.70112568103949
20000629,27.846754430334858
20000630,22.851867430240226
20000701,22.851867430240226
20000702,22.851867430240226
20000703,22.0251796409055
20000704,21.27375735228458
20000705,20.866727266381098
20000706,20.38941712209214
20000707,19.599864027652792
20000708,19.599864027652792
20000709,19.599864027652792
20000710,18.729342143212456
20000711,17.815665046731326
20000712,17.60398723685436
20000713,16.871588538194615
20000714,16.81448152583472
20000715,16.81448152583472
20000716,16.81448152583472
20000717,16.06210444899925
20000718,15.893428267152883
20000719,16.348164921062853
20000720,16.369658458784603
20000721,17.206918505957287
20000722,17.206918505957287
20000723,17.206918505957287
20000724,16.23542957047994
20000725,15.972322684073971
20000726,15.930429950013613
20000727,16.428677624802862
20000728,15.661919778539295
20000729,15.661919778539295
20000730,15.661919778539295
20000731,13.364838811267573
20000801,13.364838811267573
20000802,12.396996167321111
20000803,12.620860107753405
20000804,12.382888385833283
20000805,12.382888385833283
20000806,12.382888385833283
20000807,11.533237697413053
20000808,11.050591049887732
20000809,11.123445198415876
20000810,11.326992427245672
20000811,11.168264109571004
20000812,11.168264109571004
20000813,11.168264109571004
20000814,10.892963013985389
20000815,10.998134782031219
20000816,10.561466764701937
20000817,11.02346789773727
20000818,11.127253591271776
20000819,11.127253591271776
20000820,11.127253591271776
20000821,10.733596975150537
20000822,10.511739541976093
20000823,10.454736925824124
20000824,10.60083655364366
20000825,11.834120052526202
20000826,11.834120052526202
20000827,11.834120052526202
20000828,11.391122749827657
20000829,12.168027770023444
20000830,12.730800755936762
20000831,11.935918507673337
20000901,12.528997502939285
20000902,12.528997502939285
20000903,12.528997502939285
20000904,12.58832047363941
20000905,12.788304361917676
20000906,14.065962437866064
20000907,13.218232910010721
20000908,13.736528125144588
20000909,13.736528125144588
20000910,13.736528125144588
20000911,13.428419173466146
20000912,14.704319793636566
20000913,15.14334302572085
20000914,15.11751971743883
20000915,15.364876313018142
20000916,15.364876313018142
20000917,15.364876313018142
20000918,17.129546438253378
20000919,16.26545332491199
20000920,15.517643202050857
20000921,14.21203557110469
20000922,13.342697110275969
20000923,13.342697110275969
20000924,13.342697110275969
20000925,13.379998062698505
20000926,14.01938062035554
20000927,14.844572927307045
20000928,14.413613105154084
20000929,14.791902929085017
20000930,14.791902929085017
20001001,14.791902929085017
20001002,14.146177893601358
20001003,13.279501607480038
20001004,13.217751228935427
20001005,13.647869442296704
20001006,14.426806083068792
20001007,14.426806083068792
20001008,14.426806083068792
20001009,15.869653970006109
20001010,15.965022831837688
20001011,16.35457956781341
20001012,14.160956695241955
20001013,13.428768711271546
20001014,13.428768711271546
20001015,13.428768711271546
20001016,12.717365727012565
20001017,2.577384019994508
20001018,2.3654898128830513
20001019,2.1923785503119593
20001020,2.265393915874646
20001021,2.265393915874646
20001022,2.265393915874646
20001023,2.354921915808534
20001024,2.1572988004292815
20001025,2.2449527501928395
20001026,2.291880477307374
20001027,2.5256142595193105
20001028,2.5256142595193105
20001029,2.5256142595193105
20001030,2.464430110683115
20001031,15.03358022833599
20001101,14.865395769910517
20001102,13.914644845893
20001103,14.325965377215217
20001104,14.325965377215217
20001105,14.325965377215217
20001106,14.363001303920289
20001107,14.11996567111647
20001108,13.971493018763177
20001109,14.679542088056206
20001110,13.906798262352865
20001111,13.906798262352865
20001112,13.906798262352865
20001113,13.859652086924637
20001114,13.86848334698728
20001115,13.973693018039407
