Date,MutualFirst Financial Inc
20000630,28.179424134807896
20000701,28.281028131734686
20000702,28.281028131734686
20000703,28.688392127864773
20000704,28.688392127864773
20000705,28.741383529399016
20000706,30.869575941020972
20000707,31.903849482824107
20000708,31.903849482824107
20000709,31.903849482824107
20000710,31.478133936355174
20000711,31.150657126804674
20000712,31.0223570410758
20000713,30.75033812519327
20000714,30.245155991892148
20000715,30.245155991892148
20000716,30.245155991892148
20000717,30.446313742162125
20000718,29.09993795087264
20000719,29.150265392238644
20000720,28.920620358431815
20000721,29.9556594452966
20000722,29.9556594452966
20000723,29.9556594452966
20000724,29.408642337456058
20000725,29.9206439799761
20000726,29.797354851471603
20000727,29.92438859173832
20000728,29.524736276106935
20000729,29.524736276106935
20000730,29.524736276106935
20000731,23.842643355220265
20000801,24.492720198591073
20000802,24.247664785116953
20000803,24.80056639582536
20000804,24.51025500094398
20000805,24.51025500094398
20000806,24.51025500094398
20000807,23.311423082830473
20000808,22.76354304702121
20000809,20.06475381294172
20000810,21.41696506267212
20000811,21.13384019786488
20000812,21.13384019786488
20000813,21.13384019786488
20000814,21.321075255797673
20000815,20.495312197706053
20000816,20.41854726007958
20000817,19.958419421990705
20000818,19.54975111386995
20000819,19.54975111386995
20000820,19.54975111386995
20000821,18.701267279961712
20000822,18.474805199663095
20000823,18.327641925811196
20000824,17.919387609887956
20000825,17.554738684075136
20000826,17.554738684075136
20000827,17.554738684075136
20000828,18.432221075643383
20000829,18.203917309051143
20000830,18.197415035781532
20000831,14.727823671960742
20000901,14.90853573194723
20000902,14.90853573194723
20000903,14.90853573194723
20000904,14.90853573194723
20000905,14.257868419723358
20000906,14.173046029950948
20000907,15.272775243565343
20000908,18.741633894791327
20000909,18.741633894791327
20000910,18.741633894791327
20000911,18.439633693439607
20000912,18.59626417641356
20000913,18.704111597998878
20000914,18.723180502727587
20000915,19.246516654444502
20000916,19.246516654444502
20000917,19.246516654444502
20000918,18.859226121964458
20000919,20.009497663806297
20000920,19.9408504008771
20000921,18.960899200109463
20000922,20.16783086695128
20000923,20.16783086695128
20000924,20.16783086695128
20000925,19.472959642070524
20000926,19.59033313425766
20000927,19.767927712246966
20000928,19.144801793136175
20000929,17.67911000468365
20000930,17.67911000468365
20001001,17.749667330753322
20001002,17.135076680922985
20001003,17.055854117280976
20001004,16.908885719338905
20001005,17.406826309654782
20001006,16.976266684071607
20001007,16.976266684071607
20001008,16.976266684071607
20001009,16.859253446853355
20001010,16.950158806927977
20001011,17.38314195443163
20001012,18.128781417474162
20001013,18.30497100079094
20001014,18.30497100079094
20001015,18.30497100079094
20001016,19.244122427767792
20001017,18.422621901458836
20001018,18.504715930324377
20001019,18.94044933062521
20001020,18.48889828929459
20001021,18.48889828929459
20001022,18.48889828929459
20001023,18.34625596074806
20001024,19.372704451819253
20001025,18.933344359038276
20001026,19.358018571349454
20001027,19.958808065941184
20001028,19.958808065941184
20001029,19.958808065941184
20001030,18.32020110809537
20001031,17.12617836328386
20001101,16.901763673793788
20001102,17.245352592029278
20001103,16.999337423457092
20001104,16.999337423457092
20001105,16.999337423457092
20001106,16.965364782280766
20001107,16.7353959676447
20001108,16.287960185670517
20001109,16.72806050507842
20001110,16.389651063130213
20001111,16.389651063130213
20001112,16.389651063130213
20001113,16.131979034634877
20001114,16.147468573739875
20001115,16.418951410774135
20001116,16.08092739981778
20001117,16.133253105285974
20001118,16.133253105285974
20001119,16.133253105285974
20001120,15.87153682452345
20001121,12.908351876464673
20001122,12.77916091583778
20001123,12.77916091583778
20001124,13.139175668339446
20001125,13.139175668339446
20001126,13.139175668339446
20001127,13.359561891985715
20001128,12.848849745810066
20001129,12.690817021755873
20001130,11.48575909266136
20001201,11.615445906709533
20001202,11.615445906709533
20001203,11.615445906709533
20001204,11.802605581060456
20001205,14.963762529705315
20001206,14.148754525941879
20001207,14.196003617718748
20001208,13.447074813737308
20001209,13.447074813737308
20001210,13.447074813737308
20001211,18.96253106943739
20001212,18.438896737660183
20001213,17.24000461599997
20001214,16.732758033707903
20001215,17.80783337549635
20001216,17.80783337549635
20001217,17.80783337549635
20001218,18.01551217279826
20001219,17.467062366339587
20001220,17.41773230126618
20001221,16.895665034889046
20001222,16.65916665441177
20001223,16.65916665441177
20001224,16.65916665441177
20001225,16.65916665441177
20001226,16.244071552297786
20001227,15.611547355034983
20001228,15.723786101409283
20001229,17.90177332879789
20001230,17.90177332879789
20001231,17.90177332879789
20010101,17.980186198589728
20010102,17.69929936236058
20010103,17.88827494875867
20010104,18.800857941861903
20010105,18.895839142535426
20010106,18.895839142535426
20010107,18.895839142535426
20010108,18.571425725905176
20010109,18.595348720870525
20010110,18.533560289550945
20010111,18.81455648857603
20010112,18.777677174243163
20010113,18.777677174243163
20010114,18.777677174243163
20010115,18.777677174243163
20010116,18.436313352272585
20010117,18.42390808129545
20010118,18.696711006956082
20010119,18.497621062591797
20010120,18.497621062591797
20010121,18.497621062591797
20010122,18.87112559669704
20010123,19.329814704767173
20010124,19.514954409535846
20010125,19.35730921650547
20010126,20.028108068870488
20010127,20.028108068870488
20010128,20.028108068870488
20010129,20.09710734675874
20010130,20.10028319511098
20010131,17.994811929281685
20010201,17.99965118571572
20010202,17.946157752465428
20010203,17.946157752465428
20010204,17.946157752465428
20010205,18.151662605958183
20010206,18.020346256575607
20010207,18.140107039881794
20010208,17.983268505474406
20010209,17.808159766125822
20010210,17.808159766125822
20010211,17.808159766125822
20010212,17.010619341082926
20010213,19.708208104216354
20010214,18.95392060064044
20010215,19.6610258923815
20010216,20.496942147566227
20010217,20.496942147566227
20010218,20.496942147566227
20010219,20.496942147566227
20010220,21.41880143832961
20010221,21.40209627946193
20010222,20.784390324930722
20010223,21.450481434172183
20010224,21.450481434172183
20010225,21.450481434172183
20010226,21.152614231487803
20010227,20.407938728250656
20010228,28.015121077141217
20010301,27.72218274268541
20010302,27.694451537512943
20010303,27.694451537512943
20010304,27.694451537512943
20010305,27.38179134053419
20010306,28.06550323144853
20010307,28.848276751798544
20010308,28.747821468389244
20010309,28.29536057606048
20010310,28.29536057606048
20010311,28.29536057606048
20010312,27.527459220699882
20010313,28.168726337046078
20010314,27.845743618685656
20010315,27.459653104133295
20010316,26.56387648614848
20010317,26.56387648614848
20010318,26.56387648614848
20010319,28.003711859372537
20010320,27.133817822084357
20010321,26.56745321059428
20010322,26.411842647837947
20010323,27.076549466963467
20010324,27.076549466963467
20010325,27.076549466963467
20010326,27.39172441127567
20010327,27.936927208523368
20010328,27.641420127528967
20010329,27.513586524377335
20010330,27.905736691998346
20010331,27.905736691998346
20010401,28.039251701311006
20010402,27.345439287619858
20010403,26.734553382071727
20010404,26.467578865502205
20010405,27.726737223323344
20010406,26.67754132103102
20010407,26.67754132103102
20010408,26.67754132103102
20010409,27.089369512798758
20010410,27.723053932008973
20010411,27.792073150175426
20010412,28.441596125954703
20010413,28.441596125954703
20010414,28.441596125954703
20010415,28.441596125954703
20010416,29.88358682187354
20010417,29.31159306673906
20010418,28.788335856378186
20010419,28.830495042187586
20010420,26.635045403186755
20010421,26.635045403186755
20010422,26.635045403186755
20010423,26.42308797877642
20010424,26.510677354020448
20010425,26.21222124749713
20010426,8.304754751403367
20010427,8.418087953881027
20010428,8.418087953881027
20010429,8.418087953881027
20010430,12.03915857379224
20010501,11.92792924406207
20010502,11.97127158188263
20010503,11.55725505860988
20010504,11.820038123408736
20010505,11.820038123408736
20010506,11.820038123408736
20010507,11.742776416856097
20010508,11.643628219449019
20010509,11.615549759096721
20010510,11.695768134435143
20010511,11.569006717761882
20010512,11.569006717761882
20010513,11.569006717761882
20010514,11.483024613461234
20010515,13.885141240394418
20010516,14.05213607001104
20010517,14.217811486888895
20010518,14.306168451545219
