Date,Gecina SA
19950531,0.02614709916956043
19950601,0.02464380795124784
19950602,0.024605831205525137
19950603,0.024605831205525137
19950604,0.024605831205525137
19950605,0.024605831205525137
19950606,0.024654535399107367
19950607,0.025056537566237623
19950608,0.025700756094255824
19950609,0.025833263526307
19950610,0.025833263526307
19950611,0.025833263526307
19950612,0.027047331435230026
19950613,0.026974766294432677
19950614,0.028156144653502906
19950615,0.028017001732809087
19950616,0.025499128472290945
19950617,0.025499128472290945
19950618,0.025499128472290945
19950619,0.025426966613715095
19950620,0.0245571356135803
19950621,0.02440583571858557
19950622,0.02536878161182158
19950623,0.02594154532873653
19950624,0.02594154532873653
19950625,0.02594154532873653
19950626,0.024861607064409492
19950627,0.026303329801820447
19950628,0.027135739052318662
19950629,0.026394366910664498
19950630,0.01614655543306623
19950701,0.01614655543306623
19950702,0.01614655543306623
19950703,0.016482168388994693
19950704,0.016048820518935917
19950705,0.015563467939143805
19950706,0.015470902995240152
19950707,0.014756791317922048
19950708,0.014756791317922048
19950709,0.014756791317922048
19950710,0.014883576089265755
19950711,0.015054579749319244
19950712,0.015071268182936545
19950713,0.01473874077073138
19950714,0.01473874077073138
19950715,0.01473874077073138
19950716,0.01473874077073138
19950717,0.014983666604929998
19950718,0.01515771320485184
19950719,0.015217106805660602
19950720,0.015429854187426102
19950721,0.015379885623503953
19950722,0.015379885623503953
19950723,0.015379885623503953
19950724,0.018028990737137263
19950725,0.01726134349652069
19950726,0.0186251780047242
19950727,0.01844646296691221
19950728,0.017252198384358045
19950729,0.017252198384358045
19950730,0.017252198384358045
19950731,0.022165952473083745
19950801,0.021520496794623815
19950802,0.02184339082225905
19950803,0.02094368843920825
19950804,0.019920276180670576
19950805,0.019920276180670576
19950806,0.019920276180670576
19950807,0.021551976823946675
19950808,0.0215572662131331
19950809,0.021547341487662255
19950810,0.02197598144497594
19950811,0.02070919506896371
19950812,0.02070919506896371
19950813,0.02070919506896371
19950814,0.02070919506896371
19950815,0.02070919506896371
19950816,0.020409505333378344
19950817,0.021112548818856977
19950818,0.020668077717152934
19950819,0.020668077717152934
19950820,0.020668077717152934
19950821,0.020395012929168566
19950822,0.02031057489178212
19950823,0.020351426292835137
19950824,0.020065641506464574
19950825,0.0162867781628317
19950826,0.0162867781628317
19950827,0.0162867781628317
19950828,0.02066895893475765
19950829,0.01954031480706299
19950830,0.019085303669587193
19950831,0.0434740367488431
19950901,0.040607040905757036
19950902,0.040607040905757036
19950903,0.040607040905757036
19950904,0.043349303237184
19950905,0.043005964584821796
19950906,0.042116326530213126
19950907,0.04160683064130949
19950908,0.04198891160927249
19950909,0.04198891160927249
19950910,0.04198891160927249
19950911,0.04313877457838553
19950912,0.04127530913001448
19950913,0.04320310150403326
19950914,0.042836279119054944
19950915,0.04489888728757125
19950916,0.04489888728757125
19950917,0.04489888728757125
19950918,0.04455191072148741
19950919,0.0444126465716092
19950920,0.04405639936738584
19950921,0.04644937781782686
19950922,0.04842107801172987
19950923,0.04842107801172987
19950924,0.04842107801172987
19950925,0.052631723988507614
19950926,0.04971079591556375
19950927,0.05107243030443842
19950928,0.04986605017683944
19950929,0.04044337187542486
19950930,0.04044337187542486
19951001,0.04044337187542486
19951002,0.042952842498583395
19951003,0.04209517381201072
19951004,0.04245930615174035
19951005,0.04228087913950352
19951006,0.04342771764771195
19951007,0.04342771764771195
19951008,0.04342771764771195
19951009,0.049545347897835594
19951010,0.04940550661206643
19951011,0.04839126735619062
19951012,0.04598990317175002
19951013,0.04241368814575682
19951014,0.04241368814575682
19951015,0.04241368814575682
19951016,0.04298862018714036
19951017,0.04767914723284521
19951018,0.04798063266821206
19951019,0.04760354290898937
19951020,0.04944396562494611
19951021,0.04944396562494611
19951022,0.04944396562494611
19951023,0.05262012402503415
19951024,0.05275134917829945
19951025,0.04999205008194731
19951026,0.0486755061077815
19951027,0.04325016830750545
19951028,0.04325016830750545
19951029,0.04325016830750545
19951030,0.04043484379004256
19951031,0.033254047574004415
19951101,0.033254047574004415
19951102,0.03483272443013112
19951103,0.034940124057254
19951104,0.034940124057254
19951105,0.034940124057254
19951106,0.03652741099265173
19951107,0.034868235355756234
19951108,0.03218969540088982
19951109,0.032747852520917754
19951110,0.03105964947140596
19951111,0.03105964947140596
19951112,0.03105964947140596
19951113,0.032305257565570095
19951114,0.03134992367535174
19951115,0.027129197403058875
19951116,0.023968286004232363
19951117,0.02316731363015805
19951118,0.02316731363015805
19951119,0.02316731363015805
19951120,0.026737964741282635
19951121,0.02594273955557266
19951122,0.027815456588135744
19951123,0.02857806747639222
19951124,0.02791995743623376
19951125,0.02791995743623376
19951126,0.02791995743623376
19951127,0.027724806327298717
19951128,0.028170866656587832
19951129,0.029824403121261438
19951130,0.041863281784699065
19951201,0.042667467260190495
19951202,0.042667467260190495
19951203,0.042667467260190495
19951204,0.04600097984175687
19951205,0.04303909265258958
19951206,0.04167825506798186
19951207,0.040464371352354374
19951208,0.03665591005448094
19951209,0.03665591005448094
19951210,0.03665591005448094
19951211,0.03717659659627897
19951212,0.03815642972301634
19951213,0.03972470026763721
19951214,0.03571499456804155
19951215,0.03220042562043666
19951216,0.03220042562043666
19951217,0.03220042562043666
19951218,0.03290820346048468
19951219,0.03353472822517586
19951220,0.03357762504289984
19951221,0.03291433239734301
19951222,0.03232453806769456
19951223,0.03232453806769456
19951224,0.03232453806769456
19951225,0.03232453806769456
19951226,0.0336265234847195
19951227,0.03259134855082259
19951228,0.031458838815901176
19951229,0.028936608005736025
19951230,0.028936608005736025
19951231,0.028936608005736025
