Date,BlackRock Inc
19991130,2.112302167733494
19991201,1.961870775444823
19991202,1.8740010037164607
19991203,1.8900122852641517
19991204,1.8900122852641517
19991205,1.8900122852641517
19991206,2.0996153729643727
19991207,2.001318398947537
19991208,2.149067869712038
19991209,2.1394160128843756
19991210,2.2937695724688254
19991211,2.2937695724688254
19991212,2.2937695724688254
19991213,2.3774680256700096
19991214,2.533292399859338
19991215,2.5223619795821697
19991216,2.6703213379122914
19991217,2.52305723564189
19991218,2.52305723564189
19991219,2.52305723564189
19991220,2.600806256562724
19991221,2.581787528587962
19991222,2.5214050527733507
19991223,2.547462343101057
19991224,2.547462343101057
19991225,2.547462343101057
19991226,2.547462343101057
19991227,2.5747120236773906
19991228,2.490174153973923
19991229,2.5348209485813396
19991230,2.538157389757952
19991231,1.9650866883088414
20000101,1.9711023061606765
20000102,1.9711023061606765
20000103,2.030370659196891
20000104,2.2375760404341465
20000105,2.2791266102307812
20000106,2.162474348701436
20000107,2.2665045528810417
20000108,2.2665045528810417
20000109,2.2665045528810417
20000110,2.2501092961749483
20000111,2.0935414002740553
20000112,1.9027133071882927
20000113,0.7079489702780021
20000114,0.6606242483938719
20000115,0.6606242483938719
20000116,0.6606242483938719
20000117,0.6606242483938719
20000118,0.5922612195152849
20000119,0.5685194254988784
20000120,0.632902198026722
20000121,0.6531450001579705
20000122,0.6531450001579705
20000123,0.6531450001579705
20000124,0.6691501467042243
20000125,0.655713926264659
20000126,0.6284329143042112
20000127,0.6247983414331957
20000128,0.6164621382580697
20000129,0.6164621382580697
20000130,0.6164621382580697
20000131,0.8208420651282671
20000201,0.7631478519717205
20000202,0.7476648812082494
20000203,0.7448644663778364
20000204,0.7085327907212241
20000205,0.7085327907212241
20000206,0.7085327907212241
20000207,0.7082410252601675
20000208,0.7082566207686724
20000209,0.7297365568651882
20000210,0.7860964452491334
20000211,0.7533042702099122
20000212,0.7533042702099122
20000213,0.7533042702099122
20000214,0.7607868692570947
20000215,0.7824098326645352
20000216,0.7031423717125547
20000217,0.7267752705399463
20000218,0.6923038942128291
20000219,0.6923038942128291
20000220,0.6923038942128291
20000221,0.6923038942128291
20000222,0.6790112933018183
20000223,0.6589281166488601
20000224,0.6471880275197077
20000225,0.6230171844092577
20000226,0.6230171844092577
20000227,0.6230171844092577
20000228,0.5627620994653182
20000229,0.3520706716990048
20000301,0.34366619653066954
20000302,0.33338715487811993
20000303,0.33660729572887044
20000304,0.33660729572887044
20000305,0.33660729572887044
20000306,0.3281625558415681
20000307,0.3246978203624833
20000308,0.3257482157645449
20000309,0.3341608106679926
20000310,0.3272813254782142
20000311,0.3272813254782142
20000312,0.3272813254782142
20000313,0.29611791553515604
20000314,0.2929422365310523
20000315,0.2552595397204454
20000316,0.2587836753341974
20000317,0.2507665952067987
20000318,0.2507665952067987
20000319,0.2507665952067987
20000320,0.2736067302442131
20000321,0.280423123400514
20000322,0.3329405422360347
20000323,0.35180426866230724
20000324,0.35386075492147695
20000325,0.35386075492147695
20000326,0.35386075492147695
20000327,0.3695482692299933
20000328,0.47961802157660616
20000329,0.49003531858168425
20000330,0.4438718317117251
20000331,0.473010772943683
20000401,0.4746168867578174
20000402,0.4746168867578174
20000403,0.4312286654996775
20000404,0.42103730115115817
20000405,0.3777181911857657
20000406,0.33925860322314144
20000407,0.2709944000963181
20000408,0.2709944000963181
20000409,0.2709944000963181
20000410,0.27549727028247356
20000411,0.08852650308281704
20000412,0.08850256491118896
20000413,0.09317280927822585
20000414,0.09417711143665237
20000415,0.09417711143665237
20000416,0.09417711143665237
20000417,0.10378070054282396
20000418,0.11326074310598012
20000419,0.12957535348132762
20000420,0.12662852970533278
20000421,0.12662852970533278
20000422,0.12662852970533278
20000423,0.12662852970533278
20000424,0.11466332607702902
20000425,0.08686650529702382
20000426,0.08477708608871888
20000427,0.0829867386776199
20000428,0.11725774783398624
20000429,0.11725774783398624
20000430,0.11725774783398624
20000501,0.14240667468027637
20000502,0.14384063025319724
20000503,0.133263808696727
20000504,0.1447949630774372
20000505,0.14437832661480518
20000506,0.14437832661480518
20000507,0.14437832661480518
20000508,0.13915213278473526
20000509,0.13256513200623501
20000510,0.1210452058921088
20000511,0.11952809794789963
20000512,0.1136919381243272
20000513,0.1136919381243272
20000514,0.1136919381243272
20000515,0.11769728350376599
20000516,0.11249313974769166
20000517,0.11020910978377353
20000518,0.11238518074703277
20000519,0.11060075906248017
20000520,0.11060075906248017
20000521,0.11060075906248017
20000522,0.11527300968903649
20000523,0.14236273492289436
20000524,0.15490509174486738
20000525,0.15327714142201956
20000526,0.1538192055879435
20000527,0.1538192055879435
20000528,0.1538192055879435
20000529,0.1538192055879435
20000530,0.15826782996075106
20000531,0.13902604506984415
20000601,0.13144111546487827
20000602,0.11481474880498849
20000603,0.11481474880498849
20000604,0.11481474880498849
20000605,0.09981584427244902
20000606,0.1040508916174582
20000607,0.11022870566926844
20000608,0.11707077312609944
20000609,0.11688064225145303
20000610,0.11688064225145303
20000611,0.11688064225145303
20000612,0.12055761260802764
20000613,0.11279469298104298
20000614,0.1038050331559945
20000615,0.0968508202162603
20000616,0.08162859881436493
20000617,0.08162859881436493
20000618,0.08162859881436493
20000619,0.08378248243970582
20000620,0.08638078761223023
20000621,0.07984314499869084
20000622,0.06839501197885868
20000623,0.07264944308650194
20000624,0.07264944308650194
20000625,0.07264944308650194
20000626,0.0690329620997023
20000627,0.06112128083061958
20000628,0.049125520376560323
20000629,0.05847618896013765
20000630,0.11136995081054009
20000701,0.11178877588851521
20000702,0.11178877588851521
