Date,Landmark Bancorp Inc/Manhattan KS
19940630,5.368815977554489
19940701,5.858209553840786
19940702,5.858209553840786
19940703,5.858209553840786
19940704,5.858209553840786
19940705,5.9250390260595065
19940706,5.547670777694225
19940707,5.975569034366549
19940708,5.573910626501975
19940709,5.573910626501975
19940710,5.573910626501975
19940711,5.60191422655079
19940712,5.581495282474258
19940713,5.501650799878449
19940714,5.582524157793588
19940715,5.406182459119424
19940716,5.406182459119424
19940717,5.406182459119424
19940718,5.2637731168849005
19940719,5.626244398690322
19940720,5.644901153039174
19940721,6.589135587775448
19940722,6.5308063114369626
19940723,6.5308063114369626
19940724,6.5308063114369626
19940725,6.7718105636338395
19940726,6.748805132040277
19940727,6.544662891499144
19940728,6.581836032478844
19940729,6.499027283816259
19940730,6.499027283816259
19940731,6.499027283816259
19940801,6.6245491905930285
19940802,6.447640377634178
19940803,6.472504898397252
19940804,6.5961799058295725
19940805,6.435820457940169
19940806,6.435820457940169
19940807,6.435820457940169
19940808,6.512325374649056
19940809,6.433737742566623
19940810,6.557925529341505
19940811,6.5353542214891
19940812,6.516868911999507
19940813,6.516868911999507
19940814,6.516868911999507
19940815,6.579184473978098
19940816,6.65525092384739
19940817,6.595287865215215
19940818,6.553720074425584
19940819,6.496127990470405
19940820,6.496127990470405
19940821,6.496127990470405
19940822,6.565342177624927
19940823,6.670333428323851
19940824,6.646530551772752
19940825,6.6694980691628425
19940826,6.591316237953964
19940827,6.591316237953964
19940828,6.591316237953964
19940829,6.622058712808979
19940830,6.751476910089648
19940831,5.353498869190476
19940901,5.407807936660316
19940902,5.218893413321925
19940903,5.218893413321925
19940904,5.218893413321925
19940905,5.218893413321925
19940906,5.240473811784059
19940907,5.4605976277408175
19940908,5.49295021211379
19940909,5.299081396748098
19940910,5.299081396748098
19940911,5.299081396748098
19940912,6.086023501408163
19940913,6.084748738618854
19940914,5.476562774376667
19940915,5.324079154437249
19940916,6.189483033037833
19940917,6.189483033037833
19940918,6.189483033037833
19940919,6.198789176152413
19940920,6.184774590977883
19940921,6.629460783032272
19940922,6.906791625707958
19940923,6.146279046614615
19940924,6.146279046614615
19940925,6.146279046614615
19940926,7.573360564146064
19940927,7.543591030349139
19940928,7.170055641391789
19940929,7.201361782578864
19940930,7.895090731718418
19941001,7.898016632524231
19941002,7.898016632524231
19941003,7.851093221543735
19941004,7.541829401648844
19941005,8.304218491491397
19941006,8.30109608796869
19941007,8.629341084051253
19941008,8.629341084051253
19941009,8.629341084051253
19941010,7.730116413959512
19941011,8.412172733029522
19941012,8.753364294780129
19941013,8.794058091648294
19941014,7.923275660600163
19941015,7.923275660600163
19941016,7.923275660600163
19941017,8.709493975270236
19941018,8.694261325693702
19941019,7.827604863735488
19941020,7.8560622122995865
19941021,7.834593608634576
19941022,7.834593608634576
19941023,7.834593608634576
19941024,7.2895687213050975
19941025,7.717411748493178
19941026,8.48748926995794
19941027,7.045109843134754
19941028,7.33123705658885
19941029,7.33123705658885
19941030,7.33123705658885
19941031,6.411400825630131
19941101,7.014883141245111
19941102,7.27673941624185
19941103,7.092472878312067
19941104,7.080993464401405
19941105,7.080993464401405
19941106,7.080993464401405
19941107,7.978803279199525
19941108,8.614011897886956
19941109,7.970844728590429
19941110,7.918623746923383
19941111,8.299099688535886
19941112,8.299099688535886
19941113,8.299099688535886
19941114,9.322287956717451
19941115,9.314367325625325
19941116,8.341072804190464
19941117,8.851391423877997
19941118,8.683592774606982
19941119,8.683592774606982
19941120,8.683592774606982
19941121,10.145874432371128
19941122,9.678849643407997
19941123,12.064653910967822
19941124,12.064653910967822
19941125,12.081408948741752
19941126,12.081408948741752
19941127,12.081408948741752
19941128,11.385819862921446
19941129,11.40440248779736
19941130,9.33526858031147
19941201,9.870654121962444
19941202,9.97439519343482
19941203,9.97439519343482
19941204,9.97439519343482
19941205,9.691674272542725
19941206,9.224983208521483
19941207,9.208510243492249
19941208,10.722996312116372
19941209,10.360095775768826
19941210,10.360095775768826
19941211,10.360095775768826
19941212,10.391777763981885
19941213,10.937554833131621
19941214,10.176327768863665
19941215,10.216463697781636
19941216,11.000381761009185
19941217,11.000381761009185
19941218,11.000381761009185
19941219,10.953603395700487
19941220,9.390876530761155
19941221,10.532154323373991
19941222,10.607893228057074
19941223,10.59947383897819
19941224,10.59947383897819
19941225,10.59947383897819
19941226,10.59947383897819
19941227,10.588632453410428
19941228,10.563872700593226
19941229,11.053939681502465
19941230,10.448587120594228
19941231,10.448587120594228
19950101,10.452844278458656
19950102,10.452844278458656
19950103,10.046162325778868
19950104,10.755183453181798
19950105,10.734999301832287
19950106,10.05928439994521
19950107,10.05928439994521
19950108,10.05928439994521
19950109,9.320086115328342
19950110,9.58064582728346
19950111,8.871166395265996
19950112,9.520129664267177
19950113,8.806146128901144
19950114,8.806146128901144
19950115,8.806146128901144
19950116,8.820842336522782
19950117,8.757489225895744
19950118,8.753194629627723
19950119,9.210548021973617
19950120,9.181324407157609
19950121,9.181324407157609
19950122,9.181324407157609
19950123,9.89438872557037
19950124,9.233774299020878
19950125,8.563445587914135
19950126,8.217342997266334
19950127,8.157376556312897
19950128,8.157376556312897
19950129,8.157376556312897
19950130,8.120198159195514
19950131,7.892283284433505
19950201,7.903099062663662
19950202,8.545802356786652
19950203,7.3071626952862205
19950204,7.3071626952862205
19950205,7.3071626952862205
19950206,7.436208537678001
19950207,6.909304605462892
19950208,7.042948070878426
19950209,6.597098583162695
19950210,7.184834734908118
19950211,7.184834734908118
19950212,7.184834734908118
19950213,7.171763356128924
19950214,6.171026243387533
